"Date","Text","Message JSON","Intent","Incoming"
"2019-12-09T16:18:46.275Z",,"{""userId"":""0f1616f8-b4be-496a-8d24-a247bdf8b2a2""}",,true
"2019-12-09T16:18:46.275Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""0f1616f8-b4be-496a-8d24-a247bdf8b2a2"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0f1616f8-b4be-496a-8d24-a247bdf8b2a2""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""87df4c21-034a-4c99-a35b-c23904154260""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-09T16:19:08.275Z","what can I ask?","{""userId"":""0f1616f8-b4be-496a-8d24-a247bdf8b2a2"",""text"":""what can I ask?""}",,true
"2019-12-09T16:19:08.259Z","You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?"" What questions do you have?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?""}],""nodes_visited"":[""node_2_1538498632782"",""node_8_1541456654510""],""text"":[""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0f1616f8-b4be-496a-8d24-a247bdf8b2a2""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_8_1541456654510"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""87df4c21-034a-4c99-a35b-c23904154260""},""input"":{""text"":""what can I ask?""},""intents"":[{""intent"":""What.To.Ask.Bot"",""confidence"":0.9405769824981689}],""alternate_intents"":false},""text"":""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?"",""userId"":""0f1616f8-b4be-496a-8d24-a247bdf8b2a2"",""intent"":{""name"":""What.To.Ask.Bot""}}","What.To.Ask.Bot",false
"2019-12-09T16:19:36.120Z","does iud hurt?","{""userId"":""0f1616f8-b4be-496a-8d24-a247bdf8b2a2"",""text"":""does iud hurt?""}",,true
"2019-12-09T16:19:36.134Z","I’ll be honest, getting the IUD can be pretty uncomfortable for some people BUT, other people are perfectly fine. It really just depends on the person.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I’ll be honest, getting the IUD can be pretty uncomfortable for some people BUT, other people are perfectly fine. It really just depends on the person.""},{""response_type"":""text"",""text"":""If you know you’re sensitive to pain, take a Tylenol before your procedure. If you do feel anything, it should only be mild cramps or back pain and it’ll go away pretty fast and once it's done, you’re protected against pregnancy for YEARS. ""}],""nodes_visited"":[""node_31_1534973793065"",""node_70_1542152993222""],""text"":[""I’ll be honest, getting the IUD can be pretty uncomfortable for some people BUT, other people are perfectly fine. It really just depends on the person."",""If you know you’re sensitive to pain, take a Tylenol before your procedure. If you do feel anything, it should only be mild cramps or back pain and it’ll go away pretty fast and once it's done, you’re protected against pregnancy for YEARS. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0f1616f8-b4be-496a-8d24-a247bdf8b2a2""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_70_1542152993222"":{""0"":[0],""1"":[0]},""node_8_1541456654510"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""87df4c21-034a-4c99-a35b-c23904154260""},""input"":{""text"":""does iud hurt?""},""intents"":[{""intent"":""IUD.insert.pain"",""confidence"":0.7745515823364257}],""entities"":[{""location"":[5,8],""value"":""IUD"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""I’ll be honest, getting the IUD can be pretty uncomfortable for some people BUT, other people are perfectly fine. It really just depends on the person."",""userId"":""0f1616f8-b4be-496a-8d24-a247bdf8b2a2"",""intent"":{""name"":""IUD.insert.pain"",""inputs"":[{""name"":""Birth_Control"",""value"":""IUD""}]}}","IUD.insert.pain",false
"2019-12-09T16:19:58.656Z","What if it still hurts?","{""userId"":""0f1616f8-b4be-496a-8d24-a247bdf8b2a2"",""text"":""What if it still hurts?""}",,true
"2019-12-09T16:19:58.656Z","Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ""},{""response_type"":""text"",""text"":""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-finder\"">For more info on doctors or clinics near you, tap here to scroll to the Clinic Map.</a>""}],""nodes_visited"":[""node_6_1535644870528"",""node_30_1541631510471"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on."",""<a href=\""/#birth-control-finder\"">For more info on doctors or clinics near you, tap here to scroll to the Clinic Map.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0f1616f8-b4be-496a-8d24-a247bdf8b2a2""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_70_1542152993222"":{""0"":[0],""1"":[0]},""node_8_1541456654510"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,1,4,3,0,2]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""87df4c21-034a-4c99-a35b-c23904154260""},""input"":{""text"":""What if it still hurts?""},""intents"":[{""intent"":""Sex.pain"",""confidence"":0.8385511875152589}],""alternate_intents"":false},""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""userId"":""0f1616f8-b4be-496a-8d24-a247bdf8b2a2"",""intent"":{""name"":""Sex.pain""}}","Sex.pain",false
"2019-12-09T16:20:41.767Z","what else can i ask you for?","{""userId"":""0f1616f8-b4be-496a-8d24-a247bdf8b2a2"",""text"":""what else can i ask you for?""}",,true
"2019-12-09T16:20:41.780Z","You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?"" What questions do you have?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?""}],""nodes_visited"":[""node_2_1538498632782"",""node_8_1541456654510""],""text"":[""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0f1616f8-b4be-496a-8d24-a247bdf8b2a2""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_70_1542152993222"":{""0"":[0],""1"":[0]},""node_8_1541456654510"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,1,4,3,0,2]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""87df4c21-034a-4c99-a35b-c23904154260""},""input"":{""text"":""what else can i ask you for?""},""intents"":[{""intent"":""What.To.Ask.Bot"",""confidence"":0.9628364086151124}],""alternate_intents"":false},""text"":""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?"",""userId"":""0f1616f8-b4be-496a-8d24-a247bdf8b2a2"",""intent"":{""name"":""What.To.Ask.Bot""}}","What.To.Ask.Bot",false
