"Date","Text","Message JSON","Intent","Incoming"
"2019-12-06T16:16:58.740Z",,"{""userId"":""10045028-2ce3-496e-9ce2-23ae6ec475cf""}",,true
"2019-12-06T16:16:58.741Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""10045028-2ce3-496e-9ce2-23ae6ec475cf"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""10045028-2ce3-496e-9ce2-23ae6ec475cf""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""6f0eda3f-5f0a-4894-92cf-00bb240f83e3""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-06T16:18:44.607Z","it’s having sex almost everyday twice a day bad ? or and unhealthy relationship","{""userId"":""10045028-2ce3-496e-9ce2-23ae6ec475cf"",""text"":""it’s having sex almost everyday twice a day bad ? or and unhealthy relationship""}",,true
"2019-12-06T16:18:44.909Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""10045028-2ce3-496e-9ce2-23ae6ec475cf"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2019-12-06T16:18:44.609Z","If you're in an abusive relationship or if you are experiencing violence, it's important to get help as soon as possible. Call Ophelia's Place East at 315-451-5544, or stop by at 407 Tulip St in Liverpool, NY from 8am-4pm Monday-Friday. They're there to help people like you. You're not alone.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you're in an abusive relationship or if you are experiencing violence, it's important to get help as soon as possible. Call Ophelia's Place East at 315-451-5544, or stop by at 407 Tulip St in Liverpool, NY from 8am-4pm Monday-Friday. They're there to help people like you. You're not alone.""}],""nodes_visited"":[""node_2_1560532584699""],""text"":[""If you're in an abusive relationship or if you are experiencing violence, it's important to get help as soon as possible. Call Ophelia's Place East at 315-451-5544, or stop by at 407 Tulip St in Liverpool, NY from 8am-4pm Monday-Friday. They're there to help people like you. You're not alone.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""10045028-2ce3-496e-9ce2-23ae6ec475cf""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_2_1560532584699"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""6f0eda3f-5f0a-4894-92cf-00bb240f83e3""},""input"":{""text"":""it’s having sex almost everyday twice a day bad ? or and unhealthy relationship""},""intents"":[{""intent"":""abuse"",""confidence"":0.48417766094207765}],""entities"":[{""location"":[12,15],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""If you're in an abusive relationship or if you are experiencing violence, it's important to get help as soon as possible. Call Ophelia's Place East at 315-451-5544, or stop by at 407 Tulip St in Liverpool, NY from 8am-4pm Monday-Friday. They're there to help people like you. You're not alone."",""userId"":""10045028-2ce3-496e-9ce2-23ae6ec475cf"",""intent"":{""name"":""abuse"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","abuse",false
"2019-12-06T16:18:44.898Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""10045028-2ce3-496e-9ce2-23ae6ec475cf""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_2_1560532584699"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""6f0eda3f-5f0a-4894-92cf-00bb240f83e3""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""10045028-2ce3-496e-9ce2-23ae6ec475cf"",""intent"":{""name"":""unknown""}}","unknown",false
"2019-12-06T16:19:06.246Z","is having a ex everyday bad for u ","{""userId"":""10045028-2ce3-496e-9ce2-23ae6ec475cf"",""text"":""is having a ex everyday bad for u ""}",,true
"2019-12-06T16:19:06.458Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""10045028-2ce3-496e-9ce2-23ae6ec475cf"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2019-12-06T16:19:06.265Z","Many teens don't get IUDs because they don't know about it! But more teens have been getting IUDs once they hear about them. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Many teens don't get IUDs because they don't know about it! But more teens have been getting IUDs once they hear about them. ""},{""typing"":true,""response_type"":""pause"",""time"":1000},{""options"":[{""value"":{""input"":{""text"":""What types of IUDs are there?""}},""label"":""Tap here to read about the different types of IUDs.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or, type another question you have about birth control.""}],""nodes_visited"":[""node_51_1534988675750"",""node_45_1544051234954""],""text"":[""Many teens don't get IUDs because they don't know about it! But more teens have been getting IUDs once they hear about them. "",""Or, type another question you have about birth control.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""10045028-2ce3-496e-9ce2-23ae6ec475cf""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_2_1560532584699"":{""0"":[0]},""node_45_1544051234954"":{""0"":[0],""3"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""6f0eda3f-5f0a-4894-92cf-00bb240f83e3""},""input"":{""text"":""is having a ex everyday bad for u ""},""intents"":[{""intent"":""IUD.teens"",""confidence"":0.2567731618881226}],""alternate_intents"":false},""text"":""Many teens don't get IUDs because they don't know about it! But more teens have been getting IUDs once they hear about them. "",""userId"":""10045028-2ce3-496e-9ce2-23ae6ec475cf"",""intent"":{""name"":""IUD.teens""}}","IUD.teens",false
"2019-12-06T16:19:06.443Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""10045028-2ce3-496e-9ce2-23ae6ec475cf""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_2_1560532584699"":{""0"":[0]},""node_45_1544051234954"":{""0"":[0],""3"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""6f0eda3f-5f0a-4894-92cf-00bb240f83e3""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""10045028-2ce3-496e-9ce2-23ae6ec475cf"",""intent"":{""name"":""unknown""}}","unknown",false
"2019-12-06T16:19:27.217Z","do u have to pee after sex","{""userId"":""10045028-2ce3-496e-9ce2-23ae6ec475cf"",""text"":""do u have to pee after sex""}",,true
"2019-12-06T16:19:27.232Z","Once sperm gets inside your vagina, there's nothing you can do. Peeing is great to help avoid infections, but it does nothing to protect against pregnancy.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Once sperm gets inside your vagina, there's nothing you can do. Peeing is great to help avoid infections, but it does nothing to protect against pregnancy.""}],""nodes_visited"":[""node_31_1535577550739"",""node_6_1541717509420""],""text"":[""Once sperm gets inside your vagina, there's nothing you can do. Peeing is great to help avoid infections, but it does nothing to protect against pregnancy.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""10045028-2ce3-496e-9ce2-23ae6ec475cf""},""system"":{""dialog_request_counter"":7,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":7,""_node_output_map"":{""node_2_1560532584699"":{""0"":[0]},""node_45_1544051234954"":{""0"":[0],""3"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_6_1541717509420"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""6f0eda3f-5f0a-4894-92cf-00bb240f83e3""},""input"":{""text"":""do u have to pee after sex""},""intents"":[{""intent"":""Preg.avoid.by.peeing"",""confidence"":0.6832781791687013}],""entities"":[{""location"":[23,26],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""Once sperm gets inside your vagina, there's nothing you can do. Peeing is great to help avoid infections, but it does nothing to protect against pregnancy."",""userId"":""10045028-2ce3-496e-9ce2-23ae6ec475cf"",""intent"":{""name"":""Preg.avoid.by.peeing"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Preg.avoid.by.peeing",false
"2019-12-06T16:19:58.528Z","how do i tell my mom i’m. pregnant","{""userId"":""10045028-2ce3-496e-9ce2-23ae6ec475cf"",""text"":""how do i tell my mom i’m. pregnant""}",,true
