"Date","Text","Message JSON","Intent","Incoming"
"2019-12-04T18:09:16.719Z",,"{""userId"":""14dc4e66-e951-403e-b048-0a58ebd6e954""}",,true
"2019-12-04T18:09:16.721Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""14dc4e66-e951-403e-b048-0a58ebd6e954"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""14dc4e66-e951-403e-b048-0a58ebd6e954""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""865efc42-ef4a-4a08-9013-d6d3c511d244""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-04T18:09:48.496Z",,"{""userId"":""14dc4e66-e951-403e-b048-0a58ebd6e954""}",,true
"2019-12-04T18:09:48.486Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""14dc4e66-e951-403e-b048-0a58ebd6e954"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""14dc4e66-e951-403e-b048-0a58ebd6e954""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c6cbfc76-2b9d-4fd6-868c-0336f82ca2e0""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-04T18:11:08.255Z","I gave someone oral sex. What are my risks?","{""userId"":""14dc4e66-e951-403e-b048-0a58ebd6e954"",""text"":""I gave someone oral sex. What are my risks?""}",,true
"2019-12-04T18:11:08.479Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""14dc4e66-e951-403e-b048-0a58ebd6e954"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2019-12-04T18:11:08.241Z","Sex is one of those things where EVERYONE has their own opinion on what it means to them. If we’re talking technically though, different kinds of sex have different meanings.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Sex is one of those things where EVERYONE has their own opinion on what it means to them. If we’re talking technically though, different kinds of sex have different meanings.""},{""response_type"":""text"",""text"":""Oral sex (giving head or a blow job) is when you use your mouth on someone’s vagina or penis. Anal sex is when a penis enters the butt. And sex (which your doctor might call sexual intercourse) is when a penis enters the vagina. All sex, all different kinds of ways to do it. ""}],""nodes_visited"":[""node_9_1535648906411"",""node_8_1542402954441""],""text"":[""Sex is one of those things where EVERYONE has their own opinion on what it means to them. If we’re talking technically though, different kinds of sex have different meanings."",""Oral sex (giving head or a blow job) is when you use your mouth on someone’s vagina or penis. Anal sex is when a penis enters the butt. And sex (which your doctor might call sexual intercourse) is when a penis enters the vagina. All sex, all different kinds of ways to do it. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""14dc4e66-e951-403e-b048-0a58ebd6e954""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542402954441"":{""0"":[0],""1"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c6cbfc76-2b9d-4fd6-868c-0336f82ca2e0""},""input"":{""text"":""I gave someone oral sex. What are my risks?""},""intents"":[{""intent"":""def_sex"",""confidence"":0.3483928799629211}],""entities"":[{""location"":[15,23],""value"":""Oral Sex"",""entity"":""Sex"",""confidence"":1},{""location"":[37,42],""value"":""side effects"",""entity"":""Side_Effects"",""confidence"":1}],""alternate_intents"":false},""text"":""Sex is one of those things where EVERYONE has their own opinion on what it means to them. If we’re talking technically though, different kinds of sex have different meanings."",""userId"":""14dc4e66-e951-403e-b048-0a58ebd6e954"",""intent"":{""name"":""def_sex"",""inputs"":[{""name"":""Sex"",""value"":""Oral Sex""},{""name"":""Side_Effects"",""value"":""side effects""}]}}","def_sex",false
"2019-12-04T18:11:08.494Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""14dc4e66-e951-403e-b048-0a58ebd6e954""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542402954441"":{""0"":[0],""1"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c6cbfc76-2b9d-4fd6-868c-0336f82ca2e0""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""14dc4e66-e951-403e-b048-0a58ebd6e954"",""intent"":{""name"":""unknown""}}","unknown",false
"2019-12-04T18:11:16.749Z","what are the risks of oral sex?","{""userId"":""14dc4e66-e951-403e-b048-0a58ebd6e954"",""text"":""what are the risks of oral sex?""}",,true
"2019-12-04T18:11:16.731Z","Sex is one of those things where EVERYONE has their own opinion on what it means to them. If we’re talking technically though, different kinds of sex have different meanings.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Sex is one of those things where EVERYONE has their own opinion on what it means to them. If we’re talking technically though, different kinds of sex have different meanings.""},{""response_type"":""text"",""text"":""Oral sex (giving head or a blow job) is when you use your mouth on someone’s vagina or penis. Anal sex is when a penis enters the butt. And sex (which your doctor might call sexual intercourse) is when a penis enters the vagina. All sex, all different kinds of ways to do it. ""}],""nodes_visited"":[""node_9_1535648906411"",""node_8_1542402954441""],""text"":[""Sex is one of those things where EVERYONE has their own opinion on what it means to them. If we’re talking technically though, different kinds of sex have different meanings."",""Oral sex (giving head or a blow job) is when you use your mouth on someone’s vagina or penis. Anal sex is when a penis enters the butt. And sex (which your doctor might call sexual intercourse) is when a penis enters the vagina. All sex, all different kinds of ways to do it. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""14dc4e66-e951-403e-b048-0a58ebd6e954""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542402954441"":{""0"":[0],""1"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c6cbfc76-2b9d-4fd6-868c-0336f82ca2e0""},""input"":{""text"":""what are the risks of oral sex?""},""intents"":[{""intent"":""def_sex"",""confidence"":0.8158113956451416}],""entities"":[{""location"":[13,18],""value"":""side effects"",""entity"":""Side_Effects"",""confidence"":1},{""location"":[22,30],""value"":""Oral Sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""Sex is one of those things where EVERYONE has their own opinion on what it means to them. If we’re talking technically though, different kinds of sex have different meanings."",""userId"":""14dc4e66-e951-403e-b048-0a58ebd6e954"",""intent"":{""name"":""def_sex"",""inputs"":[{""name"":""Side_Effects"",""value"":""side effects""},{""name"":""Sex"",""value"":""Oral Sex""}]}}","def_sex",false
