"Date","Text","Message JSON","Intent","Incoming"
"2019-12-11T20:25:34.778Z",,"{""userId"":""17d7f80b-6c6f-4935-9339-d733fba0c801""}",,true
"2019-12-11T20:25:34.779Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""17d7f80b-6c6f-4935-9339-d733fba0c801"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""17d7f80b-6c6f-4935-9339-d733fba0c801""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""91cb2399-1e3c-4741-8ed3-def6fcd9e6a8""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-11T20:26:41.061Z","I’ve been on birth control for about 2 months now and I just had sex for the first time 2 weeks ago my period is not due till another week so I’m not late but I’m a little scared I could be pregnant ","{""userId"":""17d7f80b-6c6f-4935-9339-d733fba0c801"",""text"":""I’ve been on birth control for about 2 months now and I just had sex for the first time 2 weeks ago my period is not due till another week so I’m not late but I’m a little scared I could be pregnant ""}",,true
"2019-12-11T20:26:41.367Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""17d7f80b-6c6f-4935-9339-d733fba0c801"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2019-12-11T20:26:41.061Z","I gotta keep it real with you girl - missing your period if you’ve had sex in the past month is a pretty good sign you might be pregnant. Even if you’ve been on birth control. Now, if you HAVEN’T had sex in the last month, your period could be M.I.A for a whole bunch of reasons. Stress and exercise can throw your cycle off. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I gotta keep it real with you girl - missing your period if you’ve had sex in the past month is a pretty good sign you might be pregnant. Even if you’ve been on birth control. Now, if you HAVEN’T had sex in the last month, your period could be M.I.A for a whole bunch of reasons. Stress and exercise can throw your cycle off. ""},{""response_type"":""text"",""text"":""If you think you might be pregnant, you gotta take a pregnancy test. I know that seems scary af but, the sooner you know, the sooner you can talk to a doctor about your options.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-finder\"">To find a doctor or clinic, tap here to scroll to the Clinic Map.</a>""}],""nodes_visited"":[""node_18_1534791434209"",""node_12_1541809118631"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""I gotta keep it real with you girl - missing your period if you’ve had sex in the past month is a pretty good sign you might be pregnant. Even if you’ve been on birth control. Now, if you HAVEN’T had sex in the last month, your period could be M.I.A for a whole bunch of reasons. Stress and exercise can throw your cycle off. "",""If you think you might be pregnant, you gotta take a pregnancy test. I know that seems scary af but, the sooner you know, the sooner you can talk to a doctor about your options."",""<a href=\""/#birth-control-finder\"">To find a doctor or clinic, tap here to scroll to the Clinic Map.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""17d7f80b-6c6f-4935-9339-d733fba0c801""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_12_1541809118631"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,2,0,1,3,4]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""91cb2399-1e3c-4741-8ed3-def6fcd9e6a8""},""input"":{""text"":""I’ve been on birth control for about 2 months now and I just had sex for the first time 2 weeks ago my period is not due till another week so I’m not late but I’m a little scared I could be pregnant ""},""intents"":[{""intent"":""Period.miss"",""confidence"":0.38223955631256107}],""entities"":[{""location"":[13,26],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1},{""location"":[37,38],""metadata"":{""numeric_value"":2},""value"":""2"",""entity"":""sys-number"",""confidence"":1},{""location"":[65,68],""value"":""sex"",""entity"":""Sex"",""confidence"":1},{""location"":[88,89],""metadata"":{""numeric_value"":2},""value"":""2"",""entity"":""sys-number"",""confidence"":1},{""location"":[103,109],""value"":""period"",""entity"":""Period"",""confidence"":1},{""location"":[190,198],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1}],""alternate_intents"":false},""text"":""I gotta keep it real with you girl - missing your period if you’ve had sex in the past month is a pretty good sign you might be pregnant. Even if you’ve been on birth control. Now, if you HAVEN’T had sex in the last month, your period could be M.I.A for a whole bunch of reasons. Stress and exercise can throw your cycle off. "",""userId"":""17d7f80b-6c6f-4935-9339-d733fba0c801"",""intent"":{""name"":""Period.miss"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""},{""name"":""sys-number"",""value"":""2""},{""name"":""Sex"",""value"":""sex""},{""name"":""sys-number"",""value"":""2""},{""name"":""Period"",""value"":""period""},{""name"":""Pregnant"",""value"":""pregnant""}]}}","Period.miss",false
"2019-12-11T20:26:41.354Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""17d7f80b-6c6f-4935-9339-d733fba0c801""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_12_1541809118631"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,2,0,1,3,4]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""91cb2399-1e3c-4741-8ed3-def6fcd9e6a8""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""17d7f80b-6c6f-4935-9339-d733fba0c801"",""intent"":{""name"":""unknown""}}","unknown",false
"2019-12-11T20:27:33.202Z","How likely is it to get pregnant on birth control","{""userId"":""17d7f80b-6c6f-4935-9339-d733fba0c801"",""text"":""How likely is it to get pregnant on birth control""}",,true
"2019-12-11T20:27:33.218Z","There are so many reasons a woman might decide it’s time to get on birth control but mainly, it all comes down to taking control of your body. Whether you’re trying to prevent pregnancy, regulate your period, or even clear acne, birth control can help. If you’re thinking about starting birth control, talk to a doctor to find the best kind for you. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There are so many reasons a woman might decide it’s time to get on birth control but mainly, it all comes down to taking control of your body. Whether you’re trying to prevent pregnancy, regulate your period, or even clear acne, birth control can help. If you’re thinking about starting birth control, talk to a doctor to find the best kind for you. ""},{""response_type"":""text"",""text"":""And don’t worry if you’re not ready to share your new decision with your parents, in New York, you can get birth control at any age without a parent’s permission. <a href=\""/#birth-control-finder\"">Click here to find a doctor who can help you figure out the best birth control for YOU.</a> ""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-finder\"">Tap here to scroll to the Clinic Map for a doctor or clinic near you.</a>""}],""nodes_visited"":[""node_31_1534798861866"",""node_22_1541092408596"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""There are so many reasons a woman might decide it’s time to get on birth control but mainly, it all comes down to taking control of your body. Whether you’re trying to prevent pregnancy, regulate your period, or even clear acne, birth control can help. If you’re thinking about starting birth control, talk to a doctor to find the best kind for you. "",""And don’t worry if you’re not ready to share your new decision with your parents, in New York, you can get birth control at any age without a parent’s permission. <a href=\""/#birth-control-finder\"">Click here to find a doctor who can help you figure out the best birth control for YOU.</a> "",""<a href=\""/#birth-control-finder\"">Tap here to scroll to the Clinic Map for a doctor or clinic near you.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""17d7f80b-6c6f-4935-9339-d733fba0c801""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_12_1541809118631"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[1,2,0,1,3,4]},""node_1_1540844990941"":{""0"":[0]},""node_22_1541092408596"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""91cb2399-1e3c-4741-8ed3-def6fcd9e6a8""},""input"":{""text"":""How likely is it to get pregnant on birth control""},""intents"":[{""intent"":""BC.benefits"",""confidence"":0.5577625751495361}],""entities"":[{""location"":[24,32],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[36,49],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""There are so many reasons a woman might decide it’s time to get on birth control but mainly, it all comes down to taking control of your body. Whether you’re trying to prevent pregnancy, regulate your period, or even clear acne, birth control can help. If you’re thinking about starting birth control, talk to a doctor to find the best kind for you. "",""userId"":""17d7f80b-6c6f-4935-9339-d733fba0c801"",""intent"":{""name"":""BC.benefits"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.benefits",false
"2019-12-11T20:28:33.118Z","I’m on birth control how likely is it to get pregnant well on the pill","{""userId"":""17d7f80b-6c6f-4935-9339-d733fba0c801"",""text"":""I’m on birth control how likely is it to get pregnant well on the pill""}",,true
"2019-12-11T20:28:33.592Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""17d7f80b-6c6f-4935-9339-d733fba0c801"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
