"Date","Text","Message JSON","Intent","Incoming"
"2019-12-12T22:02:49.588Z",,"{""userId"":""234a6d4a-37ce-4672-b4a9-bb3eb33a9054""}",,true
"2019-12-12T22:02:49.588Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""234a6d4a-37ce-4672-b4a9-bb3eb33a9054"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""234a6d4a-37ce-4672-b4a9-bb3eb33a9054""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e717dc8f-2397-4478-bf00-8c31d4545462""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-12T22:03:12.308Z","I have the flu","{""userId"":""234a6d4a-37ce-4672-b4a9-bb3eb33a9054"",""text"":""I have the flu""}",,true
"2019-12-12T22:03:12.654Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""234a6d4a-37ce-4672-b4a9-bb3eb33a9054"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2019-12-12T22:03:12.292Z","If you know you have an STD, the sooner you tell your partner the better so that they can take care of their health. If STDs are left untreated, they can lead to serious lifelong health problems and even death. Tell them in whatever way you are most comfortable with. Keep in mind they might react negatively so try telling them in a calm, quiet place where you can talk.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you know you have an STD, the sooner you tell your partner the better so that they can take care of their health. If STDs are left untreated, they can lead to serious lifelong health problems and even death. Tell them in whatever way you are most comfortable with. Keep in mind they might react negatively so try telling them in a calm, quiet place where you can talk.""}],""nodes_visited"":[""node_1_1541103168854""],""text"":[""If you know you have an STD, the sooner you tell your partner the better so that they can take care of their health. If STDs are left untreated, they can lead to serious lifelong health problems and even death. Tell them in whatever way you are most comfortable with. Keep in mind they might react negatively so try telling them in a calm, quiet place where you can talk.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""234a6d4a-37ce-4672-b4a9-bb3eb33a9054""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_1_1541103168854"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e717dc8f-2397-4478-bf00-8c31d4545462""},""input"":{""text"":""I have the flu""},""intents"":[{""intent"":""STDs.telling.others"",""confidence"":0.3448910117149353}],""alternate_intents"":false},""text"":""If you know you have an STD, the sooner you tell your partner the better so that they can take care of their health. If STDs are left untreated, they can lead to serious lifelong health problems and even death. Tell them in whatever way you are most comfortable with. Keep in mind they might react negatively so try telling them in a calm, quiet place where you can talk."",""userId"":""234a6d4a-37ce-4672-b4a9-bb3eb33a9054"",""intent"":{""name"":""STDs.telling.others""}}","STDs.telling.others",false
"2019-12-12T22:03:12.667Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""234a6d4a-37ce-4672-b4a9-bb3eb33a9054""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_1_1541103168854"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e717dc8f-2397-4478-bf00-8c31d4545462""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""234a6d4a-37ce-4672-b4a9-bb3eb33a9054"",""intent"":{""name"":""unknown""}}","unknown",false
"2019-12-12T22:03:29.658Z","I want kids and I’m only 13","{""userId"":""234a6d4a-37ce-4672-b4a9-bb3eb33a9054"",""text"":""I want kids and I’m only 13""}",,true
"2019-12-12T22:03:29.641Z","Oh no, I didn't understand that question. Can you rephrase? ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Oh no, I didn't understand that question. Can you rephrase? ""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""Oh no, I didn't understand that question. Can you rephrase? ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""234a6d4a-37ce-4672-b4a9-bb3eb33a9054""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_2_1540920316188"":{""0"":[0,3,0,1,5,2,4]},""node_1_1541103168854"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e717dc8f-2397-4478-bf00-8c31d4545462""},""input"":{""text"":""I want kids and I’m only 13""},""entities"":[{""location"":[25,27],""metadata"":{""numeric_value"":13},""value"":""13"",""entity"":""sys-number"",""confidence"":1}],""alternate_intents"":false},""text"":""Oh no, I didn't understand that question. Can you rephrase? "",""userId"":""234a6d4a-37ce-4672-b4a9-bb3eb33a9054"",""intent"":{""inputs"":[{""name"":""sys-number"",""value"":""13""}]}}",,false
"2019-12-12T22:03:46.427Z","I’m too young to have kids why do I want them ","{""userId"":""234a6d4a-37ce-4672-b4a9-bb3eb33a9054"",""text"":""I’m too young to have kids why do I want them ""}",,true
"2019-12-12T22:03:46.439Z","Sorry, I didn't get that. Can you try rewording? ","{""userId"":""234a6d4a-37ce-4672-b4a9-bb3eb33a9054"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Sorry, I didn't get that. Can you try rewording? ""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""Sorry, I didn't get that. Can you try rewording? ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""234a6d4a-37ce-4672-b4a9-bb3eb33a9054""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_2_1540920316188"":{""0"":[1,3,0,1,5,2,4]},""node_1_1541103168854"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e717dc8f-2397-4478-bf00-8c31d4545462""},""input"":{""text"":""I’m too young to have kids why do I want them ""},""alternate_intents"":false},""text"":""Sorry, I didn't get that. Can you try rewording? ""}",,false
