"Date","Text","Message JSON","Intent","Incoming"
"2019-12-13T02:59:22.107Z",,"{""userId"":""44fee247-51d9-41b0-a9ba-93adc68f59f2""}",,true
"2019-12-13T02:59:22.107Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""44fee247-51d9-41b0-a9ba-93adc68f59f2"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""44fee247-51d9-41b0-a9ba-93adc68f59f2""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f719707b-ab25-4c2e-8c20-bbd2121912c3""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-13T02:59:34.526Z","Hey","{""userId"":""44fee247-51d9-41b0-a9ba-93adc68f59f2"",""text"":""Hey""}",,true
"2019-12-13T02:59:34.515Z","Heyyy girl! Have any questions about birth control? Just ask and I got you!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Heyyy girl! Have any questions about birth control? Just ask and I got you!""}],""nodes_visited"":[""node_12_1539832480514"",""node_12_1542240270828""],""text"":[""Heyyy girl! Have any questions about birth control? Just ask and I got you!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""44fee247-51d9-41b0-a9ba-93adc68f59f2""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1542240270828"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f719707b-ab25-4c2e-8c20-bbd2121912c3""},""input"":{""text"":""Hey""},""intents"":[{""intent"":""Hey"",""confidence"":1}],""alternate_intents"":false},""text"":""Heyyy girl! Have any questions about birth control? Just ask and I got you!"",""userId"":""44fee247-51d9-41b0-a9ba-93adc68f59f2"",""intent"":{""name"":""Hey""}}","Hey",false
"2019-12-13T02:59:56.506Z","Yes","{""userId"":""44fee247-51d9-41b0-a9ba-93adc68f59f2"",""text"":""Yes""}",,true
"2019-12-13T02:59:56.529Z","Sorry, I didn't get that. Can you try rewording? ","{""userId"":""44fee247-51d9-41b0-a9ba-93adc68f59f2"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Sorry, I didn't get that. Can you try rewording? ""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""Sorry, I didn't get that. Can you try rewording? ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""44fee247-51d9-41b0-a9ba-93adc68f59f2""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_2_1540920316188"":{""0"":[0,0,4,3,1,2,5]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1542240270828"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f719707b-ab25-4c2e-8c20-bbd2121912c3""},""input"":{""text"":""Yes""},""alternate_intents"":false},""text"":""Sorry, I didn't get that. Can you try rewording? ""}",,false
"2019-12-13T03:01:00.082Z","I you going to. Answer all my questions ","{""userId"":""44fee247-51d9-41b0-a9ba-93adc68f59f2"",""text"":""I you going to. Answer all my questions ""}",,true
"2019-12-13T03:01:00.082Z","You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?"" What questions do you have?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?""}],""nodes_visited"":[""node_2_1538498632782"",""node_8_1541456654510""],""text"":[""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""44fee247-51d9-41b0-a9ba-93adc68f59f2""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_2_1540920316188"":{""0"":[0,0,4,3,1,2,5]},""node_8_1541456654510"":{""0"":[0]},""node_12_1542240270828"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f719707b-ab25-4c2e-8c20-bbd2121912c3""},""input"":{""text"":""I you going to. Answer all my questions ""},""intents"":[{""intent"":""What.To.Ask.Bot"",""confidence"":0.594310712814331}],""alternate_intents"":false},""text"":""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?"",""userId"":""44fee247-51d9-41b0-a9ba-93adc68f59f2"",""intent"":{""name"":""What.To.Ask.Bot""}}","What.To.Ask.Bot",false
"2019-12-13T03:01:19.286Z","About sex","{""userId"":""44fee247-51d9-41b0-a9ba-93adc68f59f2"",""text"":""About sex""}",,true
"2019-12-13T03:01:19.273Z","Sex is one of those things where EVERYONE has their own opinion on what it means to them. If we’re talking technically though, different kinds of sex have different meanings.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Sex is one of those things where EVERYONE has their own opinion on what it means to them. If we’re talking technically though, different kinds of sex have different meanings.""},{""response_type"":""text"",""text"":""Oral sex (giving head or a blow job) is when you use your mouth on someone’s vagina or penis. Anal sex is when a penis enters the butt. And sex (which your doctor might call sexual intercourse) is when a penis enters the vagina. All sex, all different kinds of ways to do it. ""}],""nodes_visited"":[""node_9_1535648906411"",""node_8_1542402954441""],""text"":[""Sex is one of those things where EVERYONE has their own opinion on what it means to them. If we’re talking technically though, different kinds of sex have different meanings."",""Oral sex (giving head or a blow job) is when you use your mouth on someone’s vagina or penis. Anal sex is when a penis enters the butt. And sex (which your doctor might call sexual intercourse) is when a penis enters the vagina. All sex, all different kinds of ways to do it. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""44fee247-51d9-41b0-a9ba-93adc68f59f2""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_2_1540920316188"":{""0"":[0,0,4,3,1,2,5]},""node_8_1541456654510"":{""0"":[0]},""node_12_1542240270828"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542402954441"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f719707b-ab25-4c2e-8c20-bbd2121912c3""},""input"":{""text"":""About sex""},""intents"":[{""intent"":""def_sex"",""confidence"":0.7885364532470704}],""entities"":[{""location"":[6,9],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""Sex is one of those things where EVERYONE has their own opinion on what it means to them. If we’re talking technically though, different kinds of sex have different meanings."",""userId"":""44fee247-51d9-41b0-a9ba-93adc68f59f2"",""intent"":{""name"":""def_sex"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","def_sex",false
