"Date","Text","Message JSON","Intent","Incoming"
"2019-12-30T14:56:41.877Z",,"{""userId"":""4f552424-556e-426f-9e10-6654cbe3fe8c""}",,true
"2019-12-30T14:56:41.873Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""4f552424-556e-426f-9e10-6654cbe3fe8c"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4f552424-556e-426f-9e10-6654cbe3fe8c""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""a36f6126-ac7e-44c6-8d01-36fcc0d8902c""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-30T14:57:00.280Z","Im hurt","{""userId"":""4f552424-556e-426f-9e10-6654cbe3fe8c"",""text"":""Im hurt""}",,true
"2019-12-30T14:57:00.554Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""4f552424-556e-426f-9e10-6654cbe3fe8c"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2019-12-30T14:57:00.264Z","I’ll be honest, getting the IUD can be pretty uncomfortable for some people BUT, other people are perfectly fine. It really just depends on the person.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I’ll be honest, getting the IUD can be pretty uncomfortable for some people BUT, other people are perfectly fine. It really just depends on the person.""},{""response_type"":""text"",""text"":""If you know you’re sensitive to pain, take a Tylenol before your procedure. If you do feel anything, it should only be mild cramps or back pain and it’ll go away pretty fast and once it's done, you’re protected against pregnancy for YEARS. ""}],""nodes_visited"":[""node_31_1534973793065"",""node_70_1542152993222""],""text"":[""I’ll be honest, getting the IUD can be pretty uncomfortable for some people BUT, other people are perfectly fine. It really just depends on the person."",""If you know you’re sensitive to pain, take a Tylenol before your procedure. If you do feel anything, it should only be mild cramps or back pain and it’ll go away pretty fast and once it's done, you’re protected against pregnancy for YEARS. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4f552424-556e-426f-9e10-6654cbe3fe8c""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_70_1542152993222"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""a36f6126-ac7e-44c6-8d01-36fcc0d8902c""},""input"":{""text"":""Im hurt""},""intents"":[{""intent"":""IUD.insert.pain"",""confidence"":0.28802480836013733}],""alternate_intents"":false},""text"":""I’ll be honest, getting the IUD can be pretty uncomfortable for some people BUT, other people are perfectly fine. It really just depends on the person."",""userId"":""4f552424-556e-426f-9e10-6654cbe3fe8c"",""intent"":{""name"":""IUD.insert.pain""}}","IUD.insert.pain",false
"2019-12-30T14:57:00.564Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4f552424-556e-426f-9e10-6654cbe3fe8c""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_70_1542152993222"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""a36f6126-ac7e-44c6-8d01-36fcc0d8902c""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""4f552424-556e-426f-9e10-6654cbe3fe8c"",""intent"":{""name"":""unknown""}}","unknown",false
"2019-12-30T14:57:14.907Z","I got my break heart","{""userId"":""4f552424-556e-426f-9e10-6654cbe3fe8c"",""text"":""I got my break heart""}",,true
"2019-12-30T14:57:14.891Z","Everybody is different, and we all react to birth control differently. Birth control pills are the only type of birth control that is proven to clear up your skin. Make sure you get one with estrogen and progestin because these are the hormones that work to clear acne. Some girls might notice that they're breaking out on birth control. If you’re worried though, definitely talk to you doctor and let them know. They can give you more info and suggest the best type of birth control for you.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Everybody is different, and we all react to birth control differently. Birth control pills are the only type of birth control that is proven to clear up your skin. Make sure you get one with estrogen and progestin because these are the hormones that work to clear acne. Some girls might notice that they're breaking out on birth control. If you’re worried though, definitely talk to you doctor and let them know. They can give you more info and suggest the best type of birth control for you.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Want more info on different birth control options? Tap here to scroll to a list of birth control options.</a> ""}],""nodes_visited"":[""node_8_1534540041810"",""node_67_1542678547190"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""Everybody is different, and we all react to birth control differently. Birth control pills are the only type of birth control that is proven to clear up your skin. Make sure you get one with estrogen and progestin because these are the hormones that work to clear acne. Some girls might notice that they're breaking out on birth control. If you’re worried though, definitely talk to you doctor and let them know. They can give you more info and suggest the best type of birth control for you."",""<a href=\""/#birth-control-types\"">Want more info on different birth control options? Tap here to scroll to a list of birth control options.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4f552424-556e-426f-9e10-6654cbe3fe8c""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_70_1542152993222"":{""0"":[0],""1"":[0]},""node_67_1542678547190"":{""0"":[0]},""node_1_1544810991157"":{""1"":[0,1,3,6,0,2,5,4]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""a36f6126-ac7e-44c6-8d01-36fcc0d8902c""},""input"":{""text"":""I got my break heart""},""intents"":[{""intent"":""BC.acne"",""confidence"":0.44618892669677734}],""alternate_intents"":false},""text"":""Everybody is different, and we all react to birth control differently. Birth control pills are the only type of birth control that is proven to clear up your skin. Make sure you get one with estrogen and progestin because these are the hormones that work to clear acne. Some girls might notice that they're breaking out on birth control. If you’re worried though, definitely talk to you doctor and let them know. They can give you more info and suggest the best type of birth control for you."",""userId"":""4f552424-556e-426f-9e10-6654cbe3fe8c"",""intent"":{""name"":""BC.acne""}}","BC.acne",false
"2019-12-30T14:57:15.187Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""4f552424-556e-426f-9e10-6654cbe3fe8c"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2019-12-30T14:57:15.199Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4f552424-556e-426f-9e10-6654cbe3fe8c""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_70_1542152993222"":{""0"":[0],""1"":[0]},""node_67_1542678547190"":{""0"":[0]},""node_1_1544810991157"":{""1"":[0,1,3,6,0,2,5,4]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""a36f6126-ac7e-44c6-8d01-36fcc0d8902c""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""4f552424-556e-426f-9e10-6654cbe3fe8c"",""intent"":{""name"":""unknown""}}","unknown",false
"2019-12-30T14:57:19.152Z","Wyd","{""userId"":""4f552424-556e-426f-9e10-6654cbe3fe8c"",""text"":""Wyd""}",,true
