"Date","Text","Message JSON","Intent","Incoming"
"2019-12-12T22:40:38.189Z",,"{""userId"":""5cce1285-62e2-4483-849c-1c79ac1c60bd""}",,true
"2019-12-12T22:40:38.191Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""5cce1285-62e2-4483-849c-1c79ac1c60bd"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""5cce1285-62e2-4483-849c-1c79ac1c60bd""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""5dbff00a-2760-4e3d-9894-72d883783719""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-12T22:40:44.797Z","Hi","{""userId"":""5cce1285-62e2-4483-849c-1c79ac1c60bd"",""text"":""Hi""}",,true
"2019-12-12T22:40:44.782Z","Heyyy girl! Have any questions about birth control? Just ask and I got you!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Heyyy girl! Have any questions about birth control? Just ask and I got you!""}],""nodes_visited"":[""node_12_1539832480514"",""node_12_1542240270828""],""text"":[""Heyyy girl! Have any questions about birth control? Just ask and I got you!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""5cce1285-62e2-4483-849c-1c79ac1c60bd""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1542240270828"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""5dbff00a-2760-4e3d-9894-72d883783719""},""input"":{""text"":""Hi""},""intents"":[{""intent"":""Hey"",""confidence"":1}],""alternate_intents"":false},""text"":""Heyyy girl! Have any questions about birth control? Just ask and I got you!"",""userId"":""5cce1285-62e2-4483-849c-1c79ac1c60bd"",""intent"":{""name"":""Hey""}}","Hey",false
"2019-12-12T22:40:58.110Z","Not about birth control ","{""userId"":""5cce1285-62e2-4483-849c-1c79ac1c60bd"",""text"":""Not about birth control ""}",,true
"2019-12-12T22:40:58.715Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""5cce1285-62e2-4483-849c-1c79ac1c60bd"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2019-12-12T22:40:58.124Z","Everybody is different so it’s hard to say which is the best type of control. But if I’m keeping it real, the one that takes the least amount of work is good for me! If you’re a one and done kind of girl, the implant or the IUD are the easiest because once they’re in, you’re protected for YEARS.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Everybody is different so it’s hard to say which is the best type of control. But if I’m keeping it real, the one that takes the least amount of work is good for me! If you’re a one and done kind of girl, the implant or the IUD are the easiest because once they’re in, you’re protected for YEARS.""},{""response_type"":""text"",""text"":""Want more info about birth control options that you don't have to remember to take everyday? <a target=\""_blank\"" href=\"" https://laylasgotyou.com/layla-blog/2019/1/21/forget-about-it-birth-control-for-the-busy-girl\"">Check out this blog. </a>""}],""nodes_visited"":[""node_47_1534805732512"",""node_41_1542675352846"",""node_6_1576092807048""],""text"":[""Everybody is different so it’s hard to say which is the best type of control. But if I’m keeping it real, the one that takes the least amount of work is good for me! If you’re a one and done kind of girl, the implant or the IUD are the easiest because once they’re in, you’re protected for YEARS."",""Want more info about birth control options that you don't have to remember to take everyday? <a target=\""_blank\"" href=\"" https://laylasgotyou.com/layla-blog/2019/1/21/forget-about-it-birth-control-for-the-busy-girl\"">Check out this blog. </a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""5cce1285-62e2-4483-849c-1c79ac1c60bd""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_41_1542675352846"":{""0"":[0]},""node_12_1542240270828"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_6_1576092807048"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""5dbff00a-2760-4e3d-9894-72d883783719""},""input"":{""text"":""Not about birth control ""},""intents"":[{""intent"":""BC.easiest"",""confidence"":0.3408223032951355}],""entities"":[{""location"":[10,23],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Everybody is different so it’s hard to say which is the best type of control. But if I’m keeping it real, the one that takes the least amount of work is good for me! If you’re a one and done kind of girl, the implant or the IUD are the easiest because once they’re in, you’re protected for YEARS."",""userId"":""5cce1285-62e2-4483-849c-1c79ac1c60bd"",""intent"":{""name"":""BC.easiest"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.easiest",false
"2019-12-12T22:40:58.699Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""5cce1285-62e2-4483-849c-1c79ac1c60bd""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_41_1542675352846"":{""0"":[0]},""node_12_1542240270828"":{""0"":[0,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_6_1576092807048"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""5dbff00a-2760-4e3d-9894-72d883783719""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""5cce1285-62e2-4483-849c-1c79ac1c60bd"",""intent"":{""name"":""unknown""}}","unknown",false
"2019-12-12T22:41:19.055Z","Its nothing about birth control ","{""userId"":""5cce1285-62e2-4483-849c-1c79ac1c60bd"",""text"":""Its nothing about birth control ""}",,true
"2019-12-12T22:41:19.448Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""5cce1285-62e2-4483-849c-1c79ac1c60bd"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
