"Date","Text","Message JSON","Intent","Incoming"
"2019-12-15T05:24:19.224Z",,"{""userId"":""899123b7-a37b-4a29-a62e-50d994b82308""}",,true
"2019-12-15T05:24:19.225Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""899123b7-a37b-4a29-a62e-50d994b82308"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""899123b7-a37b-4a29-a62e-50d994b82308""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""aaa90a1a-5a3a-4d5d-a8a2-a7f9bbcd4bbe""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-15T05:24:39.401Z","can i get an std from oral sex","{""userId"":""899123b7-a37b-4a29-a62e-50d994b82308"",""text"":""can i get an std from oral sex""}",,true
"2019-12-15T05:24:39.934Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""899123b7-a37b-4a29-a62e-50d994b82308"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2019-12-15T05:24:39.389Z","If you're worried about getting pregnant, oral sex is definitely safer than penetration - as far as pregnancy goes. Sperm needs to get inside the vagina to get pregnant, so if your man isn’t coming inside you, you’re good. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you're worried about getting pregnant, oral sex is definitely safer than penetration - as far as pregnancy goes. Sperm needs to get inside the vagina to get pregnant, so if your man isn’t coming inside you, you’re good. ""},{""response_type"":""text"",""text"":""BUT, don’t forget that you can get STDs from oral sex so it’s still best to use condoms and get tested regularly.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-finder\"">Tap here to go to the Clinic Finder for a doctor or clinic that does STD testing.</a>""}],""nodes_visited"":[""node_42_1535590072483"",""node_18_1542139700171"",""node_3_1539898287949"",""node_3_1544736891698""],""text"":[""If you're worried about getting pregnant, oral sex is definitely safer than penetration - as far as pregnancy goes. Sperm needs to get inside the vagina to get pregnant, so if your man isn’t coming inside you, you’re good. "",""BUT, don’t forget that you can get STDs from oral sex so it’s still best to use condoms and get tested regularly."",""<a href=\""/#birth-control-finder\"">Tap here to go to the Clinic Finder for a doctor or clinic that does STD testing.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""899123b7-a37b-4a29-a62e-50d994b82308""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1542139700171"":{""0"":[0],""1"":[0]},""node_3_1544736891698"":{""1"":[0,2,0,4,1,3,5]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""aaa90a1a-5a3a-4d5d-a8a2-a7f9bbcd4bbe""},""input"":{""text"":""can i get an std from oral sex""},""intents"":[{""intent"":""Oral.safer.than.vaginal.inquiry"",""confidence"":0.4799464464187622}],""entities"":[{""location"":[13,16],""value"":""STD"",""entity"":""STD"",""confidence"":1},{""location"":[22,30],""value"":""Oral Sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""If you're worried about getting pregnant, oral sex is definitely safer than penetration - as far as pregnancy goes. Sperm needs to get inside the vagina to get pregnant, so if your man isn’t coming inside you, you’re good. "",""userId"":""899123b7-a37b-4a29-a62e-50d994b82308"",""intent"":{""name"":""Oral.safer.than.vaginal.inquiry"",""inputs"":[{""name"":""STD"",""value"":""STD""},{""name"":""Sex"",""value"":""Oral Sex""}]}}","Oral.safer.than.vaginal.inquiry",false
"2019-12-15T05:24:39.949Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""899123b7-a37b-4a29-a62e-50d994b82308""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1542139700171"":{""0"":[0],""1"":[0]},""node_3_1544736891698"":{""1"":[0,2,0,4,1,3,5]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""aaa90a1a-5a3a-4d5d-a8a2-a7f9bbcd4bbe""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""899123b7-a37b-4a29-a62e-50d994b82308"",""intent"":{""name"":""unknown""}}","unknown",false
"2019-12-15T05:24:48.788Z","oral sex std","{""userId"":""899123b7-a37b-4a29-a62e-50d994b82308"",""text"":""oral sex std""}",,true
"2019-12-15T05:24:48.775Z","While you can’t get pregnant from oral sex, you can definitely still get an STD. Wild right? I know it sounds crazy to think but, if you’re going down on your guy and you're worried about STDs, you should still be using a condom. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""While you can’t get pregnant from oral sex, you can definitely still get an STD. Wild right? I know it sounds crazy to think but, if you’re going down on your guy and you're worried about STDs, you should still be using a condom. ""},{""response_type"":""text"",""text"":""It’s the only way to protect yourself from getting a STD. And I mean hey, they do have some cool flavors available so it’s not all bad 😉.""}],""nodes_visited"":[""node_23_1535658568329"",""node_12_1541550307564""],""text"":[""While you can’t get pregnant from oral sex, you can definitely still get an STD. Wild right? I know it sounds crazy to think but, if you’re going down on your guy and you're worried about STDs, you should still be using a condom. "",""It’s the only way to protect yourself from getting a STD. And I mean hey, they do have some cool flavors available so it’s not all bad 😉.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""899123b7-a37b-4a29-a62e-50d994b82308""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_12_1541550307564"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1542139700171"":{""0"":[0],""1"":[0]},""node_3_1544736891698"":{""1"":[0,2,0,4,1,3,5]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""aaa90a1a-5a3a-4d5d-a8a2-a7f9bbcd4bbe""},""input"":{""text"":""oral sex std""},""intents"":[{""intent"":""STDs.oral.sex"",""confidence"":0.8102960109710693}],""entities"":[{""location"":[0,8],""value"":""Oral Sex"",""entity"":""Sex"",""confidence"":1},{""location"":[9,12],""value"":""STD"",""entity"":""STD"",""confidence"":1}],""alternate_intents"":false},""text"":""While you can’t get pregnant from oral sex, you can definitely still get an STD. Wild right? I know it sounds crazy to think but, if you’re going down on your guy and you're worried about STDs, you should still be using a condom. "",""userId"":""899123b7-a37b-4a29-a62e-50d994b82308"",""intent"":{""name"":""STDs.oral.sex"",""inputs"":[{""name"":""Sex"",""value"":""Oral Sex""},{""name"":""STD"",""value"":""STD""}]}}","STDs.oral.sex",false
"2019-12-15T05:25:14.103Z","how to protect yourself during oral se","{""userId"":""899123b7-a37b-4a29-a62e-50d994b82308"",""text"":""how to protect yourself during oral se""}",,true
"2019-12-15T05:25:14.393Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""899123b7-a37b-4a29-a62e-50d994b82308"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
