"Date","Text","Message JSON","Intent","Incoming"
"2019-12-25T16:13:07.407Z",,"{""userId"":""a3928ab5-3a4a-4763-b8d8-135b2d8b739a""}",,true
"2019-12-25T16:13:07.408Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""a3928ab5-3a4a-4763-b8d8-135b2d8b739a"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a3928ab5-3a4a-4763-b8d8-135b2d8b739a""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""4119a238-17ed-4115-bdcf-fd5b042fec6a""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-25T16:14:10.068Z","I been trying to get pregnant  for so long & had been trying still but it still doesn’t success. Can I get any trips to get pregnant ","{""userId"":""a3928ab5-3a4a-4763-b8d8-135b2d8b739a"",""text"":""I been trying to get pregnant  for so long & had been trying still but it still doesn’t success. Can I get any trips to get pregnant ""}",,true
"2019-12-25T16:14:10.399Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""a3928ab5-3a4a-4763-b8d8-135b2d8b739a"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2019-12-25T16:14:10.068Z","So you need a prescription to get the pill BUT you might be able to get it online too. All you need to do is answer a few questions and maybe meet with a doctor online to get yours. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""So you need a prescription to get the pill BUT you might be able to get it online too. All you need to do is answer a few questions and maybe meet with a doctor online to get yours. ""},{""response_type"":""text"",""text"":""Check out these websites to find online birth control: <a target=\""_blank\"" href=\""https://www.prjktruby.com/\"">Prjkt Ruby</a>, <a target=\""_blank\"" href=\""https://thepillclub.com/main/\"">The Pill Club</a>, or <a target=\""_blank\"" href=\""https://app.nurx.com/oc/category/\"">Nurx</a>. And you can always talk to a doctor in person if you have questions.""},{""typing"":true,""response_type"":""pause"",""time"":3200},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-finder\"">Tap here to go to the Clinic Map for more info on doctors or clinics near you where you can get the pill.</a>""},{""response_type"":""text"",""text"":""Or, ask me another question.""}],""nodes_visited"":[""node_26_1535397548191"",""node_34_1541722403717""],""text"":[""So you need a prescription to get the pill BUT you might be able to get it online too. All you need to do is answer a few questions and maybe meet with a doctor online to get yours. "",""Check out these websites to find online birth control: <a target=\""_blank\"" href=\""https://www.prjktruby.com/\"">Prjkt Ruby</a>, <a target=\""_blank\"" href=\""https://thepillclub.com/main/\"">The Pill Club</a>, or <a target=\""_blank\"" href=\""https://app.nurx.com/oc/category/\"">Nurx</a>. And you can always talk to a doctor in person if you have questions."",""<a href=\""/#birth-control-finder\"">Tap here to go to the Clinic Map for more info on doctors or clinics near you where you can get the pill.</a>"",""Or, ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a3928ab5-3a4a-4763-b8d8-135b2d8b739a""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_34_1541722403717"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""4119a238-17ed-4115-bdcf-fd5b042fec6a""},""input"":{""text"":""I been trying to get pregnant  for so long & had been trying still but it still doesn’t success. Can I get any trips to get pregnant ""},""intents"":[{""intent"":""Pill.prescription"",""confidence"":0.3827409625053406}],""entities"":[{""location"":[21,29],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[124,132],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1}],""alternate_intents"":false},""text"":""So you need a prescription to get the pill BUT you might be able to get it online too. All you need to do is answer a few questions and maybe meet with a doctor online to get yours. "",""userId"":""a3928ab5-3a4a-4763-b8d8-135b2d8b739a"",""intent"":{""name"":""Pill.prescription"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Pregnant"",""value"":""pregnant""}]}}","Pill.prescription",false
"2019-12-25T16:14:10.384Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a3928ab5-3a4a-4763-b8d8-135b2d8b739a""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_34_1541722403717"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""4119a238-17ed-4115-bdcf-fd5b042fec6a""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""a3928ab5-3a4a-4763-b8d8-135b2d8b739a"",""intent"":{""name"":""unknown""}}","unknown",false
"2019-12-25T16:14:25.253Z","I want to get pregnant","{""userId"":""a3928ab5-3a4a-4763-b8d8-135b2d8b739a"",""text"":""I want to get pregnant""}",,true
"2019-12-25T16:14:25.544Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""a3928ab5-3a4a-4763-b8d8-135b2d8b739a"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2019-12-25T16:14:25.265Z","So, you need a prescription to get the patch BUT, you might be able to get it online too. All you need to do is answer a few questions and maybe meet with a doctor online. Check out these websites to find online birth control: <a target=""_blank"" href=""https://www.prjktruby.com/"">Prjkt Ruby</a>, <a target=""_blank"" href=""https://thepillclub.com/main/"">The Pill Club</a>, <a target=""_blank"" href=""https://app.nurx.com/oc/category/"">Nurx</a>, and <a target=""_blank"" href=""https://www.vagisil.com/products/preventeza-emergency-contraceptive/"">Vagisil</a>.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""So, you need a prescription to get the patch BUT, you might be able to get it online too. All you need to do is answer a few questions and maybe meet with a doctor online. Check out these websites to find online birth control: <a target=\""_blank\"" href=\""https://www.prjktruby.com/\"">Prjkt Ruby</a>, <a target=\""_blank\"" href=\""https://thepillclub.com/main/\"">The Pill Club</a>, <a target=\""_blank\"" href=\""https://app.nurx.com/oc/category/\"">Nurx</a>, and <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">Vagisil</a>.""},{""typing"":true,""response_type"":""pause"",""time"":2300},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-finder\"">Tap here to scroll to the Clinic Map for your nearest doctor or clinic where you can get the patch.</a>""},{""response_type"":""text"",""text"":""Or type another question.""}],""nodes_visited"":[""node_25_1535397381897"",""node_6_1542137183528""],""text"":[""So, you need a prescription to get the patch BUT, you might be able to get it online too. All you need to do is answer a few questions and maybe meet with a doctor online. Check out these websites to find online birth control: <a target=\""_blank\"" href=\""https://www.prjktruby.com/\"">Prjkt Ruby</a>, <a target=\""_blank\"" href=\""https://thepillclub.com/main/\"">The Pill Club</a>, <a target=\""_blank\"" href=\""https://app.nurx.com/oc/category/\"">Nurx</a>, and <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">Vagisil</a>."",""<a href=\""/#birth-control-finder\"">Tap here to scroll to the Clinic Map for your nearest doctor or clinic where you can get the patch.</a>"",""Or type another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a3928ab5-3a4a-4763-b8d8-135b2d8b739a""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_34_1541722403717"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_6_1542137183528"":{""0"":[0],""2"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""4119a238-17ed-4115-bdcf-fd5b042fec6a""},""input"":{""text"":""I want to get pregnant""},""intents"":[{""intent"":""Patch.prescription"",""confidence"":0.3692568421363831}],""entities"":[{""location"":[14,22],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1}],""alternate_intents"":false},""text"":""So, you need a prescription to get the patch BUT, you might be able to get it online too. All you need to do is answer a few questions and maybe meet with a doctor online. Check out these websites to find online birth control: <a target=\""_blank\"" href=\""https://www.prjktruby.com/\"">Prjkt Ruby</a>, <a target=\""_blank\"" href=\""https://thepillclub.com/main/\"">The Pill Club</a>, <a target=\""_blank\"" href=\""https://app.nurx.com/oc/category/\"">Nurx</a>, and <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">Vagisil</a>."",""userId"":""a3928ab5-3a4a-4763-b8d8-135b2d8b739a"",""intent"":{""name"":""Patch.prescription"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""}]}}","Patch.prescription",false
"2019-12-25T16:14:25.530Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a3928ab5-3a4a-4763-b8d8-135b2d8b739a""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_34_1541722403717"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_6_1542137183528"":{""0"":[0],""2"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""4119a238-17ed-4115-bdcf-fd5b042fec6a""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""a3928ab5-3a4a-4763-b8d8-135b2d8b739a"",""intent"":{""name"":""unknown""}}","unknown",false
