"Date","Text","Message JSON","Intent","Incoming"
"2019-12-14T23:51:24.718Z",,"{""userId"":""ad3d5d65-3170-41ef-86e6-9c5e00f30adb""}",,true
"2019-12-14T23:51:24.716Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""ad3d5d65-3170-41ef-86e6-9c5e00f30adb"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ad3d5d65-3170-41ef-86e6-9c5e00f30adb""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""964099aa-694d-479b-9f5f-5de7912b8f56""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-14T23:51:33.042Z","Whats up homie","{""userId"":""ad3d5d65-3170-41ef-86e6-9c5e00f30adb"",""text"":""Whats up homie""}",,true
"2019-12-14T23:51:33.025Z","Heyyy girl! Have any questions about birth control? Just ask and I got you!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Heyyy girl! Have any questions about birth control? Just ask and I got you!""}],""nodes_visited"":[""node_12_1539832480514"",""node_12_1542240270828""],""text"":[""Heyyy girl! Have any questions about birth control? Just ask and I got you!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ad3d5d65-3170-41ef-86e6-9c5e00f30adb""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1542240270828"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""964099aa-694d-479b-9f5f-5de7912b8f56""},""input"":{""text"":""Whats up homie""},""intents"":[{""intent"":""Hey"",""confidence"":0.9069567680358888}],""alternate_intents"":false},""text"":""Heyyy girl! Have any questions about birth control? Just ask and I got you!"",""userId"":""ad3d5d65-3170-41ef-86e6-9c5e00f30adb"",""intent"":{""name"":""Hey""}}","Hey",false
"2019-12-14T23:51:39.238Z","So many!","{""userId"":""ad3d5d65-3170-41ef-86e6-9c5e00f30adb"",""text"":""So many!""}",,true
"2019-12-14T23:51:39.504Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""ad3d5d65-3170-41ef-86e6-9c5e00f30adb"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2019-12-14T23:51:39.252Z","One of the many great things about being a girl - multiple orgasms! It's true, some girls can have more than orgasm in a session. That second (or third...) one might take some time, to make sure to relax. And if you can't have more than one, don't sweat it, and enjoy yourself!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""One of the many great things about being a girl - multiple orgasms! It's true, some girls can have more than orgasm in a session. That second (or third...) one might take some time, to make sure to relax. And if you can't have more than one, don't sweat it, and enjoy yourself!""}],""nodes_visited"":[""node_4_1556810107972""],""text"":[""One of the many great things about being a girl - multiple orgasms! It's true, some girls can have more than orgasm in a session. That second (or third...) one might take some time, to make sure to relax. And if you can't have more than one, don't sweat it, and enjoy yourself!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ad3d5d65-3170-41ef-86e6-9c5e00f30adb""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_4_1556810107972"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1542240270828"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""964099aa-694d-479b-9f5f-5de7912b8f56""},""input"":{""text"":""So many!""},""intents"":[{""intent"":""Orgasm.multiple"",""confidence"":0.44921553134918213}],""alternate_intents"":false},""text"":""One of the many great things about being a girl - multiple orgasms! It's true, some girls can have more than orgasm in a session. That second (or third...) one might take some time, to make sure to relax. And if you can't have more than one, don't sweat it, and enjoy yourself!"",""userId"":""ad3d5d65-3170-41ef-86e6-9c5e00f30adb"",""intent"":{""name"":""Orgasm.multiple""}}","Orgasm.multiple",false
"2019-12-14T23:51:39.488Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ad3d5d65-3170-41ef-86e6-9c5e00f30adb""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_4_1556810107972"":{""0"":[0]},""node_12_1542240270828"":{""0"":[0,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""964099aa-694d-479b-9f5f-5de7912b8f56""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""ad3d5d65-3170-41ef-86e6-9c5e00f30adb"",""intent"":{""name"":""unknown""}}","unknown",false
"2019-12-14T23:51:51.167Z","Are you single","{""userId"":""ad3d5d65-3170-41ef-86e6-9c5e00f30adb"",""text"":""Are you single""}",,true
"2019-12-14T23:51:51.179Z","LMAO! You’re cute. Alexa, play “All My Single Ladies.” 💃🏽","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""LMAO! You’re cute. Alexa, play “All My Single Ladies.” 💃🏽""}],""nodes_visited"":[""node_11_1536090736262"",""node_42_1542147188895""],""text"":[""LMAO! You’re cute. Alexa, play “All My Single Ladies.” 💃🏽""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ad3d5d65-3170-41ef-86e6-9c5e00f30adb""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_4_1556810107972"":{""0"":[0]},""node_12_1542240270828"":{""0"":[0,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_42_1542147188895"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""964099aa-694d-479b-9f5f-5de7912b8f56""},""input"":{""text"":""Are you single""},""intents"":[{""intent"":""Do.Me.Bot"",""confidence"":1}],""alternate_intents"":false},""text"":""LMAO! You’re cute. Alexa, play “All My Single Ladies.” 💃🏽"",""userId"":""ad3d5d65-3170-41ef-86e6-9c5e00f30adb"",""intent"":{""name"":""Do.Me.Bot""}}","Do.Me.Bot",false
"2019-12-14T23:51:58.548Z","You’re hot","{""userId"":""ad3d5d65-3170-41ef-86e6-9c5e00f30adb"",""text"":""You’re hot""}",,true
