"Date","Text","Message JSON","Intent","Incoming"
"2019-12-12T23:24:07.368Z",,"{""userId"":""ad978a48-8d25-49ca-b163-64cb3ddc620c""}",,true
"2019-12-12T23:24:07.366Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""ad978a48-8d25-49ca-b163-64cb3ddc620c"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ad978a48-8d25-49ca-b163-64cb3ddc620c""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ef275761-0147-4657-b031-7fc9ddab92ad""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-12T23:24:10.538Z","abusive relationshipo","{""userId"":""ad978a48-8d25-49ca-b163-64cb3ddc620c"",""text"":""abusive relationshipo""}",,true
"2019-12-12T23:24:10.525Z","If you're in an abusive relationship or if you are experiencing violence, it's important to get help as soon as possible. Call Ophelia's Place East at 315-451-5544, or stop by at 407 Tulip St in Liverpool, NY from 8am-4pm Monday-Friday. They're there to help people like you. You're not alone.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you're in an abusive relationship or if you are experiencing violence, it's important to get help as soon as possible. Call Ophelia's Place East at 315-451-5544, or stop by at 407 Tulip St in Liverpool, NY from 8am-4pm Monday-Friday. They're there to help people like you. You're not alone.""}],""nodes_visited"":[""node_2_1560532584699""],""text"":[""If you're in an abusive relationship or if you are experiencing violence, it's important to get help as soon as possible. Call Ophelia's Place East at 315-451-5544, or stop by at 407 Tulip St in Liverpool, NY from 8am-4pm Monday-Friday. They're there to help people like you. You're not alone.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ad978a48-8d25-49ca-b163-64cb3ddc620c""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1560532584699"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ef275761-0147-4657-b031-7fc9ddab92ad""},""input"":{""text"":""abusive relationshipo""},""intents"":[{""intent"":""abuse"",""confidence"":0.9570903778076172}],""alternate_intents"":false},""text"":""If you're in an abusive relationship or if you are experiencing violence, it's important to get help as soon as possible. Call Ophelia's Place East at 315-451-5544, or stop by at 407 Tulip St in Liverpool, NY from 8am-4pm Monday-Friday. They're there to help people like you. You're not alone."",""userId"":""ad978a48-8d25-49ca-b163-64cb3ddc620c"",""intent"":{""name"":""abuse""}}","abuse",false
"2019-12-12T23:24:15.404Z","my boyfriend hits me","{""userId"":""ad978a48-8d25-49ca-b163-64cb3ddc620c"",""text"":""my boyfriend hits me""}",,true
"2019-12-12T23:24:15.420Z","If you're in an abusive relationship or if you are experiencing violence, it's important to get help as soon as possible. Call Ophelia's Place East at 315-451-5544, or stop by at 407 Tulip St in Liverpool, NY from 8am-4pm Monday-Friday. They're there to help people like you. You're not alone.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you're in an abusive relationship or if you are experiencing violence, it's important to get help as soon as possible. Call Ophelia's Place East at 315-451-5544, or stop by at 407 Tulip St in Liverpool, NY from 8am-4pm Monday-Friday. They're there to help people like you. You're not alone.""}],""nodes_visited"":[""node_2_1560532584699""],""text"":[""If you're in an abusive relationship or if you are experiencing violence, it's important to get help as soon as possible. Call Ophelia's Place East at 315-451-5544, or stop by at 407 Tulip St in Liverpool, NY from 8am-4pm Monday-Friday. They're there to help people like you. You're not alone.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ad978a48-8d25-49ca-b163-64cb3ddc620c""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_2_1560532584699"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ef275761-0147-4657-b031-7fc9ddab92ad""},""input"":{""text"":""my boyfriend hits me""},""intents"":[{""intent"":""abuse"",""confidence"":1}],""entities"":[{""location"":[3,12],""value"":""Male"",""entity"":""Gender"",""confidence"":1}],""alternate_intents"":false},""text"":""If you're in an abusive relationship or if you are experiencing violence, it's important to get help as soon as possible. Call Ophelia's Place East at 315-451-5544, or stop by at 407 Tulip St in Liverpool, NY from 8am-4pm Monday-Friday. They're there to help people like you. You're not alone."",""userId"":""ad978a48-8d25-49ca-b163-64cb3ddc620c"",""intent"":{""name"":""abuse"",""inputs"":[{""name"":""Gender"",""value"":""Male""}]}}","abuse",false
"2019-12-12T23:25:41.515Z","i am depressed","{""userId"":""ad978a48-8d25-49ca-b163-64cb3ddc620c"",""text"":""i am depressed""}",,true
"2019-12-12T23:25:41.514Z","If you're not feelin great, you should definitely see a doctor especially if you think you might be pregnant.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you're not feelin great, you should definitely see a doctor especially if you think you might be pregnant.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">For more info on doctors or clinics near you, tap here to go to the Clinic Map.</a>""}],""nodes_visited"":[""node_2_1537562643656"",""node_8_1542239937021"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""If you're not feelin great, you should definitely see a doctor especially if you think you might be pregnant."",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">For more info on doctors or clinics near you, tap here to go to the Clinic Map.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ad978a48-8d25-49ca-b163-64cb3ddc620c""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_2_1560532584699"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,1,0,4,3,2]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542239937021"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ef275761-0147-4657-b031-7fc9ddab92ad""},""input"":{""text"":""i am depressed""},""intents"":[{""intent"":""I.Feel.Bad"",""confidence"":1}],""alternate_intents"":false},""text"":""If you're not feelin great, you should definitely see a doctor especially if you think you might be pregnant."",""userId"":""ad978a48-8d25-49ca-b163-64cb3ddc620c"",""intent"":{""name"":""I.Feel.Bad""}}","I.Feel.Bad",false
"2019-12-12T23:25:58.026Z","I want to kill myself","{""userId"":""ad978a48-8d25-49ca-b163-64cb3ddc620c"",""text"":""I want to kill myself""}",,true
"2019-12-12T23:25:58.012Z","I didn't understand - can you try rewording? ","{""userId"":""ad978a48-8d25-49ca-b163-64cb3ddc620c"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I didn't understand - can you try rewording? ""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""I didn't understand - can you try rewording? ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ad978a48-8d25-49ca-b163-64cb3ddc620c""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_2_1560532584699"":{""0"":[0]},""node_2_1540920316188"":{""0"":[0,2,4,3,5,0,1]},""node_3_1544835959501"":{""1"":[0,1,0,4,3,2]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542239937021"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ef275761-0147-4657-b031-7fc9ddab92ad""},""input"":{""text"":""I want to kill myself""},""alternate_intents"":false},""text"":""I didn't understand - can you try rewording? ""}",,false
