"Date","Text","Message JSON","Intent","Incoming"
"2019-12-11T21:34:16.263Z",,"{""userId"":""b2f6e7aa-b84c-441f-9dd7-5b0f51dd123b""}",,true
"2019-12-11T21:34:16.261Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""b2f6e7aa-b84c-441f-9dd7-5b0f51dd123b"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""b2f6e7aa-b84c-441f-9dd7-5b0f51dd123b""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ac507057-1649-4d5a-afa9-6d9a216a04a3""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-11T21:35:14.007Z","How easy is it to get birth contro","{""userId"":""b2f6e7aa-b84c-441f-9dd7-5b0f51dd123b"",""text"":""How easy is it to get birth contro""}",,true
"2019-12-11T21:35:14.020Z","Birth control is super easy to get. I know it sounds like a lot of work but seriously, it’s not that bad. There was a time when you could ONLY get it through your doctor but these days, you can get lots of different kinds online. Yes girl, online! Condoms, the pill, patch, ring, and even the morning after pill are available. You just need to answer a few questions and maybe meet with a doctor online and that’s it! Check out these websites to find online birth control: <a target=""_blank"" href=""https://www.prjktruby.com/"">Prjkt Ruby</a>, <a target=""_blank"" href=""https://thepillclub.com/main/"">The Pill Club</a>, <a target=""_blank"" href=""https://app.nurx.com/oc/category/"">Nurx</a>, and <a target=""_blank"" href=""https://www.vagisil.com/products/preventeza-emergency-contraceptive/"">Vagisil</a>.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Birth control is super easy to get. I know it sounds like a lot of work but seriously, it’s not that bad. There was a time when you could ONLY get it through your doctor but these days, you can get lots of different kinds online. Yes girl, online! Condoms, the pill, patch, ring, and even the morning after pill are available. You just need to answer a few questions and maybe meet with a doctor online and that’s it! Check out these websites to find online birth control: <a target=\""_blank\"" href=\""https://www.prjktruby.com/\"">Prjkt Ruby</a>, <a target=\""_blank\"" href=\""https://thepillclub.com/main/\"">The Pill Club</a>, <a target=\""_blank\"" href=\""https://app.nurx.com/oc/category/\"">Nurx</a>, and <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">Vagisil</a>.""},{""response_type"":""text"",""text"":""Now, if you want the IUD, shot, or the implant, only a doctor can do those so you’ll need to make an appointment if that’s what you want. And don’t forget, you can buy condoms anywhere. You can even get them for free at places like <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a> or <a target=\""_blank\"" href=\""http://www.smnfswcc.org/family-planning.aspx\"">Family Planning Service</a>.""},{""response_type"":""text"",""text"":""Want more info about how to make an appointment to get birth control? <a target=\""_blank\"" href=\""https://laylasgotyou.com/layla-blog/2018/12/30/sohow-do-i-make-a-doctors-appointment-for-birth-control\"">Click here to check out this blog.</a>""}],""nodes_visited"":[""node_11_1534788284463"",""node_22_1542671356223"",""node_6_1576089694138""],""text"":[""Birth control is super easy to get. I know it sounds like a lot of work but seriously, it’s not that bad. There was a time when you could ONLY get it through your doctor but these days, you can get lots of different kinds online. Yes girl, online! Condoms, the pill, patch, ring, and even the morning after pill are available. You just need to answer a few questions and maybe meet with a doctor online and that’s it! Check out these websites to find online birth control: <a target=\""_blank\"" href=\""https://www.prjktruby.com/\"">Prjkt Ruby</a>, <a target=\""_blank\"" href=\""https://thepillclub.com/main/\"">The Pill Club</a>, <a target=\""_blank\"" href=\""https://app.nurx.com/oc/category/\"">Nurx</a>, and <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">Vagisil</a>."",""Now, if you want the IUD, shot, or the implant, only a doctor can do those so you’ll need to make an appointment if that’s what you want. And don’t forget, you can buy condoms anywhere. You can even get them for free at places like <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a> or <a target=\""_blank\"" href=\""http://www.smnfswcc.org/family-planning.aspx\"">Family Planning Service</a>."",""Want more info about how to make an appointment to get birth control? <a target=\""_blank\"" href=\""https://laylasgotyou.com/layla-blog/2018/12/30/sohow-do-i-make-a-doctors-appointment-for-birth-control\"">Click here to check out this blog.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""b2f6e7aa-b84c-441f-9dd7-5b0f51dd123b""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_6_1576089694138"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_22_1542671356223"":{""0"":[0],""1"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ac507057-1649-4d5a-afa9-6d9a216a04a3""},""input"":{""text"":""How easy is it to get birth contro""},""intents"":[{""intent"":""BC.how.get"",""confidence"":0.7224493026733398}],""alternate_intents"":false},""text"":""Birth control is super easy to get. I know it sounds like a lot of work but seriously, it’s not that bad. There was a time when you could ONLY get it through your doctor but these days, you can get lots of different kinds online. Yes girl, online! Condoms, the pill, patch, ring, and even the morning after pill are available. You just need to answer a few questions and maybe meet with a doctor online and that’s it! Check out these websites to find online birth control: <a target=\""_blank\"" href=\""https://www.prjktruby.com/\"">Prjkt Ruby</a>, <a target=\""_blank\"" href=\""https://thepillclub.com/main/\"">The Pill Club</a>, <a target=\""_blank\"" href=\""https://app.nurx.com/oc/category/\"">Nurx</a>, and <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">Vagisil</a>."",""userId"":""b2f6e7aa-b84c-441f-9dd7-5b0f51dd123b"",""intent"":{""name"":""BC.how.get""}}","BC.how.get",false
"2019-12-11T21:35:33.056Z","What are the requirements to get birth control","{""userId"":""b2f6e7aa-b84c-441f-9dd7-5b0f51dd123b"",""text"":""What are the requirements to get birth control""}",,true
"2019-12-11T21:35:33.057Z","Birth control is super easy to get. And you don’t even need your parent’s permission to get it! Check out <a target=""_blank"" href=""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/"">Planned Parenthood</a> or <a target=""_blank"" href=""http://www.smnfswcc.org/family-planning.aspx"">Family Planning Service</a>. Bring ID (school ID, permit, or license works), your insurance card if you have it, or monthly income/school schedule if you don’t. That’s it. They’ll help you out and get you what you need from there.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Birth control is super easy to get. And you don’t even need your parent’s permission to get it! Check out <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a> or <a target=\""_blank\"" href=\""http://www.smnfswcc.org/family-planning.aspx\"">Family Planning Service</a>. Bring ID (school ID, permit, or license works), your insurance card if you have it, or monthly income/school schedule if you don’t. That’s it. They’ll help you out and get you what you need from there.""},{""response_type"":""text"",""text"":""Want more info about how to make an appointment to get birth control? <a target=\""_blank\"" href=\""https://laylasgotyou.com/layla-blog/2018/12/30/sohow-do-i-make-a-doctors-appointment-for-birth-control\"">Click here to check out this blog.</a>""}],""nodes_visited"":[""node_3_1539361364382"",""node_8_1542646109210"",""node_6_1576089694138""],""text"":[""Birth control is super easy to get. And you don’t even need your parent’s permission to get it! Check out <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a> or <a target=\""_blank\"" href=\""http://www.smnfswcc.org/family-planning.aspx\"">Family Planning Service</a>. Bring ID (school ID, permit, or license works), your insurance card if you have it, or monthly income/school schedule if you don’t. That’s it. They’ll help you out and get you what you need from there."",""Want more info about how to make an appointment to get birth control? <a target=\""_blank\"" href=\""https://laylasgotyou.com/layla-blog/2018/12/30/sohow-do-i-make-a-doctors-appointment-for-birth-control\"">Click here to check out this blog.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""b2f6e7aa-b84c-441f-9dd7-5b0f51dd123b""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_8_1542646109210"":{""0"":[0,0]},""node_6_1576089694138"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_22_1542671356223"":{""0"":[0],""1"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ac507057-1649-4d5a-afa9-6d9a216a04a3""},""input"":{""text"":""What are the requirements to get birth control""},""intents"":[{""intent"":""Clinic.bring.what.docs"",""confidence"":1}],""entities"":[{""location"":[33,46],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Birth control is super easy to get. And you don’t even need your parent’s permission to get it! Check out <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a> or <a target=\""_blank\"" href=\""http://www.smnfswcc.org/family-planning.aspx\"">Family Planning Service</a>. Bring ID (school ID, permit, or license works), your insurance card if you have it, or monthly income/school schedule if you don’t. That’s it. They’ll help you out and get you what you need from there."",""userId"":""b2f6e7aa-b84c-441f-9dd7-5b0f51dd123b"",""intent"":{""name"":""Clinic.bring.what.docs"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""}]}}","Clinic.bring.what.docs",false
"2019-12-11T21:36:05.694Z","what is a uti","{""userId"":""b2f6e7aa-b84c-441f-9dd7-5b0f51dd123b"",""text"":""what is a uti""}",,true
"2019-12-11T21:36:05.677Z","Heard of a UTI? It's short for urinary tract infection. It happens in your urinary system (like your kidneys, ureter, bladder, or urethra). Most women have had at least one.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Heard of a UTI? It's short for urinary tract infection. It happens in your urinary system (like your kidneys, ureter, bladder, or urethra). Most women have had at least one.""},{""response_type"":""text"",""text"":""And girl, they can be really painful - especially when peeing. Without meds, they can cause a lot of problems. So if it burns when you pee, get to your doc ASAP! ""},{""response_type"":""text"",""text"":""Want more info about how to avoid and treat a UTI? <a target=\""_blank\"" href =\""https://laylasgotyou.com/layla-blog/2019/1/23/how-to-avoid-and-treat-utis\"">Check out this blog. </a>""}],""nodes_visited"":[""node_26_1535748545378"",""node_20_1542307853932"",""node_9_1576097292336""],""text"":[""Heard of a UTI? It's short for urinary tract infection. It happens in your urinary system (like your kidneys, ureter, bladder, or urethra). Most women have had at least one."",""And girl, they can be really painful - especially when peeing. Without meds, they can cause a lot of problems. So if it burns when you pee, get to your doc ASAP! "",""Want more info about how to avoid and treat a UTI? <a target=\""_blank\"" href =\""https://laylasgotyou.com/layla-blog/2019/1/23/how-to-avoid-and-treat-utis\"">Check out this blog. </a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""b2f6e7aa-b84c-441f-9dd7-5b0f51dd123b""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_8_1542646109210"":{""0"":[0,0]},""node_20_1542307853932"":{""0"":[0],""1"":[0]},""node_6_1576089694138"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_22_1542671356223"":{""0"":[0],""1"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_9_1576097292336"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ac507057-1649-4d5a-afa9-6d9a216a04a3""},""input"":{""text"":""what is a uti""},""intents"":[{""intent"":""def_UTI"",""confidence"":1}],""alternate_intents"":false},""text"":""Heard of a UTI? It's short for urinary tract infection. It happens in your urinary system (like your kidneys, ureter, bladder, or urethra). Most women have had at least one."",""userId"":""b2f6e7aa-b84c-441f-9dd7-5b0f51dd123b"",""intent"":{""name"":""def_UTI""}}","def_UTI",false
"2019-12-11T21:36:34.302Z",,"{""userId"":""b2f6e7aa-b84c-441f-9dd7-5b0f51dd123b""}",,true
"2019-12-11T21:36:34.304Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""b2f6e7aa-b84c-441f-9dd7-5b0f51dd123b"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""b2f6e7aa-b84c-441f-9dd7-5b0f51dd123b""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""563c6ece-fd7a-42da-b0e2-061b9f54f106""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
