"Date","Text","Message JSON","Intent","Incoming"
"2019-12-04T23:00:30.602Z",,"{""userId"":""bf786c59-8b8f-456b-a7dc-c2091fe821a2""}",,true
"2019-12-04T23:00:30.510Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""bf786c59-8b8f-456b-a7dc-c2091fe821a2"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""bf786c59-8b8f-456b-a7dc-c2091fe821a2""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""d41db3e9-8ffa-4513-a98c-8e4abe8773bd""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-04T23:00:49.815Z","What is the most trustworthy birth control ","{""userId"":""bf786c59-8b8f-456b-a7dc-c2091fe821a2"",""text"":""What is the most trustworthy birth control ""}",,true
"2019-12-04T23:00:49.799Z","Ortho (also called Ortho tri-cyclen) is a type of birth control pill that you take every day to prevent pregnancy. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Ortho (also called Ortho tri-cyclen) is a type of birth control pill that you take every day to prevent pregnancy. ""}],""nodes_visited"":[""node_8_1535043946432""],""text"":[""Ortho (also called Ortho tri-cyclen) is a type of birth control pill that you take every day to prevent pregnancy. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""bf786c59-8b8f-456b-a7dc-c2091fe821a2""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1535043946432"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""d41db3e9-8ffa-4513-a98c-8e4abe8773bd""},""input"":{""text"":""What is the most trustworthy birth control ""},""intents"":[{""intent"":""def_Ortho.BC"",""confidence"":0.35356587171554565}],""entities"":[{""location"":[29,42],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Ortho (also called Ortho tri-cyclen) is a type of birth control pill that you take every day to prevent pregnancy. "",""userId"":""bf786c59-8b8f-456b-a7dc-c2091fe821a2"",""intent"":{""name"":""def_Ortho.BC"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""}]}}","def_Ortho.BC",false
"2019-12-04T23:00:50.158Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""bf786c59-8b8f-456b-a7dc-c2091fe821a2"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2019-12-04T23:00:50.173Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""bf786c59-8b8f-456b-a7dc-c2091fe821a2""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1535043946432"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""d41db3e9-8ffa-4513-a98c-8e4abe8773bd""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""bf786c59-8b8f-456b-a7dc-c2091fe821a2"",""intent"":{""name"":""unknown""}}","unknown",false
"2019-12-04T23:01:01.386Z","What is the most effective birth control ","{""userId"":""bf786c59-8b8f-456b-a7dc-c2091fe821a2"",""text"":""What is the most effective birth control ""}",,true
"2019-12-04T23:01:01.369Z","There are so many different kinds of birth control out there but they all work for one common goal: to prevent pregnancy! And they are all super effective. In fact, the IUD and implant are 99% effective! That means out of 100 women using them, only 1 will get pregnant.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There are so many different kinds of birth control out there but they all work for one common goal: to prevent pregnancy! And they are all super effective. In fact, the IUD and implant are 99% effective! That means out of 100 women using them, only 1 will get pregnant.""},{""response_type"":""text"",""text"":""There isn't really one way to \""know\"" that they're working (aside from not getting pregnant!) - the only thing you can do is make sure you're taking them correctly. That means for birth control like the pill, you have to make sure that you're taking them every day, at the same time, no excuses!""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Want more info on different birth control options? Tap here to scroll to a list of birth control options.</a> ""}],""nodes_visited"":[""node_1_1539285453197"",""node_16_1542670429383"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""There are so many different kinds of birth control out there but they all work for one common goal: to prevent pregnancy! And they are all super effective. In fact, the IUD and implant are 99% effective! That means out of 100 women using them, only 1 will get pregnant."",""There isn't really one way to \""know\"" that they're working (aside from not getting pregnant!) - the only thing you can do is make sure you're taking them correctly. That means for birth control like the pill, you have to make sure that you're taking them every day, at the same time, no excuses!"",""<a href=\""/#birth-control-types\"">Want more info on different birth control options? Tap here to scroll to a list of birth control options.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""bf786c59-8b8f-456b-a7dc-c2091fe821a2""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_1_1544810991157"":{""1"":[0,1,0,2,6,3,5,4]},""node_16_1542670429383"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1535043946432"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""d41db3e9-8ffa-4513-a98c-8e4abe8773bd""},""input"":{""text"":""What is the most effective birth control ""},""intents"":[{""intent"":""BC.efficacy"",""confidence"":1}],""entities"":[{""location"":[27,40],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""There are so many different kinds of birth control out there but they all work for one common goal: to prevent pregnancy! And they are all super effective. In fact, the IUD and implant are 99% effective! That means out of 100 women using them, only 1 will get pregnant."",""userId"":""bf786c59-8b8f-456b-a7dc-c2091fe821a2"",""intent"":{""name"":""BC.efficacy"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.efficacy",false
"2019-12-04T23:01:21.359Z","How effective is the birth control patch ","{""userId"":""bf786c59-8b8f-456b-a7dc-c2091fe821a2"",""text"":""How effective is the birth control patch ""}",,true
"2019-12-04T23:01:21.372Z","For most women who use the patch, it's 91% effective at preventing pregnancy. That means out of 100 women on the patch, 9 of them get pregnant.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""For most women who use the patch, it's 91% effective at preventing pregnancy. That means out of 100 women on the patch, 9 of them get pregnant.""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""options"":[{""value"":{""input"":{""text"":""How to get the patch.""}},""label"":""Tap here to find out how you can get the patch.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me another question.""}],""nodes_visited"":[""node_25_1534967794331"",""node_14_1542138867289""],""text"":[""For most women who use the patch, it's 91% effective at preventing pregnancy. That means out of 100 women on the patch, 9 of them get pregnant."",""Or ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""bf786c59-8b8f-456b-a7dc-c2091fe821a2""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_1_1544810991157"":{""1"":[0,1,0,2,6,3,5,4]},""node_16_1542670429383"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_14_1542138867289"":{""0"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1535043946432"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""d41db3e9-8ffa-4513-a98c-8e4abe8773bd""},""input"":{""text"":""How effective is the birth control patch ""},""intents"":[{""intent"":""Patch.efficacy"",""confidence"":0.8181893348693847}],""entities"":[{""location"":[21,34],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1},{""location"":[35,40],""value"":""Patch"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""For most women who use the patch, it's 91% effective at preventing pregnancy. That means out of 100 women on the patch, 9 of them get pregnant."",""userId"":""bf786c59-8b8f-456b-a7dc-c2091fe821a2"",""intent"":{""name"":""Patch.efficacy"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""},{""name"":""Birth_Control"",""value"":""Patch""}]}}","Patch.efficacy",false
