"Date","Text","Message JSON","Intent","Incoming"
"2019-12-05T00:51:10.668Z",,"{""userId"":""c4a1538d-1b94-41e7-a0da-68eeaa97f92c""}",,true
"2019-12-05T00:51:10.677Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""c4a1538d-1b94-41e7-a0da-68eeaa97f92c"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""c4a1538d-1b94-41e7-a0da-68eeaa97f92c""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""a109791b-3f0f-4f02-804b-11d0c6e0f601""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-05T00:53:14.331Z","Trying to get information so I can make the best choice for me, trying to manage my periods","{""userId"":""c4a1538d-1b94-41e7-a0da-68eeaa97f92c"",""text"":""Trying to get information so I can make the best choice for me, trying to manage my periods""}",,true
"2019-12-05T00:53:14.332Z","Next Choice is a type of morning after pill. You can take the morning after pill within 5 days of having unprotected sex, but it works much better if you take it within 3 days. The sooner you take it, the better!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Next Choice is a type of morning after pill. You can take the morning after pill within 5 days of having unprotected sex, but it works much better if you take it within 3 days. The sooner you take it, the better!""}],""nodes_visited"":[""node_3_1535042972412""],""text"":[""Next Choice is a type of morning after pill. You can take the morning after pill within 5 days of having unprotected sex, but it works much better if you take it within 3 days. The sooner you take it, the better!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""c4a1538d-1b94-41e7-a0da-68eeaa97f92c""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_3_1535042972412"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""a109791b-3f0f-4f02-804b-11d0c6e0f601""},""input"":{""text"":""Trying to get information so I can make the best choice for me, trying to manage my periods""},""intents"":[{""intent"":""def_Next.Choice.BC"",""confidence"":0.7149353981018067}],""entities"":[{""location"":[84,91],""value"":""period"",""entity"":""Period"",""confidence"":1}],""alternate_intents"":false},""text"":""Next Choice is a type of morning after pill. You can take the morning after pill within 5 days of having unprotected sex, but it works much better if you take it within 3 days. The sooner you take it, the better!"",""userId"":""c4a1538d-1b94-41e7-a0da-68eeaa97f92c"",""intent"":{""name"":""def_Next.Choice.BC"",""inputs"":[{""name"":""Period"",""value"":""period""}]}}","def_Next.Choice.BC",false
"2019-12-05T00:53:44.846Z","Thanks but I not sexuality active","{""userId"":""c4a1538d-1b94-41e7-a0da-68eeaa97f92c"",""text"":""Thanks but I not sexuality active""}",,true
"2019-12-05T00:53:44.830Z","That moment when your doctor asks if you’re “sexually active” and you have no idea how to respond 😳. Don’t worry girl, we’ve all  been there. Think of it like this, sexually active means are you having sex, what type of sex you’re having, and how much.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""That moment when your doctor asks if you’re “sexually active” and you have no idea how to respond 😳. Don’t worry girl, we’ve all  been there. Think of it like this, sexually active means are you having sex, what type of sex you’re having, and how much.""},{""response_type"":""text"",""text"":""I know it’s sounds way personal but, it’s best to be honest about this so your doctor knows if you’re at risk for STDs or pregnancy. Next time this question comes up, just relax and be honest. You can answer by saying things like, “I haven’t had sex but, I do have oral sex a couple times a week,” to give you an idea. ""}],""nodes_visited"":[""node_7_1539372297772"",""node_10_1542403087985""],""text"":[""That moment when your doctor asks if you’re “sexually active” and you have no idea how to respond 😳. Don’t worry girl, we’ve all  been there. Think of it like this, sexually active means are you having sex, what type of sex you’re having, and how much."",""I know it’s sounds way personal but, it’s best to be honest about this so your doctor knows if you’re at risk for STDs or pregnancy. Next time this question comes up, just relax and be honest. You can answer by saying things like, “I haven’t had sex but, I do have oral sex a couple times a week,” to give you an idea. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""c4a1538d-1b94-41e7-a0da-68eeaa97f92c""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_3_1535042972412"":{""0"":[0]},""node_10_1542403087985"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""a109791b-3f0f-4f02-804b-11d0c6e0f601""},""input"":{""text"":""Thanks but I not sexuality active""},""intents"":[{""intent"":""def_sexually.active"",""confidence"":0.8012925148010255}],""alternate_intents"":false},""text"":""That moment when your doctor asks if you’re “sexually active” and you have no idea how to respond 😳. Don’t worry girl, we’ve all  been there. Think of it like this, sexually active means are you having sex, what type of sex you’re having, and how much."",""userId"":""c4a1538d-1b94-41e7-a0da-68eeaa97f92c"",""intent"":{""name"":""def_sexually.active""}}","def_sexually.active",false
"2019-12-05T00:55:11.597Z","Good to know but I am Asexual so I haven't done anything sexuality","{""userId"":""c4a1538d-1b94-41e7-a0da-68eeaa97f92c"",""text"":""Good to know but I am Asexual so I haven't done anything sexuality""}",,true
"2019-12-05T00:55:11.977Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""c4a1538d-1b94-41e7-a0da-68eeaa97f92c"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2019-12-05T00:55:11.587Z","Pansexual or queer means being attracted to someone regardless of their gender.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Pansexual or queer means being attracted to someone regardless of their gender.""}],""nodes_visited"":[""node_2_1540517437970""],""text"":[""Pansexual or queer means being attracted to someone regardless of their gender.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""c4a1538d-1b94-41e7-a0da-68eeaa97f92c""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_2_1540517437970"":{""0"":[0]},""node_3_1535042972412"":{""0"":[0]},""node_10_1542403087985"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""a109791b-3f0f-4f02-804b-11d0c6e0f601""},""input"":{""text"":""Good to know but I am Asexual so I haven't done anything sexuality""},""intents"":[{""intent"":""def_pansexual"",""confidence"":0.33346554040908816}],""alternate_intents"":false},""text"":""Pansexual or queer means being attracted to someone regardless of their gender."",""userId"":""c4a1538d-1b94-41e7-a0da-68eeaa97f92c"",""intent"":{""name"":""def_pansexual""}}","def_pansexual",false
"2019-12-05T00:55:11.961Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""c4a1538d-1b94-41e7-a0da-68eeaa97f92c""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_2_1540517437970"":{""0"":[0]},""node_3_1535042972412"":{""0"":[0]},""node_10_1542403087985"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""a109791b-3f0f-4f02-804b-11d0c6e0f601""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""c4a1538d-1b94-41e7-a0da-68eeaa97f92c"",""intent"":{""name"":""unknown""}}","unknown",false
