"Date","Text","Message JSON","Intent","Incoming"
"2019-12-11T20:44:31.789Z",,"{""userId"":""c8d1de3c-103d-4aae-89dd-f78da63c0173""}",,true
"2019-12-11T20:44:31.789Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""c8d1de3c-103d-4aae-89dd-f78da63c0173"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""c8d1de3c-103d-4aae-89dd-f78da63c0173""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""820cf071-0ba8-47aa-9a4c-e594756e8884""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-11T20:45:01.932Z","What’s the best form of birth control","{""userId"":""c8d1de3c-103d-4aae-89dd-f78da63c0173"",""text"":""What’s the best form of birth control""}",,true
"2019-12-11T20:45:01.918Z","Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. ""},{""response_type"":""text"",""text"":""What works for your best friend, might not be the best choice for you so it’s really important to know about your options and have a heart to heart with your doctor (and yourself).""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Tap here to scroll to a list of birth control types.</a> ""}],""nodes_visited"":[""node_16_1534790514779"",""node_18_1541092071873"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. "",""What works for your best friend, might not be the best choice for you so it’s really important to know about your options and have a heart to heart with your doctor (and yourself)."",""<a href=\""/#birth-control-types\"">Tap here to scroll to a list of birth control types.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""c8d1de3c-103d-4aae-89dd-f78da63c0173""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_1_1544810991157"":{""1"":[0,2,6,0,5,1,3,4]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""820cf071-0ba8-47aa-9a4c-e594756e8884""},""input"":{""text"":""What’s the best form of birth control""},""intents"":[{""intent"":""BC.types"",""confidence"":0.39047375917434696}],""entities"":[{""location"":[24,37],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. "",""userId"":""c8d1de3c-103d-4aae-89dd-f78da63c0173"",""intent"":{""name"":""BC.types"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.types",false
"2019-12-11T20:45:02.332Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""c8d1de3c-103d-4aae-89dd-f78da63c0173"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2019-12-11T20:45:02.350Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""c8d1de3c-103d-4aae-89dd-f78da63c0173""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_1_1544810991157"":{""1"":[0,2,6,0,5,1,3,4]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""820cf071-0ba8-47aa-9a4c-e594756e8884""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""c8d1de3c-103d-4aae-89dd-f78da63c0173"",""intent"":{""name"":""unknown""}}","unknown",false
"2019-12-11T20:45:27.597Z","What are side effects of the pill","{""userId"":""c8d1de3c-103d-4aae-89dd-f78da63c0173"",""text"":""What are side effects of the pill""}",,true
"2019-12-11T20:45:27.581Z","There are a few common side effects from the pill. The main ones are pretty simple things like sore breasts, an upset stomach, or headaches. You might even notice your boobs looking a little bigger while on the pill. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There are a few common side effects from the pill. The main ones are pretty simple things like sore breasts, an upset stomach, or headaches. You might even notice your boobs looking a little bigger while on the pill. ""},{""response_type"":""text"",""text"":""But there’s some good side effects too. The pill is great for clearing up acne and regulating your period. It’ll take clear skin and no surprise periods any day!""},{""typing"":true,""response_type"":""pause"",""time"":3100},{""options"":[{""value"":{""input"":{""text"":""How effective is the pill at preventing pregnancy?""}},""label"":""Tap here to see how effective the pill is.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or, ask me a different question.""}],""nodes_visited"":[""node_15_1535394409816"",""node_30_1541720708137""],""text"":[""There are a few common side effects from the pill. The main ones are pretty simple things like sore breasts, an upset stomach, or headaches. You might even notice your boobs looking a little bigger while on the pill. "",""But there’s some good side effects too. The pill is great for clearing up acne and regulating your period. It’ll take clear skin and no surprise periods any day!"",""Or, ask me a different question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""c8d1de3c-103d-4aae-89dd-f78da63c0173""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_30_1541720708137"":{""0"":[0],""1"":[0],""4"":[0]},""node_1_1544810991157"":{""1"":[0,2,6,0,5,1,3,4]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""820cf071-0ba8-47aa-9a4c-e594756e8884""},""input"":{""text"":""What are side effects of the pill""},""intents"":[{""intent"":""Pill.side.effects"",""confidence"":0.9245289325714112}],""entities"":[{""location"":[9,21],""value"":""side effects"",""entity"":""Side_Effects"",""confidence"":1},{""location"":[25,33],""value"":""the pill"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""There are a few common side effects from the pill. The main ones are pretty simple things like sore breasts, an upset stomach, or headaches. You might even notice your boobs looking a little bigger while on the pill. "",""userId"":""c8d1de3c-103d-4aae-89dd-f78da63c0173"",""intent"":{""name"":""Pill.side.effects"",""inputs"":[{""name"":""Side_Effects"",""value"":""side effects""},{""name"":""Birth_Control"",""value"":""the pill""}]}}","Pill.side.effects",false
"2019-12-11T20:45:47.075Z","How effective is the pill at preventing pregnancy?","{""userId"":""c8d1de3c-103d-4aae-89dd-f78da63c0173"",""text"":""How effective is the pill at preventing pregnancy?""}",,true
"2019-12-11T20:45:47.075Z","For the average girl, the pill is 91% effective at preventing pregnancy. That means out of 100 women on the pill, 9 of them get pregnant.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""For the average girl, the pill is 91% effective at preventing pregnancy. That means out of 100 women on the pill, 9 of them get pregnant.""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""options"":[{""value"":{""input"":{""text"":""What happens if I forget to take my birth control?""}},""label"":""Tap here to read what happens if you miss taking a pill.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or you can ask me more questions.""}],""nodes_visited"":[""node_26_1534968031973"",""node_2_1541808028080""],""text"":[""For the average girl, the pill is 91% effective at preventing pregnancy. That means out of 100 women on the pill, 9 of them get pregnant."",""Or you can ask me more questions.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""c8d1de3c-103d-4aae-89dd-f78da63c0173""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_30_1541720708137"":{""0"":[0],""1"":[0],""4"":[0]},""node_1_1544810991157"":{""1"":[0,2,6,0,5,1,3,4]},""node_2_1541808028080"":{""0"":[0],""3"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""820cf071-0ba8-47aa-9a4c-e594756e8884""},""input"":{""text"":""How effective is the pill at preventing pregnancy?""},""intents"":[{""intent"":""Pill.efficacy"",""confidence"":0.9907238483428955}],""entities"":[{""location"":[17,25],""value"":""the pill"",""entity"":""Birth_Control"",""confidence"":1},{""location"":[40,49],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1}],""alternate_intents"":false},""text"":""For the average girl, the pill is 91% effective at preventing pregnancy. That means out of 100 women on the pill, 9 of them get pregnant."",""userId"":""c8d1de3c-103d-4aae-89dd-f78da63c0173"",""intent"":{""name"":""Pill.efficacy"",""inputs"":[{""name"":""Birth_Control"",""value"":""the pill""},{""name"":""Pregnant"",""value"":""pregnant""}]}}","Pill.efficacy",false
