"Date","Text","Message JSON","Intent","Incoming"
"2019-12-31T01:29:22.987Z",,"{""userId"":""ce8a84d4-88c2-4bba-a48c-379408b65db3""}",,true
"2019-12-31T01:29:22.989Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""ce8a84d4-88c2-4bba-a48c-379408b65db3"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ce8a84d4-88c2-4bba-a48c-379408b65db3""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f9dd72e4-9ff0-4d1e-be12-f9c5a27db9ee""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-31T01:34:19.626Z","I’m currently on the IUD birth control , Does it make you gain weight ","{""userId"":""ce8a84d4-88c2-4bba-a48c-379408b65db3"",""text"":""I’m currently on the IUD birth control , Does it make you gain weight ""}",,true
"2019-12-31T01:34:19.623Z","<iframe src=""https://giphy.com/embed/RvvlyEwofUCSA"" width=""100%"" height=""480"" frameBorder=""0"" class=""giphy-embed"" allowFullScreen></iframe><p><a href=""https://giphy.com/gifs/shakingfoodgifs-funny-kawaii-pink-RvvlyEwofUCSA"">via GIPHY</a></p>","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<iframe src=\""https://giphy.com/embed/RvvlyEwofUCSA\"" width=\""100%\"" height=\""480\"" frameBorder=\""0\"" class=\""giphy-embed\"" allowFullScreen></iframe><p><a href=\""https://giphy.com/gifs/shakingfoodgifs-funny-kawaii-pink-RvvlyEwofUCSA\"">via GIPHY</a></p>""},{""response_type"":""text"",""text"":""So you might be nervous about gaining weight on birth control, but let me tell you right now: besides the shot, most birth control has no effect on your weight at all. So why do so many people think this? Well, most of us will start birth control in our teens and early 20’s which is exactly the time we start to gain weight anyway.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Tap here to scroll to a list of birth control types.</a> ""}],""nodes_visited"":[""node_11_1534540737778"",""node_2_1542645165611"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""<iframe src=\""https://giphy.com/embed/RvvlyEwofUCSA\"" width=\""100%\"" height=\""480\"" frameBorder=\""0\"" class=\""giphy-embed\"" allowFullScreen></iframe><p><a href=\""https://giphy.com/gifs/shakingfoodgifs-funny-kawaii-pink-RvvlyEwofUCSA\"">via GIPHY</a></p>"",""So you might be nervous about gaining weight on birth control, but let me tell you right now: besides the shot, most birth control has no effect on your weight at all. So why do so many people think this? Well, most of us will start birth control in our teens and early 20’s which is exactly the time we start to gain weight anyway."",""<a href=\""/#birth-control-types\"">Tap here to scroll to a list of birth control types.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ce8a84d4-88c2-4bba-a48c-379408b65db3""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_2_1542645165611"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,2,1,6,0,3,4,5]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f9dd72e4-9ff0-4d1e-be12-f9c5a27db9ee""},""input"":{""text"":""I’m currently on the IUD birth control , Does it make you gain weight ""},""intents"":[{""intent"":""BC.weight"",""confidence"":0.6755714416503906}],""entities"":[{""location"":[21,24],""value"":""IUD"",""entity"":""Birth_Control"",""confidence"":1},{""location"":[25,38],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""<iframe src=\""https://giphy.com/embed/RvvlyEwofUCSA\"" width=\""100%\"" height=\""480\"" frameBorder=\""0\"" class=\""giphy-embed\"" allowFullScreen></iframe><p><a href=\""https://giphy.com/gifs/shakingfoodgifs-funny-kawaii-pink-RvvlyEwofUCSA\"">via GIPHY</a></p>"",""userId"":""ce8a84d4-88c2-4bba-a48c-379408b65db3"",""intent"":{""name"":""BC.weight"",""inputs"":[{""name"":""Birth_Control"",""value"":""IUD""},{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.weight",false
"2019-12-31T01:35:38.023Z","How do I prevent STD or Bacteria infections ","{""userId"":""ce8a84d4-88c2-4bba-a48c-379408b65db3"",""text"":""How do I prevent STD or Bacteria infections ""}",,true
"2019-12-31T01:35:38.360Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""ce8a84d4-88c2-4bba-a48c-379408b65db3"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2019-12-31T01:35:38.023Z","Bacterial vaginosis (aka BV) happens when the balance between yeast and bacteria gets out off whack in your vagina and you develop a bacterial infection. It can be painful and cause a fishy smelling discharge in the vagina. It can be cleared up easily with medication from a doctor.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Bacterial vaginosis (aka BV) happens when the balance between yeast and bacteria gets out off whack in your vagina and you develop a bacterial infection. It can be painful and cause a fishy smelling discharge in the vagina. It can be cleared up easily with medication from a doctor.""}],""nodes_visited"":[""node_2_1537810904078""],""text"":[""Bacterial vaginosis (aka BV) happens when the balance between yeast and bacteria gets out off whack in your vagina and you develop a bacterial infection. It can be painful and cause a fishy smelling discharge in the vagina. It can be cleared up easily with medication from a doctor.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ce8a84d4-88c2-4bba-a48c-379408b65db3""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_2_1542645165611"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,2,1,6,0,3,4,5]},""node_2_1537810904078"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f9dd72e4-9ff0-4d1e-be12-f9c5a27db9ee""},""input"":{""text"":""How do I prevent STD or Bacteria infections ""},""intents"":[{""intent"":""def_BV"",""confidence"":0.3091886639595032}],""entities"":[{""location"":[17,20],""value"":""STD"",""entity"":""STD"",""confidence"":1}],""alternate_intents"":false},""text"":""Bacterial vaginosis (aka BV) happens when the balance between yeast and bacteria gets out off whack in your vagina and you develop a bacterial infection. It can be painful and cause a fishy smelling discharge in the vagina. It can be cleared up easily with medication from a doctor."",""userId"":""ce8a84d4-88c2-4bba-a48c-379408b65db3"",""intent"":{""name"":""def_BV"",""inputs"":[{""name"":""STD"",""value"":""STD""}]}}","def_BV",false
"2019-12-31T01:35:38.349Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ce8a84d4-88c2-4bba-a48c-379408b65db3""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_2_1542645165611"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,2,1,6,0,3,4,5]},""node_2_1537810904078"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f9dd72e4-9ff0-4d1e-be12-f9c5a27db9ee""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""ce8a84d4-88c2-4bba-a48c-379408b65db3"",""intent"":{""name"":""unknown""}}","unknown",false
"2019-12-31T01:36:00.174Z","How can I prevent infections ","{""userId"":""ce8a84d4-88c2-4bba-a48c-379408b65db3"",""text"":""How can I prevent infections ""}",,true
"2019-12-31T01:36:00.188Z","I didn't understand. You can try rephrasing.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I didn't understand. You can try rephrasing.""}],""nodes_visited"":[""Anything else""],""text"":[""I didn't understand. You can try rephrasing.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ce8a84d4-88c2-4bba-a48c-379408b65db3""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_2_1542645165611"":{""0"":[0],""1"":[0]},""Anything else"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_1_1544810991157"":{""1"":[0,2,1,6,0,3,4,5]},""node_2_1537810904078"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f9dd72e4-9ff0-4d1e-be12-f9c5a27db9ee""},""input"":{""text"":""How can I prevent infections ""},""intents"":[{""intent"":""IUD.infections"",""confidence"":0.611562442779541}],""alternate_intents"":false},""text"":""I didn't understand. You can try rephrasing."",""userId"":""ce8a84d4-88c2-4bba-a48c-379408b65db3"",""intent"":{""name"":""IUD.infections""}}","IUD.infections",false
