"Date","Text","Message JSON","Intent","Incoming"
"2019-12-05T21:34:29.067Z",,"{""userId"":""d0860727-6f71-43d4-9f0b-b7b278ece1b3""}",,true
"2019-12-05T21:34:29.066Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""d0860727-6f71-43d4-9f0b-b7b278ece1b3"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d0860727-6f71-43d4-9f0b-b7b278ece1b3""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e72c9613-51cd-4363-a780-d42c098530c4""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-05T21:34:55.418Z","I feel beautiful","{""userId"":""d0860727-6f71-43d4-9f0b-b7b278ece1b3"",""text"":""I feel beautiful""}",,true
"2019-12-05T21:34:55.395Z","If you're not feelin great, you should definitely see a doctor especially if you think you might be pregnant.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you're not feelin great, you should definitely see a doctor especially if you think you might be pregnant.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-finder\"">Tap here to go to the Clinic Map for more info on doctors or clinics near you.</a>""}],""nodes_visited"":[""node_2_1537562643656"",""node_8_1542239937021"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""If you're not feelin great, you should definitely see a doctor especially if you think you might be pregnant."",""<a href=\""/#birth-control-finder\"">Tap here to go to the Clinic Map for more info on doctors or clinics near you.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d0860727-6f71-43d4-9f0b-b7b278ece1b3""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,4,2,0,3,1]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542239937021"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e72c9613-51cd-4363-a780-d42c098530c4""},""input"":{""text"":""I feel beautiful""},""intents"":[{""intent"":""I.Feel.Bad"",""confidence"":0.733439350128174}],""alternate_intents"":false},""text"":""If you're not feelin great, you should definitely see a doctor especially if you think you might be pregnant."",""userId"":""d0860727-6f71-43d4-9f0b-b7b278ece1b3"",""intent"":{""name"":""I.Feel.Bad""}}","I.Feel.Bad",false
"2019-12-05T21:35:11.772Z","mental health","{""userId"":""d0860727-6f71-43d4-9f0b-b7b278ece1b3"",""text"":""mental health""}",,true
"2019-12-05T21:35:11.785Z","For most women, birth control is completely safe. Some women might experience some side effects like spotting or cramping but they usually go away as the body adjusts. For most of us, the benefits of birth control are way more important than a few side effects. And you might not know this but, some kinds of birth control actually protect against certain types of cancers!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""For most women, birth control is completely safe. Some women might experience some side effects like spotting or cramping but they usually go away as the body adjusts. For most of us, the benefits of birth control are way more important than a few side effects. And you might not know this but, some kinds of birth control actually protect against certain types of cancers!""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Tap here to go to a list of birth control options.</a>""}],""nodes_visited"":[""node_13_1534541404795"",""node_45_1542676897655"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""For most women, birth control is completely safe. Some women might experience some side effects like spotting or cramping but they usually go away as the body adjusts. For most of us, the benefits of birth control are way more important than a few side effects. And you might not know this but, some kinds of birth control actually protect against certain types of cancers!"",""<a href=\""/#birth-control-types\"">Tap here to go to a list of birth control options.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d0860727-6f71-43d4-9f0b-b7b278ece1b3""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_45_1542676897655"":{""0"":[0]},""node_1_1544810991157"":{""1"":[0,4,5,2,3,1,6,0]},""node_3_1544835959501"":{""1"":[0,4,2,0,3,1]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542239937021"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e72c9613-51cd-4363-a780-d42c098530c4""},""input"":{""text"":""mental health""},""intents"":[{""intent"":""BC.danger"",""confidence"":0.3221670985221863}],""alternate_intents"":false},""text"":""For most women, birth control is completely safe. Some women might experience some side effects like spotting or cramping but they usually go away as the body adjusts. For most of us, the benefits of birth control are way more important than a few side effects. And you might not know this but, some kinds of birth control actually protect against certain types of cancers!"",""userId"":""d0860727-6f71-43d4-9f0b-b7b278ece1b3"",""intent"":{""name"":""BC.danger""}}","BC.danger",false
"2019-12-05T21:35:11.987Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d0860727-6f71-43d4-9f0b-b7b278ece1b3""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_45_1542676897655"":{""0"":[0]},""node_1_1544810991157"":{""1"":[0,4,5,2,3,1,6,0]},""node_3_1544835959501"":{""1"":[0,4,2,0,3,1]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542239937021"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e72c9613-51cd-4363-a780-d42c098530c4""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""d0860727-6f71-43d4-9f0b-b7b278ece1b3"",""intent"":{""name"":""unknown""}}","unknown",false
"2019-12-05T21:35:12.003Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""d0860727-6f71-43d4-9f0b-b7b278ece1b3"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2019-12-05T21:35:18.858Z","can you talk about mental health?","{""userId"":""d0860727-6f71-43d4-9f0b-b7b278ece1b3"",""text"":""can you talk about mental health?""}",,true
"2019-12-05T21:35:18.871Z","For most women, birth control is completely safe. Some women might experience some side effects like spotting or cramping but they usually go away as the body adjusts. For most of us, the benefits of birth control are way more important than a few side effects. And you might not know this but, some kinds of birth control actually protect against certain types of cancers!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""For most women, birth control is completely safe. Some women might experience some side effects like spotting or cramping but they usually go away as the body adjusts. For most of us, the benefits of birth control are way more important than a few side effects. And you might not know this but, some kinds of birth control actually protect against certain types of cancers!""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Tap here to go to a list of birth control types.</a>""}],""nodes_visited"":[""node_13_1534541404795"",""node_45_1542676897655"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""For most women, birth control is completely safe. Some women might experience some side effects like spotting or cramping but they usually go away as the body adjusts. For most of us, the benefits of birth control are way more important than a few side effects. And you might not know this but, some kinds of birth control actually protect against certain types of cancers!"",""<a href=\""/#birth-control-types\"">Tap here to go to a list of birth control types.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d0860727-6f71-43d4-9f0b-b7b278ece1b3""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_45_1542676897655"":{""0"":[0]},""node_1_1544810991157"":{""1"":[1,4,5,2,3,1,6,0]},""node_3_1544835959501"":{""1"":[0,4,2,0,3,1]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542239937021"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e72c9613-51cd-4363-a780-d42c098530c4""},""input"":{""text"":""can you talk about mental health?""},""intents"":[{""intent"":""BC.danger"",""confidence"":0.4206445693969727}],""alternate_intents"":false},""text"":""For most women, birth control is completely safe. Some women might experience some side effects like spotting or cramping but they usually go away as the body adjusts. For most of us, the benefits of birth control are way more important than a few side effects. And you might not know this but, some kinds of birth control actually protect against certain types of cancers!"",""userId"":""d0860727-6f71-43d4-9f0b-b7b278ece1b3"",""intent"":{""name"":""BC.danger""}}","BC.danger",false
