"Date","Text","Message JSON","Intent","Incoming"
"2019-12-25T13:25:36.771Z",,"{""userId"":""f010c913-a110-4fdb-8924-2f895590dd60""}",,true
"2019-12-25T13:25:36.771Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""f010c913-a110-4fdb-8924-2f895590dd60"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""f010c913-a110-4fdb-8924-2f895590dd60""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b4ac26d3-e6a1-4c69-8400-a6c851d62390""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-25T13:27:25.771Z","Should my period pain feel excruciating?","{""userId"":""f010c913-a110-4fdb-8924-2f895590dd60"",""text"":""Should my period pain feel excruciating?""}",,true
"2019-12-25T13:27:25.771Z","If you're not feelin great, you should definitely see a doctor especially if you think you might be pregnant.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you're not feelin great, you should definitely see a doctor especially if you think you might be pregnant.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">For more info on doctors or clinics near you, tap here to go to the Clinic Map.</a>""}],""nodes_visited"":[""node_2_1537562643656"",""node_8_1542239937021"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""If you're not feelin great, you should definitely see a doctor especially if you think you might be pregnant."",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">For more info on doctors or clinics near you, tap here to go to the Clinic Map.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""f010c913-a110-4fdb-8924-2f895590dd60""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,1,4,2,0,3]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_8_1542239937021"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b4ac26d3-e6a1-4c69-8400-a6c851d62390""},""input"":{""text"":""Should my period pain feel excruciating?""},""intents"":[{""intent"":""I.Feel.Bad"",""confidence"":0.48731884956359867}],""entities"":[{""location"":[10,16],""value"":""period"",""entity"":""Period"",""confidence"":1}],""alternate_intents"":false},""text"":""If you're not feelin great, you should definitely see a doctor especially if you think you might be pregnant."",""userId"":""f010c913-a110-4fdb-8924-2f895590dd60"",""intent"":{""name"":""I.Feel.Bad"",""inputs"":[{""name"":""Period"",""value"":""period""}]}}","I.Feel.Bad",false
"2019-12-25T13:27:26.022Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""f010c913-a110-4fdb-8924-2f895590dd60"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2019-12-25T13:27:26.009Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""f010c913-a110-4fdb-8924-2f895590dd60""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,1,4,2,0,3]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_8_1542239937021"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b4ac26d3-e6a1-4c69-8400-a6c851d62390""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""f010c913-a110-4fdb-8924-2f895590dd60"",""intent"":{""name"":""unknown""}}","unknown",false
"2019-12-25T13:27:45.219Z","Should my period pain be painful?","{""userId"":""f010c913-a110-4fdb-8924-2f895590dd60"",""text"":""Should my period pain be painful?""}",,true
"2019-12-25T13:27:45.235Z","Our bodies are all different! Most women get their period once a month, around the same time. But for other women, their periods come once every couple of months. This is why a lot of women use birth control to regulate their periods. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Our bodies are all different! Most women get their period once a month, around the same time. But for other women, their periods come once every couple of months. This is why a lot of women use birth control to regulate their periods. ""}],""nodes_visited"":[""node_39_1535587920991""],""text"":[""Our bodies are all different! Most women get their period once a month, around the same time. But for other women, their periods come once every couple of months. This is why a lot of women use birth control to regulate their periods. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""f010c913-a110-4fdb-8924-2f895590dd60""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,1,4,2,0,3]},""node_1_1540844990941"":{""0"":[0]},""node_39_1535587920991"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_8_1542239937021"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b4ac26d3-e6a1-4c69-8400-a6c851d62390""},""input"":{""text"":""Should my period pain be painful?""},""intents"":[{""intent"":""Period.frequency"",""confidence"":0.5427779197692871}],""entities"":[{""location"":[10,16],""value"":""period"",""entity"":""Period"",""confidence"":1}],""alternate_intents"":false},""text"":""Our bodies are all different! Most women get their period once a month, around the same time. But for other women, their periods come once every couple of months. This is why a lot of women use birth control to regulate their periods. "",""userId"":""f010c913-a110-4fdb-8924-2f895590dd60"",""intent"":{""name"":""Period.frequency"",""inputs"":[{""name"":""Period"",""value"":""period""}]}}","Period.frequency",false
"2019-12-25T13:28:17.306Z","Does sex hurt?","{""userId"":""f010c913-a110-4fdb-8924-2f895590dd60"",""text"":""Does sex hurt?""}",,true
"2019-12-25T13:28:17.295Z","Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ""},{""response_type"":""text"",""text"":""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for more info on doctors or clinics near you.</a>""}],""nodes_visited"":[""node_6_1535644870528"",""node_30_1541631510471"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on."",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for more info on doctors or clinics near you.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""f010c913-a110-4fdb-8924-2f895590dd60""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_3_1544835959501"":{""1"":[1,1,4,2,0,3]},""node_1_1540844990941"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_39_1535587920991"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_8_1542239937021"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b4ac26d3-e6a1-4c69-8400-a6c851d62390""},""input"":{""text"":""Does sex hurt?""},""intents"":[{""intent"":""Sex.pain"",""confidence"":1}],""entities"":[{""location"":[5,8],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""userId"":""f010c913-a110-4fdb-8924-2f895590dd60"",""intent"":{""name"":""Sex.pain"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Sex.pain",false
