"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T04:42:07.221Z",,"{""userId"":""01245b4c-8faa-4fed-99d4-5b08f626b1bf""}",,true
"2020-01-04T04:42:07.222Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""01245b4c-8faa-4fed-99d4-5b08f626b1bf"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""01245b4c-8faa-4fed-99d4-5b08f626b1bf""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c8fdc17b-6600-4f15-994a-d455beb64155""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T04:42:21.278Z","Hi ","{""userId"":""01245b4c-8faa-4fed-99d4-5b08f626b1bf"",""text"":""Hi ""}",,true
"2020-01-04T04:42:21.263Z","Heyyy girl! Have any questions about birth control? Just ask and I got you!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Heyyy girl! Have any questions about birth control? Just ask and I got you!""}],""nodes_visited"":[""node_12_1539832480514"",""node_12_1542240270828""],""text"":[""Heyyy girl! Have any questions about birth control? Just ask and I got you!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""01245b4c-8faa-4fed-99d4-5b08f626b1bf""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1542240270828"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c8fdc17b-6600-4f15-994a-d455beb64155""},""input"":{""text"":""Hi ""},""intents"":[{""intent"":""Hey"",""confidence"":1}],""alternate_intents"":false},""text"":""Heyyy girl! Have any questions about birth control? Just ask and I got you!"",""userId"":""01245b4c-8faa-4fed-99d4-5b08f626b1bf"",""intent"":{""name"":""Hey""}}","Hey",false
"2020-01-04T04:42:47.473Z","How long does it take for the pill to be effective ","{""userId"":""01245b4c-8faa-4fed-99d4-5b08f626b1bf"",""text"":""How long does it take for the pill to be effective ""}",,true
"2020-01-04T04:42:47.487Z","The morning after pill works best the sooner you take it. If you take it within 24 hours of unprotected sex, it’s 95% effective which means out of 100 women who take it within a day, 5 of them will get pregnant. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The morning after pill works best the sooner you take it. If you take it within 24 hours of unprotected sex, it’s 95% effective which means out of 100 women who take it within a day, 5 of them will get pregnant. ""},{""response_type"":""text"",""text"":""These odds decrease with each day and it’s only effective within 5 days of having sex. My advice? Take it ASAP!""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Tap here to scroll to the different types of birth control.</a> ""}],""nodes_visited"":[""node_39_1534981280909"",""node_32_1542142314822"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""The morning after pill works best the sooner you take it. If you take it within 24 hours of unprotected sex, it’s 95% effective which means out of 100 women who take it within a day, 5 of them will get pregnant. "",""These odds decrease with each day and it’s only effective within 5 days of having sex. My advice? Take it ASAP!"",""<a href=\""/#birth-control-types\"">Tap here to scroll to the different types of birth control.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""01245b4c-8faa-4fed-99d4-5b08f626b1bf""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_1_1544810991157"":{""1"":[0,0,4,1,5,3,2,6]},""node_12_1542240270828"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_32_1542142314822"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c8fdc17b-6600-4f15-994a-d455beb64155""},""input"":{""text"":""How long does it take for the pill to be effective ""},""intents"":[{""intent"":""Morning.After.efficacy"",""confidence"":0.6756687641143799}],""entities"":[{""location"":[26,34],""value"":""the pill"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The morning after pill works best the sooner you take it. If you take it within 24 hours of unprotected sex, it’s 95% effective which means out of 100 women who take it within a day, 5 of them will get pregnant. "",""userId"":""01245b4c-8faa-4fed-99d4-5b08f626b1bf"",""intent"":{""name"":""Morning.After.efficacy"",""inputs"":[{""name"":""Birth_Control"",""value"":""the pill""}]}}","Morning.After.efficacy",false
"2020-01-04T04:43:27.230Z","How long does it take for the birth control pill to be effective ","{""userId"":""01245b4c-8faa-4fed-99d4-5b08f626b1bf"",""text"":""How long does it take for the birth control pill to be effective ""}",,true
"2020-01-04T04:43:27.604Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""01245b4c-8faa-4fed-99d4-5b08f626b1bf"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T04:43:27.218Z","The morning after pill works best the sooner you take it. If you take it within 24 hours of unprotected sex, it’s 95% effective which means out of 100 women who take it within a day, 5 of them will get pregnant. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The morning after pill works best the sooner you take it. If you take it within 24 hours of unprotected sex, it’s 95% effective which means out of 100 women who take it within a day, 5 of them will get pregnant. ""},{""response_type"":""text"",""text"":""These odds decrease with each day and it’s only effective within 5 days of having sex. My advice? Take it ASAP!""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Tap here to go to a list of birth control options.</a>""}],""nodes_visited"":[""node_39_1534981280909"",""node_32_1542142314822"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""The morning after pill works best the sooner you take it. If you take it within 24 hours of unprotected sex, it’s 95% effective which means out of 100 women who take it within a day, 5 of them will get pregnant. "",""These odds decrease with each day and it’s only effective within 5 days of having sex. My advice? Take it ASAP!"",""<a href=\""/#birth-control-types\"">Tap here to go to a list of birth control options.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""01245b4c-8faa-4fed-99d4-5b08f626b1bf""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_1_1544810991157"":{""1"":[1,0,4,1,5,3,2,6]},""node_12_1542240270828"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_32_1542142314822"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c8fdc17b-6600-4f15-994a-d455beb64155""},""input"":{""text"":""How long does it take for the birth control pill to be effective ""},""intents"":[{""intent"":""Morning.After.efficacy"",""confidence"":0.43196513652801516}],""entities"":[{""location"":[30,48],""value"":""the pill"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The morning after pill works best the sooner you take it. If you take it within 24 hours of unprotected sex, it’s 95% effective which means out of 100 women who take it within a day, 5 of them will get pregnant. "",""userId"":""01245b4c-8faa-4fed-99d4-5b08f626b1bf"",""intent"":{""name"":""Morning.After.efficacy"",""inputs"":[{""name"":""Birth_Control"",""value"":""the pill""}]}}","Morning.After.efficacy",false
"2020-01-04T04:43:27.620Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""01245b4c-8faa-4fed-99d4-5b08f626b1bf""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_1_1544810991157"":{""1"":[1,0,4,1,5,3,2,6]},""node_12_1542240270828"":{""0"":[0,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_32_1542142314822"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c8fdc17b-6600-4f15-994a-d455beb64155""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""01245b4c-8faa-4fed-99d4-5b08f626b1bf"",""intent"":{""name"":""unknown""}}","unknown",false
