"Date","Text","Message JSON","Intent","Incoming"
"2020-01-03T08:04:53.902Z",,"{""userId"":""0199bbbe-90a8-4031-acbd-ebefc055f004""}",,true
"2020-01-03T08:04:53.901Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""0199bbbe-90a8-4031-acbd-ebefc055f004"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0199bbbe-90a8-4031-acbd-ebefc055f004""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""071d4b7c-5f78-445a-9e38-7e17345cbb2d""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-03T08:05:07.087Z","Can precum get you pregnant ","{""userId"":""0199bbbe-90a8-4031-acbd-ebefc055f004"",""text"":""Can precum get you pregnant ""}",,true
"2020-01-03T08:05:07.448Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""0199bbbe-90a8-4031-acbd-ebefc055f004"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-03T08:05:07.071Z","Pregnancy happens when sperm from a guy’s semen connects with a woman’s egg and that egg sticks itself to the side of that woman’s uterus. This is the only way. Grinding, kissing, and even oral sex can’t get you pregnant.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Pregnancy happens when sperm from a guy’s semen connects with a woman’s egg and that egg sticks itself to the side of that woman’s uterus. This is the only way. Grinding, kissing, and even oral sex can’t get you pregnant.""}],""nodes_visited"":[""node_10_1534788073260"",""node_17_1541716012364""],""text"":[""Pregnancy happens when sperm from a guy’s semen connects with a woman’s egg and that egg sticks itself to the side of that woman’s uterus. This is the only way. Grinding, kissing, and even oral sex can’t get you pregnant.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0199bbbe-90a8-4031-acbd-ebefc055f004""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_17_1541716012364"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""071d4b7c-5f78-445a-9e38-7e17345cbb2d""},""input"":{""text"":""Can precum get you pregnant ""},""intents"":[{""intent"":""Preg.how"",""confidence"":0.44501464366912846}],""entities"":[{""location"":[19,27],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1}],""alternate_intents"":false},""text"":""Pregnancy happens when sperm from a guy’s semen connects with a woman’s egg and that egg sticks itself to the side of that woman’s uterus. This is the only way. Grinding, kissing, and even oral sex can’t get you pregnant."",""userId"":""0199bbbe-90a8-4031-acbd-ebefc055f004"",""intent"":{""name"":""Preg.how"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""}]}}","Preg.how",false
"2020-01-03T08:05:07.460Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0199bbbe-90a8-4031-acbd-ebefc055f004""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_17_1541716012364"":{""0"":[0,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""071d4b7c-5f78-445a-9e38-7e17345cbb2d""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""0199bbbe-90a8-4031-acbd-ebefc055f004"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-03T08:05:19.060Z","What is pre-cum","{""userId"":""0199bbbe-90a8-4031-acbd-ebefc055f004"",""text"":""What is pre-cum""}",,true
"2020-01-03T08:05:19.044Z","Pre cum is the stuff that comes out of a guy’s penis before he actually comes. It helps keep things wet during sex - most times, neither of you can even feel it.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Pre cum is the stuff that comes out of a guy’s penis before he actually comes. It helps keep things wet during sex - most times, neither of you can even feel it.""},{""response_type"":""text"",""text"":""But I’ll keep it real with you, you can get pregnant at any point during sex, even if it’s just pre cum, so make sure you use a condom FROM THE BEGINNING if you don’t want to get pregnant. ""}],""nodes_visited"":[""node_2_1538074432566"",""node_4_1542402739768""],""text"":[""Pre cum is the stuff that comes out of a guy’s penis before he actually comes. It helps keep things wet during sex - most times, neither of you can even feel it."",""But I’ll keep it real with you, you can get pregnant at any point during sex, even if it’s just pre cum, so make sure you use a condom FROM THE BEGINNING if you don’t want to get pregnant. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0199bbbe-90a8-4031-acbd-ebefc055f004""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_17_1541716012364"":{""0"":[0,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1542402739768"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""071d4b7c-5f78-445a-9e38-7e17345cbb2d""},""input"":{""text"":""What is pre-cum""},""intents"":[{""intent"":""def_precum"",""confidence"":0.6840744972229005}],""entities"":[{""location"":[12,15],""value"":""ejaculate"",""entity"":""Ejaculate"",""confidence"":1}],""alternate_intents"":false},""text"":""Pre cum is the stuff that comes out of a guy’s penis before he actually comes. It helps keep things wet during sex - most times, neither of you can even feel it."",""userId"":""0199bbbe-90a8-4031-acbd-ebefc055f004"",""intent"":{""name"":""def_precum"",""inputs"":[{""name"":""Ejaculate"",""value"":""ejaculate""}]}}","def_precum",false
"2020-01-03T08:06:12.700Z","Pre-cum can get you pregnant?","{""userId"":""0199bbbe-90a8-4031-acbd-ebefc055f004"",""text"":""Pre-cum can get you pregnant?""}",,true
"2020-01-03T08:06:12.910Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""0199bbbe-90a8-4031-acbd-ebefc055f004"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
