"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T20:36:33.089Z",,"{""userId"":""0447dc23-f489-4903-8176-bfe3299d25b7""}",,true
"2020-01-04T20:36:33.074Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""0447dc23-f489-4903-8176-bfe3299d25b7"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0447dc23-f489-4903-8176-bfe3299d25b7""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b7dd7777-d924-484d-8bce-acebb54739af""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T20:36:54.340Z","Can i get pregnant with a condom","{""userId"":""0447dc23-f489-4903-8176-bfe3299d25b7"",""text"":""Can i get pregnant with a condom""}",,true
"2020-01-04T20:36:54.644Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""0447dc23-f489-4903-8176-bfe3299d25b7"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T20:36:54.353Z","Getting pregnant with an IUD is really rare but, it can happen. If you think you might be pregnant or have a positive pregnancy test with an IUD, you need to see your doctor ASAP.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Getting pregnant with an IUD is really rare but, it can happen. If you think you might be pregnant or have a positive pregnancy test with an IUD, you need to see your doctor ASAP.""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""options"":[{""value"":{""input"":{""text"":""How safe is the IUD?""}},""label"":""See how safe the IUD is here.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me something else.""}],""nodes_visited"":[""node_30_1534973487552"",""node_15_1541715775221""],""text"":[""Getting pregnant with an IUD is really rare but, it can happen. If you think you might be pregnant or have a positive pregnancy test with an IUD, you need to see your doctor ASAP."",""Or ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0447dc23-f489-4903-8176-bfe3299d25b7""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_15_1541715775221"":{""0"":[0],""3"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b7dd7777-d924-484d-8bce-acebb54739af""},""input"":{""text"":""Can i get pregnant with a condom""},""intents"":[{""intent"":""Preg.IUD"",""confidence"":0.4049966096878052}],""entities"":[{""location"":[10,18],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[24,32],""value"":""condom"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Getting pregnant with an IUD is really rare but, it can happen. If you think you might be pregnant or have a positive pregnancy test with an IUD, you need to see your doctor ASAP."",""userId"":""0447dc23-f489-4903-8176-bfe3299d25b7"",""intent"":{""name"":""Preg.IUD"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Birth_Control"",""value"":""condom""}]}}","Preg.IUD",false
"2020-01-04T20:36:54.629Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0447dc23-f489-4903-8176-bfe3299d25b7""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_15_1541715775221"":{""0"":[0],""3"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b7dd7777-d924-484d-8bce-acebb54739af""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""0447dc23-f489-4903-8176-bfe3299d25b7"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-04T20:37:17.826Z","Is it possible to get pregnant if i used a condom?","{""userId"":""0447dc23-f489-4903-8176-bfe3299d25b7"",""text"":""Is it possible to get pregnant if i used a condom?""}",,true
"2020-01-04T20:37:17.838Z","I'm just gonna say it: The morning after pill is NOT a replacement for birth control! It’s an emergency situation only type of thing, like a wild night and the condom breaks. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm just gonna say it: The morning after pill is NOT a replacement for birth control! It’s an emergency situation only type of thing, like a wild night and the condom breaks. ""},{""response_type"":""text"",""text"":""That said, you shouldn’t have any issues if you need to take it more than once. But if you keep having to take the morning after pill, it’s definitely time to get on birth control or switch to a better option that will work better for you.""},{""typing"":true,""response_type"":""pause"",""time"":3100},{""options"":[{""value"":{""input"":{""text"":""Which birth control is most effective?""}},""label"":""Tap here to see the most effective kinds of birth control.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or you can ask me more questions.""}],""nodes_visited"":[""node_49_1535407969958"",""node_30_1542142128199""],""text"":[""I'm just gonna say it: The morning after pill is NOT a replacement for birth control! It’s an emergency situation only type of thing, like a wild night and the condom breaks. "",""That said, you shouldn’t have any issues if you need to take it more than once. But if you keep having to take the morning after pill, it’s definitely time to get on birth control or switch to a better option that will work better for you."",""Or you can ask me more questions.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0447dc23-f489-4903-8176-bfe3299d25b7""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_30_1542142128199"":{""0"":[0],""1"":[0],""4"":[0]},""node_15_1541715775221"":{""0"":[0],""3"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b7dd7777-d924-484d-8bce-acebb54739af""},""input"":{""text"":""Is it possible to get pregnant if i used a condom?""},""intents"":[{""intent"":""Morning.After.overuse"",""confidence"":0.3171302318572998}],""entities"":[{""location"":[22,30],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[41,49],""value"":""condom"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm just gonna say it: The morning after pill is NOT a replacement for birth control! It’s an emergency situation only type of thing, like a wild night and the condom breaks. "",""userId"":""0447dc23-f489-4903-8176-bfe3299d25b7"",""intent"":{""name"":""Morning.After.overuse"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Birth_Control"",""value"":""condom""}]}}","Morning.After.overuse",false
"2020-01-04T20:37:18.070Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""0447dc23-f489-4903-8176-bfe3299d25b7"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T20:37:18.054Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0447dc23-f489-4903-8176-bfe3299d25b7""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_30_1542142128199"":{""0"":[0],""1"":[0],""4"":[0]},""node_15_1541715775221"":{""0"":[0],""3"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b7dd7777-d924-484d-8bce-acebb54739af""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""0447dc23-f489-4903-8176-bfe3299d25b7"",""intent"":{""name"":""unknown""}}","unknown",false
