"Date","Text","Message JSON","Intent","Incoming"
"2020-01-10T17:08:43.553Z",,"{""userId"":""06940645-ab52-4699-9ced-8c9bcdbaa1f0""}",,true
"2020-01-10T17:08:43.566Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""06940645-ab52-4699-9ced-8c9bcdbaa1f0"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""06940645-ab52-4699-9ced-8c9bcdbaa1f0""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""10ad3867-3ff6-4e99-a7a1-9503caac1464""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-10T17:09:24.581Z","How does a external condom work?","{""userId"":""06940645-ab52-4699-9ced-8c9bcdbaa1f0"",""text"":""How does a external condom work?""}",,true
"2020-01-10T17:09:24.594Z","A condom is a stretchy piece of latex or other kind of film that a guy covers his penis during sex. It works to catch and trap fluids - like pre cum and semen - so that they don’t enter the vagina, butt, or even mouth if you’re giving head. It’s a great form of birth control to prevent pregnancy and the ONLY way to prevent STDs.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""A condom is a stretchy piece of latex or other kind of film that a guy covers his penis during sex. It works to catch and trap fluids - like pre cum and semen - so that they don’t enter the vagina, butt, or even mouth if you’re giving head. It’s a great form of birth control to prevent pregnancy and the ONLY way to prevent STDs.""}],""nodes_visited"":[""node_25_1534879625810"",""node_45_1542651887315""],""text"":[""A condom is a stretchy piece of latex or other kind of film that a guy covers his penis during sex. It works to catch and trap fluids - like pre cum and semen - so that they don’t enter the vagina, butt, or even mouth if you’re giving head. It’s a great form of birth control to prevent pregnancy and the ONLY way to prevent STDs.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""06940645-ab52-4699-9ced-8c9bcdbaa1f0""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_45_1542651887315"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""10ad3867-3ff6-4e99-a7a1-9503caac1464""},""input"":{""text"":""How does a external condom work?""},""intents"":[{""intent"":""def_condom"",""confidence"":0.7328789234161377}],""entities"":[{""location"":[20,26],""value"":""condom"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""A condom is a stretchy piece of latex or other kind of film that a guy covers his penis during sex. It works to catch and trap fluids - like pre cum and semen - so that they don’t enter the vagina, butt, or even mouth if you’re giving head. It’s a great form of birth control to prevent pregnancy and the ONLY way to prevent STDs."",""userId"":""06940645-ab52-4699-9ced-8c9bcdbaa1f0"",""intent"":{""name"":""def_condom"",""inputs"":[{""name"":""Birth_Control"",""value"":""condom""}]}}","def_condom",false
"2020-01-10T17:10:29.733Z","How long does a external condom last?","{""userId"":""06940645-ab52-4699-9ced-8c9bcdbaa1f0"",""text"":""How long does a external condom last?""}",,true
"2020-01-10T17:10:29.748Z","A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom.""}],""nodes_visited"":[""node_41_1535404605625""],""text"":[""A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""06940645-ab52-4699-9ced-8c9bcdbaa1f0""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_41_1535404605625"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_45_1542651887315"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""10ad3867-3ff6-4e99-a7a1-9503caac1464""},""input"":{""text"":""How long does a external condom last?""},""intents"":[{""intent"":""def_condom.female"",""confidence"":0.38241077661514283}],""entities"":[{""location"":[25,31],""value"":""condom"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom."",""userId"":""06940645-ab52-4699-9ced-8c9bcdbaa1f0"",""intent"":{""name"":""def_condom.female"",""inputs"":[{""name"":""Birth_Control"",""value"":""condom""}]}}","def_condom.female",false
"2020-01-10T17:10:30.040Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""06940645-ab52-4699-9ced-8c9bcdbaa1f0"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-10T17:10:30.026Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""06940645-ab52-4699-9ced-8c9bcdbaa1f0""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_45_1542651887315"":{""0"":[0,0]},""node_41_1535404605625"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""10ad3867-3ff6-4e99-a7a1-9503caac1464""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""06940645-ab52-4699-9ced-8c9bcdbaa1f0"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-10T17:11:04.418Z","what are side effects of an external condom?","{""userId"":""06940645-ab52-4699-9ced-8c9bcdbaa1f0"",""text"":""what are side effects of an external condom?""}",,true
"2020-01-10T17:11:04.678Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""06940645-ab52-4699-9ced-8c9bcdbaa1f0"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
