"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T08:36:47.225Z",,"{""userId"":""07f26a67-a218-45f0-99d3-0608f8eab4c4""}",,true
"2020-01-04T08:36:47.224Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""07f26a67-a218-45f0-99d3-0608f8eab4c4"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""07f26a67-a218-45f0-99d3-0608f8eab4c4""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e65e6ffe-ffe9-4ded-baf1-fe25f900f84e""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T08:37:19.333Z","Can I get pregnant if I’m on birth control?","{""userId"":""07f26a67-a218-45f0-99d3-0608f8eab4c4"",""text"":""Can I get pregnant if I’m on birth control?""}",,true
"2020-01-04T08:37:19.571Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""07f26a67-a218-45f0-99d3-0608f8eab4c4"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T08:37:19.318Z","Getting pregnant with an IUD is really rare but, it can happen. If you think you might be pregnant or have a positive pregnancy test with an IUD, you need to see your doctor ASAP.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Getting pregnant with an IUD is really rare but, it can happen. If you think you might be pregnant or have a positive pregnancy test with an IUD, you need to see your doctor ASAP.""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""options"":[{""value"":{""input"":{""text"":""How safe is the IUD?""}},""label"":""See how safe the IUD is here.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me something else.""}],""nodes_visited"":[""node_30_1534973487552"",""node_15_1541715775221""],""text"":[""Getting pregnant with an IUD is really rare but, it can happen. If you think you might be pregnant or have a positive pregnancy test with an IUD, you need to see your doctor ASAP."",""Or ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""07f26a67-a218-45f0-99d3-0608f8eab4c4""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_15_1541715775221"":{""0"":[0],""3"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e65e6ffe-ffe9-4ded-baf1-fe25f900f84e""},""input"":{""text"":""Can I get pregnant if I’m on birth control?""},""intents"":[{""intent"":""Preg.IUD"",""confidence"":0.40899119377136234}],""entities"":[{""location"":[10,18],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[29,42],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Getting pregnant with an IUD is really rare but, it can happen. If you think you might be pregnant or have a positive pregnancy test with an IUD, you need to see your doctor ASAP."",""userId"":""07f26a67-a218-45f0-99d3-0608f8eab4c4"",""intent"":{""name"":""Preg.IUD"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Birth_Control"",""value"":""birth control""}]}}","Preg.IUD",false
"2020-01-04T08:37:19.582Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""07f26a67-a218-45f0-99d3-0608f8eab4c4""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_15_1541715775221"":{""0"":[0],""3"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e65e6ffe-ffe9-4ded-baf1-fe25f900f84e""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""07f26a67-a218-45f0-99d3-0608f8eab4c4"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-04T08:37:41.580Z","Can I get pregnant if I am on birth control?","{""userId"":""07f26a67-a218-45f0-99d3-0608f8eab4c4"",""text"":""Can I get pregnant if I am on birth control?""}",,true
"2020-01-04T08:37:41.799Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""07f26a67-a218-45f0-99d3-0608f8eab4c4"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T08:37:41.564Z","Getting pregnant with an IUD is really rare but, it can happen. If you think you might be pregnant or have a positive pregnancy test with an IUD, you need to see your doctor ASAP.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Getting pregnant with an IUD is really rare but, it can happen. If you think you might be pregnant or have a positive pregnancy test with an IUD, you need to see your doctor ASAP.""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""options"":[{""value"":{""input"":{""text"":""How safe is the IUD?""}},""label"":""See how safe the IUD is here.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me something else.""}],""nodes_visited"":[""node_30_1534973487552"",""node_15_1541715775221""],""text"":[""Getting pregnant with an IUD is really rare but, it can happen. If you think you might be pregnant or have a positive pregnancy test with an IUD, you need to see your doctor ASAP."",""Or ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""07f26a67-a218-45f0-99d3-0608f8eab4c4""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_15_1541715775221"":{""0"":[0],""3"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e65e6ffe-ffe9-4ded-baf1-fe25f900f84e""},""input"":{""text"":""Can I get pregnant if I am on birth control?""},""intents"":[{""intent"":""Preg.IUD"",""confidence"":0.40899119377136234}],""entities"":[{""location"":[10,18],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[30,43],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Getting pregnant with an IUD is really rare but, it can happen. If you think you might be pregnant or have a positive pregnancy test with an IUD, you need to see your doctor ASAP."",""userId"":""07f26a67-a218-45f0-99d3-0608f8eab4c4"",""intent"":{""name"":""Preg.IUD"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Birth_Control"",""value"":""birth control""}]}}","Preg.IUD",false
"2020-01-04T08:37:41.814Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""07f26a67-a218-45f0-99d3-0608f8eab4c4""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_15_1541715775221"":{""0"":[0],""3"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e65e6ffe-ffe9-4ded-baf1-fe25f900f84e""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""07f26a67-a218-45f0-99d3-0608f8eab4c4"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-04T08:38:06.106Z","How do I know if I have an STD ?","{""userId"":""07f26a67-a218-45f0-99d3-0608f8eab4c4"",""text"":""How do I know if I have an STD ?""}",,true
"2020-01-04T08:38:06.107Z","Signs of an STD are different between guys and girls. And sometimes, there aren’t any signs at all. Guys SOMETIMES have things like sores, blisters, or pain when they pee but most of the time, they won’t have any symptoms at all. For girls, STD symptoms might look like an itchy vagina, blisters, rashes, nasty discharge (I’m talking funky, yellow, or bloody stuff), or pain when peeing or during sex. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Signs of an STD are different between guys and girls. And sometimes, there aren’t any signs at all. Guys SOMETIMES have things like sores, blisters, or pain when they pee but most of the time, they won’t have any symptoms at all. For girls, STD symptoms might look like an itchy vagina, blisters, rashes, nasty discharge (I’m talking funky, yellow, or bloody stuff), or pain when peeing or during sex. ""},{""response_type"":""text"",""text"":""Honestly, the best way to know for sure is to get tested - ESPECIALLY if you think you might have an STD.""},{""typing"":true,""response_type"":""pause"",""time"":3100},{""options"":[{""value"":{""input"":{""text"":""What's it like to get an STD test?""}},""label"":""Tap here to learn about what it's like to take an STD test.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me another question.""}],""nodes_visited"":[""node_23_1535747185746"",""node_4_1541548466497""],""text"":[""Signs of an STD are different between guys and girls. And sometimes, there aren’t any signs at all. Guys SOMETIMES have things like sores, blisters, or pain when they pee but most of the time, they won’t have any symptoms at all. For girls, STD symptoms might look like an itchy vagina, blisters, rashes, nasty discharge (I’m talking funky, yellow, or bloody stuff), or pain when peeing or during sex. "",""Honestly, the best way to know for sure is to get tested - ESPECIALLY if you think you might have an STD."",""Or ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""07f26a67-a218-45f0-99d3-0608f8eab4c4""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_15_1541715775221"":{""0"":[0],""3"":[0]},""node_4_1541548466497"":{""0"":[0],""1"":[0],""4"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e65e6ffe-ffe9-4ded-baf1-fe25f900f84e""},""input"":{""text"":""How do I know if I have an STD ?""},""intents"":[{""intent"":""STDs.symptoms"",""confidence"":1}],""entities"":[{""location"":[27,30],""value"":""STD"",""entity"":""STD"",""confidence"":1}],""alternate_intents"":false},""text"":""Signs of an STD are different between guys and girls. And sometimes, there aren’t any signs at all. Guys SOMETIMES have things like sores, blisters, or pain when they pee but most of the time, they won’t have any symptoms at all. For girls, STD symptoms might look like an itchy vagina, blisters, rashes, nasty discharge (I’m talking funky, yellow, or bloody stuff), or pain when peeing or during sex. "",""userId"":""07f26a67-a218-45f0-99d3-0608f8eab4c4"",""intent"":{""name"":""STDs.symptoms"",""inputs"":[{""name"":""STD"",""value"":""STD""}]}}","STDs.symptoms",false
"2020-01-04T08:38:38.312Z","What's it like to get an STD test?","{""userId"":""07f26a67-a218-45f0-99d3-0608f8eab4c4"",""text"":""What's it like to get an STD test?""}",,true
