"Date","Text","Message JSON","Intent","Incoming"
"2020-01-19T08:00:12.932Z","Not suicidal ","{""userId"":""09ed9ff0-fa27-4a2d-a276-1ed3e26edcd5"",""text"":""Not suicidal ""}",,true
"2020-01-19T08:00:12.947Z","If you are having thoughts about harming yourself, call the National Suicide Prevention Lifeline 24/7 at 1-800-273-8255. You can also chat with them online at<a target=""_blank"" href=""https://suicidepreventionlifeline.org/""> National Suicide Prevention Lifeline</a>. You are not alone. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you are having thoughts about harming yourself, call the National Suicide Prevention Lifeline 24/7 at 1-800-273-8255. You can also chat with them online at<a target=\""_blank\"" href=\""https://suicidepreventionlifeline.org/\""> National Suicide Prevention Lifeline</a>. You are not alone. ""}],""nodes_visited"":[""node_5_1578599620873""],""text"":[""If you are having thoughts about harming yourself, call the National Suicide Prevention Lifeline 24/7 at 1-800-273-8255. You can also chat with them online at<a target=\""_blank\"" href=\""https://suicidepreventionlifeline.org/\""> National Suicide Prevention Lifeline</a>. You are not alone. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""09ed9ff0-fa27-4a2d-a276-1ed3e26edcd5""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_5_1578599620873"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""93042924-1899-46fc-898f-cc3f52c76b2e""},""input"":{""text"":""Not suicidal ""},""intents"":[{""intent"":""Suicide"",""confidence"":0.6627859115600586}],""alternate_intents"":false},""text"":""If you are having thoughts about harming yourself, call the National Suicide Prevention Lifeline 24/7 at 1-800-273-8255. You can also chat with them online at<a target=\""_blank\"" href=\""https://suicidepreventionlifeline.org/\""> National Suicide Prevention Lifeline</a>. You are not alone. "",""userId"":""09ed9ff0-fa27-4a2d-a276-1ed3e26edcd5"",""intent"":{""name"":""Suicide""}}","Suicide",false
"2020-01-19T08:02:37.318Z",,"{""userId"":""09ed9ff0-fa27-4a2d-a276-1ed3e26edcd5""}",,true
"2020-01-19T08:02:37.317Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""09ed9ff0-fa27-4a2d-a276-1ed3e26edcd5"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""09ed9ff0-fa27-4a2d-a276-1ed3e26edcd5""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3ea24316-ca18-4d0a-849a-7d254808075d""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-19T08:02:54.089Z","Thank you ","{""userId"":""09ed9ff0-fa27-4a2d-a276-1ed3e26edcd5"",""text"":""Thank you ""}",,true
"2020-01-19T08:02:54.076Z","No problem girl, I got you! If you have anything else to ask, let me know!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""No problem girl, I got you! If you have anything else to ask, let me know!""}],""nodes_visited"":[""node_7_1536089563638"",""node_2_1541394595763""],""text"":[""No problem girl, I got you! If you have anything else to ask, let me know!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""09ed9ff0-fa27-4a2d-a276-1ed3e26edcd5""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_2_1541394595763"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3ea24316-ca18-4d0a-849a-7d254808075d""},""input"":{""text"":""Thank you ""},""intents"":[{""intent"":""Thanks"",""confidence"":1}],""alternate_intents"":false},""text"":""No problem girl, I got you! If you have anything else to ask, let me know!"",""userId"":""09ed9ff0-fa27-4a2d-a276-1ed3e26edcd5"",""intent"":{""name"":""Thanks""}}","Thanks",false
"2020-01-19T08:03:44.005Z","I had sex for the first time without a condom  ","{""userId"":""09ed9ff0-fa27-4a2d-a276-1ed3e26edcd5"",""text"":""I had sex for the first time without a condom  ""}",,true
"2020-01-19T08:03:44.473Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""09ed9ff0-fa27-4a2d-a276-1ed3e26edcd5"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-19T08:03:44.006Z","A dental dam is a way to protect yourself against STDs during oral sex on a female. It's a thin piece of latex (the same stuff as a condom) that you put over your vagina.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""A dental dam is a way to protect yourself against STDs during oral sex on a female. It's a thin piece of latex (the same stuff as a condom) that you put over your vagina.""}],""nodes_visited"":[""node_26_1534881690008""],""text"":[""A dental dam is a way to protect yourself against STDs during oral sex on a female. It's a thin piece of latex (the same stuff as a condom) that you put over your vagina.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""09ed9ff0-fa27-4a2d-a276-1ed3e26edcd5""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_26_1534881690008"":{""0"":[0]},""node_2_1541394595763"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3ea24316-ca18-4d0a-849a-7d254808075d""},""input"":{""text"":""I had sex for the first time without a condom  ""},""intents"":[{""intent"":""def_dental.dam"",""confidence"":0.28271029591560365}],""entities"":[{""location"":[6,9],""value"":""sex"",""entity"":""Sex"",""confidence"":1},{""location"":[37,45],""value"":""condom"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""A dental dam is a way to protect yourself against STDs during oral sex on a female. It's a thin piece of latex (the same stuff as a condom) that you put over your vagina."",""userId"":""09ed9ff0-fa27-4a2d-a276-1ed3e26edcd5"",""intent"":{""name"":""def_dental.dam"",""inputs"":[{""name"":""Sex"",""value"":""sex""},{""name"":""Birth_Control"",""value"":""condom""}]}}","def_dental.dam",false
"2020-01-19T08:03:44.458Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""09ed9ff0-fa27-4a2d-a276-1ed3e26edcd5""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_26_1534881690008"":{""0"":[0]},""node_2_1541394595763"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3ea24316-ca18-4d0a-849a-7d254808075d""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""09ed9ff0-fa27-4a2d-a276-1ed3e26edcd5"",""intent"":{""name"":""unknown""}}","unknown",false
