"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T01:48:57.775Z",,"{""userId"":""0d9b2b22-cff1-4ba2-a158-17572949a25d""}",,true
"2020-01-04T01:48:57.775Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""0d9b2b22-cff1-4ba2-a158-17572949a25d"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0d9b2b22-cff1-4ba2-a158-17572949a25d""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3c4f03a4-9aeb-4d9c-a301-eb08726342bc""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T01:49:25.637Z","can i get pregnant first time having sex?","{""userId"":""0d9b2b22-cff1-4ba2-a158-17572949a25d"",""text"":""can i get pregnant first time having sex?""}",,true
"2020-01-04T01:49:25.623Z","You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.""}],""nodes_visited"":[""node_5_1535390316228"",""node_57_1542677951229""],""text"":[""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0d9b2b22-cff1-4ba2-a158-17572949a25d""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_57_1542677951229"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3c4f03a4-9aeb-4d9c-a301-eb08726342bc""},""input"":{""text"":""can i get pregnant first time having sex?""},""intents"":[{""intent"":""BC.and.virgins"",""confidence"":0.7256338596343994}],""entities"":[{""location"":[10,18],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[37,40],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex."",""userId"":""0d9b2b22-cff1-4ba2-a158-17572949a25d"",""intent"":{""name"":""BC.and.virgins"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Sex"",""value"":""sex""}]}}","BC.and.virgins",false
"2020-01-04T01:49:45.210Z","okay","{""userId"":""0d9b2b22-cff1-4ba2-a158-17572949a25d"",""text"":""okay""}",,true
"2020-01-04T01:49:45.196Z","Cool! Anything else you want to know?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Cool! Anything else you want to know?""}],""nodes_visited"":[""node_3_1539992200792"",""node_20_1542140038779""],""text"":[""Cool! Anything else you want to know?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0d9b2b22-cff1-4ba2-a158-17572949a25d""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_57_1542677951229"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_20_1542140038779"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3c4f03a4-9aeb-4d9c-a301-eb08726342bc""},""input"":{""text"":""okay""},""intents"":[{""intent"":""OK"",""confidence"":0.8777511119842529}],""alternate_intents"":false},""text"":""Cool! Anything else you want to know?"",""userId"":""0d9b2b22-cff1-4ba2-a158-17572949a25d"",""intent"":{""name"":""OK""}}","OK",false
"2020-01-04T01:49:52.081Z","fuck me","{""userId"":""0d9b2b22-cff1-4ba2-a158-17572949a25d"",""text"":""fuck me""}",,true
"2020-01-04T01:49:52.093Z","Don’t be like that girl! I’m here to help. What do you want to know about birth control? I got you!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Don’t be like that girl! I’m here to help. What do you want to know about birth control? I got you!""}],""nodes_visited"":[""node_9_1536090170166"",""node_6_1542239788669""],""text"":[""Don’t be like that girl! I’m here to help. What do you want to know about birth control? I got you!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0d9b2b22-cff1-4ba2-a158-17572949a25d""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_6_1542239788669"":{""0"":[0,0]},""node_57_1542677951229"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_20_1542140038779"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3c4f03a4-9aeb-4d9c-a301-eb08726342bc""},""input"":{""text"":""fuck me""},""intents"":[{""intent"":""I.Hate.You.Bot"",""confidence"":0.7787767410278321}],""entities"":[{""location"":[0,4],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""Don’t be like that girl! I’m here to help. What do you want to know about birth control? I got you!"",""userId"":""0d9b2b22-cff1-4ba2-a158-17572949a25d"",""intent"":{""name"":""I.Hate.You.Bot"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","I.Hate.You.Bot",false
"2020-01-04T01:50:02.311Z","hump me","{""userId"":""0d9b2b22-cff1-4ba2-a158-17572949a25d"",""text"":""hump me""}",,true
"2020-01-04T01:50:02.893Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""0d9b2b22-cff1-4ba2-a158-17572949a25d"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
