"Date","Text","Message JSON","Intent","Incoming"
"2020-01-05T19:19:40.336Z",,"{""userId"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9""}",,true
"2020-01-05T19:19:40.331Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b16726f5-2028-4b21-acc7-a27427ad5ceb""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-05T19:19:55.024Z","Why is my butthole itchy","{""userId"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9"",""text"":""Why is my butthole itchy""}",,true
"2020-01-05T19:19:55.012Z","If you are allergic to condoms, there are non-latex condoms you can use, and you can find them in the normal brands (like Trojan and Durex). ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you are allergic to condoms, there are non-latex condoms you can use, and you can find them in the normal brands (like Trojan and Durex). ""}],""nodes_visited"":[""node_35_1534975805348""],""text"":[""If you are allergic to condoms, there are non-latex condoms you can use, and you can find them in the normal brands (like Trojan and Durex). ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_35_1534975805348"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b16726f5-2028-4b21-acc7-a27427ad5ceb""},""input"":{""text"":""Why is my butthole itchy""},""intents"":[{""intent"":""Condom.allergy"",""confidence"":0.7952376365661622}],""alternate_intents"":false},""text"":""If you are allergic to condoms, there are non-latex condoms you can use, and you can find them in the normal brands (like Trojan and Durex). "",""userId"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9"",""intent"":{""name"":""Condom.allergy""}}","Condom.allergy",false
"2020-01-05T19:22:00.396Z","How do I shave my balls without cutting them","{""userId"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9"",""text"":""How do I shave my balls without cutting them""}",,true
"2020-01-05T19:22:00.585Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-05T19:22:00.396Z","The female body is seriously complicated. You have the vagina, labia, clitoris (aka the clit), and urethra that all make up the “vulva”. The clit is the sensitive bump right above your vagina that usually gets you to come.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The female body is seriously complicated. You have the vagina, labia, clitoris (aka the clit), and urethra that all make up the “vulva”. The clit is the sensitive bump right above your vagina that usually gets you to come.""},{""response_type"":""text"",""text"":""Above the vagina (on the inside) is your uterus and that’s where the egg gets fertilized with sperm. And the cervix is the small opening between the vagina and uterus.""}],""nodes_visited"":[""node_1_1540517127549"",""node_18_1542307714292""],""text"":[""The female body is seriously complicated. You have the vagina, labia, clitoris (aka the clit), and urethra that all make up the “vulva”. The clit is the sensitive bump right above your vagina that usually gets you to come."",""Above the vagina (on the inside) is your uterus and that’s where the egg gets fertilized with sperm. And the cervix is the small opening between the vagina and uterus.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_18_1542307714292"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_35_1534975805348"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b16726f5-2028-4b21-acc7-a27427ad5ceb""},""input"":{""text"":""How do I shave my balls without cutting them""},""intents"":[{""intent"":""def_vagina"",""confidence"":0.4903070211410523}],""entities"":[{""location"":[18,23],""value"":""Testicles"",""entity"":""Body_Parts"",""confidence"":1}],""alternate_intents"":false},""text"":""The female body is seriously complicated. You have the vagina, labia, clitoris (aka the clit), and urethra that all make up the “vulva”. The clit is the sensitive bump right above your vagina that usually gets you to come."",""userId"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9"",""intent"":{""name"":""def_vagina"",""inputs"":[{""name"":""Body_Parts"",""value"":""Testicles""}]}}","def_vagina",false
"2020-01-05T19:22:00.572Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_35_1534975805348"":{""0"":[0]},""node_18_1542307714292"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b16726f5-2028-4b21-acc7-a27427ad5ceb""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-05T19:22:17.530Z","How do I shave my testicles without cutting myself","{""userId"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9"",""text"":""How do I shave my testicles without cutting myself""}",,true
"2020-01-05T19:22:17.789Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-05T19:22:17.546Z","I didn't understand. You can try rephrasing.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I didn't understand. You can try rephrasing.""}],""nodes_visited"":[""Anything else""],""text"":[""I didn't understand. You can try rephrasing.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""Anything else"":{""0"":[0]},""node_35_1534975805348"":{""0"":[0]},""node_18_1542307714292"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b16726f5-2028-4b21-acc7-a27427ad5ceb""},""input"":{""text"":""How do I shave my testicles without cutting myself""},""intents"":[{""intent"":""Anal.safer.than.vaginal.inquiry"",""confidence"":0.41606919765472417}],""entities"":[{""location"":[18,27],""value"":""Testicles"",""entity"":""Body_Parts"",""confidence"":1}],""alternate_intents"":false},""text"":""I didn't understand. You can try rephrasing."",""userId"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9"",""intent"":{""name"":""Anal.safer.than.vaginal.inquiry"",""inputs"":[{""name"":""Body_Parts"",""value"":""Testicles""}]}}","Anal.safer.than.vaginal.inquiry",false
"2020-01-05T19:22:17.775Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""Anything else"":{""0"":[0]},""node_35_1534975805348"":{""0"":[0]},""node_18_1542307714292"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b16726f5-2028-4b21-acc7-a27427ad5ceb""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-05T19:22:43.132Z","How do I shave without cutting myself","{""userId"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9"",""text"":""How do I shave without cutting myself""}",,true
"2020-01-05T19:22:43.439Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-05T19:22:43.143Z","Putting on a condom can sound complicated the first time you’re trying to do it but, once you get the hang of it, it’s really easy and only takes a couple seconds. Pull it out of the wrapper and make sure the rim of the condom is on the OUTSIDE. This is important so you don’t put it on inside out.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Putting on a condom can sound complicated the first time you’re trying to do it but, once you get the hang of it, it’s really easy and only takes a couple seconds. Pull it out of the wrapper and make sure the rim of the condom is on the OUTSIDE. This is important so you don’t put it on inside out.""},{""response_type"":""text"",""text"":""Pinch the top of the condom and put it on the head of the penis leaving some room to catch the semen. Then, you just roll it down the penis and you’re done! ""}],""nodes_visited"":[""node_13_1535564447052"",""node_21_1542649883868""],""text"":[""Putting on a condom can sound complicated the first time you’re trying to do it but, once you get the hang of it, it’s really easy and only takes a couple seconds. Pull it out of the wrapper and make sure the rim of the condom is on the OUTSIDE. This is important so you don’t put it on inside out."",""Pinch the top of the condom and put it on the head of the penis leaving some room to catch the semen. Then, you just roll it down the penis and you’re done! ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9""},""system"":{""dialog_request_counter"":7,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":7,""_node_output_map"":{""Anything else"":{""0"":[0]},""node_35_1534975805348"":{""0"":[0]},""node_18_1542307714292"":{""0"":[0],""1"":[0]},""node_21_1542649883868"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b16726f5-2028-4b21-acc7-a27427ad5ceb""},""input"":{""text"":""How do I shave without cutting myself""},""intents"":[{""intent"":""Condom.how.put.on"",""confidence"":0.3923376798629761}],""alternate_intents"":false},""text"":""Putting on a condom can sound complicated the first time you’re trying to do it but, once you get the hang of it, it’s really easy and only takes a couple seconds. Pull it out of the wrapper and make sure the rim of the condom is on the OUTSIDE. This is important so you don’t put it on inside out."",""userId"":""0fdb176b-0c66-42cc-aef1-672d81a6d0b9"",""intent"":{""name"":""Condom.how.put.on""}}","Condom.how.put.on",false
