"Date","Text","Message JSON","Intent","Incoming"
"2020-01-23T17:22:45.023Z","birth control","{""userId"":""11e02703-45b5-4c4c-815a-54cedc5ca34a"",""text"":""birth control""}",,true
"2020-01-23T17:22:45.024Z","Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. ""},{""response_type"":""text"",""text"":""What works for your best friend, might not be the best choice for you so it’s really important to know about your options and have a heart to heart with your doctor (and yourself).""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/&__hash__;birth-control-types\"">Want more information on the different types of birth control? Tap here to go to a list of birth control types.</a>""}],""nodes_visited"":[""node_16_1534790514779"",""node_18_1541092071873"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. "",""What works for your best friend, might not be the best choice for you so it’s really important to know about your options and have a heart to heart with your doctor (and yourself)."",""<a href=\""/&__hash__;birth-control-types\"">Want more information on the different types of birth control? Tap here to go to a list of birth control types.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""11e02703-45b5-4c4c-815a-54cedc5ca34a""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_11_1541715692703"":{""0"":[0],""1"":[0],""2"":[0]},""node_1_1544810991157"":{""1"":[0,6,4,3,1,0,5,2]},""node_3_1544835959501"":{""1"":[0,2,4,0,3,1]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542398111548"":{""0"":[0],""1"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""5602fae3-3544-4819-bca8-81cecb576e29""},""input"":{""text"":""birth control""},""intents"":[{""intent"":""BC.types"",""confidence"":1}],""entities"":[{""location"":[0,13],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. "",""userId"":""11e02703-45b5-4c4c-815a-54cedc5ca34a"",""intent"":{""name"":""BC.types"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.types",false
"2020-01-23T17:23:40.997Z","😘✌🏽","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""😘✌🏽""}],""nodes_visited"":[""node_10_1536335289751"",""node_6_1542645880502""],""text"":[""😘✌🏽""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""11e02703-45b5-4c4c-815a-54cedc5ca34a""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,2,4,0,3,1]},""node_11_1541715692703"":{""0"":[0],""1"":[0],""2"":[0]},""node_1_1544810991157"":{""1"":[0,6,4,3,1,0,5,2]},""node_6_1542645880502"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542398111548"":{""0"":[0],""1"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""5602fae3-3544-4819-bca8-81cecb576e29""},""input"":{""text"":""birth contro""},""intents"":[{""intent"":""Bye"",""confidence"":0.34478747844696045}],""alternate_intents"":false},""text"":""😘✌🏽"",""userId"":""11e02703-45b5-4c4c-815a-54cedc5ca34a"",""intent"":{""name"":""Bye""}}","Bye",false
"2020-01-23T17:23:41.012Z","birth contro","{""userId"":""11e02703-45b5-4c4c-815a-54cedc5ca34a"",""text"":""birth contro""}",,true
"2020-01-23T17:23:41.284Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""11e02703-45b5-4c4c-815a-54cedc5ca34a"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-23T17:23:41.298Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""11e02703-45b5-4c4c-815a-54cedc5ca34a""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,2,4,0,3,1]},""node_1_1540844990941"":{""0"":[0]},""node_11_1541715692703"":{""0"":[0],""1"":[0],""2"":[0]},""node_1_1544810991157"":{""1"":[0,6,4,3,1,0,5,2]},""node_6_1542645880502"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542398111548"":{""0"":[0],""1"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""5602fae3-3544-4819-bca8-81cecb576e29""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""11e02703-45b5-4c4c-815a-54cedc5ca34a"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-23T17:23:45.845Z","birth control","{""userId"":""11e02703-45b5-4c4c-815a-54cedc5ca34a"",""text"":""birth control""}",,true
"2020-01-23T17:23:45.845Z","Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. ""},{""response_type"":""text"",""text"":""What works for your best friend, might not be the best choice for you so it’s really important to know about your options and have a heart to heart with your doctor (and yourself).""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/&__hash__;birth-control-types\"">Tap here to go to a list of birth control options.</a>""}],""nodes_visited"":[""node_16_1534790514779"",""node_18_1541092071873"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. "",""What works for your best friend, might not be the best choice for you so it’s really important to know about your options and have a heart to heart with your doctor (and yourself)."",""<a href=\""/&__hash__;birth-control-types\"">Tap here to go to a list of birth control options.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""11e02703-45b5-4c4c-815a-54cedc5ca34a""},""system"":{""dialog_request_counter"":7,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":7,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,2,4,0,3,1]},""node_1_1540844990941"":{""0"":[0]},""node_11_1541715692703"":{""0"":[0],""1"":[0],""2"":[0]},""node_1_1544810991157"":{""1"":[1,6,4,3,1,0,5,2]},""node_6_1542645880502"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542398111548"":{""0"":[0],""1"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""5602fae3-3544-4819-bca8-81cecb576e29""},""input"":{""text"":""birth control""},""intents"":[{""intent"":""BC.types"",""confidence"":1}],""entities"":[{""location"":[0,13],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. "",""userId"":""11e02703-45b5-4c4c-815a-54cedc5ca34a"",""intent"":{""name"":""BC.types"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.types",false
"2020-01-23T17:24:24.663Z","thaks","{""userId"":""11e02703-45b5-4c4c-815a-54cedc5ca34a"",""text"":""thaks""}",,true
"2020-01-23T17:24:24.649Z","I'm sorry - I didn't understand. Can you try asking in a different way? ","{""userId"":""11e02703-45b5-4c4c-815a-54cedc5ca34a"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry - I didn't understand. Can you try asking in a different way? ""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""I'm sorry - I didn't understand. Can you try asking in a different way? ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""11e02703-45b5-4c4c-815a-54cedc5ca34a""},""system"":{""dialog_request_counter"":8,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":8,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,2,4,0,3,1]},""node_1_1540844990941"":{""0"":[0]},""node_11_1541715692703"":{""0"":[0],""1"":[0],""2"":[0]},""node_2_1540920316188"":{""0"":[0,1,5,3,4,0,2]},""node_1_1544810991157"":{""1"":[1,6,4,3,1,0,5,2]},""node_6_1542645880502"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542398111548"":{""0"":[0],""1"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""5602fae3-3544-4819-bca8-81cecb576e29""},""input"":{""text"":""thaks""},""alternate_intents"":false},""text"":""I'm sorry - I didn't understand. Can you try asking in a different way? ""}",,false
"2020-01-23T17:24:25.900Z","thanks","{""userId"":""11e02703-45b5-4c4c-815a-54cedc5ca34a"",""text"":""thanks""}",,true
"2020-01-23T17:24:25.915Z","No problem girl, I got you! If you have anything else to ask, let me know!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""No problem girl, I got you! If you have anything else to ask, let me know!""}],""nodes_visited"":[""node_7_1536089563638"",""node_2_1541394595763""],""text"":[""No problem girl, I got you! If you have anything else to ask, let me know!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""11e02703-45b5-4c4c-815a-54cedc5ca34a""},""system"":{""dialog_request_counter"":9,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":9,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,2,4,0,3,1]},""node_1_1540844990941"":{""0"":[0]},""node_11_1541715692703"":{""0"":[0],""1"":[0],""2"":[0]},""node_2_1540920316188"":{""0"":[0,1,5,3,4,0,2]},""node_1_1544810991157"":{""1"":[1,6,4,3,1,0,5,2]},""node_6_1542645880502"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542398111548"":{""0"":[0],""1"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]},""node_2_1541394595763"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""5602fae3-3544-4819-bca8-81cecb576e29""},""input"":{""text"":""thanks""},""intents"":[{""intent"":""Thanks"",""confidence"":1}],""alternate_intents"":false},""text"":""No problem girl, I got you! If you have anything else to ask, let me know!"",""userId"":""11e02703-45b5-4c4c-815a-54cedc5ca34a"",""intent"":{""name"":""Thanks""}}","Thanks",false
"2020-01-23T17:24:31.053Z","thanks love u","{""userId"":""11e02703-45b5-4c4c-815a-54cedc5ca34a"",""text"":""thanks love u""}",,true
"2020-01-23T17:24:31.291Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""11e02703-45b5-4c4c-815a-54cedc5ca34a"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-23T17:24:31.040Z","No problem girl, I got you! If you have anything else to ask, let me know!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""No problem girl, I got you! If you have anything else to ask, let me know!""}],""nodes_visited"":[""node_7_1536089563638"",""node_2_1541394595763""],""text"":[""No problem girl, I got you! If you have anything else to ask, let me know!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""11e02703-45b5-4c4c-815a-54cedc5ca34a""},""system"":{""dialog_request_counter"":10,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":10,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,2,4,0,3,1]},""node_1_1540844990941"":{""0"":[0]},""node_11_1541715692703"":{""0"":[0],""1"":[0],""2"":[0]},""node_2_1540920316188"":{""0"":[0,1,5,3,4,0,2]},""node_1_1544810991157"":{""1"":[1,6,4,3,1,0,5,2]},""node_6_1542645880502"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542398111548"":{""0"":[0],""1"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]},""node_2_1541394595763"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""5602fae3-3544-4819-bca8-81cecb576e29""},""input"":{""text"":""thanks love u""},""intents"":[{""intent"":""Thanks"",""confidence"":0.2864992845489098}],""alternate_intents"":false},""text"":""No problem girl, I got you! If you have anything else to ask, let me know!"",""userId"":""11e02703-45b5-4c4c-815a-54cedc5ca34a"",""intent"":{""name"":""Thanks""}}","Thanks",false
"2020-01-23T17:24:31.306Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""11e02703-45b5-4c4c-815a-54cedc5ca34a""},""system"":{""dialog_request_counter"":11,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":11,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,2,4,0,3,1]},""node_1_1540844990941"":{""0"":[0]},""node_11_1541715692703"":{""0"":[0],""1"":[0],""2"":[0]},""node_2_1540920316188"":{""0"":[0,1,5,3,4,0,2]},""node_1_1544810991157"":{""1"":[1,6,4,3,1,0,5,2]},""node_6_1542645880502"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542398111548"":{""0"":[0],""1"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]},""node_2_1541394595763"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""5602fae3-3544-4819-bca8-81cecb576e29""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""11e02703-45b5-4c4c-815a-54cedc5ca34a"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-23T17:24:53.108Z","am i pregnant","{""userId"":""11e02703-45b5-4c4c-815a-54cedc5ca34a"",""text"":""am i pregnant""}",,true
