"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T23:19:18.910Z",,"{""userId"":""1b78661b-c5ac-4e16-aad7-44d35396fdc9""}",,true
"2020-01-04T23:19:18.911Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""1b78661b-c5ac-4e16-aad7-44d35396fdc9"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""1b78661b-c5ac-4e16-aad7-44d35396fdc9""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""74a0c826-866a-4470-9025-1ba906471015""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T23:20:39.483Z","is it bad to have sex at a young age, i have always heard it is and lived by it. but is it really that bad if you use protection ","{""userId"":""1b78661b-c5ac-4e16-aad7-44d35396fdc9"",""text"":""is it bad to have sex at a young age, i have always heard it is and lived by it. but is it really that bad if you use protection ""}",,true
"2020-01-04T23:20:39.842Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""1b78661b-c5ac-4e16-aad7-44d35396fdc9"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T23:20:39.485Z","You can get pregnant any time you have sex. This means at any time during the month, even on your period. Sperm can survive up to 5 DAYS in a woman’s body so even towards the end of your period, you’re risking pregnancy. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can get pregnant any time you have sex. This means at any time during the month, even on your period. Sperm can survive up to 5 DAYS in a woman’s body so even towards the end of your period, you’re risking pregnancy. ""},{""response_type"":""text"",""text"":""If you don’t want to get pregnant, use birth control so you can have sex whenever you want 😃.""}],""nodes_visited"":[""node_2_1534536009510"",""node_4_1541708593861""],""text"":[""You can get pregnant any time you have sex. This means at any time during the month, even on your period. Sperm can survive up to 5 DAYS in a woman’s body so even towards the end of your period, you’re risking pregnancy. "",""If you don’t want to get pregnant, use birth control so you can have sex whenever you want 😃.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""1b78661b-c5ac-4e16-aad7-44d35396fdc9""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_4_1541708593861"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""74a0c826-866a-4470-9025-1ba906471015""},""input"":{""text"":""is it bad to have sex at a young age, i have always heard it is and lived by it. but is it really that bad if you use protection ""},""intents"":[{""intent"":""Preg.time"",""confidence"":0.4203319072723389}],""entities"":[{""location"":[18,21],""value"":""sex"",""entity"":""Sex"",""confidence"":1},{""location"":[118,128],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""You can get pregnant any time you have sex. This means at any time during the month, even on your period. Sperm can survive up to 5 DAYS in a woman’s body so even towards the end of your period, you’re risking pregnancy. "",""userId"":""1b78661b-c5ac-4e16-aad7-44d35396fdc9"",""intent"":{""name"":""Preg.time"",""inputs"":[{""name"":""Sex"",""value"":""sex""},{""name"":""Birth_Control"",""value"":""birth control""}]}}","Preg.time",false
"2020-01-04T23:20:39.830Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""1b78661b-c5ac-4e16-aad7-44d35396fdc9""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_4_1541708593861"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""74a0c826-866a-4470-9025-1ba906471015""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""1b78661b-c5ac-4e16-aad7-44d35396fdc9"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-04T23:20:58.014Z","is it bad to have sex at a young age","{""userId"":""1b78661b-c5ac-4e16-aad7-44d35396fdc9"",""text"":""is it bad to have sex at a young age""}",,true
"2020-01-04T23:20:58.000Z","There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. ""},{""response_type"":""text"",""text"":""That way you’re already covered when you start having sex because YES, you CAN get pregnant the first time.""},{""typing"":true,""response_type"":""pause"",""time"":2200},{""options"":[{""value"":{""input"":{""text"":""How do I choose the right kind of birth control?""}},""label"":""Tap here to learn about choosing the best birth control for you.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or you can ask me another question.""}],""nodes_visited"":[""node_7_1535646904489"",""node_26_1541630799961""],""text"":[""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. "",""That way you’re already covered when you start having sex because YES, you CAN get pregnant the first time."",""Or you can ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""1b78661b-c5ac-4e16-aad7-44d35396fdc9""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_4_1541708593861"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""74a0c826-866a-4470-9025-1ba906471015""},""input"":{""text"":""is it bad to have sex at a young age""},""intents"":[{""intent"":""Sex.when.start"",""confidence"":0.810840654373169}],""entities"":[{""location"":[18,21],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. "",""userId"":""1b78661b-c5ac-4e16-aad7-44d35396fdc9"",""intent"":{""name"":""Sex.when.start"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Sex.when.start",false
"2020-01-04T23:21:32.306Z","will sex be uncomfortable ","{""userId"":""1b78661b-c5ac-4e16-aad7-44d35396fdc9"",""text"":""will sex be uncomfortable ""}",,true
"2020-01-04T23:21:32.291Z","Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ""},{""response_type"":""text"",""text"":""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for more info on doctors or clinics near you.</a>""}],""nodes_visited"":[""node_6_1535644870528"",""node_30_1541631510471"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on."",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for more info on doctors or clinics near you.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""1b78661b-c5ac-4e16-aad7-44d35396fdc9""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_4_1541708593861"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,4,0,1,3,2]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""74a0c826-866a-4470-9025-1ba906471015""},""input"":{""text"":""will sex be uncomfortable ""},""intents"":[{""intent"":""Sex.pain"",""confidence"":0.6306726455688476}],""entities"":[{""location"":[5,8],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""userId"":""1b78661b-c5ac-4e16-aad7-44d35396fdc9"",""intent"":{""name"":""Sex.pain"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Sex.pain",false
