"Date","Text","Message JSON","Intent","Incoming"
"2020-01-10T18:29:08.855Z",,"{""userId"":""1d066c76-1560-4c87-9335-131a0b8ae308""}",,true
"2020-01-10T18:29:08.854Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""1d066c76-1560-4c87-9335-131a0b8ae308"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""1d066c76-1560-4c87-9335-131a0b8ae308""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""afb9eda8-3fb0-48ab-9aaf-729a69f3f45d""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-10T18:29:30.465Z","diaphragm","{""userId"":""1d066c76-1560-4c87-9335-131a0b8ae308"",""text"":""diaphragm""}",,true
"2020-01-10T18:29:30.453Z","A diaphragm is a little cup that you put into your vagina that blocks sperm. Because we're all different, a doctor will need to fit you for a diaphragm. You put it in kind of like a tampon, but you push it as far up as it can go. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""A diaphragm is a little cup that you put into your vagina that blocks sperm. Because we're all different, a doctor will need to fit you for a diaphragm. You put it in kind of like a tampon, but you push it as far up as it can go. ""},{""typing"":true,""response_type"":""pause"",""time"":2000},{""response_type"":""text"",""text"":""Taking it out is easy - you just stick your fingers up and slowly pull it out. You need to use it every time you have sex, WITH spermicide. ""}],""nodes_visited"":[""node_40_1535404268300""],""text"":[""A diaphragm is a little cup that you put into your vagina that blocks sperm. Because we're all different, a doctor will need to fit you for a diaphragm. You put it in kind of like a tampon, but you push it as far up as it can go. "",""Taking it out is easy - you just stick your fingers up and slowly pull it out. You need to use it every time you have sex, WITH spermicide. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""1d066c76-1560-4c87-9335-131a0b8ae308""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_40_1535404268300"":{""0"":[0],""2"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""afb9eda8-3fb0-48ab-9aaf-729a69f3f45d""},""input"":{""text"":""diaphragm""},""intents"":[{""intent"":""def_diaphragm"",""confidence"":1}],""entities"":[{""location"":[0,9],""value"":""diaphragm"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""A diaphragm is a little cup that you put into your vagina that blocks sperm. Because we're all different, a doctor will need to fit you for a diaphragm. You put it in kind of like a tampon, but you push it as far up as it can go. "",""userId"":""1d066c76-1560-4c87-9335-131a0b8ae308"",""intent"":{""name"":""def_diaphragm"",""inputs"":[{""name"":""Birth_Control"",""value"":""diaphragm""}]}}","def_diaphragm",false
"2020-01-10T18:30:45.925Z","how does the diaphragm","{""userId"":""1d066c76-1560-4c87-9335-131a0b8ae308"",""text"":""how does the diaphragm""}",,true
"2020-01-10T18:30:45.925Z","A diaphragm is a little cup that you put into your vagina that blocks sperm. Because we're all different, a doctor will need to fit you for a diaphragm. You put it in kind of like a tampon, but you push it as far up as it can go. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""A diaphragm is a little cup that you put into your vagina that blocks sperm. Because we're all different, a doctor will need to fit you for a diaphragm. You put it in kind of like a tampon, but you push it as far up as it can go. ""},{""typing"":true,""response_type"":""pause"",""time"":2000},{""response_type"":""text"",""text"":""Taking it out is easy - you just stick your fingers up and slowly pull it out. You need to use it every time you have sex, WITH spermicide. ""}],""nodes_visited"":[""node_40_1535404268300""],""text"":[""A diaphragm is a little cup that you put into your vagina that blocks sperm. Because we're all different, a doctor will need to fit you for a diaphragm. You put it in kind of like a tampon, but you push it as far up as it can go. "",""Taking it out is easy - you just stick your fingers up and slowly pull it out. You need to use it every time you have sex, WITH spermicide. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""1d066c76-1560-4c87-9335-131a0b8ae308""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_40_1535404268300"":{""0"":[0],""2"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""afb9eda8-3fb0-48ab-9aaf-729a69f3f45d""},""input"":{""text"":""how does the diaphragm""},""intents"":[{""intent"":""def_diaphragm"",""confidence"":0.7035482406616211}],""entities"":[{""location"":[13,22],""value"":""diaphragm"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""A diaphragm is a little cup that you put into your vagina that blocks sperm. Because we're all different, a doctor will need to fit you for a diaphragm. You put it in kind of like a tampon, but you push it as far up as it can go. "",""userId"":""1d066c76-1560-4c87-9335-131a0b8ae308"",""intent"":{""name"":""def_diaphragm"",""inputs"":[{""name"":""Birth_Control"",""value"":""diaphragm""}]}}","def_diaphragm",false
"2020-01-10T18:30:57.027Z","how does the diaphragm work","{""userId"":""1d066c76-1560-4c87-9335-131a0b8ae308"",""text"":""how does the diaphragm work""}",,true
"2020-01-10T18:30:57.012Z","For the typical person who uses a diaphragm, they are 88% effective. That means out of every 100 women who use a diaphragm, 12 of them get pregnant. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""For the typical person who uses a diaphragm, they are 88% effective. That means out of every 100 women who use a diaphragm, 12 of them get pregnant. ""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Want more information on the different types of birth control? Tap here to go to a list of birth control types.</a>""}],""nodes_visited"":[""node_21_1534965710349"",""node_8_1543960040170"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""For the typical person who uses a diaphragm, they are 88% effective. That means out of every 100 women who use a diaphragm, 12 of them get pregnant. "",""<a href=\""/#birth-control-types\"">Want more information on the different types of birth control? Tap here to go to a list of birth control types.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""1d066c76-1560-4c87-9335-131a0b8ae308""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_1_1544810991157"":{""1"":[0,6,3,1,5,2,4,0]},""node_8_1543960040170"":{""0"":[0]},""node_40_1535404268300"":{""0"":[0],""2"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""afb9eda8-3fb0-48ab-9aaf-729a69f3f45d""},""input"":{""text"":""how does the diaphragm work""},""intents"":[{""intent"":""Diaphragm.efficacy"",""confidence"":0.8890194416046142}],""entities"":[{""location"":[13,22],""value"":""diaphragm"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""For the typical person who uses a diaphragm, they are 88% effective. That means out of every 100 women who use a diaphragm, 12 of them get pregnant. "",""userId"":""1d066c76-1560-4c87-9335-131a0b8ae308"",""intent"":{""name"":""Diaphragm.efficacy"",""inputs"":[{""name"":""Birth_Control"",""value"":""diaphragm""}]}}","Diaphragm.efficacy",false
"2020-01-10T18:31:08.692Z","hi <3","{""userId"":""1d066c76-1560-4c87-9335-131a0b8ae308"",""text"":""hi <3""}",,true
"2020-01-10T18:31:08.704Z","Heyyy girl! Have any questions about birth control? Just ask and I got you!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Heyyy girl! Have any questions about birth control? Just ask and I got you!""}],""nodes_visited"":[""node_12_1539832480514"",""node_12_1542240270828""],""text"":[""Heyyy girl! Have any questions about birth control? Just ask and I got you!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""1d066c76-1560-4c87-9335-131a0b8ae308""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_1_1544810991157"":{""1"":[0,6,3,1,5,2,4,0]},""node_12_1542240270828"":{""0"":[0,0]},""node_8_1543960040170"":{""0"":[0]},""node_40_1535404268300"":{""0"":[0],""2"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""afb9eda8-3fb0-48ab-9aaf-729a69f3f45d""},""input"":{""text"":""hi <3""},""intents"":[{""intent"":""Hey"",""confidence"":0.9605382919311525}],""entities"":[{""location"":[4,5],""metadata"":{""numeric_value"":3},""value"":""3"",""entity"":""sys-number"",""confidence"":1}],""alternate_intents"":false},""text"":""Heyyy girl! Have any questions about birth control? Just ask and I got you!"",""userId"":""1d066c76-1560-4c87-9335-131a0b8ae308"",""intent"":{""name"":""Hey"",""inputs"":[{""name"":""sys-number"",""value"":""3""}]}}","Hey",false
