"Date","Text","Message JSON","Intent","Incoming"
"2020-01-11T02:18:07.682Z",,"{""userId"":""25d224d5-121d-4b2b-98d8-e950acf10cc8""}",,true
"2020-01-11T02:18:07.681Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""25d224d5-121d-4b2b-98d8-e950acf10cc8"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""25d224d5-121d-4b2b-98d8-e950acf10cc8""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f34267b8-e8f4-4ee3-a334-134028656d84""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-11T02:18:35.142Z","Can you get pregnant if someone pull out?","{""userId"":""25d224d5-121d-4b2b-98d8-e950acf10cc8"",""text"":""Can you get pregnant if someone pull out?""}",,true
"2020-01-11T02:18:35.675Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""25d224d5-121d-4b2b-98d8-e950acf10cc8"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-11T02:18:35.130Z","Abstinence and pulling out (aka withdrawal) are not the same. Abstinence means that a person isn't having sex at all. Pulling out is when a guy is having sex and tries to pull out of a woman before he cums. I don't recommend pulling out because you have to depend on a guy to stop himself during sex. There are tons of types of birth control that are really easy and effective. You don't need to be having sex to use them, because some of them clear up acne and regulate your period. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Abstinence and pulling out (aka withdrawal) are not the same. Abstinence means that a person isn't having sex at all. Pulling out is when a guy is having sex and tries to pull out of a woman before he cums. I don't recommend pulling out because you have to depend on a guy to stop himself during sex. There are tons of types of birth control that are really easy and effective. You don't need to be having sex to use them, because some of them clear up acne and regulate your period. ""}],""nodes_visited"":[""node_1_1539375043866""],""text"":[""Abstinence and pulling out (aka withdrawal) are not the same. Abstinence means that a person isn't having sex at all. Pulling out is when a guy is having sex and tries to pull out of a woman before he cums. I don't recommend pulling out because you have to depend on a guy to stop himself during sex. There are tons of types of birth control that are really easy and effective. You don't need to be having sex to use them, because some of them clear up acne and regulate your period. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""25d224d5-121d-4b2b-98d8-e950acf10cc8""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_1_1539375043866"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f34267b8-e8f4-4ee3-a334-134028656d84""},""input"":{""text"":""Can you get pregnant if someone pull out?""},""intents"":[{""intent"":""Withdrawal.vs.Abstinence"",""confidence"":0.29649100303649906}],""entities"":[{""location"":[12,20],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[32,40],""value"":""Withdrawal"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Abstinence and pulling out (aka withdrawal) are not the same. Abstinence means that a person isn't having sex at all. Pulling out is when a guy is having sex and tries to pull out of a woman before he cums. I don't recommend pulling out because you have to depend on a guy to stop himself during sex. There are tons of types of birth control that are really easy and effective. You don't need to be having sex to use them, because some of them clear up acne and regulate your period. "",""userId"":""25d224d5-121d-4b2b-98d8-e950acf10cc8"",""intent"":{""name"":""Withdrawal.vs.Abstinence"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Birth_Control"",""value"":""Withdrawal""}]}}","Withdrawal.vs.Abstinence",false
"2020-01-11T02:18:35.686Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""25d224d5-121d-4b2b-98d8-e950acf10cc8""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_1_1539375043866"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f34267b8-e8f4-4ee3-a334-134028656d84""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""25d224d5-121d-4b2b-98d8-e950acf10cc8"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-11T02:19:00.806Z","Can you get pregnant if some don’t nut in you ","{""userId"":""25d224d5-121d-4b2b-98d8-e950acf10cc8"",""text"":""Can you get pregnant if some don’t nut in you ""}",,true
"2020-01-11T02:19:00.792Z","You can get pregnant any time you have sex. Even if you don’t cum. Pregnancy is caused by a GUY coming inside you, so if that happens, you can get pregnant.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can get pregnant any time you have sex. Even if you don’t cum. Pregnancy is caused by a GUY coming inside you, so if that happens, you can get pregnant.""}],""nodes_visited"":[""node_5_1534538003838"",""node_3_1541715031036""],""text"":[""You can get pregnant any time you have sex. Even if you don’t cum. Pregnancy is caused by a GUY coming inside you, so if that happens, you can get pregnant.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""25d224d5-121d-4b2b-98d8-e950acf10cc8""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_3_1541715031036"":{""0"":[0,0]},""node_1_1539375043866"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f34267b8-e8f4-4ee3-a334-134028656d84""},""input"":{""text"":""Can you get pregnant if some don’t nut in you ""},""intents"":[{""intent"":""Preg.orgasm"",""confidence"":0.7822908401489259}],""entities"":[{""location"":[12,20],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[35,38],""value"":""ejaculate"",""entity"":""Ejaculate"",""confidence"":1}],""alternate_intents"":false},""text"":""You can get pregnant any time you have sex. Even if you don’t cum. Pregnancy is caused by a GUY coming inside you, so if that happens, you can get pregnant."",""userId"":""25d224d5-121d-4b2b-98d8-e950acf10cc8"",""intent"":{""name"":""Preg.orgasm"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Ejaculate"",""value"":""ejaculate""}]}}","Preg.orgasm",false
"2020-01-11T02:19:30.063Z","Can you get pregnant if you don’t use condoms","{""userId"":""25d224d5-121d-4b2b-98d8-e950acf10cc8"",""text"":""Can you get pregnant if you don’t use condoms""}",,true
"2020-01-11T02:19:30.063Z","Condoms are 82% effective which means out of 100 women who use condoms during sex, 28 of them will get pregnant. Yea, I’m not too happy about those odds either.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Condoms are 82% effective which means out of 100 women who use condoms during sex, 28 of them will get pregnant. Yea, I’m not too happy about those odds either.""},{""response_type"":""text"",""text"":""Condoms ARE really good at preventing STDs though so you should definitely still use them for protection. As far as preventing pregnancy? You should look into some other types of birth control that are more effective. ""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Tap here to scroll to a list of birth control types.</a> ""}],""nodes_visited"":[""node_23_1534966345572"",""node_18_1542648297568"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""Condoms are 82% effective which means out of 100 women who use condoms during sex, 28 of them will get pregnant. Yea, I’m not too happy about those odds either."",""Condoms ARE really good at preventing STDs though so you should definitely still use them for protection. As far as preventing pregnancy? You should look into some other types of birth control that are more effective. "",""<a href=\""/#birth-control-types\"">Tap here to scroll to a list of birth control types.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""25d224d5-121d-4b2b-98d8-e950acf10cc8""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_18_1542648297568"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,2,5,0,4,3,6,1]},""node_3_1541715031036"":{""0"":[0,0]},""node_1_1539375043866"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f34267b8-e8f4-4ee3-a334-134028656d84""},""input"":{""text"":""Can you get pregnant if you don’t use condoms""},""intents"":[{""intent"":""Condom.efficacy"",""confidence"":0.9772535324096681}],""entities"":[{""location"":[12,20],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[38,45],""value"":""condom"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Condoms are 82% effective which means out of 100 women who use condoms during sex, 28 of them will get pregnant. Yea, I’m not too happy about those odds either."",""userId"":""25d224d5-121d-4b2b-98d8-e950acf10cc8"",""intent"":{""name"":""Condom.efficacy"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Birth_Control"",""value"":""condom""}]}}","Condom.efficacy",false
