"Date","Text","Message JSON","Intent","Incoming"
"2020-01-07T17:23:58.996Z",,"{""userId"":""2718ecee-b2bd-49a1-ab73-f89507961378""}",,true
"2020-01-07T17:23:58.994Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""2718ecee-b2bd-49a1-ab73-f89507961378"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""2718ecee-b2bd-49a1-ab73-f89507961378""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""68aa9519-8ebc-45c4-888d-02b122d1b4a6""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-07T17:24:41.868Z","Why am i not getting pregnant?","{""userId"":""2718ecee-b2bd-49a1-ab73-f89507961378"",""text"":""Why am i not getting pregnant?""}",,true
"2020-01-07T17:24:41.856Z","Oops, my bad!  Can you ask me in a different way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Oops, my bad!  Can you ask me in a different way?""}],""nodes_visited"":[""node_4_1537982696303""],""text"":[""Oops, my bad!  Can you ask me in a different way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""2718ecee-b2bd-49a1-ab73-f89507961378""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_4_1537982696303"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""68aa9519-8ebc-45c4-888d-02b122d1b4a6""},""input"":{""text"":""Why am i not getting pregnant?""},""intents"":[{""intent"":""Question.Not.Answered"",""confidence"":0.29133891463279726}],""entities"":[{""location"":[21,29],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1}],""alternate_intents"":false},""text"":""Oops, my bad!  Can you ask me in a different way?"",""userId"":""2718ecee-b2bd-49a1-ab73-f89507961378"",""intent"":{""name"":""Question.Not.Answered"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""}]}}","Question.Not.Answered",false
"2020-01-07T17:24:42.088Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""2718ecee-b2bd-49a1-ab73-f89507961378"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-07T17:24:42.106Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""2718ecee-b2bd-49a1-ab73-f89507961378""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_4_1537982696303"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""68aa9519-8ebc-45c4-888d-02b122d1b4a6""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""2718ecee-b2bd-49a1-ab73-f89507961378"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-07T17:24:52.529Z","No","{""userId"":""2718ecee-b2bd-49a1-ab73-f89507961378"",""text"":""No""}",,true
"2020-01-07T17:24:52.517Z","Cool. Anything else you want to know? Ask me anytime.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Cool. Anything else you want to know? Ask me anytime.""}],""nodes_visited"":[""node_1_1540246556503"",""node_24_1542141381054""],""text"":[""Cool. Anything else you want to know? Ask me anytime.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""2718ecee-b2bd-49a1-ab73-f89507961378""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_4_1537982696303"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_24_1542141381054"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""68aa9519-8ebc-45c4-888d-02b122d1b4a6""},""input"":{""text"":""No""},""intents"":[{""intent"":""No"",""confidence"":1}],""alternate_intents"":false},""text"":""Cool. Anything else you want to know? Ask me anytime."",""userId"":""2718ecee-b2bd-49a1-ab73-f89507961378"",""intent"":{""name"":""No""}}","No",false
"2020-01-07T17:25:14.771Z","Why cant i get pregnant ","{""userId"":""2718ecee-b2bd-49a1-ab73-f89507961378"",""text"":""Why cant i get pregnant ""}",,true
"2020-01-07T17:25:14.771Z","There are so many reasons a woman might decide it’s time to get on birth control but mainly, it all comes down to taking control of your body. Whether you’re trying to prevent pregnancy, regulate your period, or even clear acne, birth control can help. If you’re thinking about starting birth control, talk to a doctor to find the best kind for you. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There are so many reasons a woman might decide it’s time to get on birth control but mainly, it all comes down to taking control of your body. Whether you’re trying to prevent pregnancy, regulate your period, or even clear acne, birth control can help. If you’re thinking about starting birth control, talk to a doctor to find the best kind for you. ""},{""response_type"":""text"",""text"":""And don’t worry if you’re not ready to share your new decision with your parents, in New York, you can get birth control at any age without a parent’s permission. <a href=\""/#birth-control-finder\"">Click here to find a doctor who can help you figure out the best birth control for YOU.</a> ""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for more info on doctors or clinics near you.</a>""}],""nodes_visited"":[""node_31_1534798861866"",""node_22_1541092408596"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""There are so many reasons a woman might decide it’s time to get on birth control but mainly, it all comes down to taking control of your body. Whether you’re trying to prevent pregnancy, regulate your period, or even clear acne, birth control can help. If you’re thinking about starting birth control, talk to a doctor to find the best kind for you. "",""And don’t worry if you’re not ready to share your new decision with your parents, in New York, you can get birth control at any age without a parent’s permission. <a href=\""/#birth-control-finder\"">Click here to find a doctor who can help you figure out the best birth control for YOU.</a> "",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for more info on doctors or clinics near you.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""2718ecee-b2bd-49a1-ab73-f89507961378""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_4_1537982696303"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_24_1542141381054"":{""0"":[0]},""node_22_1541092408596"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,4,1,3,0,2]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""68aa9519-8ebc-45c4-888d-02b122d1b4a6""},""input"":{""text"":""Why cant i get pregnant ""},""intents"":[{""intent"":""BC.benefits"",""confidence"":0.4103289842605591}],""entities"":[{""location"":[15,23],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1}],""alternate_intents"":false},""text"":""There are so many reasons a woman might decide it’s time to get on birth control but mainly, it all comes down to taking control of your body. Whether you’re trying to prevent pregnancy, regulate your period, or even clear acne, birth control can help. If you’re thinking about starting birth control, talk to a doctor to find the best kind for you. "",""userId"":""2718ecee-b2bd-49a1-ab73-f89507961378"",""intent"":{""name"":""BC.benefits"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""}]}}","BC.benefits",false
