"Date","Text","Message JSON","Intent","Incoming"
"2020-01-05T23:40:05.818Z",,"{""userId"":""273b78ee-ca5e-4522-b000-7944975bd767""}",,true
"2020-01-05T23:40:05.804Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""273b78ee-ca5e-4522-b000-7944975bd767"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""273b78ee-ca5e-4522-b000-7944975bd767""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8d280c33-d897-475f-aedc-4abe996abf03""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-05T23:40:27.691Z","can i get pregnant the first time i have sec","{""userId"":""273b78ee-ca5e-4522-b000-7944975bd767"",""text"":""can i get pregnant the first time i have sec""}",,true
"2020-01-05T23:40:27.695Z","You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.""}],""nodes_visited"":[""node_5_1535390316228"",""node_57_1542677951229""],""text"":[""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""273b78ee-ca5e-4522-b000-7944975bd767""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_57_1542677951229"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8d280c33-d897-475f-aedc-4abe996abf03""},""input"":{""text"":""can i get pregnant the first time i have sec""},""intents"":[{""intent"":""BC.and.virgins"",""confidence"":0.9432938575744629}],""entities"":[{""location"":[10,18],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1}],""alternate_intents"":false},""text"":""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex."",""userId"":""273b78ee-ca5e-4522-b000-7944975bd767"",""intent"":{""name"":""BC.and.virgins"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""}]}}","BC.and.virgins",false
"2020-01-05T23:40:53.489Z","how do i get my vagina to stop smelling","{""userId"":""273b78ee-ca5e-4522-b000-7944975bd767"",""text"":""how do i get my vagina to stop smelling""}",,true
"2020-01-05T23:40:53.503Z","Our bodies are magical aren’t they 🙄? But, sometimes its hard to know what’s normal down there and what’s not. If you’ve noticed some wet stuff in your panties, that’s discharge. And guess what? ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Our bodies are magical aren’t they 🙄? But, sometimes its hard to know what’s normal down there and what’s not. If you’ve noticed some wet stuff in your panties, that’s discharge. And guess what? ""},{""response_type"":""text"",""text"":""It’s perfectly NORMAL as long as it’s clear, white, or a light yellow. If you notice it’s smelling foul or turns a deep yellow, green, or red? That’s when things get real. This could be a sign of infection and you need to get treated ASAP. ""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">For more info on doctors or clinics near you, tap here to go to the Clinic Map.</a>""}],""nodes_visited"":[""node_9_1535391946104"",""node_12_1541457248941"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Our bodies are magical aren’t they 🙄? But, sometimes its hard to know what’s normal down there and what’s not. If you’ve noticed some wet stuff in your panties, that’s discharge. And guess what? "",""It’s perfectly NORMAL as long as it’s clear, white, or a light yellow. If you notice it’s smelling foul or turns a deep yellow, green, or red? That’s when things get real. This could be a sign of infection and you need to get treated ASAP. "",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">For more info on doctors or clinics near you, tap here to go to the Clinic Map.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""273b78ee-ca5e-4522-b000-7944975bd767""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_57_1542677951229"":{""0"":[0,0]},""node_3_1544835959501"":{""1"":[0,1,3,2,4,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1541457248941"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8d280c33-d897-475f-aedc-4abe996abf03""},""input"":{""text"":""how do i get my vagina to stop smelling""},""intents"":[{""intent"":""Vagina.liquid"",""confidence"":0.7856104850769043}],""entities"":[{""location"":[16,22],""value"":""Vagina"",""entity"":""Body_Parts"",""confidence"":1}],""alternate_intents"":false},""text"":""Our bodies are magical aren’t they 🙄? But, sometimes its hard to know what’s normal down there and what’s not. If you’ve noticed some wet stuff in your panties, that’s discharge. And guess what? "",""userId"":""273b78ee-ca5e-4522-b000-7944975bd767"",""intent"":{""name"":""Vagina.liquid"",""inputs"":[{""name"":""Body_Parts"",""value"":""Vagina""}]}}","Vagina.liquid",false
"2020-01-05T23:41:16.704Z","i smell really bad","{""userId"":""273b78ee-ca5e-4522-b000-7944975bd767"",""text"":""i smell really bad""}",,true
"2020-01-05T23:41:16.902Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""273b78ee-ca5e-4522-b000-7944975bd767"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-05T23:41:16.693Z","If you're not feelin great, you should definitely see a doctor especially if you think you might be pregnant.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you're not feelin great, you should definitely see a doctor especially if you think you might be pregnant.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for your nearest doctor or clinic. </a>""}],""nodes_visited"":[""node_2_1537562643656"",""node_8_1542239937021"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""If you're not feelin great, you should definitely see a doctor especially if you think you might be pregnant."",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for your nearest doctor or clinic. </a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""273b78ee-ca5e-4522-b000-7944975bd767""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_57_1542677951229"":{""0"":[0,0]},""node_3_1544835959501"":{""1"":[1,1,3,2,4,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1541457248941"":{""0"":[0],""1"":[0]},""node_8_1542239937021"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8d280c33-d897-475f-aedc-4abe996abf03""},""input"":{""text"":""i smell really bad""},""intents"":[{""intent"":""I.Feel.Bad"",""confidence"":0.3072593061624531}],""alternate_intents"":false},""text"":""If you're not feelin great, you should definitely see a doctor especially if you think you might be pregnant."",""userId"":""273b78ee-ca5e-4522-b000-7944975bd767"",""intent"":{""name"":""I.Feel.Bad""}}","I.Feel.Bad",false
"2020-01-05T23:41:16.916Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""273b78ee-ca5e-4522-b000-7944975bd767""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_57_1542677951229"":{""0"":[0,0]},""node_3_1544835959501"":{""1"":[1,1,3,2,4,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1541457248941"":{""0"":[0],""1"":[0]},""node_8_1542239937021"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8d280c33-d897-475f-aedc-4abe996abf03""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""273b78ee-ca5e-4522-b000-7944975bd767"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-05T23:41:26.217Z","why do i smell ","{""userId"":""273b78ee-ca5e-4522-b000-7944975bd767"",""text"":""why do i smell ""}",,true
"2020-01-05T23:41:26.203Z","Our bodies are magical aren’t they 🙄? But, sometimes its hard to know what’s normal down there and what’s not. If you’ve noticed some wet stuff in your panties, that’s discharge. And guess what? ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Our bodies are magical aren’t they 🙄? But, sometimes its hard to know what’s normal down there and what’s not. If you’ve noticed some wet stuff in your panties, that’s discharge. And guess what? ""},{""response_type"":""text"",""text"":""It’s perfectly NORMAL as long as it’s clear, white, or a light yellow. If you notice it’s smelling foul or turns a deep yellow, green, or red? That’s when things get real. This could be a sign of infection and you need to get treated ASAP. ""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\""  href=\""https://laylasgotyou.com/clinic-map\"">To find a doctor or clinic, tap here to go to the Clinic Map.</a>""}],""nodes_visited"":[""node_9_1535391946104"",""node_12_1541457248941"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Our bodies are magical aren’t they 🙄? But, sometimes its hard to know what’s normal down there and what’s not. If you’ve noticed some wet stuff in your panties, that’s discharge. And guess what? "",""It’s perfectly NORMAL as long as it’s clear, white, or a light yellow. If you notice it’s smelling foul or turns a deep yellow, green, or red? That’s when things get real. This could be a sign of infection and you need to get treated ASAP. "",""<a target=\""_blank\""  href=\""https://laylasgotyou.com/clinic-map\"">To find a doctor or clinic, tap here to go to the Clinic Map.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""273b78ee-ca5e-4522-b000-7944975bd767""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_57_1542677951229"":{""0"":[0,0]},""node_3_1544835959501"":{""1"":[2,1,3,2,4,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1541457248941"":{""0"":[0],""1"":[0]},""node_8_1542239937021"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8d280c33-d897-475f-aedc-4abe996abf03""},""input"":{""text"":""why do i smell ""},""intents"":[{""intent"":""Vagina.liquid"",""confidence"":0.5696747064590455}],""alternate_intents"":false},""text"":""Our bodies are magical aren’t they 🙄? But, sometimes its hard to know what’s normal down there and what’s not. If you’ve noticed some wet stuff in your panties, that’s discharge. And guess what? "",""userId"":""273b78ee-ca5e-4522-b000-7944975bd767"",""intent"":{""name"":""Vagina.liquid""}}","Vagina.liquid",false
"2020-01-05T23:41:51.337Z","what if it’s too big","{""userId"":""273b78ee-ca5e-4522-b000-7944975bd767"",""text"":""what if it’s too big""}",,true
"2020-01-05T23:41:51.338Z","Oops, I missed that. Can you reword your question please?","{""userId"":""273b78ee-ca5e-4522-b000-7944975bd767"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Oops, I missed that. Can you reword your question please?""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""Oops, I missed that. Can you reword your question please?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""273b78ee-ca5e-4522-b000-7944975bd767""},""system"":{""dialog_request_counter"":7,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":7,""_node_output_map"":{""node_3_1544835959501"":{""1"":[2,1,3,2,4,0]},""node_1_1540844990941"":{""0"":[0]},""node_12_1541457248941"":{""0"":[0],""1"":[0]},""node_2_1540920316188"":{""0"":[0,4,3,1,0,5,2]},""node_57_1542677951229"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542239937021"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8d280c33-d897-475f-aedc-4abe996abf03""},""input"":{""text"":""what if it’s too big""},""alternate_intents"":false},""text"":""Oops, I missed that. Can you reword your question please?""}",,false
"2020-01-05T23:42:04.367Z","what if his penis is really big","{""userId"":""273b78ee-ca5e-4522-b000-7944975bd767"",""text"":""what if his penis is really big""}",,true
"2020-01-05T23:42:04.355Z","Oh no, I didn't understand that question. Can you rephrase? ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Oh no, I didn't understand that question. Can you rephrase? ""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""Oh no, I didn't understand that question. Can you rephrase? ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""273b78ee-ca5e-4522-b000-7944975bd767""},""system"":{""dialog_request_counter"":8,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":8,""_node_output_map"":{""node_3_1544835959501"":{""1"":[2,1,3,2,4,0]},""node_1_1540844990941"":{""0"":[0]},""node_12_1541457248941"":{""0"":[0],""1"":[0]},""node_2_1540920316188"":{""0"":[1,4,3,1,0,5,2]},""node_57_1542677951229"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542239937021"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8d280c33-d897-475f-aedc-4abe996abf03""},""input"":{""text"":""what if his penis is really big""},""entities"":[{""location"":[12,17],""value"":""Penis"",""entity"":""Body_Parts"",""confidence"":1}],""alternate_intents"":false},""text"":""Oh no, I didn't understand that question. Can you rephrase? "",""userId"":""273b78ee-ca5e-4522-b000-7944975bd767"",""intent"":{""inputs"":[{""name"":""Body_Parts"",""value"":""Penis""}]}}",,false
"2020-01-05T23:42:11.232Z","is it gonna hurt","{""userId"":""273b78ee-ca5e-4522-b000-7944975bd767"",""text"":""is it gonna hurt""}",,true
"2020-01-05T23:42:11.248Z","I’ll be honest, getting the IUD can be pretty uncomfortable for some people BUT, other people are perfectly fine. It really just depends on the person.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I’ll be honest, getting the IUD can be pretty uncomfortable for some people BUT, other people are perfectly fine. It really just depends on the person.""},{""response_type"":""text"",""text"":""If you know you’re sensitive to pain, take a Tylenol before your procedure. If you do feel anything, it should only be mild cramps or back pain and it’ll go away pretty fast and once it's done, you’re protected against pregnancy for YEARS. ""}],""nodes_visited"":[""node_31_1534973793065"",""node_70_1542152993222""],""text"":[""I’ll be honest, getting the IUD can be pretty uncomfortable for some people BUT, other people are perfectly fine. It really just depends on the person."",""If you know you’re sensitive to pain, take a Tylenol before your procedure. If you do feel anything, it should only be mild cramps or back pain and it’ll go away pretty fast and once it's done, you’re protected against pregnancy for YEARS. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""273b78ee-ca5e-4522-b000-7944975bd767""},""system"":{""dialog_request_counter"":9,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":9,""_node_output_map"":{""node_3_1544835959501"":{""1"":[2,1,3,2,4,0]},""node_1_1540844990941"":{""0"":[0]},""node_12_1541457248941"":{""0"":[0],""1"":[0]},""node_70_1542152993222"":{""0"":[0],""1"":[0]},""node_2_1540920316188"":{""0"":[1,4,3,1,0,5,2]},""node_57_1542677951229"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_8_1542239937021"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8d280c33-d897-475f-aedc-4abe996abf03""},""input"":{""text"":""is it gonna hurt""},""intents"":[{""intent"":""IUD.insert.pain"",""confidence"":0.5035067081451416}],""alternate_intents"":false},""text"":""I’ll be honest, getting the IUD can be pretty uncomfortable for some people BUT, other people are perfectly fine. It really just depends on the person."",""userId"":""273b78ee-ca5e-4522-b000-7944975bd767"",""intent"":{""name"":""IUD.insert.pain""}}","IUD.insert.pain",false
"2020-01-05T23:42:26.589Z","is having sex painful","{""userId"":""273b78ee-ca5e-4522-b000-7944975bd767"",""text"":""is having sex painful""}",,true
