"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T19:33:35.404Z",,"{""userId"":""2767e91f-968e-4b5a-87fb-79811273fb77""}",,true
"2020-01-04T19:33:35.405Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""2767e91f-968e-4b5a-87fb-79811273fb77"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""2767e91f-968e-4b5a-87fb-79811273fb77""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""39591eda-5707-44cd-8e52-717c857d4059""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T19:34:08.602Z","Can I get pregnant my first time having sex ","{""userId"":""2767e91f-968e-4b5a-87fb-79811273fb77"",""text"":""Can I get pregnant my first time having sex ""}",,true
"2020-01-04T19:34:08.590Z","You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.""}],""nodes_visited"":[""node_5_1535390316228"",""node_57_1542677951229""],""text"":[""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""2767e91f-968e-4b5a-87fb-79811273fb77""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_57_1542677951229"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""39591eda-5707-44cd-8e52-717c857d4059""},""input"":{""text"":""Can I get pregnant my first time having sex ""},""intents"":[{""intent"":""BC.and.virgins"",""confidence"":0.7348824501037599}],""entities"":[{""location"":[10,18],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[40,43],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex."",""userId"":""2767e91f-968e-4b5a-87fb-79811273fb77"",""intent"":{""name"":""BC.and.virgins"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Sex"",""value"":""sex""}]}}","BC.and.virgins",false
"2020-01-04T19:34:36.652Z","We didn’t use a condom","{""userId"":""2767e91f-968e-4b5a-87fb-79811273fb77"",""text"":""We didn’t use a condom""}",,true
"2020-01-04T19:34:36.652Z","Getting on birth control is YOUR decision. If your boyfriend or partner doesn’t want to use condoms or birth control, remember it’s YOUR body and YOUR choice. Have an open conversation with them. Tell them that you want to stay safe or that you care about their health.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Getting on birth control is YOUR decision. If your boyfriend or partner doesn’t want to use condoms or birth control, remember it’s YOUR body and YOUR choice. Have an open conversation with them. Tell them that you want to stay safe or that you care about their health.""},{""response_type"":""text"",""text"":""And if they have excuses (the condom won't fit), let them know you got options! But really girl, don’t feel pressured to have sex without birth control. And if he's not into it...☮️""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Want more info on different birth control options? Tap here to scroll to a list of birth control options.</a> ""}],""nodes_visited"":[""node_18_1535487535006"",""node_53_1542677342509"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""Getting on birth control is YOUR decision. If your boyfriend or partner doesn’t want to use condoms or birth control, remember it’s YOUR body and YOUR choice. Have an open conversation with them. Tell them that you want to stay safe or that you care about their health."",""And if they have excuses (the condom won't fit), let them know you got options! But really girl, don’t feel pressured to have sex without birth control. And if he's not into it...☮️"",""<a href=\""/#birth-control-types\"">Want more info on different birth control options? Tap here to scroll to a list of birth control options.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""2767e91f-968e-4b5a-87fb-79811273fb77""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_53_1542677342509"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,1,4,0,2,3,6,5]},""node_57_1542677951229"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""39591eda-5707-44cd-8e52-717c857d4059""},""input"":{""text"":""We didn’t use a condom""},""intents"":[{""intent"":""BC.bf.wont.use"",""confidence"":0.5639053583145142}],""entities"":[{""location"":[14,22],""value"":""condom"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Getting on birth control is YOUR decision. If your boyfriend or partner doesn’t want to use condoms or birth control, remember it’s YOUR body and YOUR choice. Have an open conversation with them. Tell them that you want to stay safe or that you care about their health."",""userId"":""2767e91f-968e-4b5a-87fb-79811273fb77"",""intent"":{""name"":""BC.bf.wont.use"",""inputs"":[{""name"":""Birth_Control"",""value"":""condom""}]}}","BC.bf.wont.use",false
"2020-01-04T19:35:19.832Z","Why does it hurt the second time ","{""userId"":""2767e91f-968e-4b5a-87fb-79811273fb77"",""text"":""Why does it hurt the second time ""}",,true
"2020-01-04T19:35:19.818Z","Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ""},{""response_type"":""text"",""text"":""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for your nearest doctor or clinic. </a>""}],""nodes_visited"":[""node_6_1535644870528"",""node_30_1541631510471"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on."",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for your nearest doctor or clinic. </a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""2767e91f-968e-4b5a-87fb-79811273fb77""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_53_1542677342509"":{""0"":[0],""1"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,1,4,0,2,3,6,5]},""node_57_1542677951229"":{""0"":[0,0]},""node_3_1544835959501"":{""1"":[0,3,4,1,0,2]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""39591eda-5707-44cd-8e52-717c857d4059""},""input"":{""text"":""Why does it hurt the second time ""},""intents"":[{""intent"":""Sex.pain"",""confidence"":0.4080797732387054}],""alternate_intents"":false},""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""userId"":""2767e91f-968e-4b5a-87fb-79811273fb77"",""intent"":{""name"":""Sex.pain""}}","Sex.pain",false
"2020-01-04T19:35:20.038Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""2767e91f-968e-4b5a-87fb-79811273fb77"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T19:35:20.051Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""2767e91f-968e-4b5a-87fb-79811273fb77""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_53_1542677342509"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,3,4,1,0,2]},""node_1_1540844990941"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,1,4,0,2,3,6,5]},""node_57_1542677951229"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""39591eda-5707-44cd-8e52-717c857d4059""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""2767e91f-968e-4b5a-87fb-79811273fb77"",""intent"":{""name"":""unknown""}}","unknown",false
