"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T21:17:32.934Z",,"{""userId"":""2e44a6ef-ddc0-4699-a2a5-9e619a8cbf0e""}",,true
"2020-01-04T21:17:32.933Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""2e44a6ef-ddc0-4699-a2a5-9e619a8cbf0e"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""2e44a6ef-ddc0-4699-a2a5-9e619a8cbf0e""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""77a27f90-38f3-4d41-af68-83fc7c657174""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T21:17:48.503Z","does it hurt the first time?","{""userId"":""2e44a6ef-ddc0-4699-a2a5-9e619a8cbf0e"",""text"":""does it hurt the first time?""}",,true
"2020-01-04T21:17:48.492Z","Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ""},{""response_type"":""text"",""text"":""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\""  href=\""https://laylasgotyou.com/clinic-map\"">To find a doctor or clinic, tap here to go to the Clinic Map.</a>""}],""nodes_visited"":[""node_6_1535644870528"",""node_30_1541631510471"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on."",""<a target=\""_blank\""  href=\""https://laylasgotyou.com/clinic-map\"">To find a doctor or clinic, tap here to go to the Clinic Map.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""2e44a6ef-ddc0-4699-a2a5-9e619a8cbf0e""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,2,0,1,3,4]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""77a27f90-38f3-4d41-af68-83fc7c657174""},""input"":{""text"":""does it hurt the first time?""},""intents"":[{""intent"":""Sex.pain"",""confidence"":0.8561854839324952}],""alternate_intents"":false},""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""userId"":""2e44a6ef-ddc0-4699-a2a5-9e619a8cbf0e"",""intent"":{""name"":""Sex.pain""}}","Sex.pain",false
"2020-01-04T21:18:28.108Z","how do you not make it awkward the first i time?","{""userId"":""2e44a6ef-ddc0-4699-a2a5-9e619a8cbf0e"",""text"":""how do you not make it awkward the first i time?""}",,true
"2020-01-04T21:18:28.397Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""2e44a6ef-ddc0-4699-a2a5-9e619a8cbf0e"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T21:18:28.123Z","Oops, my bad!  Can you ask me in a different way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Oops, my bad!  Can you ask me in a different way?""}],""nodes_visited"":[""node_4_1537982696303""],""text"":[""Oops, my bad!  Can you ask me in a different way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""2e44a6ef-ddc0-4699-a2a5-9e619a8cbf0e""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_4_1537982696303"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,2,0,1,3,4]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""77a27f90-38f3-4d41-af68-83fc7c657174""},""input"":{""text"":""how do you not make it awkward the first i time?""},""intents"":[{""intent"":""Question.Not.Answered"",""confidence"":0.34949753284454343}],""alternate_intents"":false},""text"":""Oops, my bad!  Can you ask me in a different way?"",""userId"":""2e44a6ef-ddc0-4699-a2a5-9e619a8cbf0e"",""intent"":{""name"":""Question.Not.Answered""}}","Question.Not.Answered",false
"2020-01-04T21:18:28.386Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""2e44a6ef-ddc0-4699-a2a5-9e619a8cbf0e""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_4_1537982696303"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,2,0,1,3,4]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""77a27f90-38f3-4d41-af68-83fc7c657174""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""2e44a6ef-ddc0-4699-a2a5-9e619a8cbf0e"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-04T21:18:41.474Z","is it awkward the first time?","{""userId"":""2e44a6ef-ddc0-4699-a2a5-9e619a8cbf0e"",""text"":""is it awkward the first time?""}",,true
"2020-01-04T21:18:41.767Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""2e44a6ef-ddc0-4699-a2a5-9e619a8cbf0e"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
