"Date","Text","Message JSON","Intent","Incoming"
"2020-01-07T21:30:42.942Z",,"{""userId"":""2e77bf43-1436-4036-8b7f-1291da160d2d""}",,true
"2020-01-07T21:30:42.941Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""2e77bf43-1436-4036-8b7f-1291da160d2d"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""2e77bf43-1436-4036-8b7f-1291da160d2d""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b1e6eb83-fc53-4f92-b0c1-1369604587f7""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-07T21:31:45.251Z","Umm who r u","{""userId"":""2e77bf43-1436-4036-8b7f-1291da160d2d"",""text"":""Umm who r u""}",,true
"2020-01-07T21:31:45.667Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""2e77bf43-1436-4036-8b7f-1291da160d2d"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-07T21:31:45.251Z","I’m Layla. I'm here to share everything I know about birth control, sex, and STDs. You can ask me anything. I’ll keep it real so you know how to take control of your body and sexual health.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I’m Layla. I'm here to share everything I know about birth control, sex, and STDs. You can ask me anything. I’ll keep it real so you know how to take control of your body and sexual health.""}],""nodes_visited"":[""node_1_1537562400575"",""node_6_1541456258413""],""text"":[""I’m Layla. I'm here to share everything I know about birth control, sex, and STDs. You can ask me anything. I’ll keep it real so you know how to take control of your body and sexual health.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""2e77bf43-1436-4036-8b7f-1291da160d2d""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_6_1541456258413"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b1e6eb83-fc53-4f92-b0c1-1369604587f7""},""input"":{""text"":""Umm who r u""},""intents"":[{""intent"":""Who.Are.You"",""confidence"":0.4436041737088203}],""alternate_intents"":false},""text"":""I’m Layla. I'm here to share everything I know about birth control, sex, and STDs. You can ask me anything. I’ll keep it real so you know how to take control of your body and sexual health."",""userId"":""2e77bf43-1436-4036-8b7f-1291da160d2d"",""intent"":{""name"":""Who.Are.You""}}","Who.Are.You",false
"2020-01-07T21:31:45.655Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""2e77bf43-1436-4036-8b7f-1291da160d2d""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_6_1541456258413"":{""0"":[0,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b1e6eb83-fc53-4f92-b0c1-1369604587f7""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""2e77bf43-1436-4036-8b7f-1291da160d2d"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-07T21:32:15.209Z","Im a boy","{""userId"":""2e77bf43-1436-4036-8b7f-1291da160d2d"",""text"":""Im a boy""}",,true
"2020-01-07T21:32:15.224Z","Hey man. Right now, the info I provide is aimed for females, so I might not be able to answer your questions. But I will try to answer as best I can! ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Hey man. Right now, the info I provide is aimed for females, so I might not be able to answer your questions. But I will try to answer as best I can! ""}],""nodes_visited"":[""node_1_1551405582035""],""text"":[""Hey man. Right now, the info I provide is aimed for females, so I might not be able to answer your questions. But I will try to answer as best I can! ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""2e77bf43-1436-4036-8b7f-1291da160d2d""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_6_1541456258413"":{""0"":[0,0]},""node_1_1551405582035"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b1e6eb83-fc53-4f92-b0c1-1369604587f7""},""input"":{""text"":""Im a boy""},""intents"":[{""intent"":""Boy"",""confidence"":1}],""entities"":[{""location"":[5,8],""value"":""Male"",""entity"":""Gender"",""confidence"":1}],""alternate_intents"":false},""text"":""Hey man. Right now, the info I provide is aimed for females, so I might not be able to answer your questions. But I will try to answer as best I can! "",""userId"":""2e77bf43-1436-4036-8b7f-1291da160d2d"",""intent"":{""name"":""Boy"",""inputs"":[{""name"":""Gender"",""value"":""Male""}]}}","Boy",false
"2020-01-07T21:32:31.995Z"," Im 11 ","{""userId"":""2e77bf43-1436-4036-8b7f-1291da160d2d"",""text"":"" Im 11 ""}",,true
"2020-01-07T21:32:31.983Z","Sorry, I didn't get that. Can you try rewording? ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Sorry, I didn't get that. Can you try rewording? ""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""Sorry, I didn't get that. Can you try rewording? ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""2e77bf43-1436-4036-8b7f-1291da160d2d""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_6_1541456258413"":{""0"":[0,0]},""node_2_1540920316188"":{""0"":[0,0,4,5,3,2,1]},""node_1_1551405582035"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b1e6eb83-fc53-4f92-b0c1-1369604587f7""},""input"":{""text"":"" Im 11 ""},""entities"":[{""location"":[4,6],""metadata"":{""numeric_value"":11},""value"":""11"",""entity"":""sys-number"",""confidence"":1}],""alternate_intents"":false},""text"":""Sorry, I didn't get that. Can you try rewording? "",""userId"":""2e77bf43-1436-4036-8b7f-1291da160d2d"",""intent"":{""inputs"":[{""name"":""sys-number"",""value"":""11""}]}}",,false
