"Date","Text","Message JSON","Intent","Incoming"
"2020-01-05T05:29:54.730Z",,"{""userId"":""353949e7-0493-456c-9ffa-81f6f5e7f94e""}",,true
"2020-01-05T05:29:54.720Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""353949e7-0493-456c-9ffa-81f6f5e7f94e"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""353949e7-0493-456c-9ffa-81f6f5e7f94e""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""813ee526-c3eb-499c-ae04-fa8a32c75bed""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-05T05:30:26.187Z","does is hurt?","{""userId"":""353949e7-0493-456c-9ffa-81f6f5e7f94e"",""text"":""does is hurt?""}",,true
"2020-01-05T05:30:26.189Z","Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ""},{""response_type"":""text"",""text"":""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for more info on doctors or clinics near you.</a>""}],""nodes_visited"":[""node_6_1535644870528"",""node_30_1541631510471"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on."",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for more info on doctors or clinics near you.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""353949e7-0493-456c-9ffa-81f6f5e7f94e""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,4,0,2,3,1]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""813ee526-c3eb-499c-ae04-fa8a32c75bed""},""input"":{""text"":""does is hurt?""},""intents"":[{""intent"":""Sex.pain"",""confidence"":0.6006269931793213}],""alternate_intents"":false},""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""userId"":""353949e7-0493-456c-9ffa-81f6f5e7f94e"",""intent"":{""name"":""Sex.pain""}}","Sex.pain",false
"2020-01-05T05:31:30.888Z","what’s considered big","{""userId"":""353949e7-0493-456c-9ffa-81f6f5e7f94e"",""text"":""what’s considered big""}",,true
"2020-01-05T05:31:30.891Z","I didn't understand. You can try rephrasing.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I didn't understand. You can try rephrasing.""}],""nodes_visited"":[""Anything else""],""text"":[""I didn't understand. You can try rephrasing.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""353949e7-0493-456c-9ffa-81f6f5e7f94e""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""Anything else"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,4,0,2,3,1]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""813ee526-c3eb-499c-ae04-fa8a32c75bed""},""input"":{""text"":""what’s considered big""},""intents"":[{""intent"":""Implant.size"",""confidence"":0.22307767257720176}],""alternate_intents"":false},""text"":""I didn't understand. You can try rephrasing."",""userId"":""353949e7-0493-456c-9ffa-81f6f5e7f94e"",""intent"":{""name"":""Implant.size""}}","Implant.size",false
"2020-01-05T05:31:31.176Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""353949e7-0493-456c-9ffa-81f6f5e7f94e"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-05T05:31:31.165Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""353949e7-0493-456c-9ffa-81f6f5e7f94e""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""Anything else"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,4,0,2,3,1]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""813ee526-c3eb-499c-ae04-fa8a32c75bed""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""353949e7-0493-456c-9ffa-81f6f5e7f94e"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-05T05:31:55.710Z","does size really matter?","{""userId"":""353949e7-0493-456c-9ffa-81f6f5e7f94e"",""text"":""does size really matter?""}",,true
"2020-01-05T05:31:55.726Z","I'm sorry - I didn't understand. Can you try asking in a different way? ","{""userId"":""353949e7-0493-456c-9ffa-81f6f5e7f94e"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry - I didn't understand. Can you try asking in a different way? ""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""I'm sorry - I didn't understand. Can you try asking in a different way? ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""353949e7-0493-456c-9ffa-81f6f5e7f94e""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_2_1540920316188"":{""0"":[0,1,0,2,5,4,3]},""Anything else"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,4,0,2,3,1]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""813ee526-c3eb-499c-ae04-fa8a32c75bed""},""input"":{""text"":""does size really matter?""},""alternate_intents"":false},""text"":""I'm sorry - I didn't understand. Can you try asking in a different way? ""}",,false
