"Date","Text","Message JSON","Intent","Incoming"
"2020-01-05T11:08:53.559Z",,"{""userId"":""4757796f-41fd-43c8-af3e-1ab70d6e6c0b""}",,true
"2020-01-05T11:08:53.557Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""4757796f-41fd-43c8-af3e-1ab70d6e6c0b"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4757796f-41fd-43c8-af3e-1ab70d6e6c0b""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""668d99c7-499c-4cdf-b4e6-d945eddebe00""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-05T11:10:46.696Z","Can you have unprotected sex on birth control","{""userId"":""4757796f-41fd-43c8-af3e-1ab70d6e6c0b"",""text"":""Can you have unprotected sex on birth control""}",,true
"2020-01-05T11:10:46.697Z","I gotta keep it real with you girl. Most birth control only starts working after you’ve been on it for a week. If you had unprotected sex during that week, there’s a chance you could get pregnant. If you had unprotected sex, you still have options though. You can take the morning after pill up to 5 days after sex to prevent pregnancy. If you can take it before 3 days, that’s even better.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I gotta keep it real with you girl. Most birth control only starts working after you’ve been on it for a week. If you had unprotected sex during that week, there’s a chance you could get pregnant. If you had unprotected sex, you still have options though. You can take the morning after pill up to 5 days after sex to prevent pregnancy. If you can take it before 3 days, that’s even better.""},{""response_type"":""text"",""text"":""You don’t need prescription for the morning after pill and it’s usually available at  your local CVS or Walgreens. You can even get it online <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">here</a> (with overnight shipping!).""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Tap here to go to a list of birth control types.</a>""}],""nodes_visited"":[""node_17_1534875774709"",""node_22_1542665776850"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""I gotta keep it real with you girl. Most birth control only starts working after you’ve been on it for a week. If you had unprotected sex during that week, there’s a chance you could get pregnant. If you had unprotected sex, you still have options though. You can take the morning after pill up to 5 days after sex to prevent pregnancy. If you can take it before 3 days, that’s even better."",""You don’t need prescription for the morning after pill and it’s usually available at  your local CVS or Walgreens. You can even get it online <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">here</a> (with overnight shipping!)."",""<a href=\""/#birth-control-types\"">Tap here to go to a list of birth control types.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4757796f-41fd-43c8-af3e-1ab70d6e6c0b""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_1_1544810991157"":{""1"":[0,5,1,0,4,3,6,2]},""node_22_1542665776850"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""668d99c7-499c-4cdf-b4e6-d945eddebe00""},""input"":{""text"":""Can you have unprotected sex on birth control""},""intents"":[{""intent"":""BC.post.sex.wait"",""confidence"":0.6592689990997315}],""entities"":[{""location"":[25,28],""value"":""sex"",""entity"":""Sex"",""confidence"":1},{""location"":[32,45],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""I gotta keep it real with you girl. Most birth control only starts working after you’ve been on it for a week. If you had unprotected sex during that week, there’s a chance you could get pregnant. If you had unprotected sex, you still have options though. You can take the morning after pill up to 5 days after sex to prevent pregnancy. If you can take it before 3 days, that’s even better."",""userId"":""4757796f-41fd-43c8-af3e-1ab70d6e6c0b"",""intent"":{""name"":""BC.post.sex.wait"",""inputs"":[{""name"":""Sex"",""value"":""sex""},{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.post.sex.wait",false
"2020-01-05T11:11:59.273Z","How do you know if your having an orgasm","{""userId"":""4757796f-41fd-43c8-af3e-1ab70d6e6c0b"",""text"":""How do you know if your having an orgasm""}",,true
"2020-01-05T11:11:59.274Z","An orgasm (aka, coming) happens when your body releases tension that builds up when masturbating, having sex, or being intimate with someone else. It's often intense and really good feeling. Both guys and girls can orgasm. When orgasming, someone might notice that their heart beats fast, and their face gets flushed. Orgasms can be tricky, and it's totally normal to not be able to have one, or for it to take awhile.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""An orgasm (aka, coming) happens when your body releases tension that builds up when masturbating, having sex, or being intimate with someone else. It's often intense and really good feeling. Both guys and girls can orgasm. When orgasming, someone might notice that their heart beats fast, and their face gets flushed. Orgasms can be tricky, and it's totally normal to not be able to have one, or for it to take awhile.""}],""nodes_visited"":[""node_1_1556755579683""],""text"":[""An orgasm (aka, coming) happens when your body releases tension that builds up when masturbating, having sex, or being intimate with someone else. It's often intense and really good feeling. Both guys and girls can orgasm. When orgasming, someone might notice that their heart beats fast, and their face gets flushed. Orgasms can be tricky, and it's totally normal to not be able to have one, or for it to take awhile.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4757796f-41fd-43c8-af3e-1ab70d6e6c0b""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_1_1544810991157"":{""1"":[0,5,1,0,4,3,6,2]},""node_1_1556755579683"":{""0"":[0]},""node_22_1542665776850"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""668d99c7-499c-4cdf-b4e6-d945eddebe00""},""input"":{""text"":""How do you know if your having an orgasm""},""intents"":[{""intent"":""Orgasm_definition"",""confidence"":0.7463862419128418}],""alternate_intents"":false},""text"":""An orgasm (aka, coming) happens when your body releases tension that builds up when masturbating, having sex, or being intimate with someone else. It's often intense and really good feeling. Both guys and girls can orgasm. When orgasming, someone might notice that their heart beats fast, and their face gets flushed. Orgasms can be tricky, and it's totally normal to not be able to have one, or for it to take awhile."",""userId"":""4757796f-41fd-43c8-af3e-1ab70d6e6c0b"",""intent"":{""name"":""Orgasm_definition""}}","Orgasm_definition",false
"2020-01-05T11:13:18.621Z","How can you ask to give someone a blowjob","{""userId"":""4757796f-41fd-43c8-af3e-1ab70d6e6c0b"",""text"":""How can you ask to give someone a blowjob""}",,true
"2020-01-05T11:13:18.620Z","You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?"" What questions do you have?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?""}],""nodes_visited"":[""node_2_1538498632782"",""node_8_1541456654510""],""text"":[""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4757796f-41fd-43c8-af3e-1ab70d6e6c0b""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_8_1541456654510"":{""0"":[0]},""node_1_1544810991157"":{""1"":[0,5,1,0,4,3,6,2]},""node_1_1556755579683"":{""0"":[0]},""node_22_1542665776850"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""668d99c7-499c-4cdf-b4e6-d945eddebe00""},""input"":{""text"":""How can you ask to give someone a blowjob""},""intents"":[{""intent"":""What.To.Ask.Bot"",""confidence"":0.85130033493042}],""entities"":[{""location"":[34,41],""value"":""Oral Sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?"",""userId"":""4757796f-41fd-43c8-af3e-1ab70d6e6c0b"",""intent"":{""name"":""What.To.Ask.Bot"",""inputs"":[{""name"":""Sex"",""value"":""Oral Sex""}]}}","What.To.Ask.Bot",false
"2020-01-05T11:13:47.664Z","How can you ask to give someone a blowjob","{""userId"":""4757796f-41fd-43c8-af3e-1ab70d6e6c0b"",""text"":""How can you ask to give someone a blowjob""}",,true
"2020-01-05T11:13:47.650Z","You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?"" What questions do you have?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?""}],""nodes_visited"":[""node_2_1538498632782"",""node_8_1541456654510""],""text"":[""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4757796f-41fd-43c8-af3e-1ab70d6e6c0b""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_8_1541456654510"":{""0"":[0]},""node_1_1544810991157"":{""1"":[0,5,1,0,4,3,6,2]},""node_1_1556755579683"":{""0"":[0]},""node_22_1542665776850"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""668d99c7-499c-4cdf-b4e6-d945eddebe00""},""input"":{""text"":""How can you ask to give someone a blowjob""},""intents"":[{""intent"":""What.To.Ask.Bot"",""confidence"":0.85130033493042}],""entities"":[{""location"":[34,41],""value"":""Oral Sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?"",""userId"":""4757796f-41fd-43c8-af3e-1ab70d6e6c0b"",""intent"":{""name"":""What.To.Ask.Bot"",""inputs"":[{""name"":""Sex"",""value"":""Oral Sex""}]}}","What.To.Ask.Bot",false
