"Date","Text","Message JSON","Intent","Incoming"
"2020-01-10T17:07:48.165Z",,"{""userId"":""4ac5121a-3265-4288-94ae-7eb7b45b5471""}",,true
"2020-01-10T17:07:48.153Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""4ac5121a-3265-4288-94ae-7eb7b45b5471"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4ac5121a-3265-4288-94ae-7eb7b45b5471""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2563ffb4-bb34-42a6-8ed5-d3076c72becc""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-10T17:08:38.652Z","how does depo shot work","{""userId"":""4ac5121a-3265-4288-94ae-7eb7b45b5471"",""text"":""how does depo shot work""}",,true
"2020-01-10T17:08:38.641Z","Depo is a type of birth control that you get every 3 months to prevent pregnancy. Lots of girls just call it “the shot” and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting it every 3 months, you should definitely talk to your doctor about getting started.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Depo is a type of birth control that you get every 3 months to prevent pregnancy. Lots of girls just call it “the shot” and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting it every 3 months, you should definitely talk to your doctor about getting started.""},{""typing"":true,""response_type"":""pause"",""time"":2000},{""options"":[{""value"":{""input"":{""text"":""Is the shot effective?""}},""label"":""Tap here to find out how effective the shot is.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or you can ask me something else.""}],""nodes_visited"":[""node_3_1534954768978"",""node_49_1542652057819""],""text"":[""Depo is a type of birth control that you get every 3 months to prevent pregnancy. Lots of girls just call it “the shot” and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting it every 3 months, you should definitely talk to your doctor about getting started."",""Or you can ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4ac5121a-3265-4288-94ae-7eb7b45b5471""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_49_1542652057819"":{""0"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2563ffb4-bb34-42a6-8ed5-d3076c72becc""},""input"":{""text"":""how does depo shot work""},""intents"":[{""intent"":""def_Depo"",""confidence"":0.5770079851150514}],""entities"":[{""location"":[9,13],""value"":""Shot"",""entity"":""Birth_Control"",""confidence"":1},{""location"":[14,18],""value"":""Shot"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Depo is a type of birth control that you get every 3 months to prevent pregnancy. Lots of girls just call it “the shot” and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting it every 3 months, you should definitely talk to your doctor about getting started."",""userId"":""4ac5121a-3265-4288-94ae-7eb7b45b5471"",""intent"":{""name"":""def_Depo"",""inputs"":[{""name"":""Birth_Control"",""value"":""Shot""},{""name"":""Birth_Control"",""value"":""Shot""}]}}","def_Depo",false
"2020-01-10T17:10:37.765Z","side effects of deposhot","{""userId"":""4ac5121a-3265-4288-94ae-7eb7b45b5471"",""text"":""side effects of deposhot""}",,true
"2020-01-10T17:10:37.781Z","The shot has a few potential side effects. You’ve probably heard that a big one is weight gain - which is true. But, it’s the only birth control that might make you gain a few extra pounds. Other side effects are spotting between periods and a change in appetite.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The shot has a few potential side effects. You’ve probably heard that a big one is weight gain - which is true. But, it’s the only birth control that might make you gain a few extra pounds. Other side effects are spotting between periods and a change in appetite.""},{""typing"":true,""response_type"":""pause"",""time"":1700},{""options"":[{""value"":{""input"":{""text"":""How much is the shot?""}},""label"":""Tap here to see how much the shot might cost.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or, ask me something else.""}],""nodes_visited"":[""node_3_1535419543482"",""node_16_1541625383567""],""text"":[""The shot has a few potential side effects. You’ve probably heard that a big one is weight gain - which is true. But, it’s the only birth control that might make you gain a few extra pounds. Other side effects are spotting between periods and a change in appetite."",""Or, ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4ac5121a-3265-4288-94ae-7eb7b45b5471""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_49_1542652057819"":{""0"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_16_1541625383567"":{""0"":[0],""3"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2563ffb4-bb34-42a6-8ed5-d3076c72becc""},""input"":{""text"":""side effects of deposhot""},""intents"":[{""intent"":""Shot.side.effects"",""confidence"":0.8964098930358888}],""entities"":[{""location"":[0,12],""value"":""side effects"",""entity"":""Side_Effects"",""confidence"":1}],""alternate_intents"":false},""text"":""The shot has a few potential side effects. You’ve probably heard that a big one is weight gain - which is true. But, it’s the only birth control that might make you gain a few extra pounds. Other side effects are spotting between periods and a change in appetite."",""userId"":""4ac5121a-3265-4288-94ae-7eb7b45b5471"",""intent"":{""name"":""Shot.side.effects"",""inputs"":[{""name"":""Side_Effects"",""value"":""side effects""}]}}","Shot.side.effects",false
"2020-01-10T17:11:50.870Z","how does implant work","{""userId"":""4ac5121a-3265-4288-94ae-7eb7b45b5471"",""text"":""how does implant work""}",,true
"2020-01-10T17:11:50.882Z","The implant is a type of birth control that goes into your upper arm to prevent pregnancy. It used to be called Implanon but now it’s called Nexplanon. It’s a teeny rod that releases progestin to stop ovulation (no egg, no baby) and thickens mucus in your cervix.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The implant is a type of birth control that goes into your upper arm to prevent pregnancy. It used to be called Implanon but now it’s called Nexplanon. It’s a teeny rod that releases progestin to stop ovulation (no egg, no baby) and thickens mucus in your cervix.""},{""response_type"":""text"",""text"":""Once inserted by your doctor, it can prevent pregnancy for up to 3 years but you can always get it taken out whenever you’re ready.""},{""typing"":true,""response_type"":""pause"",""time"":2100},{""options"":[{""value"":{""input"":{""text"":""What's it like to get the implant?""}},""label"":""Tap here to find out what it's like to get an implant.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or you can ask me more.""}],""nodes_visited"":[""node_51_1535409420594"",""node_10_1542398323701""],""text"":[""The implant is a type of birth control that goes into your upper arm to prevent pregnancy. It used to be called Implanon but now it’s called Nexplanon. It’s a teeny rod that releases progestin to stop ovulation (no egg, no baby) and thickens mucus in your cervix."",""Once inserted by your doctor, it can prevent pregnancy for up to 3 years but you can always get it taken out whenever you’re ready."",""Or you can ask me more.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4ac5121a-3265-4288-94ae-7eb7b45b5471""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_10_1542398323701"":{""0"":[0],""1"":[0],""4"":[0]},""node_49_1542652057819"":{""0"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_16_1541625383567"":{""0"":[0],""3"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2563ffb4-bb34-42a6-8ed5-d3076c72becc""},""input"":{""text"":""how does implant work""},""intents"":[{""intent"":""def_implant"",""confidence"":0.8242586135864258}],""entities"":[{""location"":[9,16],""value"":""Implant"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The implant is a type of birth control that goes into your upper arm to prevent pregnancy. It used to be called Implanon but now it’s called Nexplanon. It’s a teeny rod that releases progestin to stop ovulation (no egg, no baby) and thickens mucus in your cervix."",""userId"":""4ac5121a-3265-4288-94ae-7eb7b45b5471"",""intent"":{""name"":""def_implant"",""inputs"":[{""name"":""Birth_Control"",""value"":""Implant""}]}}","def_implant",false
"2020-01-10T17:13:08.425Z","side effects of implant","{""userId"":""4ac5121a-3265-4288-94ae-7eb7b45b5471"",""text"":""side effects of implant""}",,true
"2020-01-10T17:13:08.425Z","Everybody is different but the most common side effect of the implant is spotting between periods. Oh, and some girls might feel a little pain in their arm where the implant is at but, that’s about it. If you’re worried about side effects, talk to your doc to find out more about what you can expect.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Everybody is different but the most common side effect of the implant is spotting between periods. Oh, and some girls might feel a little pain in their arm where the implant is at but, that’s about it. If you’re worried about side effects, talk to your doc to find out more about what you can expect.""},{""typing"":true,""response_type"":""pause"",""time"":2200},{""options"":[{""value"":{""input"":{""text"":""What's it like to get the implant?""}},""label"":""Tap here to read what it's like to get the implant.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or type another question.""}],""nodes_visited"":[""node_41_1535064109629"",""node_24_1542221737790""],""text"":[""Everybody is different but the most common side effect of the implant is spotting between periods. Oh, and some girls might feel a little pain in their arm where the implant is at but, that’s about it. If you’re worried about side effects, talk to your doc to find out more about what you can expect."",""Or type another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4ac5121a-3265-4288-94ae-7eb7b45b5471""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_10_1542398323701"":{""0"":[0],""1"":[0],""4"":[0]},""node_49_1542652057819"":{""0"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_24_1542221737790"":{""0"":[0],""3"":[0]},""node_16_1541625383567"":{""0"":[0],""3"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2563ffb4-bb34-42a6-8ed5-d3076c72becc""},""input"":{""text"":""side effects of implant""},""intents"":[{""intent"":""Implant.side.effects"",""confidence"":0.9397858142852784}],""entities"":[{""location"":[0,12],""value"":""side effects"",""entity"":""Side_Effects"",""confidence"":1},{""location"":[16,23],""value"":""Implant"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Everybody is different but the most common side effect of the implant is spotting between periods. Oh, and some girls might feel a little pain in their arm where the implant is at but, that’s about it. If you’re worried about side effects, talk to your doc to find out more about what you can expect."",""userId"":""4ac5121a-3265-4288-94ae-7eb7b45b5471"",""intent"":{""name"":""Implant.side.effects"",""inputs"":[{""name"":""Side_Effects"",""value"":""side effects""},{""name"":""Birth_Control"",""value"":""Implant""}]}}","Implant.side.effects",false
"2020-01-10T17:14:12.908Z","iud how does it work","{""userId"":""4ac5121a-3265-4288-94ae-7eb7b45b5471"",""text"":""iud how does it work""}",,true
"2020-01-10T17:14:12.894Z","An IUD is a type of birth control that is inserted into your uterus to prevent pregnancy. It’s a tiny little t-shaped piece of plastic that works to block sperm from getting to an egg.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""An IUD is a type of birth control that is inserted into your uterus to prevent pregnancy. It’s a tiny little t-shaped piece of plastic that works to block sperm from getting to an egg.""},{""response_type"":""text"",""text"":""Once your doctor puts it in, it can prevent pregnancy for anywhere between 3 - 12 years depending on the type. And you can always get it taken out whenever you’re ready. ""},{""typing"":true,""response_type"":""pause"",""time"":2100},{""options"":[{""value"":{""input"":{""text"":""What are the different types of IUDs?""}},""label"":""Want to find out more about all the types of IUDs? Tap here.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or you can ask me another question.""}],""nodes_visited"":[""node_32_1534886261943"",""node_12_1542398697152""],""text"":[""An IUD is a type of birth control that is inserted into your uterus to prevent pregnancy. It’s a tiny little t-shaped piece of plastic that works to block sperm from getting to an egg."",""Once your doctor puts it in, it can prevent pregnancy for anywhere between 3 - 12 years depending on the type. And you can always get it taken out whenever you’re ready. "",""Or you can ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4ac5121a-3265-4288-94ae-7eb7b45b5471""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_12_1542398697152"":{""0"":[0],""1"":[0],""4"":[0]},""node_10_1542398323701"":{""0"":[0],""1"":[0],""4"":[0]},""node_49_1542652057819"":{""0"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_24_1542221737790"":{""0"":[0],""3"":[0]},""node_16_1541625383567"":{""0"":[0],""3"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2563ffb4-bb34-42a6-8ed5-d3076c72becc""},""input"":{""text"":""iud how does it work""},""intents"":[{""intent"":""def_IUD"",""confidence"":0.6885984897613526}],""entities"":[{""location"":[0,3],""value"":""IUD"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""An IUD is a type of birth control that is inserted into your uterus to prevent pregnancy. It’s a tiny little t-shaped piece of plastic that works to block sperm from getting to an egg."",""userId"":""4ac5121a-3265-4288-94ae-7eb7b45b5471"",""intent"":{""name"":""def_IUD"",""inputs"":[{""name"":""Birth_Control"",""value"":""IUD""}]}}","def_IUD",false
"2020-01-10T17:15:36.101Z","What are the different types of IUDs?","{""userId"":""4ac5121a-3265-4288-94ae-7eb7b45b5471"",""text"":""What are the different types of IUDs?""}",,true
