"Date","Text","Message JSON","Intent","Incoming"
"2020-01-09T18:32:30.059Z",,"{""userId"":""4e8005cf-ded6-495c-8a38-7d91bbc57f5e""}",,true
"2020-01-09T18:32:30.048Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""4e8005cf-ded6-495c-8a38-7d91bbc57f5e"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4e8005cf-ded6-495c-8a38-7d91bbc57f5e""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""24e70170-8c83-4f40-bd43-a2a1e6672680""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-09T18:32:50.207Z","tell me about implant","{""userId"":""4e8005cf-ded6-495c-8a38-7d91bbc57f5e"",""text"":""tell me about implant""}",,true
"2020-01-09T18:32:50.192Z","The implant is a type of birth control that goes into your upper arm to prevent pregnancy. It used to be called Implanon but now it’s called Nexplanon. It’s a teeny rod that releases progestin to stop ovulation (no egg, no baby) and thickens mucus in your cervix.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The implant is a type of birth control that goes into your upper arm to prevent pregnancy. It used to be called Implanon but now it’s called Nexplanon. It’s a teeny rod that releases progestin to stop ovulation (no egg, no baby) and thickens mucus in your cervix.""},{""response_type"":""text"",""text"":""Once inserted by your doctor, it can prevent pregnancy for up to 3 years but you can always get it taken out whenever you’re ready.""},{""typing"":true,""response_type"":""pause"",""time"":2100},{""options"":[{""value"":{""input"":{""text"":""What's it like to get the implant?""}},""label"":""Tap here to find out what it's like to get an implant.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or you can ask me more.""}],""nodes_visited"":[""node_51_1535409420594"",""node_10_1542398323701""],""text"":[""The implant is a type of birth control that goes into your upper arm to prevent pregnancy. It used to be called Implanon but now it’s called Nexplanon. It’s a teeny rod that releases progestin to stop ovulation (no egg, no baby) and thickens mucus in your cervix."",""Once inserted by your doctor, it can prevent pregnancy for up to 3 years but you can always get it taken out whenever you’re ready."",""Or you can ask me more.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4e8005cf-ded6-495c-8a38-7d91bbc57f5e""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_10_1542398323701"":{""0"":[0],""1"":[0],""4"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""24e70170-8c83-4f40-bd43-a2a1e6672680""},""input"":{""text"":""tell me about implant""},""intents"":[{""intent"":""def_implant"",""confidence"":0.92425537109375}],""entities"":[{""location"":[14,21],""value"":""Implant"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The implant is a type of birth control that goes into your upper arm to prevent pregnancy. It used to be called Implanon but now it’s called Nexplanon. It’s a teeny rod that releases progestin to stop ovulation (no egg, no baby) and thickens mucus in your cervix."",""userId"":""4e8005cf-ded6-495c-8a38-7d91bbc57f5e"",""intent"":{""name"":""def_implant"",""inputs"":[{""name"":""Birth_Control"",""value"":""Implant""}]}}","def_implant",false
"2020-01-09T18:33:25.641Z","What's it like to get the implant?","{""userId"":""4e8005cf-ded6-495c-8a38-7d91bbc57f5e"",""text"":""What's it like to get the implant?""}",,true
"2020-01-09T18:33:25.626Z","Getting the implant is super quick and easy. Your doctor will give you a tiny shot that’ll numb your arm and will put the implant right under your skin and that’s it. You’re protected from pregnancy for up to 3 years! ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Getting the implant is super quick and easy. Your doctor will give you a tiny shot that’ll numb your arm and will put the implant right under your skin and that’s it. You’re protected from pregnancy for up to 3 years! ""},{""response_type"":""text"",""text"":""Any pain or discomfort should go away in a few days - but if it’s not, check with your doctor.""},{""typing"":true,""response_type"":""pause"",""time"":4500},{""response_type"":""text"",""text"":""To find a doctor or clinic near you to get the implant, <a href=\""/#birth-control-finder\"">tap here to go to the Clinic Map.</a>""},{""response_type"":""text"",""text"":""Or, ask me something else.""}],""nodes_visited"":[""node_29_1534973228814"",""node_38_1542230905842""],""text"":[""Getting the implant is super quick and easy. Your doctor will give you a tiny shot that’ll numb your arm and will put the implant right under your skin and that’s it. You’re protected from pregnancy for up to 3 years! "",""Any pain or discomfort should go away in a few days - but if it’s not, check with your doctor."",""To find a doctor or clinic near you to get the implant, <a href=\""/#birth-control-finder\"">tap here to go to the Clinic Map.</a>"",""Or, ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4e8005cf-ded6-495c-8a38-7d91bbc57f5e""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_38_1542230905842"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_10_1542398323701"":{""0"":[0],""1"":[0],""4"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""24e70170-8c83-4f40-bd43-a2a1e6672680""},""input"":{""text"":""What's it like to get the implant?""},""intents"":[{""intent"":""Implant.feeling"",""confidence"":1}],""entities"":[{""location"":[22,33],""value"":""Implant"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Getting the implant is super quick and easy. Your doctor will give you a tiny shot that’ll numb your arm and will put the implant right under your skin and that’s it. You’re protected from pregnancy for up to 3 years! "",""userId"":""4e8005cf-ded6-495c-8a38-7d91bbc57f5e"",""intent"":{""name"":""Implant.feeling"",""inputs"":[{""name"":""Birth_Control"",""value"":""Implant""}]}}","Implant.feeling",false
"2020-01-09T18:34:03.724Z","patch","{""userId"":""4e8005cf-ded6-495c-8a38-7d91bbc57f5e"",""text"":""patch""}",,true
"2020-01-09T18:34:03.708Z","The patch is a type of birth control that you place on your arm every week. It’s sold as Xulane (used to be called Ortho Evra) and it works to prevent ovulation (when your body releases an egg) - no egg, no baby!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The patch is a type of birth control that you place on your arm every week. It’s sold as Xulane (used to be called Ortho Evra) and it works to prevent ovulation (when your body releases an egg) - no egg, no baby!""},{""response_type"":""text"",""text"":""If you’re fine with switching it out every week, you should definitely talk to your doctor about starting it. ""},{""typing"":true,""response_type"":""pause"",""time"":3100},{""options"":[{""value"":{""input"":{""text"":""How effective is the patch at preventing pregnancy?""}},""label"":""Tap here to see how effective the patch is.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or type a different question.""}],""nodes_visited"":[""node_3_1535417199821"",""node_22_1542399584114""],""text"":[""The patch is a type of birth control that you place on your arm every week. It’s sold as Xulane (used to be called Ortho Evra) and it works to prevent ovulation (when your body releases an egg) - no egg, no baby!"",""If you’re fine with switching it out every week, you should definitely talk to your doctor about starting it. "",""Or type a different question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4e8005cf-ded6-495c-8a38-7d91bbc57f5e""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_10_1542398323701"":{""0"":[0],""1"":[0],""4"":[0]},""node_38_1542230905842"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_22_1542399584114"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""24e70170-8c83-4f40-bd43-a2a1e6672680""},""input"":{""text"":""patch""},""intents"":[{""intent"":""def_Patch.BC"",""confidence"":0.9605259418487548}],""entities"":[{""location"":[0,5],""value"":""Patch"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The patch is a type of birth control that you place on your arm every week. It’s sold as Xulane (used to be called Ortho Evra) and it works to prevent ovulation (when your body releases an egg) - no egg, no baby!"",""userId"":""4e8005cf-ded6-495c-8a38-7d91bbc57f5e"",""intent"":{""name"":""def_Patch.BC"",""inputs"":[{""name"":""Birth_Control"",""value"":""Patch""}]}}","def_Patch.BC",false
"2020-01-09T18:34:20.378Z","How effective is the patch at preventing pregnancy?","{""userId"":""4e8005cf-ded6-495c-8a38-7d91bbc57f5e"",""text"":""How effective is the patch at preventing pregnancy?""}",,true
"2020-01-09T18:34:20.393Z","For most women who use the patch, it's 91% effective at preventing pregnancy. That means out of 100 women on the patch, 9 of them get pregnant.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""For most women who use the patch, it's 91% effective at preventing pregnancy. That means out of 100 women on the patch, 9 of them get pregnant.""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""options"":[{""value"":{""input"":{""text"":""How to get the patch.""}},""label"":""Tap here to find out how you can get the patch.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me another question.""}],""nodes_visited"":[""node_25_1534967794331"",""node_14_1542138867289""],""text"":[""For most women who use the patch, it's 91% effective at preventing pregnancy. That means out of 100 women on the patch, 9 of them get pregnant."",""Or ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""4e8005cf-ded6-495c-8a38-7d91bbc57f5e""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_10_1542398323701"":{""0"":[0],""1"":[0],""4"":[0]},""node_38_1542230905842"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_22_1542399584114"":{""0"":[0],""1"":[0],""4"":[0]},""node_14_1542138867289"":{""0"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""24e70170-8c83-4f40-bd43-a2a1e6672680""},""input"":{""text"":""How effective is the patch at preventing pregnancy?""},""intents"":[{""intent"":""Patch.efficacy"",""confidence"":0.9933181285858155}],""entities"":[{""location"":[17,26],""value"":""Patch"",""entity"":""Birth_Control"",""confidence"":1},{""location"":[41,50],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1}],""alternate_intents"":false},""text"":""For most women who use the patch, it's 91% effective at preventing pregnancy. That means out of 100 women on the patch, 9 of them get pregnant."",""userId"":""4e8005cf-ded6-495c-8a38-7d91bbc57f5e"",""intent"":{""name"":""Patch.efficacy"",""inputs"":[{""name"":""Birth_Control"",""value"":""Patch""},{""name"":""Pregnant"",""value"":""pregnant""}]}}","Patch.efficacy",false
