"Date","Text","Message JSON","Intent","Incoming"
"2020-01-17T23:11:19.908Z",,"{""userId"":""5c2598a9-85fb-4f89-9883-651b13d3d862""}",,true
"2020-01-17T23:11:19.905Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""5c2598a9-85fb-4f89-9883-651b13d3d862"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""5c2598a9-85fb-4f89-9883-651b13d3d862""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2f3f83a8-3187-445a-a78c-4eac8c5b3f4a""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-17T23:12:00.233Z","what birth control is best?","{""userId"":""5c2598a9-85fb-4f89-9883-651b13d3d862"",""text"":""what birth control is best?""}",,true
"2020-01-17T23:12:00.218Z","Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. ""},{""response_type"":""text"",""text"":""What works for your best friend, might not be the best choice for you so it’s really important to know about your options and have a heart to heart with your doctor (and yourself).""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/&__hash__;birth-control-types\"">Tap here to scroll to a list of birth control types.</a> ""}],""nodes_visited"":[""node_16_1534790514779"",""node_18_1541092071873"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. "",""What works for your best friend, might not be the best choice for you so it’s really important to know about your options and have a heart to heart with your doctor (and yourself)."",""<a href=\""/&__hash__;birth-control-types\"">Tap here to scroll to a list of birth control types.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""5c2598a9-85fb-4f89-9883-651b13d3d862""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_1_1544810991157"":{""1"":[0,2,0,3,6,4,1,5]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2f3f83a8-3187-445a-a78c-4eac8c5b3f4a""},""input"":{""text"":""what birth control is best?""},""intents"":[{""intent"":""BC.types"",""confidence"":0.8247295856475831}],""entities"":[{""location"":[5,18],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. "",""userId"":""5c2598a9-85fb-4f89-9883-651b13d3d862"",""intent"":{""name"":""BC.types"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.types",false
"2020-01-17T23:12:24.765Z",,"{""userId"":""5c2598a9-85fb-4f89-9883-651b13d3d862""}",,true
"2020-01-17T23:12:24.763Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""5c2598a9-85fb-4f89-9883-651b13d3d862"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""5c2598a9-85fb-4f89-9883-651b13d3d862""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""77531005-8225-4df0-985d-a1c5f9aa623c""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-17T23:12:34.932Z","what does url do","{""userId"":""5c2598a9-85fb-4f89-9883-651b13d3d862"",""text"":""what does url do""}",,true
"2020-01-17T23:12:34.921Z","The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it.""},{""typing"":true,""response_type"":""pause"",""time"":2000},{""options"":[{""value"":{""input"":{""text"":""How effective is the shot at preventing pregnancy?""}},""label"":""Tap here to find out how effective the shot is.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Have another question? Ask me!""}],""nodes_visited"":[""node_6_1535561433242"",""node_12_1542403318496""],""text"":[""The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it."",""Have another question? Ask me!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""5c2598a9-85fb-4f89-9883-651b13d3d862""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_12_1542403318496"":{""0"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""77531005-8225-4df0-985d-a1c5f9aa623c""},""input"":{""text"":""what does url do""},""intents"":[{""intent"":""def_shot"",""confidence"":0.4468646764755249}],""alternate_intents"":false},""text"":""The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it."",""userId"":""5c2598a9-85fb-4f89-9883-651b13d3d862"",""intent"":{""name"":""def_shot""}}","def_shot",false
"2020-01-17T23:12:35.205Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""5c2598a9-85fb-4f89-9883-651b13d3d862"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-17T23:12:35.218Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""5c2598a9-85fb-4f89-9883-651b13d3d862""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_12_1542403318496"":{""0"":[0],""3"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""77531005-8225-4df0-985d-a1c5f9aa623c""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""5c2598a9-85fb-4f89-9883-651b13d3d862"",""intent"":{""name"":""unknown""}}","unknown",false
