"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T19:12:22.846Z",,"{""userId"":""5ed8029a-c4cc-4c93-851c-8228ba49705c""}",,true
"2020-01-04T19:12:22.845Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""5ed8029a-c4cc-4c93-851c-8228ba49705c"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""5ed8029a-c4cc-4c93-851c-8228ba49705c""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c43e3f12-14ef-44cc-9abb-238ac814330a""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T19:12:33.979Z","hi! ","{""userId"":""5ed8029a-c4cc-4c93-851c-8228ba49705c"",""text"":""hi! ""}",,true
"2020-01-04T19:12:33.970Z","Heyyy girl! Have any questions about birth control? Just ask and I got you!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Heyyy girl! Have any questions about birth control? Just ask and I got you!""}],""nodes_visited"":[""node_12_1539832480514"",""node_12_1542240270828""],""text"":[""Heyyy girl! Have any questions about birth control? Just ask and I got you!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""5ed8029a-c4cc-4c93-851c-8228ba49705c""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1542240270828"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c43e3f12-14ef-44cc-9abb-238ac814330a""},""input"":{""text"":""hi! ""},""intents"":[{""intent"":""Hey"",""confidence"":1}],""alternate_intents"":false},""text"":""Heyyy girl! Have any questions about birth control? Just ask and I got you!"",""userId"":""5ed8029a-c4cc-4c93-851c-8228ba49705c"",""intent"":{""name"":""Hey""}}","Hey",false
"2020-01-04T19:12:48.278Z","what's a good age to start? ","{""userId"":""5ed8029a-c4cc-4c93-851c-8228ba49705c"",""text"":""what's a good age to start? ""}",,true
"2020-01-04T19:12:48.561Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""5ed8029a-c4cc-4c93-851c-8228ba49705c"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T19:12:48.294Z","There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. ""},{""response_type"":""text"",""text"":""That way you’re already covered when you start having sex because YES, you CAN get pregnant the first time.""},{""typing"":true,""response_type"":""pause"",""time"":2200},{""options"":[{""value"":{""input"":{""text"":""How do I choose the right kind of birth control?""}},""label"":""Tap here to learn about choosing the best birth control for you.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or you can ask me another question.""}],""nodes_visited"":[""node_7_1535646904489"",""node_26_1541630799961""],""text"":[""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. "",""That way you’re already covered when you start having sex because YES, you CAN get pregnant the first time."",""Or you can ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""5ed8029a-c4cc-4c93-851c-8228ba49705c""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1542240270828"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c43e3f12-14ef-44cc-9abb-238ac814330a""},""input"":{""text"":""what's a good age to start? ""},""intents"":[{""intent"":""Sex.when.start"",""confidence"":0.37554019689559937}],""alternate_intents"":false},""text"":""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. "",""userId"":""5ed8029a-c4cc-4c93-851c-8228ba49705c"",""intent"":{""name"":""Sex.when.start""}}","Sex.when.start",false
"2020-01-04T19:12:48.550Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""5ed8029a-c4cc-4c93-851c-8228ba49705c""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_12_1542240270828"":{""0"":[0,0]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c43e3f12-14ef-44cc-9abb-238ac814330a""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""5ed8029a-c4cc-4c93-851c-8228ba49705c"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-04T19:13:08.705Z","when is a good time to start taking birth control? ","{""userId"":""5ed8029a-c4cc-4c93-851c-8228ba49705c"",""text"":""when is a good time to start taking birth control? ""}",,true
"2020-01-04T19:13:08.971Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""5ed8029a-c4cc-4c93-851c-8228ba49705c"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
