"Date","Text","Message JSON","Intent","Incoming"
"2020-01-11T15:22:03.383Z",,"{""userId"":""5f44bc10-e6c9-4d38-aed5-7a3fbea07161""}",,true
"2020-01-11T15:22:03.383Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""5f44bc10-e6c9-4d38-aed5-7a3fbea07161"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""5f44bc10-e6c9-4d38-aed5-7a3fbea07161""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f3f4e667-5b27-4e91-b00d-62ccfa6c75d1""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-11T15:24:02.429Z","Can I get pregnant even with a condom on?","{""userId"":""5f44bc10-e6c9-4d38-aed5-7a3fbea07161"",""text"":""Can I get pregnant even with a condom on?""}",,true
"2020-01-11T15:24:02.698Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""5f44bc10-e6c9-4d38-aed5-7a3fbea07161"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-11T15:24:02.428Z","Getting pregnant with an IUD is really rare but, it can happen. If you think you might be pregnant or have a positive pregnancy test with an IUD, you need to see your doctor ASAP.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Getting pregnant with an IUD is really rare but, it can happen. If you think you might be pregnant or have a positive pregnancy test with an IUD, you need to see your doctor ASAP.""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""options"":[{""value"":{""input"":{""text"":""How safe is the IUD?""}},""label"":""See how safe the IUD is here.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me something else.""}],""nodes_visited"":[""node_30_1534973487552"",""node_15_1541715775221""],""text"":[""Getting pregnant with an IUD is really rare but, it can happen. If you think you might be pregnant or have a positive pregnancy test with an IUD, you need to see your doctor ASAP."",""Or ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""5f44bc10-e6c9-4d38-aed5-7a3fbea07161""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_15_1541715775221"":{""0"":[0],""3"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f3f4e667-5b27-4e91-b00d-62ccfa6c75d1""},""input"":{""text"":""Can I get pregnant even with a condom on?""},""intents"":[{""intent"":""Preg.IUD"",""confidence"":0.49011094570159913}],""entities"":[{""location"":[10,18],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[29,37],""value"":""condom"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Getting pregnant with an IUD is really rare but, it can happen. If you think you might be pregnant or have a positive pregnancy test with an IUD, you need to see your doctor ASAP."",""userId"":""5f44bc10-e6c9-4d38-aed5-7a3fbea07161"",""intent"":{""name"":""Preg.IUD"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Birth_Control"",""value"":""condom""}]}}","Preg.IUD",false
"2020-01-11T15:24:02.682Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""5f44bc10-e6c9-4d38-aed5-7a3fbea07161""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_15_1541715775221"":{""0"":[0],""3"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f3f4e667-5b27-4e91-b00d-62ccfa6c75d1""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""5f44bc10-e6c9-4d38-aed5-7a3fbea07161"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-11T15:28:46.884Z","does my period stop when I take birth control","{""userId"":""5f44bc10-e6c9-4d38-aed5-7a3fbea07161"",""text"":""does my period stop when I take birth control""}",,true
"2020-01-11T15:28:46.884Z","Not getting your period sounds crazy right? But, when you’re on birth control, it’s normal and totally ok - especially for the really effective types like the IUD or the implant. And even if you’re on other types of birth control like the pill, patch, or ring, you can skip your period by just starting your new birth control the week of your period instead of taking the placebo pills.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Not getting your period sounds crazy right? But, when you’re on birth control, it’s normal and totally ok - especially for the really effective types like the IUD or the implant. And even if you’re on other types of birth control like the pill, patch, or ring, you can skip your period by just starting your new birth control the week of your period instead of taking the placebo pills.""},{""response_type"":""text"",""text"":""The only time you should be concerned is if you don’t get your period and you're NOT on birth control OR you messed up taking it 😩. If that happened and you missed your period, you need to take a pregnancy test ASAP. ""}],""nodes_visited"":[""node_24_1534797198732"",""node_8_1542668505897""],""text"":[""Not getting your period sounds crazy right? But, when you’re on birth control, it’s normal and totally ok - especially for the really effective types like the IUD or the implant. And even if you’re on other types of birth control like the pill, patch, or ring, you can skip your period by just starting your new birth control the week of your period instead of taking the placebo pills."",""The only time you should be concerned is if you don’t get your period and you're NOT on birth control OR you messed up taking it 😩. If that happened and you missed your period, you need to take a pregnancy test ASAP. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""5f44bc10-e6c9-4d38-aed5-7a3fbea07161""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_15_1541715775221"":{""0"":[0],""3"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_8_1542668505897"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f3f4e667-5b27-4e91-b00d-62ccfa6c75d1""},""input"":{""text"":""does my period stop when I take birth control""},""intents"":[{""intent"":""BC.no.period"",""confidence"":0.47959747314453127}],""entities"":[{""location"":[8,14],""value"":""period"",""entity"":""Period"",""confidence"":1},{""location"":[32,45],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Not getting your period sounds crazy right? But, when you’re on birth control, it’s normal and totally ok - especially for the really effective types like the IUD or the implant. And even if you’re on other types of birth control like the pill, patch, or ring, you can skip your period by just starting your new birth control the week of your period instead of taking the placebo pills."",""userId"":""5f44bc10-e6c9-4d38-aed5-7a3fbea07161"",""intent"":{""name"":""BC.no.period"",""inputs"":[{""name"":""Period"",""value"":""period""},{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.no.period",false
"2020-01-11T15:28:47.133Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""5f44bc10-e6c9-4d38-aed5-7a3fbea07161"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-11T15:28:47.121Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""5f44bc10-e6c9-4d38-aed5-7a3fbea07161""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_15_1541715775221"":{""0"":[0],""3"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_8_1542668505897"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f3f4e667-5b27-4e91-b00d-62ccfa6c75d1""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""5f44bc10-e6c9-4d38-aed5-7a3fbea07161"",""intent"":{""name"":""unknown""}}","unknown",false
