"Date","Text","Message JSON","Intent","Incoming"
"2020-01-21T20:19:48.608Z",,"{""userId"":""63d074e5-d244-460e-aa6b-66f776755c8d""}",,true
"2020-01-21T20:19:48.609Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""63d074e5-d244-460e-aa6b-66f776755c8d"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""63d074e5-d244-460e-aa6b-66f776755c8d""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f3288b61-b7eb-41e8-a8f1-c9c324de925f""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-21T20:19:56.585Z","how to clean my sex toys","{""userId"":""63d074e5-d244-460e-aa6b-66f776755c8d"",""text"":""how to clean my sex toys""}",,true
"2020-01-21T20:19:56.571Z","You can only get pregnant from sex toys if the toy has semen (cum) on it, and you put it into your vagina. It's always a good idea to keep sex toys clean.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can only get pregnant from sex toys if the toy has semen (cum) on it, and you put it into your vagina. It's always a good idea to keep sex toys clean.""}],""nodes_visited"":[""node_27_1535575819516""],""text"":[""You can only get pregnant from sex toys if the toy has semen (cum) on it, and you put it into your vagina. It's always a good idea to keep sex toys clean.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""63d074e5-d244-460e-aa6b-66f776755c8d""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_27_1535575819516"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f3288b61-b7eb-41e8-a8f1-c9c324de925f""},""input"":{""text"":""how to clean my sex toys""},""intents"":[{""intent"":""Preg.from.toys"",""confidence"":0.7895505905151368}],""entities"":[{""location"":[16,19],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""You can only get pregnant from sex toys if the toy has semen (cum) on it, and you put it into your vagina. It's always a good idea to keep sex toys clean."",""userId"":""63d074e5-d244-460e-aa6b-66f776755c8d"",""intent"":{""name"":""Preg.from.toys"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Preg.from.toys",false
"2020-01-21T20:20:13.680Z","what is impantation palpation","{""userId"":""63d074e5-d244-460e-aa6b-66f776755c8d"",""text"":""what is impantation palpation""}",,true
"2020-01-21T20:20:13.978Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""63d074e5-d244-460e-aa6b-66f776755c8d"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-21T20:20:13.694Z","Ovulation is the part of a woman’s monthly cycle where she releases an egg. This is the time of the month that she’s most likely to get pregnant if she has unprotected sex. Every woman is different so ovulation can happen at different times depending on the person, but for the most part, it happens around two weeks after her period starts.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Ovulation is the part of a woman’s monthly cycle where she releases an egg. This is the time of the month that she’s most likely to get pregnant if she has unprotected sex. Every woman is different so ovulation can happen at different times depending on the person, but for the most part, it happens around two weeks after her period starts.""},{""response_type"":""text"",""text"":""Sperm can survive in the vagina for DAYS though, so even if you think you’re in the clear, ALWAYS use birth control every time you have sex if you don’t want to get pregnant. ""}],""nodes_visited"":[""node_41_1534803408509"",""node_20_1542399422016""],""text"":[""Ovulation is the part of a woman’s monthly cycle where she releases an egg. This is the time of the month that she’s most likely to get pregnant if she has unprotected sex. Every woman is different so ovulation can happen at different times depending on the person, but for the most part, it happens around two weeks after her period starts."",""Sperm can survive in the vagina for DAYS though, so even if you think you’re in the clear, ALWAYS use birth control every time you have sex if you don’t want to get pregnant. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""63d074e5-d244-460e-aa6b-66f776755c8d""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_20_1542399422016"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_27_1535575819516"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f3288b61-b7eb-41e8-a8f1-c9c324de925f""},""input"":{""text"":""what is impantation palpation""},""intents"":[{""intent"":""def_ovulation"",""confidence"":0.3187126994132996}],""alternate_intents"":false},""text"":""Ovulation is the part of a woman’s monthly cycle where she releases an egg. This is the time of the month that she’s most likely to get pregnant if she has unprotected sex. Every woman is different so ovulation can happen at different times depending on the person, but for the most part, it happens around two weeks after her period starts."",""userId"":""63d074e5-d244-460e-aa6b-66f776755c8d"",""intent"":{""name"":""def_ovulation""}}","def_ovulation",false
"2020-01-21T20:20:13.962Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""63d074e5-d244-460e-aa6b-66f776755c8d""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_20_1542399422016"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_27_1535575819516"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f3288b61-b7eb-41e8-a8f1-c9c324de925f""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""63d074e5-d244-460e-aa6b-66f776755c8d"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-21T20:20:40.502Z","i had an uncomfortable sexual experience","{""userId"":""63d074e5-d244-460e-aa6b-66f776755c8d"",""text"":""i had an uncomfortable sexual experience""}",,true
"2020-01-21T20:20:40.903Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""63d074e5-d244-460e-aa6b-66f776755c8d"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
