"Date","Text","Message JSON","Intent","Incoming"
"2020-01-06T04:16:13.693Z",,"{""userId"":""643cf906-2f77-4ad9-b90c-f091b73cdf7e""}",,true
"2020-01-06T04:16:13.694Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""643cf906-2f77-4ad9-b90c-f091b73cdf7e"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""643cf906-2f77-4ad9-b90c-f091b73cdf7e""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e246f88b-4553-4aeb-ba2f-664d5a67e2f5""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-06T04:18:12.334Z","Am I at risk of a pregnancy or not. I had my period for 3.5 days, nipples have this weird feeling and I’m craving weird foods ","{""userId"":""643cf906-2f77-4ad9-b90c-f091b73cdf7e"",""text"":""Am I at risk of a pregnancy or not. I had my period for 3.5 days, nipples have this weird feeling and I’m craving weird foods ""}",,true
"2020-01-06T04:18:12.807Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""643cf906-2f77-4ad9-b90c-f091b73cdf7e"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-06T04:18:12.337Z","Periods are different for everyone, and your period can even change throughout your life. Some people only get their period for 2 days, while others have it for a full week. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Periods are different for everyone, and your period can even change throughout your life. Some people only get their period for 2 days, while others have it for a full week. ""},{""response_type"":""text"",""text"":""\nIf your period is acting up or you're worried, talk to a doctor!""},{""typing"":true,""response_type"":""pause"",""time"":3000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-finder\"">Tap here to find a doctor or clinic near you.</a>""}],""nodes_visited"":[""node_14_1535393911551"",""node_76_1544056063223""],""text"":[""Periods are different for everyone, and your period can even change throughout your life. Some people only get their period for 2 days, while others have it for a full week. "",""\nIf your period is acting up or you're worried, talk to a doctor!"",""<a href=\""/#birth-control-finder\"">Tap here to find a doctor or clinic near you.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""643cf906-2f77-4ad9-b90c-f091b73cdf7e""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_76_1544056063223"":{""0"":[0],""1"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e246f88b-4553-4aeb-ba2f-664d5a67e2f5""},""input"":{""text"":""Am I at risk of a pregnancy or not. I had my period for 3.5 days, nipples have this weird feeling and I’m craving weird foods ""},""intents"":[{""intent"":""Period.length"",""confidence"":0.4308730840682984}],""entities"":[{""location"":[8,12],""value"":""side effects"",""entity"":""Side_Effects"",""confidence"":1},{""location"":[18,27],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[45,51],""value"":""period"",""entity"":""Period"",""confidence"":1},{""location"":[56,59],""metadata"":{""numeric_value"":3.5},""value"":""3.5"",""entity"":""sys-number"",""confidence"":1}],""alternate_intents"":false},""text"":""Periods are different for everyone, and your period can even change throughout your life. Some people only get their period for 2 days, while others have it for a full week. "",""userId"":""643cf906-2f77-4ad9-b90c-f091b73cdf7e"",""intent"":{""name"":""Period.length"",""inputs"":[{""name"":""Side_Effects"",""value"":""side effects""},{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Period"",""value"":""period""},{""name"":""sys-number"",""value"":""3.5""}]}}","Period.length",false
"2020-01-06T04:18:12.793Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""643cf906-2f77-4ad9-b90c-f091b73cdf7e""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_76_1544056063223"":{""0"":[0],""1"":[0],""3"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e246f88b-4553-4aeb-ba2f-664d5a67e2f5""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""643cf906-2f77-4ad9-b90c-f091b73cdf7e"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-06T04:18:40.172Z","Can you tell me what these symptoms relate to? ","{""userId"":""643cf906-2f77-4ad9-b90c-f091b73cdf7e"",""text"":""Can you tell me what these symptoms relate to? ""}",,true
"2020-01-06T04:18:40.184Z","You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?"" What questions do you have?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?""}],""nodes_visited"":[""node_2_1538498632782"",""node_8_1541456654510""],""text"":[""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""643cf906-2f77-4ad9-b90c-f091b73cdf7e""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_76_1544056063223"":{""0"":[0],""1"":[0],""3"":[0]},""node_8_1541456654510"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e246f88b-4553-4aeb-ba2f-664d5a67e2f5""},""input"":{""text"":""Can you tell me what these symptoms relate to? ""},""intents"":[{""intent"":""What.To.Ask.Bot"",""confidence"":0.5812375307083131}],""alternate_intents"":false},""text"":""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?"",""userId"":""643cf906-2f77-4ad9-b90c-f091b73cdf7e"",""intent"":{""name"":""What.To.Ask.Bot""}}","What.To.Ask.Bot",false
"2020-01-06T04:18:55.434Z","Symptoms of pregnancy ","{""userId"":""643cf906-2f77-4ad9-b90c-f091b73cdf7e"",""text"":""Symptoms of pregnancy ""}",,true
"2020-01-06T04:18:55.419Z","Finding out your pregnant can be scary af, especially if this wasn’t in the plans. You could be pregnant if your period’s late, your boobs hurt, or you feel sick to your stomach. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Finding out your pregnant can be scary af, especially if this wasn’t in the plans. You could be pregnant if your period’s late, your boobs hurt, or you feel sick to your stomach. ""},{""response_type"":""text"",""text"":""If you miss your period, you should take a pregnancy test ASAP. You can get them pretty much at any grocery store or pharmacy and you don’t have to be 18 or have your parent’s permission. If you ARE pregnant, take a deep breath and know that you have options. There are a lot of people who can help you right now.""},{""response_type"":""text"",""text"":""Make that doctor’s appointment ASAP to figure out the next best move for YOU. Check out <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a> or <a target=\""_blank\"" href=\""http://www.smnfswcc.org/family-planning.aspx\"">Family Planning Service</a> if you're not sure where to go. ""}],""nodes_visited"":[""node_15_1534542928376"",""node_11_1541715692703""],""text"":[""Finding out your pregnant can be scary af, especially if this wasn’t in the plans. You could be pregnant if your period’s late, your boobs hurt, or you feel sick to your stomach. "",""If you miss your period, you should take a pregnancy test ASAP. You can get them pretty much at any grocery store or pharmacy and you don’t have to be 18 or have your parent’s permission. If you ARE pregnant, take a deep breath and know that you have options. There are a lot of people who can help you right now."",""Make that doctor’s appointment ASAP to figure out the next best move for YOU. Check out <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a> or <a target=\""_blank\"" href=\""http://www.smnfswcc.org/family-planning.aspx\"">Family Planning Service</a> if you're not sure where to go. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""643cf906-2f77-4ad9-b90c-f091b73cdf7e""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_76_1544056063223"":{""0"":[0],""1"":[0],""3"":[0]},""node_8_1541456654510"":{""0"":[0]},""node_11_1541715692703"":{""0"":[0],""1"":[0],""2"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e246f88b-4553-4aeb-ba2f-664d5a67e2f5""},""input"":{""text"":""Symptoms of pregnancy ""},""intents"":[{""intent"":""Preg.know"",""confidence"":0.882420015335083}],""entities"":[{""location"":[12,21],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1}],""alternate_intents"":false},""text"":""Finding out your pregnant can be scary af, especially if this wasn’t in the plans. You could be pregnant if your period’s late, your boobs hurt, or you feel sick to your stomach. "",""userId"":""643cf906-2f77-4ad9-b90c-f091b73cdf7e"",""intent"":{""name"":""Preg.know"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""}]}}","Preg.know",false
