"Date","Text","Message JSON","Intent","Incoming"
"2020-01-05T05:27:07.061Z",,"{""userId"":""691a59ce-4037-4c63-b268-c6ddb594cf6a""}",,true
"2020-01-05T05:27:07.078Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""691a59ce-4037-4c63-b268-c6ddb594cf6a"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""691a59ce-4037-4c63-b268-c6ddb594cf6a""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3efb5868-4557-4d21-aa15-91b3ed3bdadd""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-05T05:27:36.327Z","Will my first time hurt","{""userId"":""691a59ce-4037-4c63-b268-c6ddb594cf6a"",""text"":""Will my first time hurt""}",,true
"2020-01-05T05:27:36.329Z","Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ""},{""response_type"":""text"",""text"":""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for more info on doctors or clinics near you.</a>""}],""nodes_visited"":[""node_6_1535644870528"",""node_30_1541631510471"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on."",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for more info on doctors or clinics near you.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""691a59ce-4037-4c63-b268-c6ddb594cf6a""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,4,0,1,3,2]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3efb5868-4557-4d21-aa15-91b3ed3bdadd""},""input"":{""text"":""Will my first time hurt""},""intents"":[{""intent"":""Sex.pain"",""confidence"":0.6853317737579345}],""alternate_intents"":false},""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""userId"":""691a59ce-4037-4c63-b268-c6ddb594cf6a"",""intent"":{""name"":""Sex.pain""}}","Sex.pain",false
"2020-01-05T05:28:31.188Z","How do I know I’m ready to do it for the first time ","{""userId"":""691a59ce-4037-4c63-b268-c6ddb594cf6a"",""text"":""How do I know I’m ready to do it for the first time ""}",,true
"2020-01-05T05:28:31.173Z","There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. ""},{""response_type"":""text"",""text"":""That way you’re already covered when you start having sex because YES, you CAN get pregnant the first time.""},{""typing"":true,""response_type"":""pause"",""time"":2200},{""options"":[{""value"":{""input"":{""text"":""How do I choose the right kind of birth control?""}},""label"":""Tap here to learn about choosing the best birth control for you.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or you can ask me another question.""}],""nodes_visited"":[""node_7_1535646904489"",""node_26_1541630799961""],""text"":[""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. "",""That way you’re already covered when you start having sex because YES, you CAN get pregnant the first time."",""Or you can ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""691a59ce-4037-4c63-b268-c6ddb594cf6a""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,4,0,1,3,2]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3efb5868-4557-4d21-aa15-91b3ed3bdadd""},""input"":{""text"":""How do I know I’m ready to do it for the first time ""},""intents"":[{""intent"":""Sex.when.start"",""confidence"":0.7451662540435791}],""alternate_intents"":false},""text"":""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. "",""userId"":""691a59ce-4037-4c63-b268-c6ddb594cf6a"",""intent"":{""name"":""Sex.when.start""}}","Sex.when.start",false
"2020-01-05T05:29:26.945Z","Is it bad if I miss a couple pills a month for birth control","{""userId"":""691a59ce-4037-4c63-b268-c6ddb594cf6a"",""text"":""Is it bad if I miss a couple pills a month for birth control""}",,true
"2020-01-05T05:29:26.947Z","Listen, I know how hard it can be to remember but, if you want your birth control pill to work its best you have to take it EVERY SINGLE DAY AT THE SAME TIME. I know girl, it’s tough. But for real, you need to take your pill every day.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Listen, I know how hard it can be to remember but, if you want your birth control pill to work its best you have to take it EVERY SINGLE DAY AT THE SAME TIME. I know girl, it’s tough. But for real, you need to take your pill every day.""},{""response_type"":""text"",""text"":""And remember, the pill only protects against pregnancy. You still need to use condoms to prevent STDs.""},{""typing"":true,""response_type"":""pause"",""time"":2500},{""response_type"":""text"",""text"":""And if that sounds hard, <a href=\""/#birth-control-types\"">tap here to check out some really easy and effective types of birth control</a>, or you can ask me something else.""}],""nodes_visited"":[""node_30_1534885490953"",""node_2_1541441843874""],""text"":[""Listen, I know how hard it can be to remember but, if you want your birth control pill to work its best you have to take it EVERY SINGLE DAY AT THE SAME TIME. I know girl, it’s tough. But for real, you need to take your pill every day."",""And remember, the pill only protects against pregnancy. You still need to use condoms to prevent STDs."",""And if that sounds hard, <a href=\""/#birth-control-types\"">tap here to check out some really easy and effective types of birth control</a>, or you can ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""691a59ce-4037-4c63-b268-c6ddb594cf6a""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_2_1541441843874"":{""0"":[0],""1"":[0],""3"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,4,0,1,3,2]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3efb5868-4557-4d21-aa15-91b3ed3bdadd""},""input"":{""text"":""Is it bad if I miss a couple pills a month for birth control""},""intents"":[{""intent"":""BC.miss"",""confidence"":0.8172637462615968}],""entities"":[{""location"":[29,34],""value"":""the pill"",""entity"":""Birth_Control"",""confidence"":1},{""location"":[47,60],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Listen, I know how hard it can be to remember but, if you want your birth control pill to work its best you have to take it EVERY SINGLE DAY AT THE SAME TIME. I know girl, it’s tough. But for real, you need to take your pill every day."",""userId"":""691a59ce-4037-4c63-b268-c6ddb594cf6a"",""intent"":{""name"":""BC.miss"",""inputs"":[{""name"":""Birth_Control"",""value"":""the pill""},{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.miss",false
"2020-01-05T05:30:23.312Z","How do I bring up the fact that I want to have sex with my boyfriend ","{""userId"":""691a59ce-4037-4c63-b268-c6ddb594cf6a"",""text"":""How do I bring up the fact that I want to have sex with my boyfriend ""}",,true
"2020-01-05T05:30:23.328Z","You definitely can have sex with the ring. It doesn’t hurt you or him at all. Sometimes a guy might feel it but, there’s usually no complaints. If you’re uncomfortable, you can always push it a little further up and out of his way.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You definitely can have sex with the ring. It doesn’t hurt you or him at all. Sometimes a guy might feel it but, there’s usually no complaints. If you’re uncomfortable, you can always push it a little further up and out of his way.""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""options"":[{""value"":{""input"":{""text"":""How will the ring affect my period?""}},""label"":""Tap here to see how the ring might affect your period.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or, you can ask me another question.""}],""nodes_visited"":[""node_1_1538692336266"",""node_44_1541634110308""],""text"":[""You definitely can have sex with the ring. It doesn’t hurt you or him at all. Sometimes a guy might feel it but, there’s usually no complaints. If you’re uncomfortable, you can always push it a little further up and out of his way."",""Or, you can ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""691a59ce-4037-4c63-b268-c6ddb594cf6a""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_2_1541441843874"":{""0"":[0],""1"":[0],""3"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,4,0,1,3,2]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_44_1541634110308"":{""0"":[0],""3"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3efb5868-4557-4d21-aa15-91b3ed3bdadd""},""input"":{""text"":""How do I bring up the fact that I want to have sex with my boyfriend ""},""intents"":[{""intent"":""Ring.sex"",""confidence"":0.587973952293396}],""entities"":[{""location"":[47,50],""value"":""sex"",""entity"":""Sex"",""confidence"":1},{""location"":[59,68],""value"":""Male"",""entity"":""Gender"",""confidence"":1}],""alternate_intents"":false},""text"":""You definitely can have sex with the ring. It doesn’t hurt you or him at all. Sometimes a guy might feel it but, there’s usually no complaints. If you’re uncomfortable, you can always push it a little further up and out of his way."",""userId"":""691a59ce-4037-4c63-b268-c6ddb594cf6a"",""intent"":{""name"":""Ring.sex"",""inputs"":[{""name"":""Sex"",""value"":""sex""},{""name"":""Gender"",""value"":""Male""}]}}","Ring.sex",false
"2020-01-05T05:31:04.282Z","How do I know if my boyfriend wants to have sex","{""userId"":""691a59ce-4037-4c63-b268-c6ddb594cf6a"",""text"":""How do I know if my boyfriend wants to have sex""}",,true
