"Date","Text","Message JSON","Intent","Incoming"
"2020-01-05T05:16:35.886Z",,"{""userId"":""6e701cba-2161-4986-b46a-483ac904edfd""}",,true
"2020-01-05T05:16:35.887Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""6e701cba-2161-4986-b46a-483ac904edfd"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""6e701cba-2161-4986-b46a-483ac904edfd""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e1c3a7ab-06dd-427e-8d2a-f94c693f80c0""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-05T05:17:20.440Z","Does sex hurt the first time?","{""userId"":""6e701cba-2161-4986-b46a-483ac904edfd"",""text"":""Does sex hurt the first time?""}",,true
"2020-01-05T05:17:20.452Z","Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ""},{""response_type"":""text"",""text"":""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">For more info on doctors or clinics near you, tap here to go to the Clinic Map.</a>""}],""nodes_visited"":[""node_6_1535644870528"",""node_30_1541631510471"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on."",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">For more info on doctors or clinics near you, tap here to go to the Clinic Map.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""6e701cba-2161-4986-b46a-483ac904edfd""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,1,0,2,4,3]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e1c3a7ab-06dd-427e-8d2a-f94c693f80c0""},""input"":{""text"":""Does sex hurt the first time?""},""intents"":[{""intent"":""Sex.pain"",""confidence"":0.9698472976684571}],""entities"":[{""location"":[5,8],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""userId"":""6e701cba-2161-4986-b46a-483ac904edfd"",""intent"":{""name"":""Sex.pain"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Sex.pain",false
"2020-01-05T05:18:04.408Z","How long does it hurt for?","{""userId"":""6e701cba-2161-4986-b46a-483ac904edfd"",""text"":""How long does it hurt for?""}",,true
"2020-01-05T05:18:04.411Z","The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it.""},{""typing"":true,""response_type"":""pause"",""time"":2000},{""options"":[{""value"":{""input"":{""text"":""How effective is the shot at preventing pregnancy?""}},""label"":""Tap here to find out how effective the shot is.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Have another question? Ask me!""}],""nodes_visited"":[""node_6_1535561433242"",""node_12_1542403318496""],""text"":[""The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it."",""Have another question? Ask me!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""6e701cba-2161-4986-b46a-483ac904edfd""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_12_1542403318496"":{""0"":[0],""3"":[0]},""node_3_1544835959501"":{""1"":[0,1,0,2,4,3]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e1c3a7ab-06dd-427e-8d2a-f94c693f80c0""},""input"":{""text"":""How long does it hurt for?""},""intents"":[{""intent"":""def_shot"",""confidence"":0.7615529537200929}],""alternate_intents"":false},""text"":""The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it."",""userId"":""6e701cba-2161-4986-b46a-483ac904edfd"",""intent"":{""name"":""def_shot""}}","def_shot",false
"2020-01-05T05:18:48.390Z","How can I stay safe from stds","{""userId"":""6e701cba-2161-4986-b46a-483ac904edfd"",""text"":""How can I stay safe from stds""}",,true
"2020-01-05T05:18:48.404Z","The BEST way to avoid getting an STD is using a condom, EVERY time you have sex. Vaginal, anal, or oral. It’s also a good idea to get tested regularly and have a chat with your guy about it too. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The BEST way to avoid getting an STD is using a condom, EVERY time you have sex. Vaginal, anal, or oral. It’s also a good idea to get tested regularly and have a chat with your guy about it too. ""},{""response_type"":""text"",""text"":""The more you both know about your STD status the better. And testing is really no big deal. It takes a few minutes and is super quick.""},{""typing"":true,""response_type"":""pause"",""time"":2300},{""options"":[{""value"":{""input"":{""text"":""What are the symptoms of STDs?""}},""label"":""Tap here to see symptoms of STDs.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me something else.""}],""nodes_visited"":[""node_17_1535743642990"",""node_2_1541616825745""],""text"":[""The BEST way to avoid getting an STD is using a condom, EVERY time you have sex. Vaginal, anal, or oral. It’s also a good idea to get tested regularly and have a chat with your guy about it too. "",""The more you both know about your STD status the better. And testing is really no big deal. It takes a few minutes and is super quick."",""Or ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""6e701cba-2161-4986-b46a-483ac904edfd""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_2_1541616825745"":{""0"":[0],""1"":[0],""4"":[0]},""node_12_1542403318496"":{""0"":[0],""3"":[0]},""node_3_1544835959501"":{""1"":[0,1,0,2,4,3]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e1c3a7ab-06dd-427e-8d2a-f94c693f80c0""},""input"":{""text"":""How can I stay safe from stds""},""intents"":[{""intent"":""STDs.how.protect.from"",""confidence"":0.9536098480224611}],""entities"":[{""location"":[25,29],""value"":""STD"",""entity"":""STD"",""confidence"":1}],""alternate_intents"":false},""text"":""The BEST way to avoid getting an STD is using a condom, EVERY time you have sex. Vaginal, anal, or oral. It’s also a good idea to get tested regularly and have a chat with your guy about it too. "",""userId"":""6e701cba-2161-4986-b46a-483ac904edfd"",""intent"":{""name"":""STDs.how.protect.from"",""inputs"":[{""name"":""STD"",""value"":""STD""}]}}","STDs.how.protect.from",false
"2020-01-05T05:19:21.064Z","Can I have sex at 14?","{""userId"":""6e701cba-2161-4986-b46a-483ac904edfd"",""text"":""Can I have sex at 14?""}",,true
"2020-01-05T05:19:21.325Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""6e701cba-2161-4986-b46a-483ac904edfd"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
