"Date","Text","Message JSON","Intent","Incoming"
"2020-01-19T17:36:56.691Z",,"{""userId"":""6f5ec118-1d53-4c49-95ae-f2bfc075519f""}",,true
"2020-01-19T17:36:56.691Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""6f5ec118-1d53-4c49-95ae-f2bfc075519f"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""6f5ec118-1d53-4c49-95ae-f2bfc075519f""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""d65d1aa9-3da7-43c5-9a55-1bede43abae3""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-19T17:37:42.479Z","I think I have Urinary tract infection","{""userId"":""6f5ec118-1d53-4c49-95ae-f2bfc075519f"",""text"":""I think I have Urinary tract infection""}",,true
"2020-01-19T17:37:42.949Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""6f5ec118-1d53-4c49-95ae-f2bfc075519f"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-19T17:37:42.465Z","If you think you have a UTI, you might be feeling like you have to pee really bad all the time, you feel intense burning when you pee, or you have cloudy pee. The good news is that a doctor can give you antibiotics to clear up the UTI within a few days.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you think you have a UTI, you might be feeling like you have to pee really bad all the time, you feel intense burning when you pee, or you have cloudy pee. The good news is that a doctor can give you antibiotics to clear up the UTI within a few days.""},{""response_type"":""text"",""text"":""Want more info about how to avoid and treat a UTI? <a target=\""_blank\"" href =\""https://laylasgotyou.com/layla-blog/2019/1/23/how-to-avoid-and-treat-utis\"">Check out this blog. </a>""}],""nodes_visited"":[""node_27_1535749077705"",""node_31_1544141672622"",""node_9_1576097292336""],""text"":[""If you think you have a UTI, you might be feeling like you have to pee really bad all the time, you feel intense burning when you pee, or you have cloudy pee. The good news is that a doctor can give you antibiotics to clear up the UTI within a few days."",""Want more info about how to avoid and treat a UTI? <a target=\""_blank\"" href =\""https://laylasgotyou.com/layla-blog/2019/1/23/how-to-avoid-and-treat-utis\"">Check out this blog. </a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""6f5ec118-1d53-4c49-95ae-f2bfc075519f""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_31_1544141672622"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_9_1576097292336"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""d65d1aa9-3da7-43c5-9a55-1bede43abae3""},""input"":{""text"":""I think I have Urinary tract infection""},""intents"":[{""intent"":""UTI.how.to.tell"",""confidence"":0.3905514650336158}],""alternate_intents"":false},""text"":""If you think you have a UTI, you might be feeling like you have to pee really bad all the time, you feel intense burning when you pee, or you have cloudy pee. The good news is that a doctor can give you antibiotics to clear up the UTI within a few days."",""userId"":""6f5ec118-1d53-4c49-95ae-f2bfc075519f"",""intent"":{""name"":""UTI.how.to.tell""}}","UTI.how.to.tell",false
"2020-01-19T17:37:42.965Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""6f5ec118-1d53-4c49-95ae-f2bfc075519f""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_31_1544141672622"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_9_1576097292336"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""d65d1aa9-3da7-43c5-9a55-1bede43abae3""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""6f5ec118-1d53-4c49-95ae-f2bfc075519f"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-19T17:37:52.080Z","UTI","{""userId"":""6f5ec118-1d53-4c49-95ae-f2bfc075519f"",""text"":""UTI""}",,true
"2020-01-19T17:37:52.068Z","Heard of a UTI? It's short for urinary tract infection. It happens in your urinary system (like your kidneys, ureter, bladder, or urethra). Most women have had at least one.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Heard of a UTI? It's short for urinary tract infection. It happens in your urinary system (like your kidneys, ureter, bladder, or urethra). Most women have had at least one.""},{""response_type"":""text"",""text"":""And girl, they can be really painful - especially when peeing. Without meds, they can cause a lot of problems. So if it burns when you pee, get to your doc ASAP! ""},{""response_type"":""text"",""text"":""Want more info about how to avoid and treat a UTI? <a target=\""_blank\"" href =\""https://laylasgotyou.com/layla-blog/2019/1/23/how-to-avoid-and-treat-utis\"">Check out this blog. </a>""}],""nodes_visited"":[""node_26_1535748545378"",""node_20_1542307853932"",""node_9_1576097292336""],""text"":[""Heard of a UTI? It's short for urinary tract infection. It happens in your urinary system (like your kidneys, ureter, bladder, or urethra). Most women have had at least one."",""And girl, they can be really painful - especially when peeing. Without meds, they can cause a lot of problems. So if it burns when you pee, get to your doc ASAP! "",""Want more info about how to avoid and treat a UTI? <a target=\""_blank\"" href =\""https://laylasgotyou.com/layla-blog/2019/1/23/how-to-avoid-and-treat-utis\"">Check out this blog. </a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""6f5ec118-1d53-4c49-95ae-f2bfc075519f""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_20_1542307853932"":{""0"":[0],""1"":[0]},""node_31_1544141672622"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_9_1576097292336"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""d65d1aa9-3da7-43c5-9a55-1bede43abae3""},""input"":{""text"":""UTI""},""intents"":[{""intent"":""def_UTI"",""confidence"":1}],""alternate_intents"":false},""text"":""Heard of a UTI? It's short for urinary tract infection. It happens in your urinary system (like your kidneys, ureter, bladder, or urethra). Most women have had at least one."",""userId"":""6f5ec118-1d53-4c49-95ae-f2bfc075519f"",""intent"":{""name"":""def_UTI""}}","def_UTI",false
"2020-01-19T17:38:46.799Z","Where can I get treatment?","{""userId"":""6f5ec118-1d53-4c49-95ae-f2bfc075519f"",""text"":""Where can I get treatment?""}",,true
"2020-01-19T17:38:46.799Z","STD tests are over 99% accurate and they’re really quick and easy to get done. Usually it involves peeing in a cup, a finger prick, or a vagina swab - and it doesn’t take longer than a few minutes. It’s also super easy to find a place to get tested. If you're worried about it - just get tested ASAP. It's worth it to know! ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""STD tests are over 99% accurate and they’re really quick and easy to get done. Usually it involves peeing in a cup, a finger prick, or a vagina swab - and it doesn’t take longer than a few minutes. It’s also super easy to find a place to get tested. If you're worried about it - just get tested ASAP. It's worth it to know! ""},{""response_type"":""text"",""text"":""Check out <a target=\""_blank\"" href=\""http://acrhealth.org/testing/sexually-transmitted-infections\"">ACR Health</a>, <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a> to get free or cheap STD testing and treatment.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/&__hash__;birth-control-finder\"">For more info on doctors or clinics that do STD testing near you, tap here to go the Clinic Finder.</a>""}],""nodes_visited"":[""node_15_1535742617325"",""node_14_1541541518737"",""node_3_1539898287949"",""node_3_1544736891698""],""text"":[""STD tests are over 99% accurate and they’re really quick and easy to get done. Usually it involves peeing in a cup, a finger prick, or a vagina swab - and it doesn’t take longer than a few minutes. It’s also super easy to find a place to get tested. If you're worried about it - just get tested ASAP. It's worth it to know! "",""Check out <a target=\""_blank\"" href=\""http://acrhealth.org/testing/sexually-transmitted-infections\"">ACR Health</a>, <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a> to get free or cheap STD testing and treatment."",""<a href=\""/&__hash__;birth-control-finder\"">For more info on doctors or clinics that do STD testing near you, tap here to go the Clinic Finder.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""6f5ec118-1d53-4c49-95ae-f2bfc075519f""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_20_1542307853932"":{""0"":[0],""1"":[0]},""node_31_1544141672622"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_3_1544736891698"":{""1"":[0,3,1,0,5,2,4]},""node_14_1541541518737"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_9_1576097292336"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""d65d1aa9-3da7-43c5-9a55-1bede43abae3""},""input"":{""text"":""Where can I get treatment?""},""intents"":[{""intent"":""STDs.testing.info"",""confidence"":0.3549256443977356}],""alternate_intents"":false},""text"":""STD tests are over 99% accurate and they’re really quick and easy to get done. Usually it involves peeing in a cup, a finger prick, or a vagina swab - and it doesn’t take longer than a few minutes. It’s also super easy to find a place to get tested. If you're worried about it - just get tested ASAP. It's worth it to know! "",""userId"":""6f5ec118-1d53-4c49-95ae-f2bfc075519f"",""intent"":{""name"":""STDs.testing.info""}}","STDs.testing.info",false
