"Date","Text","Message JSON","Intent","Incoming"
"2020-01-10T17:07:52.664Z",,"{""userId"":""72cc6d04-1856-40c3-b411-585310479f82""}",,true
"2020-01-10T17:07:52.679Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""72cc6d04-1856-40c3-b411-585310479f82"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""72cc6d04-1856-40c3-b411-585310479f82""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""7c76cc70-c54d-4d4e-95d2-d853a5856435""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-10T17:08:49.670Z","pill","{""userId"":""72cc6d04-1856-40c3-b411-585310479f82"",""text"":""pill""}",,true
"2020-01-10T17:08:49.654Z","The pill is a type of birth control that you take once a day, every day, at the same time. Most of them work to prevent ovulation (when your body releases an egg) - no egg, no baby! There are a ton of different kinds of birth control pills out there so if one doesn’t work for you, you have options.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The pill is a type of birth control that you take once a day, every day, at the same time. Most of them work to prevent ovulation (when your body releases an egg) - no egg, no baby! There are a ton of different kinds of birth control pills out there so if one doesn’t work for you, you have options.""},{""response_type"":""text"",""text"":""The main thing you need to remember is just to take them EVERY DAY at the same time for it to work best.""},{""typing"":true,""response_type"":""pause"",""time"":3000},{""response_type"":""text"",""text"":""And if this seems like a lot to remember, <a href=\""/#birth-control-types\"">check out some of the other really easy and effective ways to prevent pregnancy here.</a>""},{""response_type"":""text"",""text"":""Or, ask me something else.""}],""nodes_visited"":[""node_39_1535404000073"",""node_26_1542399797625""],""text"":[""The pill is a type of birth control that you take once a day, every day, at the same time. Most of them work to prevent ovulation (when your body releases an egg) - no egg, no baby! There are a ton of different kinds of birth control pills out there so if one doesn’t work for you, you have options."",""The main thing you need to remember is just to take them EVERY DAY at the same time for it to work best."",""And if this seems like a lot to remember, <a href=\""/#birth-control-types\"">check out some of the other really easy and effective ways to prevent pregnancy here.</a>"",""Or, ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""72cc6d04-1856-40c3-b411-585310479f82""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_26_1542399797625"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""7c76cc70-c54d-4d4e-95d2-d853a5856435""},""input"":{""text"":""pill""},""intents"":[{""intent"":""def_pill"",""confidence"":0.841270923614502}],""entities"":[{""location"":[0,4],""value"":""the pill"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The pill is a type of birth control that you take once a day, every day, at the same time. Most of them work to prevent ovulation (when your body releases an egg) - no egg, no baby! There are a ton of different kinds of birth control pills out there so if one doesn’t work for you, you have options."",""userId"":""72cc6d04-1856-40c3-b411-585310479f82"",""intent"":{""name"":""def_pill"",""inputs"":[{""name"":""Birth_Control"",""value"":""the pill""}]}}","def_pill",false
"2020-01-10T17:09:34.061Z","how does pill wrok","{""userId"":""72cc6d04-1856-40c3-b411-585310479f82"",""text"":""how does pill wrok""}",,true
"2020-01-10T17:09:34.046Z","The pill is a type of birth control that you take once a day, every day, at the same time. Most of them work to prevent ovulation (when your body releases an egg) - no egg, no baby! There are a ton of different kinds of birth control pills out there so if one doesn’t work for you, you have options.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The pill is a type of birth control that you take once a day, every day, at the same time. Most of them work to prevent ovulation (when your body releases an egg) - no egg, no baby! There are a ton of different kinds of birth control pills out there so if one doesn’t work for you, you have options.""},{""response_type"":""text"",""text"":""The main thing you need to remember is just to take them EVERY DAY at the same time for it to work best.""},{""typing"":true,""response_type"":""pause"",""time"":3000},{""response_type"":""text"",""text"":""And if this seems like a lot to remember, <a href=\""/#birth-control-types\"">check out some of the other really easy and effective ways to prevent pregnancy here.</a>""},{""response_type"":""text"",""text"":""Or, ask me something else.""}],""nodes_visited"":[""node_39_1535404000073"",""node_26_1542399797625""],""text"":[""The pill is a type of birth control that you take once a day, every day, at the same time. Most of them work to prevent ovulation (when your body releases an egg) - no egg, no baby! There are a ton of different kinds of birth control pills out there so if one doesn’t work for you, you have options."",""The main thing you need to remember is just to take them EVERY DAY at the same time for it to work best."",""And if this seems like a lot to remember, <a href=\""/#birth-control-types\"">check out some of the other really easy and effective ways to prevent pregnancy here.</a>"",""Or, ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""72cc6d04-1856-40c3-b411-585310479f82""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_26_1542399797625"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""7c76cc70-c54d-4d4e-95d2-d853a5856435""},""input"":{""text"":""how does pill wrok""},""intents"":[{""intent"":""def_pill"",""confidence"":0.9561294555664064}],""entities"":[{""location"":[9,13],""value"":""the pill"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The pill is a type of birth control that you take once a day, every day, at the same time. Most of them work to prevent ovulation (when your body releases an egg) - no egg, no baby! There are a ton of different kinds of birth control pills out there so if one doesn’t work for you, you have options."",""userId"":""72cc6d04-1856-40c3-b411-585310479f82"",""intent"":{""name"":""def_pill"",""inputs"":[{""name"":""Birth_Control"",""value"":""the pill""}]}}","def_pill",false
"2020-01-10T17:10:38.953Z","how long does the pill last","{""userId"":""72cc6d04-1856-40c3-b411-585310479f82"",""text"":""how long does the pill last""}",,true
"2020-01-10T17:10:38.968Z","The pill is a type of birth control that you take once a day, every day, at the same time. Most of them work to prevent ovulation (when your body releases an egg) - no egg, no baby! There are a ton of different kinds of birth control pills out there so if one doesn’t work for you, you have options.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The pill is a type of birth control that you take once a day, every day, at the same time. Most of them work to prevent ovulation (when your body releases an egg) - no egg, no baby! There are a ton of different kinds of birth control pills out there so if one doesn’t work for you, you have options.""},{""response_type"":""text"",""text"":""The main thing you need to remember is just to take them EVERY DAY at the same time for it to work best.""},{""typing"":true,""response_type"":""pause"",""time"":3000},{""response_type"":""text"",""text"":""And if this seems like a lot to remember, <a href=\""/#birth-control-types\"">check out some of the other really easy and effective ways to prevent pregnancy here.</a>""},{""response_type"":""text"",""text"":""Or, ask me something else.""}],""nodes_visited"":[""node_39_1535404000073"",""node_26_1542399797625""],""text"":[""The pill is a type of birth control that you take once a day, every day, at the same time. Most of them work to prevent ovulation (when your body releases an egg) - no egg, no baby! There are a ton of different kinds of birth control pills out there so if one doesn’t work for you, you have options."",""The main thing you need to remember is just to take them EVERY DAY at the same time for it to work best."",""And if this seems like a lot to remember, <a href=\""/#birth-control-types\"">check out some of the other really easy and effective ways to prevent pregnancy here.</a>"",""Or, ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""72cc6d04-1856-40c3-b411-585310479f82""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_26_1542399797625"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""7c76cc70-c54d-4d4e-95d2-d853a5856435""},""input"":{""text"":""how long does the pill last""},""intents"":[{""intent"":""def_pill"",""confidence"":0.8185275077819825}],""entities"":[{""location"":[14,22],""value"":""the pill"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The pill is a type of birth control that you take once a day, every day, at the same time. Most of them work to prevent ovulation (when your body releases an egg) - no egg, no baby! There are a ton of different kinds of birth control pills out there so if one doesn’t work for you, you have options."",""userId"":""72cc6d04-1856-40c3-b411-585310479f82"",""intent"":{""name"":""def_pill"",""inputs"":[{""name"":""Birth_Control"",""value"":""the pill""}]}}","def_pill",false
"2020-01-10T17:11:16.153Z","pill side effects","{""userId"":""72cc6d04-1856-40c3-b411-585310479f82"",""text"":""pill side effects""}",,true
"2020-01-10T17:11:16.165Z","There are a few common side effects from the pill. The main ones are pretty simple things like sore breasts, an upset stomach, or headaches. You might even notice your boobs looking a little bigger while on the pill. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There are a few common side effects from the pill. The main ones are pretty simple things like sore breasts, an upset stomach, or headaches. You might even notice your boobs looking a little bigger while on the pill. ""},{""response_type"":""text"",""text"":""But there’s some good side effects too. The pill is great for clearing up acne and regulating your period. It’ll take clear skin and no surprise periods any day!""},{""typing"":true,""response_type"":""pause"",""time"":3100},{""options"":[{""value"":{""input"":{""text"":""How effective is the pill at preventing pregnancy?""}},""label"":""Tap here to see how effective the pill is.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or, ask me a different question.""}],""nodes_visited"":[""node_15_1535394409816"",""node_30_1541720708137""],""text"":[""There are a few common side effects from the pill. The main ones are pretty simple things like sore breasts, an upset stomach, or headaches. You might even notice your boobs looking a little bigger while on the pill. "",""But there’s some good side effects too. The pill is great for clearing up acne and regulating your period. It’ll take clear skin and no surprise periods any day!"",""Or, ask me a different question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""72cc6d04-1856-40c3-b411-585310479f82""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_30_1541720708137"":{""0"":[0],""1"":[0],""4"":[0]},""node_26_1542399797625"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""7c76cc70-c54d-4d4e-95d2-d853a5856435""},""input"":{""text"":""pill side effects""},""intents"":[{""intent"":""Pill.side.effects"",""confidence"":1}],""entities"":[{""location"":[0,4],""value"":""the pill"",""entity"":""Birth_Control"",""confidence"":1},{""location"":[5,17],""value"":""side effects"",""entity"":""Side_Effects"",""confidence"":1}],""alternate_intents"":false},""text"":""There are a few common side effects from the pill. The main ones are pretty simple things like sore breasts, an upset stomach, or headaches. You might even notice your boobs looking a little bigger while on the pill. "",""userId"":""72cc6d04-1856-40c3-b411-585310479f82"",""intent"":{""name"":""Pill.side.effects"",""inputs"":[{""name"":""Birth_Control"",""value"":""the pill""},{""name"":""Side_Effects"",""value"":""side effects""}]}}","Pill.side.effects",false
