"Date","Text","Message JSON","Intent","Incoming"
"2020-01-23T01:42:38.286Z","lgbt","{""userId"":""7653b72b-13b3-4055-984d-518b4f205016"",""text"":""lgbt""}",,true
"2020-01-23T01:42:38.285Z","There are lots of reasons why women use birth control, even if they're LGBTQ+. Many young people are still figuring our their sexuality, so it's a good idea to get on birth control just in case. Birth control can also help regulate your period and can reduce acne, which is a pretty nice perk!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There are lots of reasons why women use birth control, even if they're LGBTQ+. Many young people are still figuring our their sexuality, so it's a good idea to get on birth control just in case. Birth control can also help regulate your period and can reduce acne, which is a pretty nice perk!""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/&__hash__;birth-control-types\"">Tap here to scroll to a list of birth control types.</a> ""}],""nodes_visited"":[""node_4_1535389912519"",""node_12_1543872795269"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""There are lots of reasons why women use birth control, even if they're LGBTQ+. Many young people are still figuring our their sexuality, so it's a good idea to get on birth control just in case. Birth control can also help regulate your period and can reduce acne, which is a pretty nice perk!"",""<a href=\""/&__hash__;birth-control-types\"">Tap here to scroll to a list of birth control types.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""7653b72b-13b3-4055-984d-518b4f205016""},""system"":{""dialog_request_counter"":9,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":9,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,0,3,1,4,2]},""node_12_1543872795269"":{""0"":[0]},""node_31_1535401107106"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_2_1540920316188"":{""0"":[2,0,1,3,4,2,5]},""node_1_1544810991157"":{""1"":[0,2,3,0,4,5,6,1]},""node_57_1542677951229"":{""0"":[0,0]},""node_18_1542307714292"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""217bf200-0393-46fd-b0c7-eb118208d912""},""input"":{""text"":""lgbt""},""intents"":[{""intent"":""BC.and.LGBTQ"",""confidence"":0.6048477172851563}],""alternate_intents"":false},""text"":""There are lots of reasons why women use birth control, even if they're LGBTQ+. Many young people are still figuring our their sexuality, so it's a good idea to get on birth control just in case. Birth control can also help regulate your period and can reduce acne, which is a pretty nice perk!"",""userId"":""7653b72b-13b3-4055-984d-518b4f205016"",""intent"":{""name"":""BC.and.LGBTQ""}}","BC.and.LGBTQ",false
"2020-01-23T01:42:49.454Z","best type of birth control ","{""userId"":""7653b72b-13b3-4055-984d-518b4f205016"",""text"":""best type of birth control ""}",,true
"2020-01-23T01:42:49.442Z","Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. ""},{""response_type"":""text"",""text"":""What works for your best friend, might not be the best choice for you so it’s really important to know about your options and have a heart to heart with your doctor (and yourself).""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/&__hash__;birth-control-types\"">Tap here for information on the different types of birth control.</a>""}],""nodes_visited"":[""node_16_1534790514779"",""node_18_1541092071873"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. "",""What works for your best friend, might not be the best choice for you so it’s really important to know about your options and have a heart to heart with your doctor (and yourself)."",""<a href=\""/&__hash__;birth-control-types\"">Tap here for information on the different types of birth control.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""7653b72b-13b3-4055-984d-518b4f205016""},""system"":{""dialog_request_counter"":10,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":10,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,0,3,1,4,2]},""node_12_1543872795269"":{""0"":[0]},""node_31_1535401107106"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_2_1540920316188"":{""0"":[2,0,1,3,4,2,5]},""node_1_1544810991157"":{""1"":[1,2,3,0,4,5,6,1]},""node_57_1542677951229"":{""0"":[0,0]},""node_18_1542307714292"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""217bf200-0393-46fd-b0c7-eb118208d912""},""input"":{""text"":""best type of birth control ""},""intents"":[{""intent"":""BC.types"",""confidence"":0.6182089805603028}],""entities"":[{""location"":[13,26],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. "",""userId"":""7653b72b-13b3-4055-984d-518b4f205016"",""intent"":{""name"":""BC.types"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.types",false
"2020-01-23T01:43:09.735Z","birth control","{""userId"":""7653b72b-13b3-4055-984d-518b4f205016"",""text"":""birth control""}",,true
"2020-01-23T01:43:09.750Z","Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. ""},{""response_type"":""text"",""text"":""What works for your best friend, might not be the best choice for you so it’s really important to know about your options and have a heart to heart with your doctor (and yourself).""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/&__hash__;birth-control-types\"">Tap here to scroll to the different types of birth control.</a> ""}],""nodes_visited"":[""node_16_1534790514779"",""node_18_1541092071873"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. "",""What works for your best friend, might not be the best choice for you so it’s really important to know about your options and have a heart to heart with your doctor (and yourself)."",""<a href=\""/&__hash__;birth-control-types\"">Tap here to scroll to the different types of birth control.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""7653b72b-13b3-4055-984d-518b4f205016""},""system"":{""dialog_request_counter"":11,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":11,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,0,3,1,4,2]},""node_12_1543872795269"":{""0"":[0]},""node_31_1535401107106"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_2_1540920316188"":{""0"":[2,0,1,3,4,2,5]},""node_1_1544810991157"":{""1"":[2,2,3,0,4,5,6,1]},""node_57_1542677951229"":{""0"":[0,0]},""node_18_1542307714292"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""217bf200-0393-46fd-b0c7-eb118208d912""},""input"":{""text"":""birth control""},""intents"":[{""intent"":""BC.types"",""confidence"":1}],""entities"":[{""location"":[0,13],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. "",""userId"":""7653b72b-13b3-4055-984d-518b4f205016"",""intent"":{""name"":""BC.types"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.types",false
"2020-01-23T01:44:48.381Z","birth control that goes in arm","{""userId"":""7653b72b-13b3-4055-984d-518b4f205016"",""text"":""birth control that goes in arm""}",,true
"2020-01-23T01:44:48.711Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""7653b72b-13b3-4055-984d-518b4f205016"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-23T01:44:48.383Z","There are lots of types of birth control. Some, like the pill, are made of hormones like estrogen and progesterone. The IUD is made out of plastic or copper. And don't forget the condom, which is normally made out of latex. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There are lots of types of birth control. Some, like the pill, are made of hormones like estrogen and progesterone. The IUD is made out of plastic or copper. And don't forget the condom, which is normally made out of latex. ""}],""nodes_visited"":[""node_3_1539306312306""],""text"":[""There are lots of types of birth control. Some, like the pill, are made of hormones like estrogen and progesterone. The IUD is made out of plastic or copper. And don't forget the condom, which is normally made out of latex. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""7653b72b-13b3-4055-984d-518b4f205016""},""system"":{""dialog_request_counter"":12,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":12,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,0,3,1,4,2]},""node_12_1543872795269"":{""0"":[0]},""node_31_1535401107106"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_2_1540920316188"":{""0"":[2,0,1,3,4,2,5]},""node_3_1539306312306"":{""0"":[0]},""node_1_1544810991157"":{""1"":[2,2,3,0,4,5,6,1]},""node_57_1542677951229"":{""0"":[0,0]},""node_18_1542307714292"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""217bf200-0393-46fd-b0c7-eb118208d912""},""input"":{""text"":""birth control that goes in arm""},""intents"":[{""intent"":""BC.ingredients"",""confidence"":0.4579269647598267}],""entities"":[{""location"":[0,13],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""There are lots of types of birth control. Some, like the pill, are made of hormones like estrogen and progesterone. The IUD is made out of plastic or copper. And don't forget the condom, which is normally made out of latex. "",""userId"":""7653b72b-13b3-4055-984d-518b4f205016"",""intent"":{""name"":""BC.ingredients"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.ingredients",false
"2020-01-23T01:44:48.697Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""7653b72b-13b3-4055-984d-518b4f205016""},""system"":{""dialog_request_counter"":13,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":13,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,0,3,1,4,2]},""node_1_1540844990941"":{""0"":[0]},""node_12_1543872795269"":{""0"":[0]},""node_31_1535401107106"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_2_1540920316188"":{""0"":[2,0,1,3,4,2,5]},""node_3_1539306312306"":{""0"":[0]},""node_1_1544810991157"":{""1"":[2,2,3,0,4,5,6,1]},""node_57_1542677951229"":{""0"":[0,0]},""node_18_1542307714292"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""217bf200-0393-46fd-b0c7-eb118208d912""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""7653b72b-13b3-4055-984d-518b4f205016"",""intent"":{""name"":""unknown""}}","unknown",false
