"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T16:39:03.645Z",,"{""userId"":""79b3a11c-18cc-47f2-b484-7394c9defda8""}",,true
"2020-01-04T16:39:03.629Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""79b3a11c-18cc-47f2-b484-7394c9defda8"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""79b3a11c-18cc-47f2-b484-7394c9defda8""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""6ace451e-3e51-473f-9606-3cbaec1c375d""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T16:39:32.716Z","Does having sex hurt the first time","{""userId"":""79b3a11c-18cc-47f2-b484-7394c9defda8"",""text"":""Does having sex hurt the first time""}",,true
"2020-01-04T16:39:32.716Z","Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ""},{""response_type"":""text"",""text"":""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\""  href=\""https://laylasgotyou.com/clinic-map\"">To find a doctor or clinic, tap here to go to the Clinic Map.</a>""}],""nodes_visited"":[""node_6_1535644870528"",""node_30_1541631510471"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on."",""<a target=\""_blank\""  href=\""https://laylasgotyou.com/clinic-map\"">To find a doctor or clinic, tap here to go to the Clinic Map.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""79b3a11c-18cc-47f2-b484-7394c9defda8""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,2,0,4,3,1]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""6ace451e-3e51-473f-9606-3cbaec1c375d""},""input"":{""text"":""Does having sex hurt the first time""},""intents"":[{""intent"":""Sex.pain"",""confidence"":0.9457617282867432}],""entities"":[{""location"":[12,15],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""userId"":""79b3a11c-18cc-47f2-b484-7394c9defda8"",""intent"":{""name"":""Sex.pain"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Sex.pain",false
"2020-01-04T16:40:33.846Z","How do you know if you’re ready for sex","{""userId"":""79b3a11c-18cc-47f2-b484-7394c9defda8"",""text"":""How do you know if you’re ready for sex""}",,true
"2020-01-04T16:40:33.847Z","There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. ""},{""response_type"":""text"",""text"":""That way you’re already covered when you start having sex because YES, you CAN get pregnant the first time.""},{""typing"":true,""response_type"":""pause"",""time"":2200},{""options"":[{""value"":{""input"":{""text"":""How do I choose the right kind of birth control?""}},""label"":""Tap here to learn about choosing the best birth control for you.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or you can ask me another question.""}],""nodes_visited"":[""node_7_1535646904489"",""node_26_1541630799961""],""text"":[""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. "",""That way you’re already covered when you start having sex because YES, you CAN get pregnant the first time."",""Or you can ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""79b3a11c-18cc-47f2-b484-7394c9defda8""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,2,0,4,3,1]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""6ace451e-3e51-473f-9606-3cbaec1c375d""},""input"":{""text"":""How do you know if you’re ready for sex""},""intents"":[{""intent"":""Sex.when.start"",""confidence"":0.9324696063995361}],""entities"":[{""location"":[36,39],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. "",""userId"":""79b3a11c-18cc-47f2-b484-7394c9defda8"",""intent"":{""name"":""Sex.when.start"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Sex.when.start",false
"2020-01-04T16:41:04.556Z","How do you give head","{""userId"":""79b3a11c-18cc-47f2-b484-7394c9defda8"",""text"":""How do you give head""}",,true
"2020-01-04T16:41:04.543Z","Girl, I’m so serious. Trust me, I get my info straight from the source. Ask me something else if you want more details!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Girl, I’m so serious. Trust me, I get my info straight from the source. Ask me something else if you want more details!""}],""nodes_visited"":[""node_5_1536088948348"",""node_2_1542242583374""],""text"":[""Girl, I’m so serious. Trust me, I get my info straight from the source. Ask me something else if you want more details!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""79b3a11c-18cc-47f2-b484-7394c9defda8""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_2_1542242583374"":{""0"":[0,0]},""node_3_1544835959501"":{""1"":[0,2,0,4,3,1]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""6ace451e-3e51-473f-9606-3cbaec1c375d""},""input"":{""text"":""How do you give head""},""intents"":[{""intent"":""Doubt"",""confidence"":0.8667710781097413}],""entities"":[{""location"":[16,20],""value"":""Oral Sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""Girl, I’m so serious. Trust me, I get my info straight from the source. Ask me something else if you want more details!"",""userId"":""79b3a11c-18cc-47f2-b484-7394c9defda8"",""intent"":{""name"":""Doubt"",""inputs"":[{""name"":""Sex"",""value"":""Oral Sex""}]}}","Doubt",false
"2020-01-04T16:41:44.478Z","What’s it like for a guy to eat you out ","{""userId"":""79b3a11c-18cc-47f2-b484-7394c9defda8"",""text"":""What’s it like for a guy to eat you out ""}",,true
"2020-01-04T16:41:44.654Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""79b3a11c-18cc-47f2-b484-7394c9defda8"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T16:41:44.479Z","Hey man. Right now, the info I provide is aimed for females, so I might not be able to answer your questions. But I will try to answer as best I can! ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Hey man. Right now, the info I provide is aimed for females, so I might not be able to answer your questions. But I will try to answer as best I can! ""}],""nodes_visited"":[""node_1_1551405582035""],""text"":[""Hey man. Right now, the info I provide is aimed for females, so I might not be able to answer your questions. But I will try to answer as best I can! ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""79b3a11c-18cc-47f2-b484-7394c9defda8""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_2_1542242583374"":{""0"":[0,0]},""node_1_1551405582035"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,2,0,4,3,1]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""6ace451e-3e51-473f-9606-3cbaec1c375d""},""input"":{""text"":""What’s it like for a guy to eat you out ""},""intents"":[{""intent"":""Boy"",""confidence"":0.47745585441589355}],""entities"":[{""location"":[21,24],""value"":""Male"",""entity"":""Gender"",""confidence"":1}],""alternate_intents"":false},""text"":""Hey man. Right now, the info I provide is aimed for females, so I might not be able to answer your questions. But I will try to answer as best I can! "",""userId"":""79b3a11c-18cc-47f2-b484-7394c9defda8"",""intent"":{""name"":""Boy"",""inputs"":[{""name"":""Gender"",""value"":""Male""}]}}","Boy",false
"2020-01-04T16:41:44.647Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""79b3a11c-18cc-47f2-b484-7394c9defda8""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_1_1551405582035"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,2,0,4,3,1]},""node_1_1540844990941"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_2_1542242583374"":{""0"":[0,0]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""6ace451e-3e51-473f-9606-3cbaec1c375d""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""79b3a11c-18cc-47f2-b484-7394c9defda8"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-04T16:42:06.626Z","What’s it like when a guy goes down on your vagina ","{""userId"":""79b3a11c-18cc-47f2-b484-7394c9defda8"",""text"":""What’s it like when a guy goes down on your vagina ""}",,true
"2020-01-04T16:42:06.641Z","The female body is seriously complicated. You have the vagina, labia, clitoris (aka the clit), and urethra that all make up the “vulva”. The clit is the sensitive bump right above your vagina that usually gets you to come.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The female body is seriously complicated. You have the vagina, labia, clitoris (aka the clit), and urethra that all make up the “vulva”. The clit is the sensitive bump right above your vagina that usually gets you to come.""},{""response_type"":""text"",""text"":""Above the vagina (on the inside) is your uterus and that’s where the egg gets fertilized with sperm. And the cervix is the small opening between the vagina and uterus.""}],""nodes_visited"":[""node_1_1540517127549"",""node_18_1542307714292""],""text"":[""The female body is seriously complicated. You have the vagina, labia, clitoris (aka the clit), and urethra that all make up the “vulva”. The clit is the sensitive bump right above your vagina that usually gets you to come."",""Above the vagina (on the inside) is your uterus and that’s where the egg gets fertilized with sperm. And the cervix is the small opening between the vagina and uterus.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""79b3a11c-18cc-47f2-b484-7394c9defda8""},""system"":{""dialog_request_counter"":7,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":7,""_node_output_map"":{""node_1_1551405582035"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,2,0,4,3,1]},""node_1_1540844990941"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_2_1542242583374"":{""0"":[0,0]},""node_18_1542307714292"":{""0"":[0],""1"":[0]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""6ace451e-3e51-473f-9606-3cbaec1c375d""},""input"":{""text"":""What’s it like when a guy goes down on your vagina ""},""intents"":[{""intent"":""def_vagina"",""confidence"":0.7336074829101562}],""entities"":[{""location"":[22,25],""value"":""Male"",""entity"":""Gender"",""confidence"":1},{""location"":[44,50],""value"":""Vagina"",""entity"":""Body_Parts"",""confidence"":1}],""alternate_intents"":false},""text"":""The female body is seriously complicated. You have the vagina, labia, clitoris (aka the clit), and urethra that all make up the “vulva”. The clit is the sensitive bump right above your vagina that usually gets you to come."",""userId"":""79b3a11c-18cc-47f2-b484-7394c9defda8"",""intent"":{""name"":""def_vagina"",""inputs"":[{""name"":""Gender"",""value"":""Male""},{""name"":""Body_Parts"",""value"":""Vagina""}]}}","def_vagina",false
