"Date","Text","Message JSON","Intent","Incoming"
"2020-01-23T17:10:55.766Z",,"{""userId"":""7ca7cd5f-e8f4-4f64-836d-ed18f090dc3e""}",,true
"2020-01-23T17:10:55.767Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""7ca7cd5f-e8f4-4f64-836d-ed18f090dc3e"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""7ca7cd5f-e8f4-4f64-836d-ed18f090dc3e""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2d5d8e44-9e19-441b-93f7-b9c212904cb7""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-23T17:10:56.839Z","birth","{""userId"":""7ca7cd5f-e8f4-4f64-836d-ed18f090dc3e"",""text"":""birth""}",,true
"2020-01-23T17:10:56.824Z","😘✌🏽","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""😘✌🏽""}],""nodes_visited"":[""node_10_1536335289751"",""node_6_1542645880502""],""text"":[""😘✌🏽""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""7ca7cd5f-e8f4-4f64-836d-ed18f090dc3e""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_6_1542645880502"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2d5d8e44-9e19-441b-93f7-b9c212904cb7""},""input"":{""text"":""birth""},""intents"":[{""intent"":""Bye"",""confidence"":0.34807846546173093}],""alternate_intents"":false},""text"":""😘✌🏽"",""userId"":""7ca7cd5f-e8f4-4f64-836d-ed18f090dc3e"",""intent"":{""name"":""Bye""}}","Bye",false
"2020-01-23T17:10:57.392Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""7ca7cd5f-e8f4-4f64-836d-ed18f090dc3e"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-23T17:10:57.405Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""7ca7cd5f-e8f4-4f64-836d-ed18f090dc3e""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_6_1542645880502"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2d5d8e44-9e19-441b-93f7-b9c212904cb7""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""7ca7cd5f-e8f4-4f64-836d-ed18f090dc3e"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-23T17:11:00.078Z","birth","{""userId"":""7ca7cd5f-e8f4-4f64-836d-ed18f090dc3e"",""text"":""birth""}",,true
"2020-01-23T17:11:00.433Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""7ca7cd5f-e8f4-4f64-836d-ed18f090dc3e"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-23T17:11:00.064Z","😘✌🏽","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""😘✌🏽""}],""nodes_visited"":[""node_10_1536335289751"",""node_6_1542645880502""],""text"":[""😘✌🏽""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""7ca7cd5f-e8f4-4f64-836d-ed18f090dc3e""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_6_1542645880502"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2d5d8e44-9e19-441b-93f7-b9c212904cb7""},""input"":{""text"":""birth""},""intents"":[{""intent"":""Bye"",""confidence"":0.34807846546173093}],""alternate_intents"":false},""text"":""😘✌🏽"",""userId"":""7ca7cd5f-e8f4-4f64-836d-ed18f090dc3e"",""intent"":{""name"":""Bye""}}","Bye",false
"2020-01-23T17:11:00.421Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""7ca7cd5f-e8f4-4f64-836d-ed18f090dc3e""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_6_1542645880502"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2d5d8e44-9e19-441b-93f7-b9c212904cb7""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""7ca7cd5f-e8f4-4f64-836d-ed18f090dc3e"",""intent"":{""name"":""unknown""}}","unknown",false
