"Date","Text","Message JSON","Intent","Incoming"
"2020-01-05T21:22:47.544Z",,"{""userId"":""800c3314-317d-485b-8764-05988768280a""}",,true
"2020-01-05T21:22:47.529Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""800c3314-317d-485b-8764-05988768280a"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""800c3314-317d-485b-8764-05988768280a""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""d03e2f20-e177-4944-8b48-92c201e1dcdf""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-05T21:22:58.166Z","What is your last name","{""userId"":""800c3314-317d-485b-8764-05988768280a"",""text"":""What is your last name""}",,true
"2020-01-05T21:22:58.180Z","I'm sorry - I didn't understand. Can you try asking in a different way? ","{""userId"":""800c3314-317d-485b-8764-05988768280a"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry - I didn't understand. Can you try asking in a different way? ""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""I'm sorry - I didn't understand. Can you try asking in a different way? ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""800c3314-317d-485b-8764-05988768280a""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1540920316188"":{""0"":[0,1,0,4,3,5,2]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""d03e2f20-e177-4944-8b48-92c201e1dcdf""},""input"":{""text"":""What is your last name""},""alternate_intents"":false},""text"":""I'm sorry - I didn't understand. Can you try asking in a different way? ""}",,false
"2020-01-05T21:23:23.697Z","Can you answer stuff about periods ","{""userId"":""800c3314-317d-485b-8764-05988768280a"",""text"":""Can you answer stuff about periods ""}",,true
"2020-01-05T21:23:23.993Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""800c3314-317d-485b-8764-05988768280a"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-05T21:23:23.697Z","Menstruation is just a technical way to say period. It’s that time of a month when a woman bleeds for a few days as her body sheds the extra lining her uterus builds up to support pregnancy. If there’s no baby, you’ll get your period. Every month 🙃.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Menstruation is just a technical way to say period. It’s that time of a month when a woman bleeds for a few days as her body sheds the extra lining her uterus builds up to support pregnancy. If there’s no baby, you’ll get your period. Every month 🙃.""}],""nodes_visited"":[""node_40_1534802835198"",""node_14_1542398848612""],""text"":[""Menstruation is just a technical way to say period. It’s that time of a month when a woman bleeds for a few days as her body sheds the extra lining her uterus builds up to support pregnancy. If there’s no baby, you’ll get your period. Every month 🙃.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""800c3314-317d-485b-8764-05988768280a""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_2_1540920316188"":{""0"":[0,1,0,4,3,5,2]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_14_1542398848612"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""d03e2f20-e177-4944-8b48-92c201e1dcdf""},""input"":{""text"":""Can you answer stuff about periods ""},""intents"":[{""intent"":""def_menstruation"",""confidence"":0.3728241562843323}],""entities"":[{""location"":[27,34],""value"":""period"",""entity"":""Period"",""confidence"":1}],""alternate_intents"":false},""text"":""Menstruation is just a technical way to say period. It’s that time of a month when a woman bleeds for a few days as her body sheds the extra lining her uterus builds up to support pregnancy. If there’s no baby, you’ll get your period. Every month 🙃."",""userId"":""800c3314-317d-485b-8764-05988768280a"",""intent"":{""name"":""def_menstruation"",""inputs"":[{""name"":""Period"",""value"":""period""}]}}","def_menstruation",false
"2020-01-05T21:23:23.976Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""800c3314-317d-485b-8764-05988768280a""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_2_1540920316188"":{""0"":[0,1,0,4,3,5,2]},""node_14_1542398848612"":{""0"":[0,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""d03e2f20-e177-4944-8b48-92c201e1dcdf""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""800c3314-317d-485b-8764-05988768280a"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-05T21:23:45.018Z","How old should you be to have sex","{""userId"":""800c3314-317d-485b-8764-05988768280a"",""text"":""How old should you be to have sex""}",,true
"2020-01-05T21:23:45.030Z","There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. ""},{""response_type"":""text"",""text"":""That way you’re already covered when you start having sex because YES, you CAN get pregnant the first time.""},{""typing"":true,""response_type"":""pause"",""time"":2200},{""options"":[{""value"":{""input"":{""text"":""How do I choose the right kind of birth control?""}},""label"":""Tap here to learn about choosing the best birth control for you.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or you can ask me another question.""}],""nodes_visited"":[""node_7_1535646904489"",""node_26_1541630799961""],""text"":[""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. "",""That way you’re already covered when you start having sex because YES, you CAN get pregnant the first time."",""Or you can ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""800c3314-317d-485b-8764-05988768280a""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_2_1540920316188"":{""0"":[0,1,0,4,3,5,2]},""node_14_1542398848612"":{""0"":[0,0]},""node_1_1540844990941"":{""0"":[0]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""d03e2f20-e177-4944-8b48-92c201e1dcdf""},""input"":{""text"":""How old should you be to have sex""},""intents"":[{""intent"":""Sex.when.start"",""confidence"":0.9885656356811523}],""entities"":[{""location"":[30,33],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. "",""userId"":""800c3314-317d-485b-8764-05988768280a"",""intent"":{""name"":""Sex.when.start"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Sex.when.start",false
