"Date","Text","Message JSON","Intent","Incoming"
"2020-01-07T04:58:50.077Z",,"{""userId"":""802d44c0-afc7-48ed-9f4d-d52d4d3f2292""}",,true
"2020-01-07T04:58:50.080Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""802d44c0-afc7-48ed-9f4d-d52d4d3f2292"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""802d44c0-afc7-48ed-9f4d-d52d4d3f2292""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""7cd7426e-7c13-4b6d-9359-f363ea2b7832""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-07T04:59:41.493Z","Can I get pregnant at the end of the depo shot?","{""userId"":""802d44c0-afc7-48ed-9f4d-d52d4d3f2292"",""text"":""Can I get pregnant at the end of the depo shot?""}",,true
"2020-01-07T04:59:41.506Z","For most women, the shot (Depo) is 94% effective. So out of 100 women on the shot, 6 of them will get pregnant.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""For most women, the shot (Depo) is 94% effective. So out of 100 women on the shot, 6 of them will get pregnant.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for more info on doctors or clinics near you.</a>""}],""nodes_visited"":[""node_19_1534965066479"",""node_10_1542306707084"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""For most women, the shot (Depo) is 94% effective. So out of 100 women on the shot, 6 of them will get pregnant."",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for more info on doctors or clinics near you.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""802d44c0-afc7-48ed-9f4d-d52d4d3f2292""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,4,2,0,3,1]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_10_1542306707084"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""7cd7426e-7c13-4b6d-9359-f363ea2b7832""},""input"":{""text"":""Can I get pregnant at the end of the depo shot?""},""intents"":[{""intent"":""Depo.efficacy"",""confidence"":0.49020910263061523}],""entities"":[{""location"":[10,18],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[37,41],""value"":""Shot"",""entity"":""Birth_Control"",""confidence"":1},{""location"":[42,46],""value"":""Shot"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""For most women, the shot (Depo) is 94% effective. So out of 100 women on the shot, 6 of them will get pregnant."",""userId"":""802d44c0-afc7-48ed-9f4d-d52d4d3f2292"",""intent"":{""name"":""Depo.efficacy"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Birth_Control"",""value"":""Shot""},{""name"":""Birth_Control"",""value"":""Shot""}]}}","Depo.efficacy",false
"2020-01-07T04:59:41.990Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""802d44c0-afc7-48ed-9f4d-d52d4d3f2292""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,4,2,0,3,1]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_10_1542306707084"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""7cd7426e-7c13-4b6d-9359-f363ea2b7832""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""802d44c0-afc7-48ed-9f4d-d52d4d3f2292"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-07T04:59:42.007Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""802d44c0-afc7-48ed-9f4d-d52d4d3f2292"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-07T05:00:48.169Z","When do you have the most hormones when you are on the birth control shot?","{""userId"":""802d44c0-afc7-48ed-9f4d-d52d4d3f2292"",""text"":""When do you have the most hormones when you are on the birth control shot?""}",,true
"2020-01-07T05:00:48.948Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""802d44c0-afc7-48ed-9f4d-d52d4d3f2292"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-07T05:00:48.169Z","The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it.""},{""typing"":true,""response_type"":""pause"",""time"":2000},{""options"":[{""value"":{""input"":{""text"":""How effective is the shot at preventing pregnancy?""}},""label"":""Tap here to find out how effective the shot is.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Have another question? Ask me!""}],""nodes_visited"":[""node_6_1535561433242"",""node_12_1542403318496""],""text"":[""The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it."",""Have another question? Ask me!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""802d44c0-afc7-48ed-9f4d-d52d4d3f2292""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_12_1542403318496"":{""0"":[0],""3"":[0]},""node_3_1544835959501"":{""1"":[0,4,2,0,3,1]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_10_1542306707084"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""7cd7426e-7c13-4b6d-9359-f363ea2b7832""},""input"":{""text"":""When do you have the most hormones when you are on the birth control shot?""},""intents"":[{""intent"":""def_shot"",""confidence"":0.47875537872314455}],""entities"":[{""location"":[51,73],""value"":""Shot"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it."",""userId"":""802d44c0-afc7-48ed-9f4d-d52d4d3f2292"",""intent"":{""name"":""def_shot"",""inputs"":[{""name"":""Birth_Control"",""value"":""Shot""}]}}","def_shot",false
"2020-01-07T05:00:48.933Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""802d44c0-afc7-48ed-9f4d-d52d4d3f2292""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_12_1542403318496"":{""0"":[0],""3"":[0]},""node_3_1544835959501"":{""1"":[0,4,2,0,3,1]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_10_1542306707084"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""7cd7426e-7c13-4b6d-9359-f363ea2b7832""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""802d44c0-afc7-48ed-9f4d-d52d4d3f2292"",""intent"":{""name"":""unknown""}}","unknown",false
