"Date","Text","Message JSON","Intent","Incoming"
"2020-01-21T21:10:25.294Z",,"{""userId"":""84af4efb-4c60-49e2-88fd-45809f27ad78""}",,true
"2020-01-21T21:10:25.295Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""84af4efb-4c60-49e2-88fd-45809f27ad78"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""84af4efb-4c60-49e2-88fd-45809f27ad78""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c6775941-2436-41d8-b372-c12296ac9f98""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-21T21:10:39.524Z","how do i talk to my boyfriend about birth control","{""userId"":""84af4efb-4c60-49e2-88fd-45809f27ad78"",""text"":""how do i talk to my boyfriend about birth control""}",,true
"2020-01-21T21:10:39.511Z","Some conversations just aren’t easy to have, even though they’re really important. The birth control convo with your boo is like that. And listen, it might feel weird in the moment but, having the talk can actually make sex much more chill and fun. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Some conversations just aren’t easy to have, even though they’re really important. The birth control convo with your boo is like that. And listen, it might feel weird in the moment but, having the talk can actually make sex much more chill and fun. ""},{""response_type"":""text"",""text"":""Who wants to be worried about pregnancy when you can be protected? If you’re really feeling nervous, practice what you want to say or pull open your notes and write it out. Don’t worry,  he’ll be JUST as happy you’re protected as you are.""}],""nodes_visited"":[""node_15_1535481893679"",""node_18_1541457813612""],""text"":[""Some conversations just aren’t easy to have, even though they’re really important. The birth control convo with your boo is like that. And listen, it might feel weird in the moment but, having the talk can actually make sex much more chill and fun. "",""Who wants to be worried about pregnancy when you can be protected? If you’re really feeling nervous, practice what you want to say or pull open your notes and write it out. Don’t worry,  he’ll be JUST as happy you’re protected as you are.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""84af4efb-4c60-49e2-88fd-45809f27ad78""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_18_1541457813612"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c6775941-2436-41d8-b372-c12296ac9f98""},""input"":{""text"":""how do i talk to my boyfriend about birth control""},""intents"":[{""intent"":""Talking.to.bf"",""confidence"":1}],""entities"":[{""location"":[20,29],""value"":""Male"",""entity"":""Gender"",""confidence"":1},{""location"":[36,49],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Some conversations just aren’t easy to have, even though they’re really important. The birth control convo with your boo is like that. And listen, it might feel weird in the moment but, having the talk can actually make sex much more chill and fun. "",""userId"":""84af4efb-4c60-49e2-88fd-45809f27ad78"",""intent"":{""name"":""Talking.to.bf"",""inputs"":[{""name"":""Gender"",""value"":""Male""},{""name"":""Birth_Control"",""value"":""birth control""}]}}","Talking.to.bf",false
"2020-01-21T21:11:20.226Z","i ran out of pills what do i do?","{""userId"":""84af4efb-4c60-49e2-88fd-45809f27ad78"",""text"":""i ran out of pills what do i do?""}",,true
"2020-01-21T21:11:20.242Z","The pill is a type of birth control that you take once a day, every day, at the same time. Most of them work to prevent ovulation (when your body releases an egg) - no egg, no baby! There are a ton of different kinds of birth control pills out there so if one doesn’t work for you, you have options.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The pill is a type of birth control that you take once a day, every day, at the same time. Most of them work to prevent ovulation (when your body releases an egg) - no egg, no baby! There are a ton of different kinds of birth control pills out there so if one doesn’t work for you, you have options.""},{""response_type"":""text"",""text"":""The main thing you need to remember is just to take them EVERY DAY at the same time for it to work best.""},{""typing"":true,""response_type"":""pause"",""time"":3000},{""response_type"":""text"",""text"":""And if this seems like a lot to remember, <a href=\""/&__hash__;birth-control-types\"">check out some of the other really easy and effective ways to prevent pregnancy here.</a>""},{""response_type"":""text"",""text"":""Or, ask me something else.""}],""nodes_visited"":[""node_39_1535404000073"",""node_26_1542399797625""],""text"":[""The pill is a type of birth control that you take once a day, every day, at the same time. Most of them work to prevent ovulation (when your body releases an egg) - no egg, no baby! There are a ton of different kinds of birth control pills out there so if one doesn’t work for you, you have options."",""The main thing you need to remember is just to take them EVERY DAY at the same time for it to work best."",""And if this seems like a lot to remember, <a href=\""/&__hash__;birth-control-types\"">check out some of the other really easy and effective ways to prevent pregnancy here.</a>"",""Or, ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""84af4efb-4c60-49e2-88fd-45809f27ad78""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_18_1541457813612"":{""0"":[0],""1"":[0]},""node_26_1542399797625"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c6775941-2436-41d8-b372-c12296ac9f98""},""input"":{""text"":""i ran out of pills what do i do?""},""intents"":[{""intent"":""def_pill"",""confidence"":0.6550713539123536}],""entities"":[{""location"":[13,18],""value"":""the pill"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The pill is a type of birth control that you take once a day, every day, at the same time. Most of them work to prevent ovulation (when your body releases an egg) - no egg, no baby! There are a ton of different kinds of birth control pills out there so if one doesn’t work for you, you have options."",""userId"":""84af4efb-4c60-49e2-88fd-45809f27ad78"",""intent"":{""name"":""def_pill"",""inputs"":[{""name"":""Birth_Control"",""value"":""the pill""}]}}","def_pill",false
"2020-01-21T21:12:18.974Z","sometimes i get a small painful bump near my vagina","{""userId"":""84af4efb-4c60-49e2-88fd-45809f27ad78"",""text"":""sometimes i get a small painful bump near my vagina""}",,true
"2020-01-21T21:12:18.974Z","All the IUDs are pretty close in size but, if you really want the smallest one, Skyla is the IUD you’re looking for. Skyla is about an inch long and an inch wide. Once inserted, you’re protected against pregnancy for up to 3 years.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""All the IUDs are pretty close in size but, if you really want the smallest one, Skyla is the IUD you’re looking for. Skyla is about an inch long and an inch wide. Once inserted, you’re protected against pregnancy for up to 3 years.""}],""nodes_visited"":[""node_14_1535564701932"",""node_56_1542148940941""],""text"":[""All the IUDs are pretty close in size but, if you really want the smallest one, Skyla is the IUD you’re looking for. Skyla is about an inch long and an inch wide. Once inserted, you’re protected against pregnancy for up to 3 years.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""84af4efb-4c60-49e2-88fd-45809f27ad78""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_18_1541457813612"":{""0"":[0],""1"":[0]},""node_26_1542399797625"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_56_1542148940941"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c6775941-2436-41d8-b372-c12296ac9f98""},""input"":{""text"":""sometimes i get a small painful bump near my vagina""},""intents"":[{""intent"":""IUD.smallest"",""confidence"":0.6396332263946534}],""entities"":[{""location"":[45,51],""value"":""Vagina"",""entity"":""Body_Parts"",""confidence"":1}],""alternate_intents"":false},""text"":""All the IUDs are pretty close in size but, if you really want the smallest one, Skyla is the IUD you’re looking for. Skyla is about an inch long and an inch wide. Once inserted, you’re protected against pregnancy for up to 3 years."",""userId"":""84af4efb-4c60-49e2-88fd-45809f27ad78"",""intent"":{""name"":""IUD.smallest"",""inputs"":[{""name"":""Body_Parts"",""value"":""Vagina""}]}}","IUD.smallest",false
"2020-01-21T21:12:45.467Z","hemrroids","{""userId"":""84af4efb-4c60-49e2-88fd-45809f27ad78"",""text"":""hemrroids""}",,true
"2020-01-21T21:12:45.457Z","Oh no, I didn't understand that question. Can you rephrase? ","{""userId"":""84af4efb-4c60-49e2-88fd-45809f27ad78"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Oh no, I didn't understand that question. Can you rephrase? ""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""Oh no, I didn't understand that question. Can you rephrase? ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""84af4efb-4c60-49e2-88fd-45809f27ad78""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_18_1541457813612"":{""0"":[0],""1"":[0]},""node_26_1542399797625"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_2_1540920316188"":{""0"":[0,3,1,2,5,0,4]},""node_56_1542148940941"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c6775941-2436-41d8-b372-c12296ac9f98""},""input"":{""text"":""hemrroids""},""alternate_intents"":false},""text"":""Oh no, I didn't understand that question. Can you rephrase? ""}",,false
