"Date","Text","Message JSON","Intent","Incoming"
"2020-01-10T17:09:08.420Z",,"{""userId"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e""}",,true
"2020-01-10T17:09:08.406Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3a6bab21-6946-45db-9580-8a1732610840""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-10T17:09:32.445Z","what are side effects of birth control pills","{""userId"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e"",""text"":""what are side effects of birth control pills""}",,true
"2020-01-10T17:09:32.457Z","It’s hard to say how birth control might affect you because everyone is different. One girl might not have any side effects, another might deal with some spotting, headaches or nausea. It really depends on the girl.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""It’s hard to say how birth control might affect you because everyone is different. One girl might not have any side effects, another might deal with some spotting, headaches or nausea. It really depends on the girl.""},{""response_type"":""text"",""text"":""But, most side effects aren’t a big deal and some are even good! Some birth control can help with cramps, acne, and even get your period on track. No more surprises! 🙏🏽""},{""typing"":true,""response_type"":""pause"",""time"":3100},{""response_type"":""text"",""text"":""If you don't like how it makes you feel, talk to a doctor or <a href=\""/#birth-control-types\"">tap here to scroll to the different types of birth control.</a> ""},{""response_type"":""text"",""text"":""Or ask me another question.""}],""nodes_visited"":[""node_13_1534874681719"",""node_18_1542665437557""],""text"":[""It’s hard to say how birth control might affect you because everyone is different. One girl might not have any side effects, another might deal with some spotting, headaches or nausea. It really depends on the girl."",""But, most side effects aren’t a big deal and some are even good! Some birth control can help with cramps, acne, and even get your period on track. No more surprises! 🙏🏽"",""If you don't like how it makes you feel, talk to a doctor or <a href=\""/#birth-control-types\"">tap here to scroll to the different types of birth control.</a> "",""Or ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1542665437557"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3a6bab21-6946-45db-9580-8a1732610840""},""input"":{""text"":""what are side effects of birth control pills""},""intents"":[{""intent"":""BC.side.effects"",""confidence"":0.7393624305725097}],""entities"":[{""location"":[9,21],""value"":""side effects"",""entity"":""Side_Effects"",""confidence"":1},{""location"":[25,44],""value"":""the pill"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""It’s hard to say how birth control might affect you because everyone is different. One girl might not have any side effects, another might deal with some spotting, headaches or nausea. It really depends on the girl."",""userId"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e"",""intent"":{""name"":""BC.side.effects"",""inputs"":[{""name"":""Side_Effects"",""value"":""side effects""},{""name"":""Birth_Control"",""value"":""the pill""}]}}","BC.side.effects",false
"2020-01-10T17:10:13.451Z","how long do birth control pills last","{""userId"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e"",""text"":""how long do birth control pills last""}",,true
"2020-01-10T17:10:13.468Z","The pill is a type of birth control that you take once a day, every day, at the same time. Most of them work to prevent ovulation (when your body releases an egg) - no egg, no baby! There are a ton of different kinds of birth control pills out there so if one doesn’t work for you, you have options.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The pill is a type of birth control that you take once a day, every day, at the same time. Most of them work to prevent ovulation (when your body releases an egg) - no egg, no baby! There are a ton of different kinds of birth control pills out there so if one doesn’t work for you, you have options.""},{""response_type"":""text"",""text"":""The main thing you need to remember is just to take them EVERY DAY at the same time for it to work best.""},{""typing"":true,""response_type"":""pause"",""time"":3000},{""response_type"":""text"",""text"":""And if this seems like a lot to remember, <a href=\""/#birth-control-types\"">check out some of the other really easy and effective ways to prevent pregnancy here.</a>""},{""response_type"":""text"",""text"":""Or, ask me something else.""}],""nodes_visited"":[""node_39_1535404000073"",""node_26_1542399797625""],""text"":[""The pill is a type of birth control that you take once a day, every day, at the same time. Most of them work to prevent ovulation (when your body releases an egg) - no egg, no baby! There are a ton of different kinds of birth control pills out there so if one doesn’t work for you, you have options."",""The main thing you need to remember is just to take them EVERY DAY at the same time for it to work best."",""And if this seems like a lot to remember, <a href=\""/#birth-control-types\"">check out some of the other really easy and effective ways to prevent pregnancy here.</a>"",""Or, ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_26_1542399797625"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1542665437557"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3a6bab21-6946-45db-9580-8a1732610840""},""input"":{""text"":""how long do birth control pills last""},""intents"":[{""intent"":""def_pill"",""confidence"":0.9214924335479737}],""entities"":[{""location"":[12,31],""value"":""the pill"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The pill is a type of birth control that you take once a day, every day, at the same time. Most of them work to prevent ovulation (when your body releases an egg) - no egg, no baby! There are a ton of different kinds of birth control pills out there so if one doesn’t work for you, you have options."",""userId"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e"",""intent"":{""name"":""def_pill"",""inputs"":[{""name"":""Birth_Control"",""value"":""the pill""}]}}","def_pill",false
"2020-01-10T17:12:22.829Z",,"{""userId"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e""}",,true
"2020-01-10T17:12:22.845Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""56abf287-e040-4064-ad5a-a7d3152a47c3""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-10T17:12:54.316Z","does using a diaphragm protect against stis","{""userId"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e"",""text"":""does using a diaphragm protect against stis""}",,true
"2020-01-10T17:12:54.332Z","For the typical person who uses a diaphragm, they are 88% effective. That means out of every 100 women who use a diaphragm, 12 of them get pregnant. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""For the typical person who uses a diaphragm, they are 88% effective. That means out of every 100 women who use a diaphragm, 12 of them get pregnant. ""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Tap here for information on the different types of birth control.</a>""}],""nodes_visited"":[""node_21_1534965710349"",""node_8_1543960040170"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""For the typical person who uses a diaphragm, they are 88% effective. That means out of every 100 women who use a diaphragm, 12 of them get pregnant. "",""<a href=\""/#birth-control-types\"">Tap here for information on the different types of birth control.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_8_1543960040170"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_1_1544810991157"":{""1"":[0,3,6,1,0,2,5,4]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""56abf287-e040-4064-ad5a-a7d3152a47c3""},""input"":{""text"":""does using a diaphragm protect against stis""},""intents"":[{""intent"":""Diaphragm.efficacy"",""confidence"":0.5240015029907227}],""entities"":[{""location"":[13,22],""value"":""diaphragm"",""entity"":""Birth_Control"",""confidence"":1},{""location"":[39,43],""value"":""STD"",""entity"":""STD"",""confidence"":1}],""alternate_intents"":false},""text"":""For the typical person who uses a diaphragm, they are 88% effective. That means out of every 100 women who use a diaphragm, 12 of them get pregnant. "",""userId"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e"",""intent"":{""name"":""Diaphragm.efficacy"",""inputs"":[{""name"":""Birth_Control"",""value"":""diaphragm""},{""name"":""STD"",""value"":""STD""}]}}","Diaphragm.efficacy",false
"2020-01-10T17:13:35.134Z","how does an internal condom work","{""userId"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e"",""text"":""how does an internal condom work""}",,true
"2020-01-10T17:13:35.144Z","A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom.""}],""nodes_visited"":[""node_41_1535404605625""],""text"":[""A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_1_1544810991157"":{""1"":[0,3,6,1,0,2,5,4]},""node_8_1543960040170"":{""0"":[0]},""node_41_1535404605625"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""56abf287-e040-4064-ad5a-a7d3152a47c3""},""input"":{""text"":""how does an internal condom work""},""intents"":[{""intent"":""def_condom.female"",""confidence"":0.8141738414764406}],""entities"":[{""location"":[21,27],""value"":""condom"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom."",""userId"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e"",""intent"":{""name"":""def_condom.female"",""inputs"":[{""name"":""Birth_Control"",""value"":""condom""}]}}","def_condom.female",false
"2020-01-10T17:14:09.180Z","how long do internal condoms last","{""userId"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e"",""text"":""how long do internal condoms last""}",,true
"2020-01-10T17:14:09.179Z","A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom.""}],""nodes_visited"":[""node_41_1535404605625""],""text"":[""A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_1_1544810991157"":{""1"":[0,3,6,1,0,2,5,4]},""node_8_1543960040170"":{""0"":[0]},""node_41_1535404605625"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""56abf287-e040-4064-ad5a-a7d3152a47c3""},""input"":{""text"":""how long do internal condoms last""},""intents"":[{""intent"":""def_condom.female"",""confidence"":0.5409642934799195}],""entities"":[{""location"":[21,28],""value"":""condom"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom."",""userId"":""8d642f54-7c2f-4dd3-9b2d-98c5ca58a93e"",""intent"":{""name"":""def_condom.female"",""inputs"":[{""name"":""Birth_Control"",""value"":""condom""}]}}","def_condom.female",false
