"Date","Text","Message JSON","Intent","Incoming"
"2020-01-05T05:52:25.943Z",,"{""userId"":""8e64c942-8aa3-40ce-91a6-425e15048155""}",,true
"2020-01-05T05:52:25.928Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""8e64c942-8aa3-40ce-91a6-425e15048155"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""8e64c942-8aa3-40ce-91a6-425e15048155""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""06c29d06-afd0-4871-9cac-29290775a456""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-05T05:53:44.122Z","How bad does sex hurt?","{""userId"":""8e64c942-8aa3-40ce-91a6-425e15048155"",""text"":""How bad does sex hurt?""}",,true
"2020-01-05T05:53:44.121Z","Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ""},{""response_type"":""text"",""text"":""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for more info on doctors or clinics near you.</a>""}],""nodes_visited"":[""node_6_1535644870528"",""node_30_1541631510471"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on."",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for more info on doctors or clinics near you.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""8e64c942-8aa3-40ce-91a6-425e15048155""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,4,3,2,0,1]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""06c29d06-afd0-4871-9cac-29290775a456""},""input"":{""text"":""How bad does sex hurt?""},""intents"":[{""intent"":""Sex.pain"",""confidence"":0.9524590969085693}],""entities"":[{""location"":[13,16],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""userId"":""8e64c942-8aa3-40ce-91a6-425e15048155"",""intent"":{""name"":""Sex.pain"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Sex.pain",false
"2020-01-05T05:54:30.014Z","Can you have sex if you haven’t had your period?","{""userId"":""8e64c942-8aa3-40ce-91a6-425e15048155"",""text"":""Can you have sex if you haven’t had your period?""}",,true
"2020-01-05T05:54:30.272Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""8e64c942-8aa3-40ce-91a6-425e15048155"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-05T05:54:30.003Z","You can still get pregnant if you have an STD (or had one in the past) BUT, you have to make sure you get it treated ASAP. Leaving an STD untreated can make it hard for you to get pregnant in the future when you’re ready. And it can cause other health issues. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can still get pregnant if you have an STD (or had one in the past) BUT, you have to make sure you get it treated ASAP. Leaving an STD untreated can make it hard for you to get pregnant in the future when you’re ready. And it can cause other health issues. ""},{""response_type"":""text"",""text"":""Get tested and get treated if you have an STD to protect yourself and your future.""},{""typing"":true,""response_type"":""pause"",""time"":2200},{""options"":[{""value"":{""input"":{""text"":""How to get an STD test?""}},""label"":""Tap here to find out how easy it is to get an STD test.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or - ask me more questions! ""}],""nodes_visited"":[""node_12_1535740295771"",""node_10_1541623561261""],""text"":[""You can still get pregnant if you have an STD (or had one in the past) BUT, you have to make sure you get it treated ASAP. Leaving an STD untreated can make it hard for you to get pregnant in the future when you’re ready. And it can cause other health issues. "",""Get tested and get treated if you have an STD to protect yourself and your future."",""Or - ask me more questions! ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""8e64c942-8aa3-40ce-91a6-425e15048155""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,4,3,2,0,1]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_10_1541623561261"":{""0"":[0],""1"":[0],""4"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""06c29d06-afd0-4871-9cac-29290775a456""},""input"":{""text"":""Can you have sex if you haven’t had your period?""},""intents"":[{""intent"":""STDs.and.fertility"",""confidence"":0.4014744520187378}],""entities"":[{""location"":[13,16],""value"":""sex"",""entity"":""Sex"",""confidence"":1},{""location"":[41,47],""value"":""period"",""entity"":""Period"",""confidence"":1}],""alternate_intents"":false},""text"":""You can still get pregnant if you have an STD (or had one in the past) BUT, you have to make sure you get it treated ASAP. Leaving an STD untreated can make it hard for you to get pregnant in the future when you’re ready. And it can cause other health issues. "",""userId"":""8e64c942-8aa3-40ce-91a6-425e15048155"",""intent"":{""name"":""STDs.and.fertility"",""inputs"":[{""name"":""Sex"",""value"":""sex""},{""name"":""Period"",""value"":""period""}]}}","STDs.and.fertility",false
"2020-01-05T05:54:30.290Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""8e64c942-8aa3-40ce-91a6-425e15048155""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,4,3,2,0,1]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_10_1541623561261"":{""0"":[0],""1"":[0],""4"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""06c29d06-afd0-4871-9cac-29290775a456""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""8e64c942-8aa3-40ce-91a6-425e15048155"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-05T05:55:09.562Z","How long does it take to get an orgasm?","{""userId"":""8e64c942-8aa3-40ce-91a6-425e15048155"",""text"":""How long does it take to get an orgasm?""}",,true
"2020-01-05T05:55:09.546Z","An orgasm (aka, coming) happens when your body releases tension that builds up when masturbating, having sex, or being intimate with someone else. It's often intense and really good feeling. Both guys and girls can orgasm. When orgasming, someone might notice that their heart beats fast, and their face gets flushed. Orgasms can be tricky, and it's totally normal to not be able to have one, or for it to take awhile.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""An orgasm (aka, coming) happens when your body releases tension that builds up when masturbating, having sex, or being intimate with someone else. It's often intense and really good feeling. Both guys and girls can orgasm. When orgasming, someone might notice that their heart beats fast, and their face gets flushed. Orgasms can be tricky, and it's totally normal to not be able to have one, or for it to take awhile.""}],""nodes_visited"":[""node_1_1556755579683""],""text"":[""An orgasm (aka, coming) happens when your body releases tension that builds up when masturbating, having sex, or being intimate with someone else. It's often intense and really good feeling. Both guys and girls can orgasm. When orgasming, someone might notice that their heart beats fast, and their face gets flushed. Orgasms can be tricky, and it's totally normal to not be able to have one, or for it to take awhile.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""8e64c942-8aa3-40ce-91a6-425e15048155""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,4,3,2,0,1]},""node_1_1540844990941"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_1_1556755579683"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_10_1541623561261"":{""0"":[0],""1"":[0],""4"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""06c29d06-afd0-4871-9cac-29290775a456""},""input"":{""text"":""How long does it take to get an orgasm?""},""intents"":[{""intent"":""Orgasm_definition"",""confidence"":0.8291149139404297}],""alternate_intents"":false},""text"":""An orgasm (aka, coming) happens when your body releases tension that builds up when masturbating, having sex, or being intimate with someone else. It's often intense and really good feeling. Both guys and girls can orgasm. When orgasming, someone might notice that their heart beats fast, and their face gets flushed. Orgasms can be tricky, and it's totally normal to not be able to have one, or for it to take awhile."",""userId"":""8e64c942-8aa3-40ce-91a6-425e15048155"",""intent"":{""name"":""Orgasm_definition""}}","Orgasm_definition",false
"2020-01-05T05:56:03.531Z","Can you get pregnant the first time you have sex?","{""userId"":""8e64c942-8aa3-40ce-91a6-425e15048155"",""text"":""Can you get pregnant the first time you have sex?""}",,true
"2020-01-05T05:56:03.534Z","You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.""}],""nodes_visited"":[""node_5_1535390316228"",""node_57_1542677951229""],""text"":[""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""8e64c942-8aa3-40ce-91a6-425e15048155""},""system"":{""dialog_request_counter"":7,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":7,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,4,3,2,0,1]},""node_1_1540844990941"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_1_1556755579683"":{""0"":[0]},""node_57_1542677951229"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_10_1541623561261"":{""0"":[0],""1"":[0],""4"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""06c29d06-afd0-4871-9cac-29290775a456""},""input"":{""text"":""Can you get pregnant the first time you have sex?""},""intents"":[{""intent"":""BC.and.virgins"",""confidence"":0.9632735252380371}],""entities"":[{""location"":[12,20],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[45,48],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex."",""userId"":""8e64c942-8aa3-40ce-91a6-425e15048155"",""intent"":{""name"":""BC.and.virgins"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Sex"",""value"":""sex""}]}}","BC.and.virgins",false
