"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T05:26:55.429Z",,"{""userId"":""920e0a2a-660e-4a37-a59d-dc35ac0f5cd3""}",,true
"2020-01-04T05:26:55.430Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""920e0a2a-660e-4a37-a59d-dc35ac0f5cd3"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""920e0a2a-660e-4a37-a59d-dc35ac0f5cd3""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""94994412-17af-4a05-b34c-38f96c7175d4""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T05:27:25.886Z","If you been through fgm does sex hurt ","{""userId"":""920e0a2a-660e-4a37-a59d-dc35ac0f5cd3"",""text"":""If you been through fgm does sex hurt ""}",,true
"2020-01-04T05:27:25.870Z","Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ""},{""response_type"":""text"",""text"":""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for your nearest doctor or clinic. </a>""}],""nodes_visited"":[""node_6_1535644870528"",""node_30_1541631510471"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on."",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for your nearest doctor or clinic. </a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""920e0a2a-660e-4a37-a59d-dc35ac0f5cd3""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,3,4,1,2,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""94994412-17af-4a05-b34c-38f96c7175d4""},""input"":{""text"":""If you been through fgm does sex hurt ""},""intents"":[{""intent"":""Sex.pain"",""confidence"":0.9557145118713379}],""entities"":[{""location"":[29,32],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""userId"":""920e0a2a-660e-4a37-a59d-dc35ac0f5cd3"",""intent"":{""name"":""Sex.pain"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Sex.pain",false
"2020-01-04T05:28:04.451Z","How many times ","{""userId"":""920e0a2a-660e-4a37-a59d-dc35ac0f5cd3"",""text"":""How many times ""}",,true
"2020-01-04T05:28:04.449Z","If you've ever been told you can reuse a condom, let me be the one to tell you: THAT IS A LIE. Condoms are one and done. Every time you have sex, you need to use a new one. That means a new condom for round 1, 2, 3 and beyond 😉.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you've ever been told you can reuse a condom, let me be the one to tell you: THAT IS A LIE. Condoms are one and done. Every time you have sex, you need to use a new one. That means a new condom for round 1, 2, 3 and beyond 😉.""}],""nodes_visited"":[""node_41_1534892466827"",""node_29_1542650584491""],""text"":[""If you've ever been told you can reuse a condom, let me be the one to tell you: THAT IS A LIE. Condoms are one and done. Every time you have sex, you need to use a new one. That means a new condom for round 1, 2, 3 and beyond 😉.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""920e0a2a-660e-4a37-a59d-dc35ac0f5cd3""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,3,4,1,2,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_29_1542650584491"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""94994412-17af-4a05-b34c-38f96c7175d4""},""input"":{""text"":""How many times ""},""intents"":[{""intent"":""Condom.reuse"",""confidence"":0.6465079307556152}],""alternate_intents"":false},""text"":""If you've ever been told you can reuse a condom, let me be the one to tell you: THAT IS A LIE. Condoms are one and done. Every time you have sex, you need to use a new one. That means a new condom for round 1, 2, 3 and beyond 😉."",""userId"":""920e0a2a-660e-4a37-a59d-dc35ac0f5cd3"",""intent"":{""name"":""Condom.reuse""}}","Condom.reuse",false
"2020-01-04T05:28:27.540Z","Thanks ","{""userId"":""920e0a2a-660e-4a37-a59d-dc35ac0f5cd3"",""text"":""Thanks ""}",,true
"2020-01-04T05:28:27.525Z","No problem girl, I got you! If you have anything else to ask, let me know!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""No problem girl, I got you! If you have anything else to ask, let me know!""}],""nodes_visited"":[""node_7_1536089563638"",""node_2_1541394595763""],""text"":[""No problem girl, I got you! If you have anything else to ask, let me know!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""920e0a2a-660e-4a37-a59d-dc35ac0f5cd3""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,3,4,1,2,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_29_1542650584491"":{""0"":[0,0]},""node_2_1541394595763"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""94994412-17af-4a05-b34c-38f96c7175d4""},""input"":{""text"":""Thanks ""},""intents"":[{""intent"":""Thanks"",""confidence"":1}],""alternate_intents"":false},""text"":""No problem girl, I got you! If you have anything else to ask, let me know!"",""userId"":""920e0a2a-660e-4a37-a59d-dc35ac0f5cd3"",""intent"":{""name"":""Thanks""}}","Thanks",false
"2020-01-04T05:28:46.203Z","How do I get std?","{""userId"":""920e0a2a-660e-4a37-a59d-dc35ac0f5cd3"",""text"":""How do I get std?""}",,true
"2020-01-04T05:28:46.215Z","Signs of an STD are different between guys and girls. And sometimes, there aren’t any signs at all. Guys SOMETIMES have things like sores, blisters, or pain when they pee but most of the time, they won’t have any symptoms at all. For girls, STD symptoms might look like an itchy vagina, blisters, rashes, nasty discharge (I’m talking funky, yellow, or bloody stuff), or pain when peeing or during sex. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Signs of an STD are different between guys and girls. And sometimes, there aren’t any signs at all. Guys SOMETIMES have things like sores, blisters, or pain when they pee but most of the time, they won’t have any symptoms at all. For girls, STD symptoms might look like an itchy vagina, blisters, rashes, nasty discharge (I’m talking funky, yellow, or bloody stuff), or pain when peeing or during sex. ""},{""response_type"":""text"",""text"":""Honestly, the best way to know for sure is to get tested - ESPECIALLY if you think you might have an STD.""},{""typing"":true,""response_type"":""pause"",""time"":3100},{""options"":[{""value"":{""input"":{""text"":""What's it like to get an STD test?""}},""label"":""Tap here to learn about what it's like to take an STD test.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me another question.""}],""nodes_visited"":[""node_23_1535747185746"",""node_4_1541548466497""],""text"":[""Signs of an STD are different between guys and girls. And sometimes, there aren’t any signs at all. Guys SOMETIMES have things like sores, blisters, or pain when they pee but most of the time, they won’t have any symptoms at all. For girls, STD symptoms might look like an itchy vagina, blisters, rashes, nasty discharge (I’m talking funky, yellow, or bloody stuff), or pain when peeing or during sex. "",""Honestly, the best way to know for sure is to get tested - ESPECIALLY if you think you might have an STD."",""Or ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""920e0a2a-660e-4a37-a59d-dc35ac0f5cd3""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_4_1541548466497"":{""0"":[0],""1"":[0],""4"":[0]},""node_3_1544835959501"":{""1"":[0,3,4,1,2,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_29_1542650584491"":{""0"":[0,0]},""node_2_1541394595763"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""94994412-17af-4a05-b34c-38f96c7175d4""},""input"":{""text"":""How do I get std?""},""intents"":[{""intent"":""STDs.symptoms"",""confidence"":0.5950270175933838}],""entities"":[{""location"":[13,16],""value"":""STD"",""entity"":""STD"",""confidence"":1}],""alternate_intents"":false},""text"":""Signs of an STD are different between guys and girls. And sometimes, there aren’t any signs at all. Guys SOMETIMES have things like sores, blisters, or pain when they pee but most of the time, they won’t have any symptoms at all. For girls, STD symptoms might look like an itchy vagina, blisters, rashes, nasty discharge (I’m talking funky, yellow, or bloody stuff), or pain when peeing or during sex. "",""userId"":""920e0a2a-660e-4a37-a59d-dc35ac0f5cd3"",""intent"":{""name"":""STDs.symptoms"",""inputs"":[{""name"":""STD"",""value"":""STD""}]}}","STDs.symptoms",false
