"Date","Text","Message JSON","Intent","Incoming"
"2020-01-10T17:14:44.319Z","how does the ring work","{""userId"":""98ec05a3-219d-48f9-b0a1-b514d050a284"",""text"":""how does the ring work""}",,true
"2020-01-10T17:14:44.306Z","The ring is a type of birth control. It’s a small, flexible ring that you put inside your vagina for three weeks and it prevents ovulation (when your body releases an egg) - no egg, no baby! You take it out the week of your period and then pop a new one in. Super easy and you won’t even feel it.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The ring is a type of birth control. It’s a small, flexible ring that you put inside your vagina for three weeks and it prevents ovulation (when your body releases an egg) - no egg, no baby! You take it out the week of your period and then pop a new one in. Super easy and you won’t even feel it.""},{""typing"":true,""response_type"":""pause"",""time"":2000},{""options"":[{""value"":{""input"":{""text"":""How effective is the ring?""}},""label"":""Tap here to find out how effective the ring is.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or you can ask me something else.""}],""nodes_visited"":[""node_43_1535065455229"",""node_18_1542404110454""],""text"":[""The ring is a type of birth control. It’s a small, flexible ring that you put inside your vagina for three weeks and it prevents ovulation (when your body releases an egg) - no egg, no baby! You take it out the week of your period and then pop a new one in. Super easy and you won’t even feel it."",""Or you can ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""98ec05a3-219d-48f9-b0a1-b514d050a284""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_18_1542404110454"":{""0"":[0],""3"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""edbb2637-26d5-4b64-9bd2-165a566ce46f""},""input"":{""text"":""how does the ring work""},""intents"":[{""intent"":""def_The.Ring"",""confidence"":1}],""entities"":[{""location"":[9,17],""value"":""Ring"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The ring is a type of birth control. It’s a small, flexible ring that you put inside your vagina for three weeks and it prevents ovulation (when your body releases an egg) - no egg, no baby! You take it out the week of your period and then pop a new one in. Super easy and you won’t even feel it."",""userId"":""98ec05a3-219d-48f9-b0a1-b514d050a284"",""intent"":{""name"":""def_The.Ring"",""inputs"":[{""name"":""Birth_Control"",""value"":""Ring""}]}}","def_The.Ring",false
"2020-01-10T17:14:58.591Z","How effective is the ring?","{""userId"":""98ec05a3-219d-48f9-b0a1-b514d050a284"",""text"":""How effective is the ring?""}",,true
"2020-01-10T17:14:58.575Z","For the average girl, the ring is 91% effective at preventing pregnancy. That means out of 100 girls on the ring, 9 of them get pregnant.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""For the average girl, the ring is 91% effective at preventing pregnancy. That means out of 100 girls on the ring, 9 of them get pregnant.""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""options"":[{""value"":{""input"":{""text"":""How can I get the ring?""}},""label"":""Tap here to see how you can get the ring.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me something else.""}],""nodes_visited"":[""node_27_1534968295962"",""node_6_1541697703609""],""text"":[""For the average girl, the ring is 91% effective at preventing pregnancy. That means out of 100 girls on the ring, 9 of them get pregnant."",""Or ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""98ec05a3-219d-48f9-b0a1-b514d050a284""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_18_1542404110454"":{""0"":[0],""3"":[0]},""node_6_1541697703609"":{""0"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""edbb2637-26d5-4b64-9bd2-165a566ce46f""},""input"":{""text"":""How effective is the ring?""},""intents"":[{""intent"":""Ring.efficacy"",""confidence"":1}],""entities"":[{""location"":[17,25],""value"":""Ring"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""For the average girl, the ring is 91% effective at preventing pregnancy. That means out of 100 girls on the ring, 9 of them get pregnant."",""userId"":""98ec05a3-219d-48f9-b0a1-b514d050a284"",""intent"":{""name"":""Ring.efficacy"",""inputs"":[{""name"":""Birth_Control"",""value"":""Ring""}]}}","Ring.efficacy",false
"2020-01-10T17:15:19.967Z","how does the patch work","{""userId"":""98ec05a3-219d-48f9-b0a1-b514d050a284"",""text"":""how does the patch work""}",,true
"2020-01-10T17:15:19.982Z","The patch is a type of birth control that you place on your arm every week. It’s sold as Xulane (used to be called Ortho Evra) and it works to prevent ovulation (when your body releases an egg) - no egg, no baby!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The patch is a type of birth control that you place on your arm every week. It’s sold as Xulane (used to be called Ortho Evra) and it works to prevent ovulation (when your body releases an egg) - no egg, no baby!""},{""response_type"":""text"",""text"":""If you’re fine with switching it out every week, you should definitely talk to your doctor about starting it. ""},{""typing"":true,""response_type"":""pause"",""time"":3100},{""options"":[{""value"":{""input"":{""text"":""How effective is the patch at preventing pregnancy?""}},""label"":""Tap here to see how effective the patch is.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or type a different question.""}],""nodes_visited"":[""node_3_1535417199821"",""node_22_1542399584114""],""text"":[""The patch is a type of birth control that you place on your arm every week. It’s sold as Xulane (used to be called Ortho Evra) and it works to prevent ovulation (when your body releases an egg) - no egg, no baby!"",""If you’re fine with switching it out every week, you should definitely talk to your doctor about starting it. "",""Or type a different question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""98ec05a3-219d-48f9-b0a1-b514d050a284""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_18_1542404110454"":{""0"":[0],""3"":[0]},""node_6_1541697703609"":{""0"":[0],""3"":[0]},""node_22_1542399584114"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""edbb2637-26d5-4b64-9bd2-165a566ce46f""},""input"":{""text"":""how does the patch work""},""intents"":[{""intent"":""def_Patch.BC"",""confidence"":1}],""entities"":[{""location"":[9,18],""value"":""Patch"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The patch is a type of birth control that you place on your arm every week. It’s sold as Xulane (used to be called Ortho Evra) and it works to prevent ovulation (when your body releases an egg) - no egg, no baby!"",""userId"":""98ec05a3-219d-48f9-b0a1-b514d050a284"",""intent"":{""name"":""def_Patch.BC"",""inputs"":[{""name"":""Birth_Control"",""value"":""Patch""}]}}","def_Patch.BC",false
"2020-01-10T17:15:39.267Z","How effective is the patch at preventing pregnancy?","{""userId"":""98ec05a3-219d-48f9-b0a1-b514d050a284"",""text"":""How effective is the patch at preventing pregnancy?""}",,true
"2020-01-10T17:15:39.256Z","For most women who use the patch, it's 91% effective at preventing pregnancy. That means out of 100 women on the patch, 9 of them get pregnant.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""For most women who use the patch, it's 91% effective at preventing pregnancy. That means out of 100 women on the patch, 9 of them get pregnant.""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""options"":[{""value"":{""input"":{""text"":""How to get the patch.""}},""label"":""Tap here to find out how you can get the patch.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me another question.""}],""nodes_visited"":[""node_25_1534967794331"",""node_14_1542138867289""],""text"":[""For most women who use the patch, it's 91% effective at preventing pregnancy. That means out of 100 women on the patch, 9 of them get pregnant."",""Or ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""98ec05a3-219d-48f9-b0a1-b514d050a284""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_18_1542404110454"":{""0"":[0],""3"":[0]},""node_6_1541697703609"":{""0"":[0],""3"":[0]},""node_22_1542399584114"":{""0"":[0],""1"":[0],""4"":[0]},""node_14_1542138867289"":{""0"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""edbb2637-26d5-4b64-9bd2-165a566ce46f""},""input"":{""text"":""How effective is the patch at preventing pregnancy?""},""intents"":[{""intent"":""Patch.efficacy"",""confidence"":0.9935956478118897}],""entities"":[{""location"":[17,26],""value"":""Patch"",""entity"":""Birth_Control"",""confidence"":1},{""location"":[41,50],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1}],""alternate_intents"":false},""text"":""For most women who use the patch, it's 91% effective at preventing pregnancy. That means out of 100 women on the patch, 9 of them get pregnant."",""userId"":""98ec05a3-219d-48f9-b0a1-b514d050a284"",""intent"":{""name"":""Patch.efficacy"",""inputs"":[{""name"":""Birth_Control"",""value"":""Patch""},{""name"":""Pregnant"",""value"":""pregnant""}]}}","Patch.efficacy",false
"2020-01-10T17:15:52.064Z","How to get the patch.","{""userId"":""98ec05a3-219d-48f9-b0a1-b514d050a284"",""text"":""How to get the patch.""}",,true
"2020-01-10T17:15:52.091Z","So, you need a prescription to get the patch BUT, you might be able to get it online too. All you need to do is answer a few questions and maybe meet with a doctor online. Check out these websites to find online birth control: <a target=""_blank"" href=""https://www.prjktruby.com/"">Prjkt Ruby</a>, <a target=""_blank"" href=""https://thepillclub.com/main/"">The Pill Club</a>, <a target=""_blank"" href=""https://app.nurx.com/oc/category/"">Nurx</a>, and <a target=""_blank"" href=""https://www.vagisil.com/products/preventeza-emergency-contraceptive/"">Vagisil</a>.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""So, you need a prescription to get the patch BUT, you might be able to get it online too. All you need to do is answer a few questions and maybe meet with a doctor online. Check out these websites to find online birth control: <a target=\""_blank\"" href=\""https://www.prjktruby.com/\"">Prjkt Ruby</a>, <a target=\""_blank\"" href=\""https://thepillclub.com/main/\"">The Pill Club</a>, <a target=\""_blank\"" href=\""https://app.nurx.com/oc/category/\"">Nurx</a>, and <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">Vagisil</a>.""},{""typing"":true,""response_type"":""pause"",""time"":2300},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-finder\"">Tap here to scroll to the Clinic Map for your nearest doctor or clinic where you can get the patch.</a>""},{""response_type"":""text"",""text"":""Or type another question.""}],""nodes_visited"":[""node_25_1535397381897"",""node_6_1542137183528""],""text"":[""So, you need a prescription to get the patch BUT, you might be able to get it online too. All you need to do is answer a few questions and maybe meet with a doctor online. Check out these websites to find online birth control: <a target=\""_blank\"" href=\""https://www.prjktruby.com/\"">Prjkt Ruby</a>, <a target=\""_blank\"" href=\""https://thepillclub.com/main/\"">The Pill Club</a>, <a target=\""_blank\"" href=\""https://app.nurx.com/oc/category/\"">Nurx</a>, and <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">Vagisil</a>."",""<a href=\""/#birth-control-finder\"">Tap here to scroll to the Clinic Map for your nearest doctor or clinic where you can get the patch.</a>"",""Or type another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""98ec05a3-219d-48f9-b0a1-b514d050a284""},""system"":{""dialog_request_counter"":7,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":7,""_node_output_map"":{""node_6_1541697703609"":{""0"":[0],""3"":[0]},""node_18_1542404110454"":{""0"":[0],""3"":[0]},""node_22_1542399584114"":{""0"":[0],""1"":[0],""4"":[0]},""node_14_1542138867289"":{""0"":[0],""3"":[0]},""node_6_1542137183528"":{""0"":[0],""2"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""edbb2637-26d5-4b64-9bd2-165a566ce46f""},""input"":{""text"":""How to get the patch.""},""intents"":[{""intent"":""Patch.prescription"",""confidence"":1}],""entities"":[{""location"":[11,20],""value"":""Patch"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""So, you need a prescription to get the patch BUT, you might be able to get it online too. All you need to do is answer a few questions and maybe meet with a doctor online. Check out these websites to find online birth control: <a target=\""_blank\"" href=\""https://www.prjktruby.com/\"">Prjkt Ruby</a>, <a target=\""_blank\"" href=\""https://thepillclub.com/main/\"">The Pill Club</a>, <a target=\""_blank\"" href=\""https://app.nurx.com/oc/category/\"">Nurx</a>, and <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">Vagisil</a>."",""userId"":""98ec05a3-219d-48f9-b0a1-b514d050a284"",""intent"":{""name"":""Patch.prescription"",""inputs"":[{""name"":""Birth_Control"",""value"":""Patch""}]}}","Patch.prescription",false
