"Date","Text","Message JSON","Intent","Incoming"
"2020-01-05T16:48:13.506Z",,"{""userId"":""9ce51e06-d49a-4073-932c-8d32eaef81a5""}",,true
"2020-01-05T16:48:13.490Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""9ce51e06-d49a-4073-932c-8d32eaef81a5"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""9ce51e06-d49a-4073-932c-8d32eaef81a5""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8431cf64-286e-4286-8bb8-3f7e23c66622""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-05T16:48:46.902Z","How many tries does it take to get pregnant ","{""userId"":""9ce51e06-d49a-4073-932c-8d32eaef81a5"",""text"":""How many tries does it take to get pregnant ""}",,true
"2020-01-05T16:48:46.888Z","If you don’t want to get pregnant, your only option is to use some type of birth control. I’m just keeping it real. The good news is there are so many different kinds of birth control, you can definitely find one that will work best for you and is easy to use.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you don’t want to get pregnant, your only option is to use some type of birth control. I’m just keeping it real. The good news is there are so many different kinds of birth control, you can definitely find one that will work best for you and is easy to use.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Tap here to scroll to the different types of birth control.</a> ""}],""nodes_visited"":[""node_29_1534798514492"",""node_63_1542678184080"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""If you don’t want to get pregnant, your only option is to use some type of birth control. I’m just keeping it real. The good news is there are so many different kinds of birth control, you can definitely find one that will work best for you and is easy to use."",""<a href=\""/#birth-control-types\"">Tap here to scroll to the different types of birth control.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""9ce51e06-d49a-4073-932c-8d32eaef81a5""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_63_1542678184080"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_1_1544810991157"":{""1"":[0,0,3,2,4,5,1,6]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8431cf64-286e-4286-8bb8-3f7e23c66622""},""input"":{""text"":""How many tries does it take to get pregnant ""},""intents"":[{""intent"":""BC.alternatives"",""confidence"":0.4138035297393799}],""entities"":[{""location"":[35,43],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1}],""alternate_intents"":false},""text"":""If you don’t want to get pregnant, your only option is to use some type of birth control. I’m just keeping it real. The good news is there are so many different kinds of birth control, you can definitely find one that will work best for you and is easy to use."",""userId"":""9ce51e06-d49a-4073-932c-8d32eaef81a5"",""intent"":{""name"":""BC.alternatives"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""}]}}","BC.alternatives",false
"2020-01-05T16:48:47.160Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""9ce51e06-d49a-4073-932c-8d32eaef81a5"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-05T16:48:47.172Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""9ce51e06-d49a-4073-932c-8d32eaef81a5""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_63_1542678184080"":{""0"":[0]},""node_1_1544810991157"":{""1"":[0,0,3,2,4,5,1,6]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8431cf64-286e-4286-8bb8-3f7e23c66622""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""9ce51e06-d49a-4073-932c-8d32eaef81a5"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-05T16:49:33.155Z","I’m trying to get pregnant ","{""userId"":""9ce51e06-d49a-4073-932c-8d32eaef81a5"",""text"":""I’m trying to get pregnant ""}",,true
"2020-01-05T16:49:33.454Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""9ce51e06-d49a-4073-932c-8d32eaef81a5"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-05T16:49:33.166Z","The great thing about birth control is that there are so many different kinds! What girl doesn’t like options? And even if you started with one type, you can always change your mind.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The great thing about birth control is that there are so many different kinds! What girl doesn’t like options? And even if you started with one type, you can always change your mind.""},{""response_type"":""text"",""text"":""If you want to switch birth control, the most important thing is that you don’t let ANY time pass between one type and the next. Just ONE missed day and you’re risking getting pregnant. If you have any questions, definitely talk to your doctor. And when in doubt, there’s always condoms. Keep a stash on you, just in case girl. ""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for a doctor or clinic near you.</a>""}],""nodes_visited"":[""node_16_1534543391856"",""node_14_1542665063704"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""The great thing about birth control is that there are so many different kinds! What girl doesn’t like options? And even if you started with one type, you can always change your mind."",""If you want to switch birth control, the most important thing is that you don’t let ANY time pass between one type and the next. Just ONE missed day and you’re risking getting pregnant. If you have any questions, definitely talk to your doctor. And when in doubt, there’s always condoms. Keep a stash on you, just in case girl. "",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for a doctor or clinic near you.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""9ce51e06-d49a-4073-932c-8d32eaef81a5""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_63_1542678184080"":{""0"":[0]},""node_1_1544810991157"":{""1"":[0,0,3,2,4,5,1,6]},""node_14_1542665063704"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,0,3,1,4,2]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8431cf64-286e-4286-8bb8-3f7e23c66622""},""input"":{""text"":""I’m trying to get pregnant ""},""intents"":[{""intent"":""BC.switch"",""confidence"":0.3132910609245301}],""entities"":[{""location"":[18,26],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1}],""alternate_intents"":false},""text"":""The great thing about birth control is that there are so many different kinds! What girl doesn’t like options? And even if you started with one type, you can always change your mind."",""userId"":""9ce51e06-d49a-4073-932c-8d32eaef81a5"",""intent"":{""name"":""BC.switch"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""}]}}","BC.switch",false
"2020-01-05T16:49:33.440Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""9ce51e06-d49a-4073-932c-8d32eaef81a5""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_63_1542678184080"":{""0"":[0]},""node_1_1544810991157"":{""1"":[0,0,3,2,4,5,1,6]},""node_14_1542665063704"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,0,3,1,4,2]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8431cf64-286e-4286-8bb8-3f7e23c66622""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""9ce51e06-d49a-4073-932c-8d32eaef81a5"",""intent"":{""name"":""unknown""}}","unknown",false
