"Date","Text","Message JSON","Intent","Incoming"
"2020-01-29T03:19:52.586Z",,"{""userId"":""a19acd3e-9b0f-464c-919d-45c11d0184ea""}",,true
"2020-01-29T03:19:52.600Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""a19acd3e-9b0f-464c-919d-45c11d0184ea"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a19acd3e-9b0f-464c-919d-45c11d0184ea""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2a304f39-3758-4501-8188-31c96ae960f9""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-29T03:23:10.402Z","can the implant move around","{""userId"":""a19acd3e-9b0f-464c-919d-45c11d0184ea"",""text"":""can the implant move around""}",,true
"2020-01-29T03:23:10.401Z","The implant doesn’t move around once it’s inserted in your arm. You definitely don’t have to worry about it floating around your body. It stays put and prevents pregnancy all day, every day for up to 3 years…or until you’re ready to take it out.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The implant doesn’t move around once it’s inserted in your arm. You definitely don’t have to worry about it floating around your body. It stays put and prevents pregnancy all day, every day for up to 3 years…or until you’re ready to take it out.""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""options"":[{""value"":{""input"":{""text"":""How's the implant work?""}},""label"":""Tap here to learn how the implant works.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me anything else about birth control.""}],""nodes_visited"":[""node_5_1534955367729"",""node_22_1542404638050""],""text"":[""The implant doesn’t move around once it’s inserted in your arm. You definitely don’t have to worry about it floating around your body. It stays put and prevents pregnancy all day, every day for up to 3 years…or until you’re ready to take it out."",""Or ask me anything else about birth control.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a19acd3e-9b0f-464c-919d-45c11d0184ea""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_22_1542404638050"":{""0"":[0],""3"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2a304f39-3758-4501-8188-31c96ae960f9""},""input"":{""text"":""can the implant move around""},""intents"":[{""intent"":""Implant.movable"",""confidence"":0.8993327140808105}],""entities"":[{""location"":[4,15],""value"":""Implant"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The implant doesn’t move around once it’s inserted in your arm. You definitely don’t have to worry about it floating around your body. It stays put and prevents pregnancy all day, every day for up to 3 years…or until you’re ready to take it out."",""userId"":""a19acd3e-9b0f-464c-919d-45c11d0184ea"",""intent"":{""name"":""Implant.movable"",""inputs"":[{""name"":""Birth_Control"",""value"":""Implant""}]}}","Implant.movable",false
"2020-01-29T03:23:53.481Z","does the implant make you gain weight","{""userId"":""a19acd3e-9b0f-464c-919d-45c11d0184ea"",""text"":""does the implant make you gain weight""}",,true
"2020-01-29T03:23:53.464Z","A lot of girls are worried about gaining weight with an IUD but they really shouldn’t be. The IUD doesn’t cause weight gain but, since so many girls get it around the time they naturally gain weight, it’s easy to think the two are related.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""A lot of girls are worried about gaining weight with an IUD but they really shouldn’t be. The IUD doesn’t cause weight gain but, since so many girls get it around the time they naturally gain weight, it’s easy to think the two are related.""}],""nodes_visited"":[""node_19_1535048994100"",""node_48_1542147781966""],""text"":[""A lot of girls are worried about gaining weight with an IUD but they really shouldn’t be. The IUD doesn’t cause weight gain but, since so many girls get it around the time they naturally gain weight, it’s easy to think the two are related.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a19acd3e-9b0f-464c-919d-45c11d0184ea""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_48_1542147781966"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_22_1542404638050"":{""0"":[0],""3"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2a304f39-3758-4501-8188-31c96ae960f9""},""input"":{""text"":""does the implant make you gain weight""},""intents"":[{""intent"":""IUD.weight.gain"",""confidence"":0.6621815681457519}],""entities"":[{""location"":[5,16],""value"":""Implant"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""A lot of girls are worried about gaining weight with an IUD but they really shouldn’t be. The IUD doesn’t cause weight gain but, since so many girls get it around the time they naturally gain weight, it’s easy to think the two are related."",""userId"":""a19acd3e-9b0f-464c-919d-45c11d0184ea"",""intent"":{""name"":""IUD.weight.gain"",""inputs"":[{""name"":""Birth_Control"",""value"":""Implant""}]}}","IUD.weight.gain",false
"2020-01-29T03:24:10.483Z","does getting the implant hurt","{""userId"":""a19acd3e-9b0f-464c-919d-45c11d0184ea"",""text"":""does getting the implant hurt""}",,true
"2020-01-29T03:24:10.485Z","Getting the implant is super quick and easy. Your doctor will give you a tiny shot that’ll numb your arm and will put the implant right under your skin and that’s it. You’re protected from pregnancy for up to 3 years! ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Getting the implant is super quick and easy. Your doctor will give you a tiny shot that’ll numb your arm and will put the implant right under your skin and that’s it. You’re protected from pregnancy for up to 3 years! ""},{""response_type"":""text"",""text"":""Any pain or discomfort should go away in a few days - but if it’s not, check with your doctor.""},{""typing"":true,""response_type"":""pause"",""time"":4500},{""response_type"":""text"",""text"":""To find a doctor or clinic near you to get the implant, <a href=\""/#birth-control-finder\"">tap here to go to the Clinic Map.</a>""},{""response_type"":""text"",""text"":""Or, ask me something else.""}],""nodes_visited"":[""node_29_1534973228814"",""node_38_1542230905842""],""text"":[""Getting the implant is super quick and easy. Your doctor will give you a tiny shot that’ll numb your arm and will put the implant right under your skin and that’s it. You’re protected from pregnancy for up to 3 years! "",""Any pain or discomfort should go away in a few days - but if it’s not, check with your doctor."",""To find a doctor or clinic near you to get the implant, <a href=\""/#birth-control-finder\"">tap here to go to the Clinic Map.</a>"",""Or, ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a19acd3e-9b0f-464c-919d-45c11d0184ea""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_48_1542147781966"":{""0"":[0,0]},""node_38_1542230905842"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_22_1542404638050"":{""0"":[0],""3"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2a304f39-3758-4501-8188-31c96ae960f9""},""input"":{""text"":""does getting the implant hurt""},""intents"":[{""intent"":""Implant.feeling"",""confidence"":0.9979305744171143}],""entities"":[{""location"":[13,24],""value"":""Implant"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Getting the implant is super quick and easy. Your doctor will give you a tiny shot that’ll numb your arm and will put the implant right under your skin and that’s it. You’re protected from pregnancy for up to 3 years! "",""userId"":""a19acd3e-9b0f-464c-919d-45c11d0184ea"",""intent"":{""name"":""Implant.feeling"",""inputs"":[{""name"":""Birth_Control"",""value"":""Implant""}]}}","Implant.feeling",false
"2020-01-29T03:27:33.234Z","alcohol","{""userId"":""a19acd3e-9b0f-464c-919d-45c11d0184ea"",""text"":""alcohol""}",,true
"2020-01-29T03:27:33.231Z","Alcohol does not mess with your birth control at all. BUT, let’s be real, if you’re feeling tipsy or drunk, remembering to grab a condom isn’t the first thing on your mind. If you’re having sex regularly and love a good drink, think about getting on birth control that you don’t have to worry about.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Alcohol does not mess with your birth control at all. BUT, let’s be real, if you’re feeling tipsy or drunk, remembering to grab a condom isn’t the first thing on your mind. If you’re having sex regularly and love a good drink, think about getting on birth control that you don’t have to worry about.""},{""response_type"":""text"",""text"":""For types like the IUD or implant, you won’t  have to worry about getting pregnant AT ALL. It’s a one time procedure and you’re protected for YEARS. 🍸""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Tap here to go to a list of birth control types.</a>""}],""nodes_visited"":[""node_1_1534784484606"",""node_65_1542678250773"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""Alcohol does not mess with your birth control at all. BUT, let’s be real, if you’re feeling tipsy or drunk, remembering to grab a condom isn’t the first thing on your mind. If you’re having sex regularly and love a good drink, think about getting on birth control that you don’t have to worry about."",""For types like the IUD or implant, you won’t  have to worry about getting pregnant AT ALL. It’s a one time procedure and you’re protected for YEARS. 🍸"",""<a href=\""/#birth-control-types\"">Tap here to go to a list of birth control types.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a19acd3e-9b0f-464c-919d-45c11d0184ea""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_48_1542147781966"":{""0"":[0,0]},""node_1_1544810991157"":{""1"":[0,5,6,1,4,3,0,2]},""node_65_1542678250773"":{""0"":[0],""1"":[0]},""node_38_1542230905842"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_22_1542404638050"":{""0"":[0],""3"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2a304f39-3758-4501-8188-31c96ae960f9""},""input"":{""text"":""alcohol""},""intents"":[{""intent"":""BC.alcohol"",""confidence"":0.777906847000122}],""alternate_intents"":false},""text"":""Alcohol does not mess with your birth control at all. BUT, let’s be real, if you’re feeling tipsy or drunk, remembering to grab a condom isn’t the first thing on your mind. If you’re having sex regularly and love a good drink, think about getting on birth control that you don’t have to worry about."",""userId"":""a19acd3e-9b0f-464c-919d-45c11d0184ea"",""intent"":{""name"":""BC.alcohol""}}","BC.alcohol",false
