"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T23:21:57.576Z",,"{""userId"":""a51fa1d9-aa57-450d-b97f-135c68a2a4b9""}",,true
"2020-01-04T23:21:57.575Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""a51fa1d9-aa57-450d-b97f-135c68a2a4b9"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a51fa1d9-aa57-450d-b97f-135c68a2a4b9""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""91bfd29e-5b44-41a6-9e91-8e056cc19d8c""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T23:22:32.986Z","When should I lose my virginity ","{""userId"":""a51fa1d9-aa57-450d-b97f-135c68a2a4b9"",""text"":""When should I lose my virginity ""}",,true
"2020-01-04T23:22:32.998Z","There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. ""},{""response_type"":""text"",""text"":""That way you’re already covered when you start having sex because YES, you CAN get pregnant the first time.""},{""typing"":true,""response_type"":""pause"",""time"":2200},{""options"":[{""value"":{""input"":{""text"":""How do I choose the right kind of birth control?""}},""label"":""Tap here to learn about choosing the best birth control for you.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or you can ask me another question.""}],""nodes_visited"":[""node_7_1535646904489"",""node_26_1541630799961""],""text"":[""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. "",""That way you’re already covered when you start having sex because YES, you CAN get pregnant the first time."",""Or you can ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a51fa1d9-aa57-450d-b97f-135c68a2a4b9""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""91bfd29e-5b44-41a6-9e91-8e056cc19d8c""},""input"":{""text"":""When should I lose my virginity ""},""intents"":[{""intent"":""Sex.when.start"",""confidence"":0.9688666820526124}],""alternate_intents"":false},""text"":""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. "",""userId"":""a51fa1d9-aa57-450d-b97f-135c68a2a4b9"",""intent"":{""name"":""Sex.when.start""}}","Sex.when.start",false
"2020-01-04T23:23:12.515Z","Is it ok to only wear a condom?","{""userId"":""a51fa1d9-aa57-450d-b97f-135c68a2a4b9"",""text"":""Is it ok to only wear a condom?""}",,true
"2020-01-04T23:23:12.517Z","A condom is a stretchy piece of latex or other kind of film that a guy covers his penis during sex. It works to catch and trap fluids - like pre cum and semen - so that they don’t enter the vagina, butt, or even mouth if you’re giving head. It’s a great form of birth control to prevent pregnancy and the ONLY way to prevent STDs.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""A condom is a stretchy piece of latex or other kind of film that a guy covers his penis during sex. It works to catch and trap fluids - like pre cum and semen - so that they don’t enter the vagina, butt, or even mouth if you’re giving head. It’s a great form of birth control to prevent pregnancy and the ONLY way to prevent STDs.""}],""nodes_visited"":[""node_25_1534879625810"",""node_45_1542651887315""],""text"":[""A condom is a stretchy piece of latex or other kind of film that a guy covers his penis during sex. It works to catch and trap fluids - like pre cum and semen - so that they don’t enter the vagina, butt, or even mouth if you’re giving head. It’s a great form of birth control to prevent pregnancy and the ONLY way to prevent STDs.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a51fa1d9-aa57-450d-b97f-135c68a2a4b9""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_45_1542651887315"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""91bfd29e-5b44-41a6-9e91-8e056cc19d8c""},""input"":{""text"":""Is it ok to only wear a condom?""},""intents"":[{""intent"":""def_condom"",""confidence"":0.3844249486923218}],""entities"":[{""location"":[22,30],""value"":""condom"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""A condom is a stretchy piece of latex or other kind of film that a guy covers his penis during sex. It works to catch and trap fluids - like pre cum and semen - so that they don’t enter the vagina, butt, or even mouth if you’re giving head. It’s a great form of birth control to prevent pregnancy and the ONLY way to prevent STDs."",""userId"":""a51fa1d9-aa57-450d-b97f-135c68a2a4b9"",""intent"":{""name"":""def_condom"",""inputs"":[{""name"":""Birth_Control"",""value"":""condom""}]}}","def_condom",false
"2020-01-04T23:23:13.028Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""a51fa1d9-aa57-450d-b97f-135c68a2a4b9"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T23:23:13.013Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a51fa1d9-aa57-450d-b97f-135c68a2a4b9""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_45_1542651887315"":{""0"":[0,0]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""91bfd29e-5b44-41a6-9e91-8e056cc19d8c""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""a51fa1d9-aa57-450d-b97f-135c68a2a4b9"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-04T23:23:33.344Z","Will I get pregnant if he only wears a condom?","{""userId"":""a51fa1d9-aa57-450d-b97f-135c68a2a4b9"",""text"":""Will I get pregnant if he only wears a condom?""}",,true
"2020-01-04T23:23:33.819Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""a51fa1d9-aa57-450d-b97f-135c68a2a4b9"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
