"Date","Text","Message JSON","Intent","Incoming"
"2020-01-03T12:35:30.311Z",,"{""userId"":""a56e4536-7242-4fa2-a174-fbc9c59ac965""}",,true
"2020-01-03T12:35:30.309Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""a56e4536-7242-4fa2-a174-fbc9c59ac965"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a56e4536-7242-4fa2-a174-fbc9c59ac965""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""9431b210-094a-4d69-98f5-7b1c62094868""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-03T12:36:01.495Z","How can I get pregnant fast I been trying for.2 year's ","{""userId"":""a56e4536-7242-4fa2-a174-fbc9c59ac965"",""text"":""How can I get pregnant fast I been trying for.2 year's ""}",,true
"2020-01-03T12:36:01.931Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""a56e4536-7242-4fa2-a174-fbc9c59ac965"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-03T12:36:01.484Z","Option 2 is a type of morning after pill. You can take the morning after pill within 5 days of having unprotected sex, but it works much better if you take it within 3 days. The sooner you take it, the better!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Option 2 is a type of morning after pill. You can take the morning after pill within 5 days of having unprotected sex, but it works much better if you take it within 3 days. The sooner you take it, the better!""}],""nodes_visited"":[""node_7_1535043746088""],""text"":[""Option 2 is a type of morning after pill. You can take the morning after pill within 5 days of having unprotected sex, but it works much better if you take it within 3 days. The sooner you take it, the better!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a56e4536-7242-4fa2-a174-fbc9c59ac965""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_7_1535043746088"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""9431b210-094a-4d69-98f5-7b1c62094868""},""input"":{""text"":""How can I get pregnant fast I been trying for.2 year's ""},""intents"":[{""intent"":""def_Option.2.BC"",""confidence"":0.28243117928504946}],""entities"":[{""location"":[14,22],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[45,47],""metadata"":{""numeric_value"":0.2},""value"":""0.2"",""entity"":""sys-number"",""confidence"":1}],""alternate_intents"":false},""text"":""Option 2 is a type of morning after pill. You can take the morning after pill within 5 days of having unprotected sex, but it works much better if you take it within 3 days. The sooner you take it, the better!"",""userId"":""a56e4536-7242-4fa2-a174-fbc9c59ac965"",""intent"":{""name"":""def_Option.2.BC"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""sys-number"",""value"":""0.2""}]}}","def_Option.2.BC",false
"2020-01-03T12:36:01.947Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a56e4536-7242-4fa2-a174-fbc9c59ac965""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_7_1535043746088"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""9431b210-094a-4d69-98f5-7b1c62094868""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""a56e4536-7242-4fa2-a174-fbc9c59ac965"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-03T12:36:25.672Z","How do I get pregnant I been trying for 2 years ","{""userId"":""a56e4536-7242-4fa2-a174-fbc9c59ac965"",""text"":""How do I get pregnant I been trying for 2 years ""}",,true
"2020-01-03T12:36:25.658Z","Birth control is REALLY safe to use for a long time - I mean years. And years. And years. It shouldn't make it harder to get pregnant later on. But if you're noticing any changes with your body that you think might be a result of your birth control, make sure to talk with a doctor. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Birth control is REALLY safe to use for a long time - I mean years. And years. And years. It shouldn't make it harder to get pregnant later on. But if you're noticing any changes with your body that you think might be a result of your birth control, make sure to talk with a doctor. ""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for more info on doctors or clinics near you.</a>""}],""nodes_visited"":[""node_25_1534797427211"",""node_62_1543881751745"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Birth control is REALLY safe to use for a long time - I mean years. And years. And years. It shouldn't make it harder to get pregnant later on. But if you're noticing any changes with your body that you think might be a result of your birth control, make sure to talk with a doctor. "",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for more info on doctors or clinics near you.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a56e4536-7242-4fa2-a174-fbc9c59ac965""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_62_1543881751745"":{""0"":[0]},""node_7_1535043746088"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,4,3,1,0,2]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""9431b210-094a-4d69-98f5-7b1c62094868""},""input"":{""text"":""How do I get pregnant I been trying for 2 years ""},""intents"":[{""intent"":""BC.safe.long-term"",""confidence"":0.4016264438629151}],""entities"":[{""location"":[13,21],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[40,41],""metadata"":{""numeric_value"":2},""value"":""2"",""entity"":""sys-number"",""confidence"":1}],""alternate_intents"":false},""text"":""Birth control is REALLY safe to use for a long time - I mean years. And years. And years. It shouldn't make it harder to get pregnant later on. But if you're noticing any changes with your body that you think might be a result of your birth control, make sure to talk with a doctor. "",""userId"":""a56e4536-7242-4fa2-a174-fbc9c59ac965"",""intent"":{""name"":""BC.safe.long-term"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""sys-number"",""value"":""2""}]}}","BC.safe.long-term",false
"2020-01-03T12:36:26.021Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""a56e4536-7242-4fa2-a174-fbc9c59ac965"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-03T12:36:26.035Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a56e4536-7242-4fa2-a174-fbc9c59ac965""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_62_1543881751745"":{""0"":[0]},""node_7_1535043746088"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,4,3,1,0,2]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""9431b210-094a-4d69-98f5-7b1c62094868""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""a56e4536-7242-4fa2-a174-fbc9c59ac965"",""intent"":{""name"":""unknown""}}","unknown",false
