"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T08:20:40.345Z",,"{""userId"":""a66e5021-ef5b-4fe7-8fde-f7331336a7a9""}",,true
"2020-01-04T08:20:40.346Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""a66e5021-ef5b-4fe7-8fde-f7331336a7a9"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a66e5021-ef5b-4fe7-8fde-f7331336a7a9""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""606a0e94-8b37-4cca-9546-bb091e6a620a""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T08:21:28.648Z","Is it normal if the condom pops?","{""userId"":""a66e5021-ef5b-4fe7-8fde-f7331336a7a9"",""text"":""Is it normal if the condom pops?""}",,true
"2020-01-04T08:21:28.925Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""a66e5021-ef5b-4fe7-8fde-f7331336a7a9"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T08:21:28.631Z","If a condom comes off during sex, it could have stayed inside you or fallen off outside somewhere. Put your fingers up inside you to see if you can feel it. If you find it, pull it out slowly. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If a condom comes off during sex, it could have stayed inside you or fallen off outside somewhere. Put your fingers up inside you to see if you can feel it. If you find it, pull it out slowly. ""},{""response_type"":""text"",""text"":""If he came inside the condom, or the condom broke, you should take the morning after pill to be safe. You don't need a prescription for the morning after pill - you can get it in most pharmacies, like CVS or Walgreens. Just ask the pharmacist. Or, you can get it online <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">here</a> (with overnight shipping!)""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for your nearest doctor or clinic. </a>""}],""nodes_visited"":[""node_2_1536087216453"",""node_93_1543885348559"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""If a condom comes off during sex, it could have stayed inside you or fallen off outside somewhere. Put your fingers up inside you to see if you can feel it. If you find it, pull it out slowly. "",""If he came inside the condom, or the condom broke, you should take the morning after pill to be safe. You don't need a prescription for the morning after pill - you can get it in most pharmacies, like CVS or Walgreens. Just ask the pharmacist. Or, you can get it online <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">here</a> (with overnight shipping!)"",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for your nearest doctor or clinic. </a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a66e5021-ef5b-4fe7-8fde-f7331336a7a9""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_93_1543885348559"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,3,4,2,1,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""606a0e94-8b37-4cca-9546-bb091e6a620a""},""input"":{""text"":""Is it normal if the condom pops?""},""intents"":[{""intent"":""Condom.off.inside.where"",""confidence"":0.34248229265213015}],""entities"":[{""location"":[20,26],""value"":""condom"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""If a condom comes off during sex, it could have stayed inside you or fallen off outside somewhere. Put your fingers up inside you to see if you can feel it. If you find it, pull it out slowly. "",""userId"":""a66e5021-ef5b-4fe7-8fde-f7331336a7a9"",""intent"":{""name"":""Condom.off.inside.where"",""inputs"":[{""name"":""Birth_Control"",""value"":""condom""}]}}","Condom.off.inside.where",false
"2020-01-04T08:21:28.935Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a66e5021-ef5b-4fe7-8fde-f7331336a7a9""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_93_1543885348559"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,3,4,2,1,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""606a0e94-8b37-4cca-9546-bb091e6a620a""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""a66e5021-ef5b-4fe7-8fde-f7331336a7a9"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-04T08:21:46.422Z","Is it normal for a condom to break","{""userId"":""a66e5021-ef5b-4fe7-8fde-f7331336a7a9"",""text"":""Is it normal for a condom to break""}",,true
"2020-01-04T08:21:46.619Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""a66e5021-ef5b-4fe7-8fde-f7331336a7a9"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T08:21:46.417Z","A dental dam is a way to protect yourself against STDs during oral sex on a female. It's a thin piece of latex (the same stuff as a condom) that you put over your vagina.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""A dental dam is a way to protect yourself against STDs during oral sex on a female. It's a thin piece of latex (the same stuff as a condom) that you put over your vagina.""}],""nodes_visited"":[""node_26_1534881690008""],""text"":[""A dental dam is a way to protect yourself against STDs during oral sex on a female. It's a thin piece of latex (the same stuff as a condom) that you put over your vagina.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a66e5021-ef5b-4fe7-8fde-f7331336a7a9""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_93_1543885348559"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,3,4,2,1,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_26_1534881690008"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""606a0e94-8b37-4cca-9546-bb091e6a620a""},""input"":{""text"":""Is it normal for a condom to break""},""intents"":[{""intent"":""def_dental.dam"",""confidence"":0.3721809029579163}],""entities"":[{""location"":[17,25],""value"":""condom"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""A dental dam is a way to protect yourself against STDs during oral sex on a female. It's a thin piece of latex (the same stuff as a condom) that you put over your vagina."",""userId"":""a66e5021-ef5b-4fe7-8fde-f7331336a7a9"",""intent"":{""name"":""def_dental.dam"",""inputs"":[{""name"":""Birth_Control"",""value"":""condom""}]}}","def_dental.dam",false
"2020-01-04T08:21:46.603Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a66e5021-ef5b-4fe7-8fde-f7331336a7a9""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_93_1543885348559"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,3,4,2,1,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_26_1534881690008"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""606a0e94-8b37-4cca-9546-bb091e6a620a""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""a66e5021-ef5b-4fe7-8fde-f7331336a7a9"",""intent"":{""name"":""unknown""}}","unknown",false
